student_id,study_hours,practice_score,attendance,sleep_hours,prior_level,result_class
S2105,4.8,100.0,94.5,5.8,high,2
S2106,4.7,60.3,55.6,5.0,mid,1
S2107,0.6,74.9,71.8,6.4,high,0
S2108,2.0,53.2,97.6,6.6,low,0
S2109,3.5,83.8,65.4,6.3,mid,0
S2110,4.4,61.8,78.0,6.6,low,0
S2111,1.1,21.1,55.1,3.3,mid,0
S2112,2.4,54.1,67.2,5.7,low,0
S2113,4.9,65.6,67.1,6.7,mid,0
S2114,7.5,80.0,70.5,6.8,high,2
S2115,2.6,47.9,93.3,7.5,mid,0
S2116,4.9,77.2,88.0,8.0,mid,2
S2117,4.5,63.0,72.8,6.2,mid,0
S2118,3.6,60.1,57.4,7.5,mid,0
S2119,5.1,92.3,88.4,5.7,mid,1
S2120,5.4,94.1,71.8,6.5,mid,1
S2121,7.1,64.7,77.8,5.7,high,2
S2122,4.2,91.9,99.0,6.9,high,2
S2123,5.1,81.7,78.6,6.9,high,2
S2124,6.9,71.9,89.5,7.3,low,2
S2125,6.9,45.6,79.3,5.5,high,2
S2126,0.8,35.3,80.9,5.9,high,0
S2127,6.8,64.1,80.8,4.9,mid,2
S2128,1.9,56.3,96.1,3.9,high,0
S2129,2.6,56.3,99.0,6.9,high,1
S2130,0.5,90.4,85.2,6.7,mid,1
S2131,4.3,65.5,57.9,5.7,high,0
S2132,1.3,78.5,87.1,8.2,mid,1
S2133,7.8,57.5,68.5,7.1,high,2
S2134,0.7,65.0,55.3,5.8,low,0
S2135,0.7,65.0,56.6,7.4,low,0
S2136,5.0,28.2,67.7,7.1,high,1
S2137,5.0,75.9,78.7,6.9,high,2
S2138,0.9,82.4,88.9,8.0,low,0
S2139,1.7,49.0,79.6,6.1,low,0
S2140,8.4,80.2,85.5,8.3,low,1
S2141,7.7,72.1,85.7,6.7,mid,1
S2142,3.4,65.4,78.6,7.2,low,1
S2143,6.5,54.1,98.0,7.8,mid,1
S2144,1.3,65.6,93.0,5.8,mid,0
S2145,8.1,50.0,87.8,8.2,mid,2
S2146,6.9,77.7,70.2,7.8,mid,2
S2147,5.2,89.6,62.0,6.2,low,2
S2148,7.6,67.9,92.4,6.1,high,2
S2149,6.0,76.4,60.5,7.0,mid,1
S2150,8.2,66.3,59.9,6.6,low,1
S2151,2.5,76.1,95.5,4.1,mid,0
S2152,6.9,56.2,98.6,7.2,mid,2
S2153,7.8,89.4,77.9,7.5,high,2
S2154,1.9,41.4,89.7,5.4,mid,0
S2155,1.4,65.8,80.9,7.8,mid,0
S2156,6.7,94.9,81.7,6.6,high,2
S2157,7.8,73.5,74.4,5.2,mid,2
S2158,4.7,83.7,87.9,7.0,high,2
S2159,3.3,100.0,76.5,7.7,mid,0
S2160,7.3,77.4,78.2,6.7,low,2
S2161,5.3,99.9,69.7,6.0,low,1
S2162,4.4,62.3,87.9,7.7,mid,1
S2163,6.1,90.9,65.9,8.5,mid,2
S2164,6.2,48.1,60.0,5.9,mid,1
S2165,0.6,91.2,56.8,5.8,high,1
S2166,2.5,77.4,60.5,7.3,mid,2
S2167,7.0,69.5,83.1,6.5,high,2
S2168,8.1,76.1,60.3,6.8,low,2
S2169,0.9,49.3,83.1,4.8,mid,0
S2170,7.0,49.4,74.0,8.1,mid,2
S2171,0.8,84.8,83.6,7.2,mid,1
S2172,7.3,79.4,98.3,6.6,mid,2
S2173,2.6,79.0,85.5,6.4,high,2
S2174,8.0,64.0,73.9,7.4,mid,1
S2175,3.7,62.0,87.3,7.7,mid,0
S2176,7.9,53.9,84.4,5.8,high,2
S2177,1.4,81.0,83.1,7.1,low,0
S2178,4.1,46.2,92.4,6.2,mid,0
S2179,6.2,81.1,64.0,6.5,mid,1
S2180,4.4,64.6,65.0,5.6,mid,1
S2181,7.2,72.0,73.3,7.3,mid,1
S2182,8.5,55.8,72.9,6.2,high,2
S2183,1.4,51.2,87.0,4.6,low,0
S2184,0.8,78.9,66.4,6.6,high,0
S2185,2.2,52.9,66.8,6.8,high,1
S2186,0.7,55.5,72.1,7.2,mid,0
S2187,2.0,68.4,76.3,7.9,high,1
S2188,2.8,72.5,83.0,6.6,mid,1
S2189,7.2,76.7,93.4,6.5,low,2
S2190,1.3,55.9,57.5,7.5,low,0
S2191,5.9,84.7,74.8,6.1,low,1
S2192,3.0,33.7,89.3,6.6,low,0
S2193,4.2,46.4,88.8,5.8,mid,0
S2194,4.8,71.7,96.0,7.6,high,2
S2195,7.8,64.9,81.7,5.8,mid,2
S2196,5.8,71.9,90.5,5.4,high,2
S2197,6.8,59.5,60.0,5.2,low,1
S2198,4.1,72.8,96.7,7.0,low,0
S2199,6.9,72.1,86.1,6.9,mid,2
S2200,5.1,84.6,58.2,9.4,low,1
S2201,6.7,63.7,59.5,8.0,high,2
S2202,7.0,64.9,78.6,7.0,high,2
S2203,0.9,72.6,58.9,6.5,low,0
S2204,4.8,79.4,60.7,5.0,mid,0
S2205,7.6,62.7,96.6,5.8,high,2
S2206,7.5,68.7,57.4,6.2,mid,2
S2207,3.1,73.8,72.3,6.9,low,0
S2208,6.7,62.0,78.9,7.9,high,2
S2209,1.3,89.4,83.8,5.8,low,0
S2210,2.1,48.9,84.7,7.8,low,0
S2211,1.9,75.7,94.5,5.9,high,1
S2212,6.3,58.5,98.8,5.9,mid,1
S2213,4.6,18.0,98.3,9.3,low,0
S2214,8.0,76.1,61.2,7.5,mid,2
S2215,4.7,65.0,60.4,6.8,high,1
S2216,3.0,66.8,85.6,7.6,mid,1
S2217,6.9,71.4,85.3,7.1,mid,2
S2218,2.1,76.3,55.4,7.2,low,0
S2219,8.1,100.0,78.0,7.3,high,2
S2220,6.7,71.3,61.3,6.2,mid,1
S2221,2.4,38.5,79.2,6.8,high,0
S2222,3.6,66.0,58.8,6.1,mid,0
S2223,1.0,85.8,92.3,7.0,low,1
S2224,6.7,100.0,85.0,6.2,mid,2
S2225,4.4,100.0,81.7,8.2,low,2
S2226,3.0,71.2,84.2,5.9,high,2
S2227,4.2,62.1,89.0,6.9,low,1
S2228,6.2,83.2,96.1,5.7,mid,1
S2229,1.3,48.2,95.0,6.3,mid,0
S2230,6.4,33.7,59.1,7.1,mid,0
S2231,5.5,76.6,74.5,7.1,high,2
S2232,2.6,100.0,95.3,4.7,mid,1
S2233,2.8,79.4,90.6,5.8,low,1
S2234,6.7,47.2,69.7,7.3,mid,1
S2235,4.4,86.1,78.3,6.4,mid,2
S2236,7.2,61.4,89.3,5.6,low,1
S2237,4.2,57.3,68.7,5.8,low,0
S2238,7.5,82.8,88.7,5.0,mid,2
S2239,4.7,94.6,71.5,7.3,low,2
S2240,3.6,45.5,73.7,6.8,mid,1
S2241,4.7,66.3,65.7,6.6,low,0
S2242,0.8,99.1,68.7,4.5,high,0
S2243,3.9,69.6,93.1,6.9,high,2
S2244,6.3,66.0,66.1,5.0,mid,2
S2245,2.8,58.7,81.3,4.9,mid,0
S2246,5.1,89.5,77.6,7.5,low,1
S2247,8.2,95.6,86.2,8.7,high,2
S2248,2.8,69.0,91.0,7.1,high,2
S2249,5.5,66.9,70.5,5.5,mid,2
S2250,6.6,52.3,98.5,9.0,high,2
S2251,4.4,72.8,79.8,6.7,low,1
S2252,0.7,78.4,99.0,7.9,mid,1
S2253,2.7,58.0,65.5,6.6,low,0
S2254,0.6,61.7,80.7,5.8,mid,0
S2255,2.6,87.4,90.7,8.5,mid,0
S2256,5.1,66.6,69.8,8.2,mid,2
S2257,6.5,76.4,95.3,4.5,low,1
S2258,3.5,68.5,76.7,5.5,mid,1
S2259,3.7,73.7,92.6,5.8,mid,1
S2260,4.3,74.9,99.1,7.6,low,1
S2261,6.0,42.7,84.5,6.5,high,1
S2262,0.6,48.9,77.1,4.8,low,0
S2263,0.8,54.9,97.9,7.8,low,0
S2264,1.7,80.8,58.8,6.4,low,0
S2265,0.6,43.2,78.3,6.2,mid,0
S2266,4.9,64.0,94.3,6.7,high,2
S2267,3.2,80.8,85.7,6.3,mid,1
S2268,1.3,87.9,56.8,6.4,low,0
S2269,3.0,34.2,60.2,8.0,low,0
S2270,0.7,49.7,83.4,5.7,low,0
S2271,0.9,79.5,62.8,5.8,low,0
S2272,7.5,50.2,77.8,6.0,mid,2
S2273,4.4,95.5,67.1,4.9,mid,2
S2274,6.8,62.7,91.5,6.1,mid,2
S2275,6.9,66.1,74.1,7.6,mid,1
S2276,1.3,94.3,64.9,6.1,low,0
S2277,1.5,55.1,60.6,6.9,high,0
S2278,7.7,50.7,59.6,6.9,mid,2
S2279,5.8,74.7,67.9,7.8,high,2
S2280,3.9,53.2,92.5,5.6,mid,0
S2281,4.3,76.5,74.6,6.7,high,1
S2282,0.7,93.2,78.1,4.6,mid,0
S2283,6.8,73.2,57.6,6.7,mid,1
S2284,3.2,84.6,85.1,6.6,low,0
S2285,3.2,64.7,90.4,7.7,mid,1
S2286,1.8,57.0,87.1,6.5,mid,0
S2287,1.1,68.5,62.7,6.7,mid,0
S2288,1.7,67.9,60.4,8.3,mid,1
S2289,5.2,50.9,71.4,6.7,mid,1
S2290,3.3,66.3,97.3,5.7,low,0
S2291,4.9,70.3,72.9,7.3,mid,2
S2292,2.9,80.3,65.8,6.1,low,0
S2293,6.0,65.7,67.9,5.4,high,2
S2294,1.1,74.1,60.7,5.3,mid,0
S2295,3.9,91.5,58.8,7.0,low,1
S2296,5.7,45.6,63.4,6.4,mid,0
S2297,6.2,75.3,81.1,5.0,low,1
S2298,0.6,67.5,64.3,4.9,low,0
S2299,4.1,53.7,67.3,7.8,mid,0
S2300,4.1,39.4,55.7,6.7,mid,0
S2301,6.4,65.9,69.9,5.1,low,0
S2302,1.6,64.2,84.4,6.8,low,0
S2303,7.9,97.7,75.6,6.2,mid,2
S2304,7.9,62.0,79.8,5.2,high,2
S2305,5.8,90.2,97.4,5.3,high,2
S2306,1.8,82.9,73.3,6.2,high,2
S2307,3.9,69.7,64.0,4.9,high,1
S2308,7.6,57.2,78.9,6.0,mid,1
S2309,4.2,59.1,78.9,7.2,mid,0
S2310,3.1,49.7,99.2,7.2,mid,1
S2311,6.9,71.9,78.0,6.1,low,1
S2312,1.7,55.4,84.4,6.4,mid,0
S2313,2.2,85.0,67.8,7.6,low,1
S2314,7.7,98.9,63.0,6.8,low,2
S2315,7.1,79.3,94.9,8.2,low,2
S2316,8.3,45.3,61.5,7.0,low,1
S2317,2.8,54.7,66.3,5.3,low,0
S2318,4.7,57.3,97.4,6.3,mid,1
S2319,0.6,74.8,66.4,5.8,mid,0
S2320,3.7,55.7,89.2,6.9,low,0
S2321,3.6,73.1,79.3,6.7,mid,1
S2322,1.1,74.0,74.1,7.1,high,1
S2323,2.5,97.9,87.8,6.0,low,1
S2324,3.0,65.4,56.1,6.9,mid,0
S2325,7.3,65.8,78.8,5.3,mid,2
S2326,8.4,100.0,57.5,4.9,mid,2
S2327,2.7,72.6,72.3,6.4,low,0
S2328,0.8,80.5,56.0,5.1,mid,0
S2329,6.6,100.0,97.5,7.1,low,2
S2330,6.0,81.6,83.9,4.6,low,0
S2331,8.2,79.0,84.8,7.1,mid,2
S2332,8.1,89.4,80.6,6.4,low,2
S2333,5.7,39.3,82.3,5.1,mid,1
S2334,1.8,42.7,99.9,4.8,low,0
S2335,0.8,54.1,86.0,5.1,low,0
S2336,8.1,56.1,83.0,6.8,mid,2
S2337,4.6,77.6,86.7,7.1,low,1
S2338,5.1,27.0,57.4,6.2,mid,0
S2339,8.2,76.8,97.3,7.3,low,2
S2340,2.6,64.5,97.1,5.8,mid,0
S2341,8.1,76.8,98.0,7.2,high,2
S2342,5.0,67.5,78.4,5.4,high,1
S2343,7.9,77.2,66.2,6.0,mid,2
S2344,2.6,72.8,86.5,7.0,high,1
S2345,3.0,71.4,62.7,7.6,mid,0
S2346,6.6,83.2,61.2,5.3,mid,1
S2347,7.9,51.0,80.2,3.9,high,2
S2348,0.5,67.7,78.0,6.9,low,0
S2349,7.5,74.3,76.3,7.1,high,2
S2350,4.8,58.6,82.0,4.5,mid,0
S2351,5.4,51.8,74.4,6.8,mid,1
S2352,6.0,83.8,71.2,7.0,low,1
S2353,7.0,78.0,95.4,5.0,mid,1
S2354,0.7,78.8,90.1,7.4,mid,0
S2355,8.4,87.7,87.9,6.4,low,2
S2356,7.0,63.4,80.3,9.3,high,2
S2357,1.2,73.5,89.2,8.7,mid,1
S2358,6.5,57.5,57.5,5.9,low,1
S2359,8.0,24.8,86.0,5.7,low,0
S2360,7.7,88.3,62.0,7.0,mid,2
S2361,8.2,100.0,84.6,5.5,mid,2
S2362,4.2,59.3,56.7,4.7,mid,0
S2363,6.8,88.2,85.6,9.4,low,2
S2364,3.1,47.2,58.3,7.7,low,0
S2365,2.8,65.0,96.8,6.5,mid,2
S2366,3.5,53.6,96.1,6.0,low,0
S2367,3.0,100.0,98.4,6.3,high,2
S2368,5.9,51.8,84.2,7.3,low,1
S2369,6.4,83.2,74.6,8.0,low,2
S2370,4.3,54.8,92.7,6.1,low,0
S2371,3.8,68.2,71.1,6.9,high,2
S2372,8.2,66.9,65.9,6.6,low,1
S2373,7.1,93.4,72.8,5.1,mid,2
S2374,5.6,85.4,62.7,6.5,mid,2
S2375,4.5,73.8,70.0,5.2,low,1
S2376,0.9,55.3,61.3,6.5,low,0
S2377,0.6,50.3,85.2,7.5,low,0
S2378,5.8,54.7,82.2,6.7,mid,1
S2379,0.8,80.3,76.9,5.9,mid,0
S2380,4.1,71.3,57.4,7.7,low,0
S2381,3.0,70.2,85.6,8.7,mid,1
S2382,1.4,46.7,86.1,5.1,high,0
S2383,8.3,56.9,94.1,6.2,low,2
S2384,4.7,78.4,92.3,6.4,mid,2
S2385,7.0,44.1,60.8,5.4,high,2
S2386,7.7,70.5,57.9,7.3,mid,1
S2387,6.4,62.3,68.1,6.0,low,1
S2388,6.0,77.7,80.8,6.6,mid,1
S2389,3.1,86.1,99.8,4.4,mid,1
S2390,3.7,60.8,91.4,5.5,low,0
S2391,2.1,100.0,86.7,7.1,low,1
S2392,3.0,52.9,98.4,7.7,high,1
S2393,2.6,68.1,91.8,6.6,mid,1
S2394,5.8,76.1,97.9,7.0,mid,2
S2395,0.9,73.6,58.0,7.3,low,0
S2396,3.4,71.0,64.1,8.0,mid,1
S2397,5.8,93.4,62.1,6.5,low,0
S2398,6.9,64.2,82.3,7.3,low,1
S2399,6.2,64.7,58.4,5.8,low,1
S2400,3.6,38.4,99.3,7.7,high,1
S2401,3.3,60.6,64.5,7.1,mid,2
S2402,2.7,76.7,77.5,7.1,mid,1
S2403,2.9,76.3,74.9,5.5,mid,1
S2404,4.3,76.9,88.3,4.1,mid,1
S2405,4.0,73.0,72.7,7.2,mid,1
S2406,6.8,53.2,61.5,7.0,mid,1
S2407,5.7,50.9,75.4,7.5,low,1
S2408,8.1,62.6,56.2,6.8,high,2
S2409,6.8,85.0,59.9,7.8,mid,1
S2410,4.3,44.6,95.0,5.7,low,1
S2411,4.1,57.9,56.5,7.5,mid,1
S2412,2.3,68.9,91.4,6.7,high,1
S2413,1.4,61.3,57.9,6.9,low,0
S2414,1.8,53.6,82.2,7.1,mid,0
S2415,4.9,75.4,56.8,6.2,mid,1
S2416,5.2,77.4,75.9,5.4,high,2
S2417,5.9,43.2,85.3,7.4,high,2
S2418,4.1,68.9,63.0,6.8,low,0
S2419,7.9,63.0,82.8,7.3,low,2
S2420,0.9,41.6,89.8,6.1,high,0
S2421,8.1,83.0,70.7,7.3,high,2
S2422,3.1,86.1,81.2,6.0,low,0
S2423,4.7,53.5,64.2,8.2,high,1
S2424,3.8,63.1,96.3,7.8,high,2
S2425,4.3,58.4,74.9,5.7,low,0
S2426,6.4,89.7,96.8,5.4,high,2
S2427,1.2,55.2,62.7,6.2,low,0
S2428,8.0,56.5,55.6,7.0,low,1
S2429,5.3,86.8,84.7,7.8,mid,1
S2430,5.8,82.1,62.5,8.5,mid,1
S2431,2.7,56.9,82.7,5.7,mid,0
S2432,4.0,82.3,58.4,7.9,high,1
S2433,8.4,74.9,81.9,6.7,high,2
S2434,4.3,92.1,85.7,7.5,high,2
S2435,4.7,73.2,58.7,7.7,mid,1
S2436,1.1,72.3,82.4,5.9,low,0
S2437,6.8,78.7,88.1,7.9,low,1
S2438,5.4,49.8,58.2,7.4,mid,1
S2439,1.9,50.8,96.9,6.6,mid,0
S2440,0.6,65.2,74.9,6.7,high,0
S2441,4.4,70.2,63.1,5.1,high,1
S2442,6.4,53.4,80.7,7.4,low,0
S2443,0.9,33.0,67.3,7.4,mid,0
S2444,4.6,85.2,86.6,8.2,low,1
S2445,7.9,58.5,84.0,7.6,mid,2
S2446,1.7,73.2,87.6,7.4,mid,1
S2447,1.4,54.4,83.6,6.0,mid,0
S2448,8.1,57.3,62.7,6.9,mid,2
S2449,1.5,50.3,63.1,9.4,low,0
S2450,8.4,80.6,88.9,5.9,low,2
S2451,4.4,57.4,98.4,6.6,low,0
S2452,8.1,95.5,95.2,7.1,mid,2
S2453,4.3,28.3,99.9,6.2,low,0
S2454,4.9,68.2,71.6,6.7,mid,2
S2455,2.6,71.0,69.0,5.7,mid,0
S2456,6.1,64.4,77.9,9.1,mid,2
S2457,5.0,58.8,60.4,5.6,mid,1
S2458,3.2,44.8,98.1,6.3,low,0
S2459,1.3,76.1,63.1,6.5,low,0
S2460,1.2,90.2,96.9,7.0,mid,1
S2461,8.5,32.2,77.9,4.9,low,0
S2462,1.4,43.6,71.1,8.1,high,0
S2463,1.0,56.4,79.5,5.8,low,0
S2464,6.1,71.8,65.9,6.9,high,2
S2465,6.0,87.8,95.5,8.1,mid,2
S2466,0.8,90.7,68.6,5.9,mid,0
S2467,7.0,71.8,97.0,6.0,mid,2
S2468,6.9,78.4,91.6,6.1,mid,2
S2469,6.8,57.3,87.0,4.4,mid,1
S2470,3.6,65.0,96.4,5.0,mid,1
S2471,1.5,41.2,74.4,6.4,mid,0
S2472,5.6,32.2,76.7,7.6,high,1
S2473,7.3,79.3,90.9,5.7,mid,2
S2474,7.2,78.7,69.2,5.4,high,2
S2475,0.6,65.4,70.4,6.9,high,0
S2476,1.0,80.3,63.0,5.2,mid,0
S2477,4.7,74.1,94.7,9.8,low,1
S2478,1.7,56.4,86.8,4.9,high,1
S2479,3.4,70.4,84.7,6.5,mid,0
S2480,2.9,75.8,80.1,6.6,mid,1
S2481,3.4,52.3,83.0,5.7,mid,0
S2482,2.3,71.9,70.5,7.3,mid,0
S2483,8.5,85.4,98.9,7.1,low,2
S2484,6.4,66.5,67.8,6.5,high,2
S2485,7.7,62.0,82.4,8.3,high,2
S2486,1.2,54.9,96.8,5.1,mid,0
S2487,2.8,54.2,57.8,5.8,mid,0
S2488,4.8,51.3,75.3,5.2,low,0
S2489,4.0,65.6,96.7,7.8,mid,0
S2490,5.8,80.2,86.0,6.8,mid,2
S2491,6.2,99.0,60.6,5.4,high,2
S2492,6.0,49.0,77.0,9.7,mid,1
S2493,6.8,100.0,58.0,7.4,mid,1
S2494,7.9,100.0,80.0,5.4,high,2
S2495,6.5,67.0,78.9,7.2,mid,1
S2496,3.2,53.4,89.1,7.1,mid,1
S2497,6.2,50.8,99.6,6.0,high,1
S2498,2.0,51.2,65.3,7.1,mid,0
S2499,4.1,74.0,81.2,7.1,mid,2
S2500,4.5,58.6,59.5,6.5,low,1
S2501,5.1,84.9,89.3,7.5,mid,2
S2502,1.4,69.2,67.5,6.0,low,0
S2503,6.1,84.0,97.6,4.5,mid,1
S2504,7.2,58.8,74.3,6.7,low,1
S2505,1.6,67.5,57.0,7.6,low,0
S2506,7.2,89.9,95.4,8.2,mid,2
S2507,7.6,70.4,92.6,6.9,low,2
S2508,4.4,60.9,87.9,8.8,high,2
S2509,3.5,66.5,65.8,7.1,mid,0
S2510,7.9,70.7,58.0,6.4,low,1
S2511,6.9,78.5,76.4,7.1,low,1
S2512,2.9,92.3,72.6,6.6,high,2
S2513,6.3,75.9,73.3,6.5,low,1
S2514,1.9,68.0,81.2,5.9,mid,0
S2515,7.0,57.0,95.7,6.3,mid,1
S2516,2.8,78.6,67.4,7.2,mid,1
S2517,3.4,61.4,65.4,8.7,low,0
S2518,4.3,40.5,92.9,6.3,high,1
S2519,0.9,77.6,82.6,7.1,low,0
S2520,4.9,83.7,95.2,7.1,low,1
S2521,0.6,65.8,99.7,7.5,high,0
S2522,7.7,76.8,94.8,5.1,mid,2
S2523,1.8,80.5,95.0,5.6,mid,1
S2524,5.3,83.8,70.1,5.1,high,2
S2525,6.9,77.4,70.2,8.3,high,2
S2526,3.7,59.8,79.2,5.8,mid,1
S2527,5.4,62.6,73.0,6.0,mid,1
S2528,1.9,60.0,58.1,7.1,mid,0
S2529,6.1,90.6,79.7,6.0,mid,2
S2530,8.3,34.1,90.1,6.5,high,2
S2531,2.2,71.0,79.4,6.8,mid,1
S2532,2.5,53.1,72.0,6.7,low,0
S2533,3.1,65.5,67.9,5.8,low,0
S2534,5.0,53.6,72.6,6.3,low,0
S2535,5.5,65.3,87.2,5.9,low,1
S2536,5.2,76.4,64.5,5.5,mid,0
S2537,3.9,63.6,88.0,6.1,mid,1
S2538,7.1,35.6,57.2,7.8,high,2
S2539,6.2,49.6,94.2,5.6,mid,2
S2540,6.0,72.9,67.9,5.7,low,2
S2541,4.3,58.2,57.1,6.5,mid,1
S2542,1.4,55.8,75.8,6.0,mid,0
S2543,5.0,68.5,70.5,8.3,mid,1
S2544,7.2,69.1,58.1,7.3,mid,2
S2545,0.8,58.9,80.4,6.8,mid,0
S2546,4.6,81.6,70.1,6.1,mid,1
S2547,3.7,75.7,93.5,5.2,high,2
S2548,5.8,37.5,70.2,5.2,low,0
S2549,1.4,67.9,83.1,7.9,mid,1
S2550,4.0,41.7,90.7,7.3,mid,1
S2551,1.4,60.4,77.5,5.8,high,0
S2552,7.7,65.3,67.3,5.7,low,1
S2553,7.0,68.1,93.7,7.4,low,1
S2554,6.6,64.4,60.1,5.0,mid,1
S2555,2.0,51.8,68.9,7.5,low,0
S2556,3.6,72.9,91.1,7.1,high,2
S2557,7.2,55.4,80.5,5.0,high,2
S2558,4.6,30.5,66.3,8.5,mid,1
S2559,5.5,34.0,76.5,7.7,mid,0
S2560,7.4,93.4,75.6,7.3,low,2
S2561,3.2,61.9,92.9,5.6,mid,1
S2562,1.2,69.2,84.5,6.1,mid,0
S2563,6.8,64.2,67.6,5.8,mid,1
S2564,5.6,75.8,55.6,4.9,low,1
S2565,1.8,100.0,57.5,6.7,high,2
S2566,7.6,78.6,72.5,6.2,mid,2
S2567,6.0,81.8,59.4,6.4,mid,1
S2568,2.4,57.7,99.9,6.8,low,0
