order_id,order_date,distance_km,weight_kg,package_type,traffic,weather,delivery_time_min
O50042,2025-06-03,24.4,37.7,small|fragile,medium,clear,108.7
O50043,2025-11-28,64.5,12.7,large,high,clear,75.2
O50044,2025-05-02,10.8,10.2,large,high,clear,61.1
O50045,2026-07-26,153.1,3.7,small|fragile,high,rain,152.1
O50046,2026-02-18,166.1,3.0,small,low,rain,123.9
O50047,2026-04-30,78.6,18.8,small,medium,snow,127.0
O50048,2026-07-14,93.7,40.5,medium,high,clear,130.8
O50049,2025-10-09,169.3,2.9,large,high,clear,134.5
O50050,2026-05-18,34.4,12.9,large|fragile,medium,clear,80.7
O50051,2025-02-15,131.7,6.2,small,medium,clear,113.3
O50052,2026-08-03,135.8,8.2,large,low,rain,123.8
O50053,2025-10-30,29.7,15.1,medium,low,clear,62.8
O50054,2025-03-12,122.0,4.1,small|fragile,medium,rain,108.0
O50055,2026-06-23,35.4,6.3,medium,low,clear,40.1
O50056,2025-12-31,108.1,12.9,medium,high,clear,98.6
O50057,2025-09-24,140.8,13.7,small,medium,clear,118.1
O50058,2025-03-19,160.0,8.3,small,low,rain,138.7
O50059,2025-08-17,58.8,2.7,medium,low,clear,47.8
O50060,2026-04-24,164.2,15.4,medium|fragile,medium,snow,173.4
O50061,2025-07-21,26.9,16.0,medium|fragile,high,clear,91.7
O50062,2025-05-28,19.0,12.9,small,low,clear,32.7
O50063,2026-01-27,110.5,27.2,medium|fragile,high,rain,142.8
O50064,2025-02-03,78.1,3.3,medium|fragile,medium,rain,108.4
O50065,2025-09-07,66.6,21.3,medium,medium,clear,96.4
O50066,2026-02-09,93.9,14.9,medium|fragile,medium,clear,115.5
O50067,2026-02-05,172.5,36.5,medium,medium,rain,164.6
O50068,2026-04-04,141.0,7.3,large|fragile,medium,clear,117.6
O50069,2025-08-25,41.5,9.7,medium,low,rain,68.5
O50070,2025-03-15,31.9,8.1,large,medium,clear,53.0
O50071,2025-03-20,91.5,21.2,large,medium,clear,102.4
O50072,2026-01-18,64.5,11.5,small,medium,clear,72.8
O50073,2025-05-27,93.3,,large|fragile,high,clear,92.1
O50074,2026-04-01,69.3,14.6,medium,medium,rain,86.8
O50075,2025-09-17,105.9,9.3,large|fragile,medium,clear,112.6
O50076,2026-04-14,8.3,18.1,medium,low,clear,54.9
O50077,2025-02-28,125.0,3.6,small,low,clear,91.6
O50078,2026-01-02,139.9,3.1,large,high,clear,119.9
O50079,2026-04-27,164.4,27.9,medium,high,clear,155.3
O50080,2025-08-07,41.6,23.0,,medium,snow,100.6
O50081,2026-04-28,146.9,35.3,large|fragile,medium,rain,175.3
O50082,2025-06-17,109.9,,medium,medium,rain,129.8
O50083,2026-08-12,120.7,22.7,large,high,clear,143.1
O50084,2026-05-10,105.0,5.9,large,low,clear,73.8
O50085,2026-08-04,151.5,15.9,small,low,rain,120.1
O50086,2025-04-11,105.8,14.7,medium,medium,clear,111.0
O50087,2026-04-09,76.6,14.5,small,high,clear,95.4
O50088,2025-10-14,170.4,6.4,large,high,clear,125.3
O50089,2025-07-05,172.7,18.6,large|fragile,low,clear,162.9
O50090,2025-09-29,120.4,26.6,,medium,rain,137.5
O50091,2026-03-05,52.6,2.1,medium,medium,clear,64.5
O50092,2025-02-04,155.5,16.1,medium|fragile,high,rain,174.6
O50093,2026-05-16,153.4,3.2,medium,medium,clear,121.3
O50094,2026-08-17,125.1,3.9,small|fragile,medium,clear,128.2
O50095,2025-12-24,150.0,7.7,small,medium,clear,123.3
O50096,2026-05-03,44.4,,large,low,clear,36.4
O50097,2026-08-21,105.0,21.8,medium|fragile,medium,clear,125.5
O50098,2026-01-11,151.5,7.8,medium,low,rain,126.6
O50099,2025-10-07,171.0,12.8,,medium,snow,169.6
O50100,2025-07-01,152.0,30.4,small|fragile,low,clear,152.6
O50101,2025-04-02,87.1,4.8,large,low,clear,80.5
O50102,2025-10-30,123.9,14.0,large,low,rain,113.4
O50103,2026-01-16,95.4,41.4,small,low,snow,154.5
O50104,2026-03-22,106.6,12.9,medium,low,clear,97.0
O50105,2025-09-06,174.2,9.1,large,low,clear,119.1
O50106,2026-08-12,14.3,,medium,high,clear,74.2
O50107,2025-04-22,158.8,15.7,medium,medium,clear,135.9
O50108,2025-08-26,85.3,1.1,large|fragile,low,clear,83.8
O50109,2025-05-05,31.2,6.1,medium|fragile,low,clear,62.1
O50110,2025-12-21,95.8,2.4,medium,high,rain,114.6
O50111,2025-05-28,12.6,13.4,small,medium,rain,59.6
O50112,2025-07-11,113.1,10.8,small,low,clear,94.3
O50113,2025-08-31,131.6,14.5,large|fragile,high,clear,133.8
O50114,2026-07-20,55.2,40.8,medium|fragile,medium,clear,109.6
O50115,2025-01-17,82.9,8.1,,high,rain,113.8
O50116,2026-01-01,26.6,19.0,medium,medium,clear,71.9
O50117,2026-08-04,143.8,35.7,large,low,clear,138.4
O50118,2026-07-31,75.9,15.3,medium,low,clear,84.3
O50119,2026-04-21,136.4,23.2,medium,high,rain,160.0
O50120,2025-10-19,132.1,4.1,large,low,snow,107.0
O50121,2025-12-02,87.3,2.6,small|fragile,medium,rain,120.5
O50122,2025-05-28,76.6,9.6,large,medium,clear,87.6
O50123,2025-07-21,67.1,23.7,small,medium,clear,102.2
O50124,2026-05-19,90.0,22.6,medium|fragile,medium,clear,115.4
O50125,2026-01-14,177.9,4.8,large,medium,clear,126.3
O50126,2025-04-28,21.7,16.3,medium,high,clear,48.0
O50127,2025-03-16,10.3,5.1,large|fragile,high,snow,83.0
O50128,2025-01-27,111.4,6.2,large,high,clear,103.2
O50129,2025-06-16,122.5,16.4,large,medium,clear,117.3
O50130,2025-07-26,125.3,30.3,small|fragile,low,rain,165.8
O50131,2026-04-16,163.7,19.5,large,low,rain,155.6
O50132,2026-01-15,55.5,51.2,medium,medium,rain,99.7
O50133,2025-01-19,40.1,11.5,small,low,clear,47.2
O50134,2026-04-20,56.1,,medium,low,clear,58.2
O50135,2025-11-17,2.4,12.7,medium,high,clear,73.3
O50136,2025-01-21,147.9,19.6,medium|fragile,high,clear,150.9
O50137,2026-06-02,176.1,20.7,large|fragile,low,snow,176.3
O50138,2025-07-19,56.2,32.1,small|fragile,low,clear,119.5
O50139,2025-12-19,115.1,1.6,large,low,rain,85.5
O50140,2026-04-09,118.2,7.1,medium,high,rain,121.2
O50141,2026-02-23,80.8,8.3,medium|fragile,medium,clear,90.6
O50142,2026-03-06,116.4,12.8,large,low,clear,96.8
O50143,2026-01-10,68.3,3.4,medium,medium,clear,73.5
O50144,2026-06-28,9.9,18.9,small,high,rain,83.3
O50145,2025-12-05,71.8,15.2,large|fragile,medium,clear,110.2
O50146,2025-10-22,115.1,11.1,large,medium,clear,99.7
O50147,2026-07-15,65.3,7.1,medium,medium,clear,58.9
O50148,2025-06-13,178.2,2.6,large|fragile,low,clear,131.9
O50149,2025-03-10,10.9,2.0,medium,medium,clear,30.2
O50150,2026-03-02,10.2,22.3,small,medium,clear,55.6
O50151,2025-08-05,3.6,35.4,small|fragile,medium,rain,84.6
O50152,2025-10-24,170.9,17.7,,medium,clear,134.9
O50153,2025-02-15,28.4,17.3,large,low,clear,65.4
O50154,2026-01-03,146.9,4.8,small,medium,clear,111.5
O50155,2025-05-22,48.8,4.3,small,medium,clear,57.1
O50156,2025-10-07,160.6,14.2,large|fragile,medium,clear,147.8
O50157,2025-05-31,94.6,5.8,medium|fragile,medium,clear,106.2
O50158,2026-07-04,174.4,11.8,large|fragile,medium,snow,174.5
O50159,2025-12-22,169.4,31.9,medium,medium,clear,162.8
O50160,2025-10-08,63.5,5.9,medium,low,clear,55.0
O50161,2025-01-18,106.7,6.3,small|fragile,low,snow,117.3
O50162,2025-10-05,173.6,31.4,medium,low,clear,157.5
O50163,2026-02-18,113.5,1.3,medium,high,clear,118.1
O50164,2025-06-20,54.9,21.5,large,low,clear,77.6
O50165,2025-12-07,173.0,12.6,medium,low,clear,127.5
O50166,2026-04-22,102.7,,small,medium,clear,97.0
O50167,2025-09-19,80.5,25.9,medium,low,clear,106.5
O50168,2025-04-15,144.7,5.9,small,medium,clear,115.9
O50169,2026-08-10,165.3,21.3,large,low,clear,127.2
O50170,2025-04-27,113.8,22.7,large,medium,clear,102.5
O50171,2025-02-05,89.9,13.5,small,medium,clear,76.2
O50172,2026-07-16,64.8,14.5,medium|fragile,medium,clear,90.9
O50173,2025-11-12,48.8,27.0,medium,medium,clear,87.8
O50174,2025-08-21,113.8,6.7,medium,high,rain,106.8
O50175,2025-10-22,132.3,6.7,medium,high,rain,126.7
O50176,2026-06-15,168.2,4.6,large,high,rain,120.8
O50177,2025-02-11,47.8,10.6,small,medium,rain,86.9
O50178,2025-07-02,174.6,23.9,small|fragile,high,clear,178.2
O50179,2026-08-11,94.5,9.2,medium|fragile,medium,snow,118.7
O50180,2026-07-31,126.5,20.0,small,medium,clear,124.3
O50181,2026-01-18,148.0,12.4,small,medium,clear,121.1
O50182,2025-07-22,49.6,24.3,medium,low,rain,95.6
O50183,2026-07-06,144.4,14.0,medium,low,rain,130.7
O50184,2025-06-18,126.0,9.1,medium|fragile,medium,rain,128.3
O50185,2025-01-28,39.4,10.6,small,high,rain,72.6
O50186,2026-07-30,48.6,23.3,small,medium,clear,103.4
O50187,2025-10-02,158.3,38.2,large|fragile,medium,clear,167.6
O50188,2026-05-03,45.6,13.6,medium|fragile,high,clear,96.7
O50189,2025-09-15,88.1,26.6,small,medium,rain,124.9
O50190,2026-06-28,103.7,29.3,large|fragile,low,snow,155.1
O50191,2026-04-29,130.1,8.3,large,medium,clear,128.9
O50192,2026-07-24,18.8,15.1,medium|fragile,low,snow,97.0
O50193,2025-05-31,133.4,12.5,small,medium,clear,113.7
O50194,2026-01-04,138.5,34.4,large,low,clear,130.2
O50195,2026-07-15,138.7,21.3,large,medium,clear,130.9
O50196,2026-08-10,34.8,5.6,medium,low,clear,53.0
O50197,2025-06-28,107.2,12.3,medium,high,clear,115.6
O50198,2026-03-04,141.6,11.6,medium,low,clear,112.8
O50199,2025-02-16,67.1,10.6,small,medium,clear,62.8
O50200,2025-01-08,38.6,19.5,large|fragile,low,clear,99.5
O50201,2026-04-17,82.4,19.3,medium|fragile,low,clear,107.1
O50202,2026-01-06,56.6,20.7,medium|fragile,high,rain,130.5
O50203,2026-07-23,136.4,11.0,large|fragile,high,clear,138.7
O50204,2025-04-29,143.7,22.6,small,medium,snow,164.6
O50205,2026-02-04,130.6,18.2,small,medium,rain,141.5
O50206,2025-05-21,84.7,7.3,medium|fragile,medium,rain,125.1
O50207,2026-05-06,160.8,17.5,large|fragile,high,rain,172.5
O50208,2026-05-28,7.1,5.4,large|fragile,medium,clear,65.1
O50209,2025-08-26,171.8,3.1,small,high,clear,132.0
O50210,2026-04-27,106.3,7.7,medium|fragile,high,snow,137.8
O50211,2026-02-21,56.8,17.9,medium,low,clear,67.0
O50212,2025-03-23,136.5,8.3,medium|fragile,low,clear,139.6
O50213,2026-04-21,19.8,17.1,large|fragile,medium,clear,72.0
O50214,2026-07-15,40.4,26.7,small,medium,clear,65.7
O50215,2025-05-24,25.6,31.9,medium,low,rain,80.4
O50216,2025-11-30,99.6,11.4,medium,medium,clear,98.0
O50217,2025-05-10,92.8,15.8,medium,low,clear,102.0
O50218,2026-02-06,89.9,8.8,medium,high,clear,82.9
O50219,2026-02-02,139.2,4.0,small,low,clear,111.8
O50220,2025-02-21,131.3,11.5,large,high,clear,123.8
O50221,2025-09-18,10.4,15.7,large,high,clear,62.9
O50222,2025-07-05,2.4,22.7,small|fragile,low,rain,70.2
O50223,2025-05-02,50.5,10.8,small,high,snow,93.3
O50224,2025-10-18,92.2,4.7,small|fragile,low,rain,114.6
O50225,2025-04-19,61.5,44.3,medium,low,clear,114.8
O50226,2025-07-10,57.3,19.1,large,high,clear,89.7
O50227,2026-08-22,47.4,15.9,small,medium,rain,69.4
O50228,2026-08-06,150.8,17.2,large,medium,clear,127.8
O50229,2026-07-05,79.0,13.0,large,low,clear,77.2
O50230,2025-11-07,137.9,26.5,medium,low,rain,136.4
O50231,2025-07-15,126.0,24.6,small,low,clear,112.3
O50232,2025-10-06,33.3,,large,high,clear,93.6
O50233,2026-05-16,178.9,27.7,medium,medium,clear,170.0
O50234,2026-04-01,82.4,13.0,medium,medium,rain,108.9
O50235,2026-05-18,132.4,9.1,large|fragile,low,clear,144.3
O50236,2026-04-20,134.5,13.6,medium|fragile,high,clear,140.4
O50237,2025-02-02,18.3,8.7,small,high,clear,53.7
O50238,2026-05-02,121.0,4.6,medium|fragile,low,clear,106.6
O50239,2025-04-01,117.8,14.3,medium|fragile,low,clear,98.0
O50240,2026-04-26,117.1,19.4,large,medium,clear,114.2
O50241,2026-03-24,57.8,7.1,small,medium,rain,83.6
O50242,2026-01-14,92.3,22.3,medium,low,clear,96.1
O50243,2025-08-25,133.5,2.6,large,low,clear,105.0
O50244,2026-02-22,159.9,2.7,medium|fragile,medium,rain,135.0
O50245,2025-06-11,28.2,18.4,medium,medium,rain,72.0
O50246,2025-02-21,71.2,3.3,small,high,clear,71.4
O50247,2025-05-25,1.3,36.3,large,low,clear,76.9
O50248,2025-04-23,174.1,21.0,small,medium,clear,158.7
O50249,2025-12-07,96.6,14.5,small|fragile,low,clear,121.0
O50250,2026-03-24,86.2,12.8,medium,medium,rain,125.0
O50251,2026-07-05,64.0,4.1,small,medium,clear,66.9
O50252,2025-04-25,115.1,1.4,small,low,clear,96.9
O50253,2025-09-22,34.7,13.8,large,high,clear,71.2
O50254,2025-08-06,5.4,14.3,medium|fragile,high,rain,89.0
O50255,2025-08-08,107.7,6.0,small,low,clear,111.0
O50256,2026-01-03,142.8,24.9,small|fragile,high,clear,169.6
O50257,2026-06-27,3.1,22.7,small|fragile,high,clear,77.3
O50258,2025-06-16,12.8,61.6,large|fragile,medium,clear,144.5
O50259,2025-05-01,44.8,18.3,small,medium,clear,78.0
O50260,2025-06-23,54.4,25.5,large,high,clear,77.7
O50261,2026-07-14,55.1,10.4,small,high,snow,97.9
O50262,2025-02-20,96.6,8.5,medium|fragile,high,clear,108.5
O50263,2025-10-19,63.7,15.7,large,low,rain,84.7
O50264,2026-02-24,14.0,14.5,large,high,rain,69.7
O50265,2025-11-13,175.4,4.3,large,low,clear,121.0
O50266,2026-01-18,58.0,14.9,medium,low,clear,88.1
O50267,2025-02-24,86.5,7.8,medium|fragile,high,clear,120.3
O50268,2025-09-30,11.8,8.8,medium,medium,clear,56.6
O50269,2025-10-01,99.7,6.8,small|fragile,medium,clear,108.0
O50270,2026-06-23,79.3,9.2,large|fragile,medium,rain,104.3
O50271,2026-06-21,59.1,15.1,small,medium,rain,75.0
O50272,2026-03-28,108.9,10.0,small,medium,clear,88.3
O50273,2025-01-10,150.6,17.2,large|fragile,medium,rain,159.7
O50274,2025-03-30,96.7,24.8,medium,medium,rain,119.7
O50275,2025-09-01,44.1,7.2,,low,clear,76.6
O50276,2025-03-12,84.5,28.8,medium,low,clear,96.8
O50277,2026-04-24,46.9,16.7,large|fragile,medium,rain,94.8
O50278,2026-01-21,4.9,3.4,large,low,rain,57.1
O50279,2026-05-28,89.7,3.9,small,high,rain,93.2
O50280,2025-07-18,48.3,27.5,medium,low,rain,81.0
O50281,2025-03-26,145.9,9.6,medium,medium,clear,120.5
O50282,2026-07-30,148.3,12.8,large,medium,clear,134.6
O50283,2025-11-29,176.7,12.7,large|fragile,medium,clear,175.8
O50284,2025-07-17,119.3,11.3,medium|fragile,low,clear,121.2
O50285,2025-02-02,142.3,7.9,small,high,clear,117.8
O50286,2025-01-17,26.3,8.3,small,high,rain,66.7
O50287,2026-07-27,15.6,25.5,medium,low,clear,54.1
O50288,2026-05-09,139.7,9.4,large,low,clear,85.2
O50289,2025-03-02,125.5,15.4,medium,medium,clear,118.3
O50290,2026-07-11,35.7,16.0,small,medium,clear,74.2
O50291,2025-08-25,48.8,8.3,small,high,clear,67.1
O50292,2025-10-06,47.7,6.3,large,low,clear,46.1
O50293,2026-04-07,2.1,5.6,medium|fragile,medium,clear,44.0
O50294,2026-08-09,172.0,12.1,medium,medium,snow,158.8
O50295,2026-01-22,35.0,8.3,medium|fragile,high,clear,80.0
O50296,2026-02-01,61.3,19.5,medium|fragile,medium,clear,106.6
O50297,2026-07-22,41.7,10.1,large|fragile,medium,clear,78.6
O50298,2025-03-29,105.7,9.4,medium,medium,clear,83.5
O50299,2026-03-20,107.0,7.8,small,low,clear,82.9
O50300,2026-02-25,153.1,5.1,medium|fragile,medium,clear,135.1
O50301,2026-07-21,96.2,31.1,small|fragile,high,clear,142.8
O50302,2026-02-20,77.9,12.9,large|fragile,medium,clear,112.4
O50303,2026-02-09,74.6,5.7,large,medium,clear,76.7
O50304,2025-03-05,151.5,8.6,medium|fragile,medium,clear,134.7
O50305,2026-03-08,172.4,18.8,large,high,clear,132.6
O50306,2025-08-26,84.9,2.6,large|fragile,high,clear,103.6
O50307,2025-09-05,133.1,24.8,large|fragile,high,rain,163.2
O50308,2026-07-07,171.6,18.0,small|fragile,low,snow,173.3
O50309,2025-03-30,172.6,6.6,medium,low,clear,111.9
O50310,2025-10-19,142.2,4.2,medium,high,clear,124.2
O50311,2025-12-18,99.4,49.7,small,medium,rain,146.5
O50312,2025-01-12,142.6,8.8,small,low,snow,130.3
O50313,2026-07-19,130.7,2.2,medium,medium,clear,102.7
O50314,2025-06-07,45.9,5.6,large|fragile,medium,clear,62.5
O50315,2025-07-22,30.3,20.7,medium,low,clear,57.3
O50316,2025-02-21,130.1,19.5,small,medium,clear,134.6
O50317,2025-07-14,15.3,12.1,large,medium,clear,64.5
O50318,2025-06-11,75.4,2.7,small|fragile,high,rain,117.0
O50319,2026-04-05,52.7,10.9,small,high,clear,84.0
O50320,2025-08-25,143.6,34.6,medium,medium,clear,160.0
O50321,2026-04-14,20.6,8.0,large,medium,clear,48.9
O50322,2025-06-20,18.6,36.5,medium,medium,rain,89.4
O50323,2026-05-15,126.7,17.2,small,medium,clear,118.0
O50324,2025-03-26,149.0,3.9,small|fragile,medium,clear,144.8
O50325,2025-11-28,167.0,2.0,small,low,clear,117.4
O50326,2025-04-10,105.4,17.4,medium|fragile,medium,clear,123.2
O50327,2026-03-04,119.8,10.0,medium,medium,clear,104.7
O50328,2025-12-18,49.4,5.5,medium,low,clear,55.4
O50329,2025-12-03,116.4,4.4,medium|fragile,high,rain,137.4
O50330,2026-08-19,58.1,5.4,medium,high,rain,72.1
O50331,2026-07-14,113.4,5.7,medium,high,snow,134.6
O50332,2026-05-01,37.0,1.3,medium,low,rain,63.6
O50333,2025-08-20,143.2,26.8,large,medium,clear,134.1
O50334,2025-01-19,157.2,17.7,large|fragile,medium,clear,161.6
O50335,2025-01-05,93.5,14.4,medium,medium,rain,94.2
O50336,2025-12-23,152.0,4.3,medium,medium,clear,113.0
O50337,2025-10-21,22.7,27.0,small|fragile,low,rain,75.3
O50338,2025-09-14,71.5,4.8,large,medium,snow,91.4
O50339,2026-05-13,30.9,22.3,medium,high,rain,68.4
O50340,2026-08-05,74.6,,medium,low,rain,68.1
O50341,2025-07-15,92.5,14.9,large,high,snow,112.2
O50342,2026-02-17,103.7,15.0,small,medium,snow,111.1
O50343,2025-05-21,54.9,7.8,small,low,clear,54.4
O50344,2026-06-28,124.2,16.3,large,medium,clear,111.6
O50345,2025-12-27,57.7,,medium,low,clear,55.3
O50346,2025-05-29,116.6,19.8,small,medium,clear,105.4
O50347,2025-05-16,21.6,2.8,medium,medium,clear,49.5
O50348,2025-03-07,100.5,1.6,small|fragile,low,clear,108.9
O50349,2025-07-26,94.7,7.1,medium,low,clear,75.6
O50350,2025-02-17,135.4,31.2,large|fragile,high,clear,162.7
O50351,2025-07-11,131.4,12.5,medium,medium,snow,135.6
O50352,2025-02-22,168.9,12.2,large|fragile,medium,clear,160.2
O50353,2025-07-19,164.9,7.7,large|fragile,high,rain,150.7
O50354,2025-06-03,164.7,8.4,small,medium,rain,142.9
O50355,2025-03-12,175.7,10.8,large,low,clear,125.1
O50356,2025-06-06,66.2,8.4,small,medium,clear,60.5
O50357,2025-01-28,135.9,11.1,small,high,rain,118.7
O50358,2025-06-13,61.8,7.3,medium,medium,clear,71.0
O50359,2026-03-28,46.5,11.7,medium|fragile,low,rain,83.9
O50360,2026-03-12,90.2,42.6,medium|fragile,low,rain,158.8
O50361,2025-12-13,57.5,17.8,,high,rain,79.5
O50362,2025-07-01,121.7,18.3,large|fragile,medium,clear,137.5
O50363,2025-01-11,136.8,9.6,small|fragile,high,clear,133.1
O50364,2025-07-05,47.0,9.5,medium,high,clear,74.2
O50365,2025-10-15,65.2,5.9,large|fragile,medium,rain,110.3
O50366,2026-04-05,111.5,18.1,small|fragile,high,clear,130.0
O50367,2026-01-11,134.3,25.2,small|fragile,medium,clear,141.8
O50368,2026-08-16,14.5,18.2,small,low,clear,47.7
O50369,2025-12-10,153.3,10.4,large,medium,clear,121.2
O50370,2025-05-07,46.7,15.0,small|fragile,medium,clear,94.3
O50371,2026-05-19,176.6,12.5,small,medium,snow,160.8
O50372,2025-05-25,66.0,6.3,medium,high,clear,84.5
O50373,2026-04-29,8.0,1.1,medium|fragile,high,clear,60.9
O50374,2026-08-08,148.7,11.6,medium|fragile,high,clear,133.5
O50375,2025-05-06,52.9,5.2,medium,medium,clear,68.7
O50376,2026-07-07,8.9,4.5,large|fragile,medium,clear,62.2
O50377,2026-08-11,176.6,14.1,small,high,rain,158.9
O50378,2025-11-08,49.7,8.8,small|fragile,medium,clear,83.5
O50379,2025-10-28,52.5,17.5,medium,medium,clear,62.0
O50380,2025-10-07,102.0,20.2,medium,low,clear,105.2
O50381,2025-07-22,13.5,,small,medium,clear,34.7
O50382,2025-07-14,54.5,14.7,medium|fragile,low,clear,68.1
O50383,2025-05-11,92.3,20.5,small|fragile,medium,rain,121.4
O50384,2025-12-08,176.7,24.6,medium,low,rain,161.9
O50385,2025-11-05,20.4,9.6,small,medium,clear,53.8
O50386,2025-09-22,131.1,16.8,small,medium,snow,144.3
O50387,2026-08-14,16.1,11.5,small,medium,rain,60.6
O50388,2026-08-19,105.0,1.4,medium|fragile,high,snow,141.6
O50389,2025-06-13,77.1,2.9,small|fragile,medium,clear,97.2
O50390,2026-07-26,179.5,21.9,small,medium,clear,151.2
O50391,2025-02-19,74.2,16.5,medium,medium,clear,76.1
O50392,2025-07-15,98.1,6.1,medium,low,clear,72.1
O50393,2025-03-25,173.0,12.2,small,low,clear,142.1
O50394,2025-10-15,37.2,14.4,small,low,rain,79.2
O50395,2025-07-02,176.9,24.5,large,low,clear,147.5
O50396,2025-12-28,117.0,5.9,medium|fragile,low,clear,103.1
O50397,2025-06-29,144.1,8.8,medium,high,rain,138.8
O50398,2025-01-23,27.4,17.1,large,high,rain,59.7
O50399,2025-04-02,163.3,4.7,small,low,rain,121.8
O50400,2025-05-22,89.2,21.2,small,medium,clear,94.2
O50401,2025-02-02,109.6,33.2,medium|fragile,high,clear,144.7
O50402,2026-07-23,128.9,65.6,medium|fragile,high,clear,184.7
O50403,2025-09-10,137.6,33.6,small|fragile,high,clear,155.2
O50404,2025-03-19,139.4,5.0,small|fragile,high,clear,139.0
O50405,2025-03-27,16.8,21.2,medium|fragile,low,clear,67.6
O50406,2025-02-09,78.4,14.4,large|fragile,low,clear,96.7
O50407,2025-06-12,136.6,27.3,medium,medium,snow,165.2
O50408,2026-04-30,162.1,8.9,medium,medium,rain,132.0
O50409,2025-07-13,177.8,11.1,small|fragile,medium,clear,149.3
O50410,2025-05-03,36.4,15.0,small,medium,clear,93.4
O50411,2026-05-20,52.6,16.2,small|fragile,low,clear,77.1
O50412,2026-06-02,178.6,1.0,large|fragile,low,rain,148.6
O50413,2025-04-08,130.4,34.1,large|fragile,medium,clear,153.1
O50414,2025-11-02,57.3,4.8,medium,low,clear,59.8
O50415,2026-02-15,87.6,24.1,medium,medium,clear,92.2
O50416,2025-02-26,132.0,9.3,,medium,clear,113.0
O50417,2026-03-03,96.4,12.6,medium,high,clear,117.9
O50418,2025-12-14,118.0,3.9,large,low,clear,97.4
O50419,2026-05-30,118.5,6.9,small,high,rain,122.4
O50420,2025-03-07,7.6,5.8,small|fragile,high,snow,91.0
O50421,2025-10-27,134.1,12.3,large|fragile,medium,clear,141.2
O50422,2025-09-21,175.3,5.4,large,high,clear,141.9
O50423,2026-01-02,122.2,15.7,medium,high,rain,138.5
O50424,2026-05-30,138.0,16.7,small,high,clear,131.9
O50425,2025-12-07,134.2,16.7,medium|fragile,medium,clear,141.3
O50426,2025-06-27,74.4,26.4,medium,medium,clear,100.6
O50427,2025-12-16,163.5,13.9,small,medium,clear,133.0
O50428,2026-05-10,78.1,35.3,small,low,clear,118.3
O50429,2025-04-25,60.3,16.4,medium|fragile,low,clear,93.3
O50430,2025-06-09,4.6,6.4,medium,low,rain,44.9
O50431,2025-04-07,122.4,7.0,large|fragile,medium,rain,127.6
O50432,2025-09-08,74.1,10.6,small,low,rain,87.2
