customer_id,age,gender,city,monthly_fee,tenure_months,support_calls,plan,contract_type,usage_gb,churn
95,25,M,Busan,84000,16,2,Standard,TwoYear,38.6,0
96,46,F,Incheon,56000,59,8,Basic,OneYear,26.9,0
97,52,M,Busan,60000,54,5,Premium,OneYear,99.4,0
98,66,F,Incheon,44000,58,8,Standard,OneYear,43.2,0
99,44,F,Daegu,49000,31,6,Basic,OneYear,10.0,0
100,65,F,Incheon,109000,20,7,Basic,Monthly,62.8,1
101,41,M,Incheon,37000,68,7,Basic,TwoYear,,0
102,24,F,Daegu,68000,51,1,Standard,TwoYear,103.8,0
103,40,F,Busan,104000,9,3,Premium,TwoYear,110.9,0
104,67,M,Incheon,37000,13,7,Basic,TwoYear,39.4,0
105,22,F,Busan,62000,46,5,Standard,Monthly,33.1,1
106,56,M,,47000,11,6,Premium,TwoYear,32.7,1
107,29,M,Incheon,106000,33,7,Standard,TwoYear,6.1,0
108,38,M,Busan,81000,45,4,Premium,OneYear,84.4,0
109,39,M,,86000,14,3,Standard,TwoYear,46.3,0
110,,F,Busan,109000,51,4,Basic,TwoYear,104.5,0
111,58,F,Daegu,54000,46,3,Premium,Monthly,76.4,0
112,60,M,Busan,64000,57,0,Premium,OneYear,89.2,0
113,38,F,Incheon,47000,26,2,Premium,OneYear,66.0,0
114,30,F,Incheon,62000,44,1,Standard,Monthly,21.2,0
115,63,F,Daegu,36000,51,0,Standard,TwoYear,19.2,0
116,63,F,Incheon,106000,48,1,Premium,Monthly,59.2,1
117,55,F,Seoul,107000,9,7,Premium,OneYear,79.7,1
118,28,M,Busan,63000,64,1,Basic,Monthly,107.0,0
119,44,F,Daegu,110000,70,6,Premium,TwoYear,88.6,0
120,61,M,Incheon,103000,53,4,Basic,TwoYear,47.6,0
