shipment_id,order_date,distance_km,weight_kg,traffic_level,weather,vehicle_type,priority,driver_experience_years,warehouse_wait_min,package_type,temperature_c,delivery_time_min
SHP00053,2026-07-09,27.5,1.8,high,clear,van,express,6.9,16.5,medium,18.7,85.8
SHP00054,2026-05-25,83.1,1.8,medium,rain,car,express,7.5,22.9,small,27.5,129.3
SHP00055,2026-06-06,80.9,10.7,medium,clear,car,normal,6.2,21.8,fragile,24.6,128.7
SHP00056,2026-06-28,11.4,17.7,high,snow,car,normal,5.7,13.4,large,19.7,114.4
SHP00057,2026-06-29,62.6,12.9,medium,clear,van,normal,7.5,8.2,medium,12.4,111.7
SHP00058,2026-07-17,39.7,8.7,low,clear,car,normal,5.9,22.9,fragile,14.4,81.2
SHP00059,2026-07-19,178.7,0.3,high,clear,car,normal,3.4,30.3,medium,25.2,225.4
SHP00060,2026-06-13,164.5,7.3,medium,snow,bike,normal,4.2,16.0,medium,7.9,231.4
SHP00061,2026-05-06,142.1,9.4,medium,clear,car,normal,5.6,16.5,large,6.6,182.4
SHP00062,2026-06-24,147.9,22.3,high,clear,car,express,3.9,19.6,medium,8.1,191.8
SHP00063,2026-05-04,125.2,2.0,low,clear,car,normal,8.5,5.5,fragile,15.1,123.0
SHP00064,2026-05-28,83.9,3.4,medium,clear,car,express,0,6.0,small,14.3,61.1
SHP00065,2026-07-17,167.1,12.0,low,rain,van,same_day,3.3,10.6,small,24.8,163.9
SHP00066,2026-06-11,63.7,11.9,high,rain,car,express,4.7,15.9,fragile,24.4,134.4
SHP00067,2026-07-31,115.9,13.4,medium,,car,same_day,6.1,9.4,small,7.5,123.7
SHP00068,2026-06-22,19.5,5.9,medium,rain,bike,normal,7.5,15.9,medium,17.8,87.9
SHP00069,2026-05-05,92.6,0.6,medium,clear,van,express,7.2,33.1,fragile,26.6,138.7
SHP00070,2026-05-10,19.3,10.5,low,rain,car,normal,5.8,30.3,large,26.0,81.0
SHP00071,2026-06-20,103.9,1.6,high,rain,bike,normal,5.1,30.6,small,0.9,199.0
SHP00072,2026-05-04,116.0,5.0,low,clear,car,express,0,22.2,large,30.9,135.4
SHP00073,2026-08-06,133.2,5.9,medium,clear,car,express,9.8,27.9,medium,18.7,141.6
SHP00074,2026-06-22,163.2,11.0,high,clear,car,normal,7.0,23.5,medium,-1.7,227.2
SHP00075,2026-07-14,82.3,2.6,medium,clear,van,express,11.0,17.5,large,8.1,109.4
SHP00076,2026-07-16,130.9,11.7,medium,clear,car,express,0.9,33.0,small,26.0,161.9
SHP00077,2026-08-13,113.5,19.4,high,clear,car,normal,6.5,2.7,medium,3.6,164.2
SHP00078,2026-06-11,166.8,4.2,low,rain,car,normal,2.7,21.0,fragile,-0.6,215.5
SHP00079,2026-05-02,45.7,12.2,low,clear,van,express,7.8,19.6,medium,8.2,75.5
SHP00080,2026-05-17,47.9,6.8,medium,clear,bike,normal,0.9,9.6,small,-1.3,101.3
SHP00081,2026-05-27,118.6,10.7,low,clear,car,normal,6.1,10.6,small,10.4,124.1
SHP00082,2026-06-11,93.6,7.1,medium,clear,bike,normal,2.1,30.8,small,20.3,143.2
SHP00083,2026-06-03,123.9,12.1,medium,clear,car,normal,7.7,12.1,medium,11.4,166.5
SHP00084,2026-07-27,82.1,2.9,low,clear,car,normal,5.9,10.7,medium,28.4,70.4
SHP00085,2026-08-06,43.8,9.6,low,clear,bike,normal,7.0,24.4,large,28.8,87.2
SHP00086,2026-07-05,3.8,2.5,medium,clear,bike,normal,8.0,28.6,medium,22.1,82.0
SHP00087,2026-07-17,24.2,6.5,high,clear,car,normal,3.8,14.1,medium,29.3,75.9
SHP00088,2026-07-20,89.6,0.5,low,rain,bike,normal,4.5,13.1,small,11.7,128.3
SHP00089,2026-07-15,179.5,3.2,low,clear,bike,same_day,2.3,24.7,fragile,17.7,164.4
SHP00090,2026-06-01,39.0,20.2,medium,rain,car,express,2.3,28.4,fragile,4.9,103.0
SHP00091,2026-07-20,168.7,8.2,medium,clear,car,normal,8.2,13.8,small,13.0,168.4
SHP00092,2026-05-23,48.4,17.3,medium,clear,car,express,5.8,3.3,medium,31.2,73.7
SHP00093,2026-07-04,36.7,2.7,high,clear,car,express,10.0,22.2,small,7.5,85.9
SHP00094,2026-08-01,167.2,5.9,low,clear,van,normal,2.7,14.5,medium,27.3,190.7
SHP00095,2026-07-23,44.5,2.0,high,clear,bike,normal,,14.8,medium,23.1,113.9
SHP00096,2026-07-18,131.7,13.6,low,clear,bike,express,0,0,small,-1.9,151.6
SHP00097,2026-06-16,122.2,10.3,high,rain,car,normal,8.7,21.6,fragile,10.8,208.1
SHP00098,2026-07-09,15.4,7.9,medium,clear,van,express,4.6,17.7,fragile,15.7,50.3
SHP00099,2026-07-06,120.6,9.0,high,clear,car,normal,2.0,15.5,large,19.1,167.8
SHP00100,2026-05-13,135.3,22.1,high,clear,van,same_day,4.7,11.3,fragile,23.7,186.8
SHP00101,2026-05-19,51.4,2.5,medium,clear,bike,normal,3.9,21.2,fragile,2.0,121.0
SHP00102,2026-06-14,150.6,16.9,medium,snow,car,express,2.2,2.5,medium,29.7,156.2
SHP00103,2026-05-30,75.6,11.5,medium,clear,van,normal,10.7,17.7,medium,32.6,115.7
SHP00104,2026-06-14,127.6,8.7,high,clear,car,normal,7.3,6.1,medium,-1.5,159.2
SHP00105,2026-07-23,116.5,3.9,medium,clear,car,express,5.5,16.7,small,26.2,119.0
SHP00106,2026-06-11,132.3,15.8,high,clear,van,normal,7.2,21.0,medium,15.6,189.7
SHP00107,2026-05-04,121.9,9.8,medium,clear,bike,normal,4.4,12.7,large,22.6,175.4
SHP00108,2026-07-30,139.8,6.1,low,snow,van,normal,6.7,18.2,fragile,13.6,183.9
SHP00109,2026-07-04,41.7,5.1,high,clear,car,same_day,7.7,14.2,small,4.9,79.9
SHP00110,2026-06-16,163.8,6.7,high,clear,van,normal,0,10.5,medium,8.2,213.2
SHP00111,2026-07-06,6.8,2.7,high,rain,car,normal,7.6,0,large,15.5,83.0
SHP00112,2026-05-29,106.8,5.0,low,clear,van,same_day,,26.8,small,31.7,116.4
SHP00113,2026-05-14,174.1,19.1,high,clear,van,express,5.7,26.5,medium,27.0,200.9
SHP00114,2026-07-29,64.3,15.1,medium,clear,van,express,3.4,6.4,large,6.0,102.8
SHP00115,2026-08-11,9.8,11.4,low,snow,van,same_day,8.2,15.9,,21.3,56.1
SHP00116,2026-05-10,15.9,,medium,rain,van,express,2.9,18.5,medium,22.0,77.1
SHP00117,2026-06-21,152.9,11.3,medium,rain,bike,express,5.6,22.9,medium,14.9,195.8
SHP00118,2026-06-08,143.5,6.2,medium,snow,car,same_day,7.4,20.7,medium,21.6,164.7
SHP00119,2026-07-20,134.1,9.1,medium,rain,car,normal,5.6,28.9,large,24.4,201.5
SHP00120,2026-06-22,79.6,17.7,low,rain,car,same_day,0.3,21.6,small,6.1,103.3
SHP00121,2026-05-22,64.7,16.2,low,rain,car,normal,11.6,9.1,fragile,27.4,94.7
SHP00122,2026-06-03,52.7,9.7,medium,clear,car,normal,4.1,119.5,small,24.3,136.7
SHP00123,2026-06-02,118.6,10.8,medium,clear,van,normal,2.0,6.7,small,8.2,152.4
SHP00124,2026-08-09,114.7,10.8,medium,clear,car,normal,7.2,16.5,large,25.5,147.8
SHP00125,2026-06-01,3.9,9.4,low,clear,car,express,4.8,24.7,small,20.4,33.6
SHP00126,2026-06-06,20.4,11.1,medium,rain,car,normal,4.7,24.0,medium,32.4,89.4
SHP00127,2026-05-02,19.2,6.7,low,clear,bike,express,3.1,4.9,fragile,3.7,41.9
SHP00128,2026-06-15,135.9,7.2,medium,clear,car,express,8.8,7.8,large,24.1,136.0
SHP00129,2026-07-04,143.0,0.3,low,rain,van,normal,11.3,18.8,medium,13.0,178.2
SHP00130,2026-06-13,55.8,9.0,medium,clear,van,normal,3.3,27.4,fragile,1.2,116.8
SHP00131,2026-06-22,150.7,10.3,high,snow,car,normal,4.6,5.1,large,3.9,212.9
SHP00132,2026-07-05,9.2,10.1,medium,clear,bike,express,8.1,12.2,fragile,15.4,58.7
SHP00133,2026-05-21,77.1,10.9,medium,clear,bike,normal,5.2,12.0,small,21.6,113.9
SHP00134,2026-07-24,133.6,6.0,low,rain,car,same_day,8.2,9.4,small,20.3,132.0
SHP00135,2026-07-22,81.8,10.7,medium,clear,car,express,0,10.8,large,23.5,116.0
SHP00136,2026-07-15,157.2,14.9,low,clear,car,same_day,4.5,13.5,fragile,32.8,178.0
SHP00137,2026-06-15,165.3,18.0,low,clear,van,express,6.8,3.4,fragile,23.8,156.7
SHP00138,2026-07-07,117.2,10.0,low,clear,van,normal,8.0,32.6,small,21.3,156.9
SHP00139,2026-08-04,77.6,9.8,medium,clear,car,normal,4.3,5.8,medium,22.8,99.5
SHP00140,2026-05-18,20.3,3.7,medium,clear,car,normal,1.9,25.6,small,29.2,76.6
SHP00141,2026-05-16,79.4,6.1,low,clear,car,normal,5.4,17.3,large,6.9,90.4
SHP00142,2026-05-11,141.3,2.2,high,clear,bike,normal,0,21.9,small,28.5,210.5
SHP00143,2026-05-20,84.4,7.3,low,clear,car,normal,6.6,20.4,medium,13.6,120.8
SHP00144,2026-08-02,129.2,7.1,low,rain,bike,same_day,9.7,7.2,small,27.9,123.3
SHP00145,2026-06-15,22.9,13.5,low,clear,car,normal,8.0,12.6,fragile,17.0,53.4
SHP00146,2026-07-10,151.3,12.7,low,clear,car,normal,5.6,2.5,small,11.3,147.8
SHP00147,2026-05-20,85.6,1.8,medium,rain,car,normal,6.9,0,large,14.6,131.4
SHP00148,2026-05-22,158.6,0.3,low,clear,car,normal,4.7,24.3,fragile,10.8,177.2
SHP00149,2026-07-24,129.5,9.8,low,clear,bike,express,8.3,22.4,small,22.4,139.3
SHP00150,2026-05-15,127.3,9.2,medium,clear,car,same_day,4.5,18.3,large,3.7,151.4
SHP00151,2026-07-04,154.6,9.9,medium,clear,car,express,6.6,24.7,medium,22.7,191.3
SHP00152,2026-06-28,60.2,0.6,high,clear,car,express,4.0,8.2,large,27.8,118.1
SHP00153,2026-06-20,54.1,,low,clear,van,same_day,6.9,11.9,small,26.0,77.6
SHP00154,2026-05-09,74.7,11.0,medium,clear,van,normal,2.3,10.6,large,1.0,128.0
SHP00155,2026-05-09,98.4,8.6,high,clear,van,normal,8.6,18.7,medium,15.3,156.1
SHP00156,2026-05-13,101.2,11.0,low,clear,car,normal,1.2,10.9,fragile,26.7,117.1
SHP00157,2026-07-04,159.7,6.2,medium,snow,car,normal,9.2,18.0,medium,12.8,192.2
SHP00158,2026-06-11,122.2,9.2,medium,rain,bike,same_day,4.4,29.5,large,25.6,161.3
SHP00159,2026-07-24,36.5,6.1,high,clear,car,normal,7.2,21.4,medium,32.6,100.7
SHP00160,2026-07-16,110.5,8.7,low,clear,van,normal,9.0,14.4,medium,-0.9,124.3
SHP00161,2026-07-25,138.8,8.3,high,clear,van,express,6.2,30.8,medium,3.1,164.8
SHP00162,2026-05-22,27.9,4.4,low,rain,van,express,9.0,22.7,medium,14.3,66.6
SHP00163,2026-08-11,173.1,0.3,high,clear,car,normal,7.5,13.0,small,13.3,203.9
SHP00164,2026-08-13,77.8,11.9,low,clear,bike,normal,5.7,21.8,medium,19.5,108.4
SHP00165,2026-05-31,54.3,10.6,low,rain,car,normal,8.4,20.7,large,28.2,103.5
SHP00166,2026-05-09,59.3,,medium,clear,van,normal,1.1,18.5,medium,31.2,125.1
SHP00167,2026-07-08,66.3,12.9,medium,clear,van,express,7.5,9.6,fragile,23.0,94.8
SHP00168,2026-06-05,91.7,14.8,low,clear,car,same_day,0,19.2,small,0.5,94.1
SHP00169,2026-07-06,36.8,3.9,high,snow,car,normal,9.3,14.7,fragile,29.3,122.7
SHP00170,2026-05-14,43.0,12.4,medium,clear,car,normal,0.7,9.1,fragile,30.3,75.5
SHP00171,2026-05-10,2.4,11.3,high,clear,van,normal,2.7,14.8,medium,-2.8,97.4
SHP00172,2026-05-11,93.6,11.8,low,snow,van,same_day,6.3,15.6,small,15.2,108.7
SHP00173,2026-07-07,109.1,23.1,high,clear,car,normal,2.7,13.8,medium,9.9,175.6
SHP00174,2026-08-08,147.3,5.0,low,clear,car,express,7.8,17.3,small,12.7,131.6
SHP00175,2026-06-12,87.4,8.3,medium,clear,van,normal,5.1,28.6,fragile,-2.3,148.6
SHP00176,2026-06-03,91.7,4.5,high,rain,car,same_day,4.2,32.9,large,7.2,182.7
SHP00177,2026-05-17,156.3,8.4,medium,clear,van,normal,5.5,19.1,fragile,16.2,206.1
SHP00178,2026-05-05,154.4,20.4,high,clear,bike,same_day,6.4,18.6,small,28.4,203.8
SHP00179,2026-06-03,9.7,0.3,low,clear,car,same_day,4.5,19.8,small,29.0,18
SHP00180,2026-07-13,54.7,5.5,low,clear,van,same_day,7.3,22.5,small,2.6,59.8
SHP00181,2026-05-17,115.2,4.6,medium,clear,bike,express,10.3,129.5,small,28.3,211.1
SHP00182,2026-07-12,104.3,23.8,medium,clear,van,normal,8.6,12.3,medium,23.7,139.6
SHP00183,2026-05-19,80.7,0.3,medium,rain,van,normal,,0,small,8.1,116.7
SHP00184,2026-06-08,13.2,5.2,high,clear,car,normal,6.8,13.2,small,7.1,82.9
SHP00185,2026-05-29,121.2,8.7,high,clear,car,express,5.4,16.8,small,-0.8,147.8
SHP00186,2026-07-04,130.2,2.8,low,rain,van,express,3.6,15.7,fragile,18.6,155.6
SHP00187,2026-08-11,48.8,8.5,low,clear,van,normal,6.4,28.3,medium,30.1,78.1
SHP00188,2026-06-02,168.1,11.7,high,clear,car,same_day,3.6,29.7,small,14.4,198.2
SHP00189,2026-07-13,82.3,12.6,low,rain,car,normal,5.3,15.9,small,-2.7,106.5
SHP00190,2026-08-01,124.8,3.2,low,clear,van,express,4.0,20.1,medium,-0.8,137.7
SHP00191,2026-06-09,117.0,10.8,medium,clear,van,same_day,4.3,8.6,medium,14.0,119.1
SHP00192,2026-06-20,83.7,11.3,medium,clear,car,express,7.8,21.3,small,9.0,109.8
SHP00193,2026-05-09,90.2,8.5,medium,rain,car,normal,6.9,13.4,medium,32.1,146.2
SHP00194,2026-07-18,133.0,4.3,low,clear,bike,same_day,11.4,17.7,fragile,22.6,124.6
SHP00195,2026-05-28,17.2,14.3,medium,,bike,normal,0.3,21.6,,16.8,93.7
SHP00196,2026-05-28,16.8,15.0,medium,rain,bike,normal,5.8,23.3,fragile,14.3,90.0
SHP00197,2026-07-05,90.3,0.9,high,clear,van,normal,9.3,18.8,fragile,17.1,140.1
SHP00198,2026-06-25,49.7,,low,clear,car,normal,7.5,6.7,medium,14.6,58.8
SHP00199,2026-06-13,57.3,5.7,medium,rain,car,normal,9.2,18.1,fragile,6.9,105.5
SHP00200,2026-05-05,30.6,,high,clear,car,normal,5.0,16.4,medium,1.4,76.8
SHP00201,2026-05-15,44.3,,medium,clear,car,express,4.5,23.1,medium,23.7,79.0
SHP00202,2026-05-24,169.7,6.7,low,clear,car,normal,4.0,18.0,small,19.9,171.2
SHP00203,2026-08-12,74.3,7.2,medium,clear,bike,express,5.0,20.7,medium,20.4,100.1
SHP00204,2026-06-03,92.6,8.3,low,rain,car,same_day,7.1,17.6,small,9.5,87.3
SHP00205,2026-07-03,171.8,7.5,low,rain,van,normal,4.1,32.6,medium,29.5,214.5
SHP00206,2026-06-14,35.2,7.6,medium,clear,van,normal,4.8,17.4,small,28.1,75.4
SHP00207,2026-06-30,68.9,11.5,medium,rain,car,express,10.1,17.6,fragile,23.9,96.6
SHP00208,2026-07-25,93.0,6.6,high,snow,van,normal,6.7,20.1,large,25.7,198.5
SHP00209,2026-05-06,60.1,0.3,high,clear,car,express,1.3,32.9,fragile,32.9,119.1
SHP00210,2026-06-11,148.9,14.4,low,clear,van,normal,7.3,26.1,large,22.4,162.7
SHP00211,2026-06-10,153.2,2.2,medium,rain,bike,same_day,5.1,21.4,medium,16.4,181.6
SHP00212,2026-06-20,133.1,8.9,low,clear,car,normal,4.4,32.2,large,19.0,166.1
SHP00213,2026-05-11,172.9,10.6,high,clear,van,express,2.9,15.6,large,25.7,199.2
SHP00214,2026-06-13,12.3,7.0,medium,clear,car,normal,3.3,26.1,small,4.4,66.3
SHP00215,2026-06-01,12.7,16.3,high,snow,car,normal,1.8,20.0,fragile,2.3,124.4
SHP00216,2026-07-25,56.9,4.3,medium,rain,car,normal,4.3,1.8,,13.8,97.7
SHP00217,2026-05-06,157.0,7.0,high,clear,bike,express,1.5,10.8,medium,19.0,197.0
SHP00218,2026-06-29,100.8,6.8,medium,clear,van,normal,7.5,17.0,fragile,21.7,142.0
SHP00219,2026-06-12,46.6,8.1,medium,clear,van,normal,0,13.9,large,20.4,98.3
SHP00220,2026-05-26,76.2,10.3,low,clear,car,express,2.6,27.3,small,-3.0,89.5
SHP00221,2026-07-03,136.0,5.6,medium,clear,van,normal,0.8,16.2,large,17.1,176.3
SHP00222,2026-07-10,134.6,2.5,low,clear,bike,normal,9.9,23.3,medium,5.0,157.6
SHP00223,2026-07-31,116.9,19.6,high,rain,bike,express,1.7,0,medium,19.9,159.6
SHP00224,2026-07-06,177.3,0.3,medium,clear,van,normal,8.0,34.3,large,23.1,216.6
SHP00225,2026-07-09,157.4,14.8,high,clear,car,normal,10.1,22.2,fragile,20.3,221.7
SHP00226,2026-06-20,7.6,14.4,low,clear,car,normal,8.7,13.8,medium,1.1,45.3
SHP00227,2026-05-27,175.1,4.0,medium,clear,bike,same_day,7.0,39.3,medium,23.2,193.5
SHP00228,2026-07-25,46.9,9.6,medium,clear,car,normal,2.2,23.7,small,3.3,109.3
SHP00229,2026-07-16,140.9,13.3,medium,clear,bike,normal,5.8,11.8,medium,1.5,179.8
SHP00230,2026-07-15,23.1,6.2,low,clear,car,normal,7.1,8.1,fragile,-2.8,54.0
SHP00231,2026-08-04,37.7,7.8,high,clear,car,normal,9.0,34.9,medium,13.8,108.7
SHP00232,2026-06-06,165.2,12.0,medium,,van,normal,7.5,34.1,large,22.1,222.9
SHP00233,2026-07-05,63.0,5.4,medium,,van,normal,2.4,12.8,large,32.7,119.4
SHP00234,2026-08-07,174.8,4.7,low,rain,van,express,4.3,19.7,large,9.9,199.8
SHP00235,2026-07-23,55.8,1.8,medium,clear,car,express,6.9,17.7,medium,21.6,68.9
SHP00236,2026-07-17,45.1,4.8,medium,clear,van,normal,10.5,33.9,small,10.0,88.2
SHP00237,2026-06-15,98.4,7.8,medium,clear,van,express,0.1,22.2,large,16.3,143.0
SHP00238,2026-08-04,157.4,,high,clear,van,normal,6.0,12.7,medium,3.6,206.4
SHP00239,2026-06-21,107.2,13.7,high,clear,van,express,2.2,29.9,medium,23.4,173.0
SHP00240,2026-06-01,7.7,7.9,high,clear,car,express,0.6,19.9,large,30.6,73.5
SHP00241,2026-05-03,7.2,10.8,low,rain,car,normal,6.7,21.8,small,13.3,60.0
SHP00242,2026-06-04,145.8,13.2,medium,rain,van,same_day,0,3.2,medium,7.9,171.5
SHP00243,2026-07-16,101.8,8.8,low,rain,car,normal,,22.8,medium,2.1,124.0
SHP00244,2026-06-01,103.6,13.6,high,rain,van,same_day,5.5,13.3,medium,2.0,157.5
SHP00245,2026-06-24,141.5,6.1,low,snow,bike,same_day,8.8,17.5,small,25.6,161.1
SHP00246,2026-05-05,160.4,,medium,clear,car,express,6.6,35.8,fragile,3.6,195.5
SHP00247,2026-06-20,134.4,16.5,low,clear,bike,normal,6.1,32.5,medium,15.2,176.1
SHP00248,2026-05-02,167.2,5.5,high,,car,express,4.4,17.4,large,14.6,229.1
SHP00249,2026-05-09,7.2,2.1,high,rain,car,express,4.5,34.0,small,16.0,91.8
SHP00250,2026-06-01,69.4,11.3,medium,clear,car,normal,7.8,15.0,medium,9.9,107.5
SHP00251,2026-06-27,149.8,4.2,medium,clear,bike,express,3.1,30.0,large,12.6,188.7
SHP00252,2026-07-30,135.2,10.4,high,clear,van,same_day,0.6,9.2,large,31.4,194.5
SHP00253,2026-07-15,64.3,9.0,high,rain,bike,same_day,5.4,19.2,medium,2.4,137.6
SHP00254,2026-05-14,49.0,6.2,low,clear,car,normal,4.0,18.3,medium,16.6,74.9
SHP00255,2026-05-01,25.7,4.1,high,clear,car,normal,5.3,8.9,medium,12.8,86.5
SHP00256,2026-07-06,39.5,0.3,medium,clear,car,normal,11.0,26.9,fragile,-1.2,88.3
SHP00257,2026-08-12,80.2,9.1,low,clear,car,express,6.0,21.6,medium,14.2,92.5
SHP00258,2026-08-03,161.6,6.0,low,clear,car,normal,4.8,34.8,medium,27.9,170.0
SHP00259,2026-08-04,130.4,5.9,high,rain,van,normal,8.7,10.5,medium,9.7,212.2
SHP00260,2026-06-24,131.5,14.9,medium,,van,normal,0,4.8,small,18.4,184.8
SHP00261,2026-05-30,73.2,6.7,medium,clear,bike,normal,5.1,34.2,,6.3,135.8
SHP00262,2026-07-08,107.4,3.7,high,snow,bike,normal,1.6,22.0,fragile,24.1,204.7
SHP00263,2026-06-17,161.4,4.7,medium,clear,car,normal,6.2,12.0,fragile,27.9,179.2
SHP00264,2026-08-12,71.0,12.3,medium,rain,van,express,2.4,9.7,large,6.3,120.7
SHP00265,2026-07-27,95.1,10.6,medium,rain,car,normal,2.9,17.4,large,9.8,151.8
SHP00266,2026-07-03,108.3,3.9,low,clear,bike,express,0,15.1,large,23.7,134.6
SHP00267,2026-06-11,113.2,2.1,low,snow,van,normal,4.6,22.3,medium,17.0,156.5
SHP00268,2026-07-27,95.2,16.8,low,rain,van,express,0,7.0,medium,11.0,104.6
SHP00269,2026-05-26,53.4,7.1,low,rain,car,same_day,,24.0,medium,2.8,82.1
SHP00270,2026-05-15,132.3,0.3,medium,clear,van,normal,5.0,26.8,fragile,-2.9,174.6
SHP00271,2026-06-23,150.3,11.3,medium,clear,van,express,0.6,24.7,small,17.0,195.4
SHP00272,2026-08-11,74.7,9.5,low,rain,van,express,,10.7,medium,6.8,99.2
SHP00273,2026-07-01,16.8,13.7,low,clear,car,normal,3.8,10.0,medium,21.8,36.1
SHP00274,2026-07-17,75.8,5.6,medium,rain,car,same_day,0,2.1,,25.7,109.4
SHP00275,2026-07-16,179.6,12.0,low,clear,car,normal,4.4,13.5,medium,15.0,184.3
SHP00276,2026-05-07,148.3,12.5,low,rain,van,normal,4.9,14.1,large,31.1,186.8
SHP00277,2026-05-19,12.8,14.5,high,clear,bike,normal,4.6,14.9,large,29.7,100.5
