customer_id,order_datetime,age,region,channel,membership_level,visit_count,session_time_min,cart_value,discount_pct,payment_method,campaign,order_amount
C00047,2026-06-19 08:00:00,49,Daejeon,app,basic,10,20.0,82.4,5,transfer,none,132.9
C00048,2026-08-01 14:00:00,32,Busan,store,basic,7,19.9,164.3,5,mobile,none,192.8
C00049,2026-01-08 11:00:00,39,Seoul,store,gold,8,19.1,125.4,20,transfer,summer,180.9
C00050,2026-06-05 19:00:00,31,Seoul,app,silver,6,5.1,126.4,15,transfer,none,157.1
C00051,2026-07-03 11:00:00,55,Gwangju,web,silver,10,14.7,89.0,5,mobile,summer,124.1
C00052,2026-04-05 09:00:00,49,Daejeon,app,silver,4,16.8,157.3,0,transfer,summer,167.4
C00053,2026-04-22 10:00:00,35,Daejeon,app,basic,1,15.4,191.5,15,mobile,summer,176.2
C00054,2026-01-23 12:00:00,47,Daegu,web,basic,10,13.5,40.7,10,transfer,none,79.4
C00055,2026-02-24 13:00:00,42,Gwangju,web,silver,4,24.9,54.0,5,card,none,95.9
C00056,2026-07-14 11:00:00,25,Daegu,web,basic,5,7.6,20.0,0,card,none,54.4
C00057,2026-05-29 13:00:00,24,Daegu,store,basic,8,6.7,140.8,5,,none,172.2
C00058,2026-01-31 19:00:00,44,,store,silver,1,,118.3,10,mobile,summer,157.0
C00059,2026-01-26 21:00:00,41,Busan,app,basic,10,17.5,112.3,15,card,summer,136.8
C00060,2026-07-12 15:00:00,33,Busan,web,basic,8,17.7,93.3,5,transfer,none,133.6
C00061,2026-01-17 14:00:00,23,Daegu,web,gold,8,15.4,79.6,15,card,summer,113.8
C00062,2026-06-08 11:00:00,47,Daejeon,app,silver,8,10.2,138.8,15,card,summer,158.8
C00063,2026-07-09 09:00:00,46,Busan,web,silver,7,19.5,173.4,0,card,none,182.0
C00064,2026-03-16 08:00:00,43,Busan,app,silver,8,27.9,89.6,20,mobile,summer,120.1
C00065,2026-07-25 22:00:00,40,Busan,web,basic,9,17.6,131.9,5,transfer,summer,164.4
C00066,2026-04-23 09:00:00,18,Daejeon,app,basic,4,18.2,73.7,15,card,vip,102.7
C00067,2026-07-08 13:00:00,36,Gwangju,web,gold,7,18.4,176.3,15,mobile,summer,184.6
C00068,2026-02-14 15:00:00,29,Daejeon,web,basic,3,16.1,76.3,10,transfer,none,133.8
C00069,2026-06-21 09:00:00,45,Gwangju,web,basic,5,15.0,67.9,10,transfer,none,103.9
C00070,2026-05-12 21:00:00,52,Gwangju,app,silver,13,16.2,57.2,0,transfer,summer,123.9
C00071,2026-07-14 08:00:00,43,Daejeon,web,basic,12,23.8,82.4,20,mobile,summer,111.5
C00072,2026-05-22 08:00:00,46,Seoul,store,gold,6,16.0,210.9,10,transfer,vip,247.1
C00073,2026-03-16 16:00:00,35,Gwangju,web,basic,4,9.1,111.0,10,mobile,none,133.8
C00074,2026-03-12 20:00:00,22,Daegu,store,basic,9,10.0,157.3,0,mobile,summer,180.9
C00075,2026-06-18 15:00:00,47,Daejeon,app,gold,4,10.7,,15,card,vip,150.4
C00076,2026-08-08 20:00:00,50,,store,silver,5,20.3,5,10,mobile,vip,77.5
C00077,2026-05-07 08:00:00,60,Seoul,store,gold,15,15.4,124.2,10,card,summer,183.4
C00078,2026-02-09 09:00:00,48,Seoul,app,gold,1,20.5,66.1,20,mobile,none,128.9
C00079,2026-03-23 18:00:00,35,Busan,store,silver,1,18.3,95.7,0,transfer,vip,141.4
C00080,2026-01-26 20:00:00,26,Seoul,app,silver,2,6.4,,0,transfer,none,88.1
C00081,2026-04-21 10:00:00,39,Seoul,store,gold,12,15.2,77.5,0,mobile,summer,147.3
C00082,2026-03-01 15:00:00,39,Daegu,store,silver,5,11.1,53.7,10,card,none,80.5
C00083,2026-03-30 17:00:00,29,Busan,app,gold,17,14.2,55.7,5,card,none,130.1
C00084,2026-06-29 12:00:00,32,Seoul,store,silver,15,18.8,100.1,20,transfer,summer,159.8
C00085,2026-02-28 17:00:00,41,Busan,store,basic,5,19.0,138.9,20,mobile,summer,149.1
C00086,2026-05-29 13:00:00,51,Busan,web,silver,7,14.0,82.7,0,transfer,none,145.0
C00087,2026-03-11 21:00:00,52,Daegu,web,basic,15,,61.9,5,card,none,145.2
C00088,2026-07-05 18:00:00,34,Seoul,app,silver,18,14.7,120.4,10,transfer,none,166.6
C00089,2026-07-11 18:00:00,38,Busan,app,basic,11,12.7,69.6,20,mobile,none,86.2
C00090,2026-06-12 21:00:00,27,Seoul,app,gold,1,19.4,90.9,0,card,none,141.4
C00091,2026-05-18 10:00:00,30,Daejeon,store,silver,10,27.3,81.8,15,card,vip,129.7
C00092,2026-06-07 14:00:00,20,Busan,app,basic,11,14.9,92.7,10,mobile,none,119.6
C00093,2026-06-15 13:00:00,47,Seoul,store,basic,9,33.7,81.8,10,mobile,summer,158.3
C00094,2026-03-04 10:00:00,41,Busan,web,basic,8,12.4,134.3,15,card,summer,125.1
C00095,2026-06-02 08:00:00,33,Seoul,store,gold,19,25.7,100.3,0,card,none,206.2
C00096,2026-03-24 08:00:00,30,Seoul,app,basic,8,19.0,101.9,20,transfer,none,107.8
C00097,2026-01-28 15:00:00,18,Gwangju,app,basic,7,28.8,127.6,20,card,none,134.9
C00098,2026-06-25 09:00:00,40,Busan,web,basic,1,,122.6,15,mobile,summer,121.7
C00099,2026-05-21 19:00:00,21,Daejeon,web,silver,19,9.4,94.9,15,card,vip,131.1
C00100,2026-07-04 21:00:00,22,Daejeon,app,silver,8,24.5,110.9,10,transfer,none,167.9
C00101,2026-06-20 12:00:00,,Seoul,app,basic,9,19.3,96.7,0,mobile,none,141.0
C00102,2026-05-24 16:00:00,42,Seoul,app,silver,7,20.1,62.0,10,transfer,none,128.4
C00103,2026-05-10 11:00:00,46,Daegu,web,silver,11,20.7,,15,mobile,none,98.9
C00104,2026-07-16 21:00:00,45,Daegu,web,basic,3,9.7,43.4,20,mobile,summer,46.2
C00105,2026-03-28 13:00:00,63,Seoul,web,silver,8,unknown,85.3,0,card,none,118.9
C00106,2026-03-21 19:00:00,41,Busan,store,basic,3,31.9,23.1,0,card,none,68.7
C00107,2026-06-19 14:00:00,26,Daegu,app,basic,8,15.3,184.6,0,mobile,summer,182.5
C00108,2026-01-12 11:00:00,40,Busan,app,basic,3,unknown,145.6,0,card,none,166.2
C00109,2026-07-11 14:00:00,44,Daegu,web,basic,11,unknown,50.8,20,mobile,none,107.3
C00110,2026-08-09 13:00:00,42,Daejeon,web,gold,3,12.8,92.4,0,card,summer,125.6
C00111,2026-06-08 15:00:00,52,Daejeon,store,basic,1,28.5,153.7,0,card,none,175.1
C00112,2026-03-27 20:00:00,49,Daegu,store,gold,10,24.3,148.2,5,mobile,summer,227.6
C00113,2026-03-02 09:00:00,43,Seoul,web,gold,10,7.5,56.3,20,mobile,none,106.4
C00114,2026-04-25 18:00:00,18,Daegu,web,basic,12,12.9,60.7,20,transfer,none,73.3
C00115,2026-03-19 20:00:00,38,Seoul,web,basic,9,11.0,103.1,10,transfer,none,137.3
C00116,2026-06-07 17:00:00,21,Daejeon,store,silver,3,16.7,24.9,0,transfer,summer,81.9
C00117,2026-05-09 10:00:00,51,Seoul,store,silver,6,22.0,20.1,20,card,none,66.6
C00118,2026-05-14 17:00:00,43,Gwangju,web,silver,10,22.7,94.9,5,mobile,none,154.8
C00119,2026-03-26 09:00:00,27,Busan,app,basic,6,16.8,198.7,15,mobile,none,177.5
C00120,2026-06-28 18:00:00,64,Daegu,web,silver,3,22.9,,10,mobile,vip,156.6
C00121,2026-05-15 09:00:00,31,Busan,app,gold,4,12.7,139.8,0,transfer,none,194.2
C00122,2026-03-17 21:00:00,38,Seoul,store,basic,9,8.9,28.8,15,mobile,none,68.9
C00123,2026-04-07 10:00:00,50,Daejeon,web,basic,14,18.7,18.4,0,mobile,summer,95.4
C00124,2026-07-12 19:00:00,35,Busan,app,silver,8,12.0,113.5,10,mobile,vip,183.8
C00125,2026-04-29 20:00:00,,,web,gold,11,1.0,83.5,0,card,summer,152.5
C00126,2026-01-27 19:00:00,28,Daejeon,store,basic,12,5.7,87.2,5,transfer,none,153.5
C00127,2026-02-26 21:00:00,,Daegu,web,basic,9,19.3,107.6,15,card,none,155.0
C00128,2026-08-03 19:00:00,43,Busan,store,basic,3,7.0,130.6,10,mobile,none,151.9
C00129,2026-01-21 08:00:00,38,Daejeon,web,silver,15,6.2,81.6,15,card,none,136.1
C00130,2026-07-23 17:00:00,42,Gwangju,store,basic,6,17.9,158.5,0,card,none,177.0
C00131,2026-01-01 17:00:00,29,Daegu,web,gold,12,21.0,170.8,15,mobile,none,228.6
C00132,2026-04-10 21:00:00,37,Daegu,web,basic,2,18.9,141.5,0,mobile,summer,147.7
C00133,2026-01-27 20:00:00,21,Busan,store,basic,4,21.4,463.6,5,mobile,none,168.1
C00134,2026-07-03 20:00:00,44,Daegu,app,silver,9,16.3,130.4,0,mobile,none,198.2
C00135,2026-01-10 20:00:00,33,Daegu,app,basic,5,18.4,93.6,20,transfer,none,99.1
C00136,2026-04-09 13:00:00,46,Daegu,web,silver,12,15.7,5,15,card,none,63.8
C00137,2026-07-30 10:00:00,,Daejeon,store,silver,7,26.0,139.0,5,card,summer,186.7
C00138,2026-04-01 17:00:00,41,Daejeon,app,silver,11,16.9,220.8,0,mobile,summer,247.4
C00139,2026-01-08 10:00:00,49,Daegu,app,basic,3,13.6,114.4,0,mobile,none,143.5
C00140,2026-04-05 13:00:00,49,Daegu,web,gold,6,18.0,134.8,5,card,summer,186.9
C00141,2026-05-08 16:00:00,27,Busan,store,basic,11,16.6,142.2,10,transfer,none,179.2
C00142,2026-02-14 22:00:00,42,Daegu,store,basic,4,1.0,151.6,5,mobile,none,130.7
C00143,2026-03-18 21:00:00,49,Gwangju,web,basic,13,15.7,76.8,5,card,summer,116.7
C00144,2026-04-03 16:00:00,52,Seoul,app,basic,3,13.6,130.2,0,mobile,summer,147.0
C00145,2026-05-15 14:00:00,41,Seoul,app,basic,1,33.8,162.5,20,mobile,none,182.1
C00146,2026-06-13 17:00:00,24,Seoul,store,basic,12,33.6,8.8,0,card,none,104.6
C00147,2026-07-01 11:00:00,22,Busan,store,gold,15,27.7,48.1,5,transfer,none,146.8
C00148,2026-05-09 18:00:00,53,,app,gold,12,31.6,144.9,20,mobile,none,219.5
C00149,2026-01-08 09:00:00,55,Daejeon,store,silver,9,8.0,72.7,15,transfer,vip,103.9
C00150,2026-03-19 15:00:00,34,Seoul,web,basic,8,29.7,61.2,20,transfer,none,97.8
C00151,2026-03-29 17:00:00,53,Daejeon,web,silver,14,8.2,234.5,5,mobile,summer,243.5
C00152,2026-03-10 15:00:00,51,Daejeon,web,gold,8,20.2,93.2,15,card,summer,155.0
C00153,2026-05-28 19:00:00,31,Daegu,app,basic,14,8.6,105.6,10,transfer,none,149.2
C00154,2026-04-01 08:00:00,37,Daegu,store,basic,12,19.6,156.7,10,card,none,178.4
C00155,2026-03-09 19:00:00,30,Busan,app,silver,11,19.2,109.4,15,card,none,138.3
C00156,2026-07-31 17:00:00,43,Gwangju,app,silver,7,13.8,152.4,5,card,summer,181.5
C00157,2026-04-13 16:00:00,42,Daejeon,web,silver,8,,20.6,15,,none,76.4
C00158,2026-04-11 17:00:00,34,Daejeon,store,silver,7,11.1,58.5,15,transfer,summer,129.4
C00159,2026-04-05 13:00:00,23,Seoul,store,basic,1,6.2,62.0,20,mobile,summer,80.3
C00160,2026-07-04 08:00:00,23,Busan,store,basic,5,14.9,59.0,10,mobile,vip,84.1
C00161,2026-01-29 11:00:00,49,Gwangju,store,gold,8,23.2,164.9,10,mobile,summer,217.2
C00162,2026-05-24 13:00:00,25,Gwangju,app,silver,12,16.9,19.0,10,mobile,summer,110.8
C00163,2026-07-04 18:00:00,27,Daegu,store,basic,3,13.5,85.0,0,transfer,summer,114.8
C00164,2026-05-06 13:00:00,21,Seoul,store,silver,2,18.1,175.4,5,transfer,vip,193.5
C00165,2026-04-12 21:00:00,27,Seoul,app,gold,13,,116.2,20,mobile,none,166.1
C00166,2026-05-18 12:00:00,,Busan,web,basic,13,12.6,148.2,15,mobile,none,174.7
C00167,2026-03-01 08:00:00,47,Seoul,store,gold,10,6.6,117.5,0,card,none,210.4
C00168,2026-05-03 18:00:00,29,Gwangju,web,silver,11,34.1,75.1,0,mobile,vip,156.7
C00169,2026-01-10 22:00:00,49,Daejeon,app,basic,6,25.5,9.6,0,mobile,vip,91.4
C00170,2026-01-03 12:00:00,27,Gwangju,store,basic,6,15.6,144.1,20,,vip,157.0
C00171,2026-04-30 12:00:00,41,Busan,web,silver,9,21.1,150.4,5,transfer,summer,182.3
C00172,2026-08-08 18:00:00,31,Seoul,web,gold,13,9.1,84.6,20,transfer,none,134.7
C00173,2026-03-05 08:00:00,38,Gwangju,store,silver,10,17.4,5,5,transfer,summer,83.6
C00174,2026-01-31 15:00:00,34,Daegu,store,basic,6,23.7,5,20,transfer,none,54.5
C00175,2026-02-26 11:00:00,52,Daejeon,store,silver,6,1.0,145.2,5,transfer,summer,183.3
C00176,2026-07-15 11:00:00,18,Daegu,web,gold,5,8.5,118.6,15,,none,133.1
C00177,2026-05-21 22:00:00,23,Daejeon,web,silver,7,,139.6,15,mobile,summer,174.1
C00178,2026-07-27 08:00:00,46,Daegu,store,basic,3,19.4,89.1,10,transfer,summer,120.6
C00179,2026-07-10 11:00:00,35,Seoul,app,basic,7,,119.4,0,transfer,none,161.2
C00180,2026-07-06 18:00:00,51,Daejeon,web,silver,11,,145.6,10,mobile,vip,165.8
C00181,2026-02-04 18:00:00,42,Busan,web,silver,6,24.0,102.8,0,transfer,none,141.7
C00182,2026-04-08 21:00:00,26,Seoul,web,silver,8,24.7,122.4,20,transfer,summer,155.3
C00183,2026-01-05 11:00:00,40,Seoul,web,silver,9,26.2,118.6,20,transfer,none,127.3
C00184,2026-07-18 08:00:00,34,Daegu,store,silver,16,34.1,115.6,15,mobile,summer,215.8
C00185,2026-03-02 12:00:00,63,Seoul,store,gold,1,9.8,98.4,5,mobile,vip,140.6
C00186,2026-05-07 08:00:00,29,Daejeon,app,basic,17,14.1,65.0,5,transfer,none,102.5
C00187,2026-05-18 15:00:00,39,Seoul,store,basic,10,19.4,84.1,10,transfer,summer,136.7
C00188,2026-02-22 13:00:00,45,Busan,web,basic,2,,117.1,20,mobile,summer,99.7
C00189,2026-01-11 21:00:00,58,Daejeon,web,gold,11,8.1,67.5,0,transfer,none,140.6
C00190,2026-02-18 19:00:00,34,Busan,app,gold,19,35.5,69.5,15,mobile,none,167.5
C00191,2026-03-14 14:00:00,22,Daejeon,web,silver,9,14.6,147.3,10,mobile,none,186.7
C00192,2026-04-05 13:00:00,18,Gwangju,store,silver,3,21.6,,5,transfer,none,162.2
C00193,2026-02-20 13:00:00,40,Daegu,app,silver,13,17.2,165.7,20,transfer,vip,187.2
C00194,2026-02-13 19:00:00,28,Seoul,store,basic,8,12.9,94.7,15,card,vip,111.3
C00195,2026-06-21 08:00:00,40,Busan,web,basic,3,19.8,75.9,20,transfer,none,70.1
C00196,2026-06-07 22:00:00,26,Seoul,store,silver,3,17.9,165.7,0,mobile,vip,200.9
C00197,2026-01-05 16:00:00,45,Seoul,store,basic,2,22.3,6.2,0,card,summer,62.3
C00198,2026-07-23 14:00:00,50,Busan,app,silver,16,25.4,70.3,20,card,summer,136.4
C00199,2026-08-08 18:00:00,39,Seoul,store,basic,6,10.6,146.9,0,transfer,summer,165.9
C00200,2026-08-08 09:00:00,30,Gwangju,app,basic,15,7.4,118.1,20,card,summer,171.2
C00201,2026-03-13 22:00:00,22,Busan,store,basic,6,22.9,189.5,0,mobile,summer,224.2
C00202,2026-05-25 11:00:00,34,Busan,store,silver,1,11.5,78.5,10,mobile,summer,101.3
C00203,2026-03-30 08:00:00,46,Gwangju,app,gold,9,25.5,135.1,15,transfer,none,183.9
C00204,2026-05-06 11:00:00,76,Daejeon,web,silver,2,30.1,39.1,20,transfer,summer,82.4
C00205,2026-07-02 09:00:00,45,Daejeon,app,basic,9,14.6,38.9,20,card,none,69.3
C00206,2026-03-11 09:00:00,49,Seoul,web,basic,9,20.3,47.1,10,mobile,none,88.1
C00207,2026-06-03 20:00:00,33,Gwangju,web,silver,11,15.2,150.9,0,card,summer,191.7
C00208,2026-03-10 15:00:00,47,Daegu,app,gold,9,20.4,98.4,0,mobile,summer,180.7
C00209,2026-06-02 17:00:00,40,Gwangju,app,silver,9,11.3,215.2,5,transfer,none,213.2
C00210,2026-06-16 17:00:00,48,Busan,app,gold,10,21.6,135.4,5,transfer,summer,194.8
C00211,2026-06-12 15:00:00,59,Daegu,web,gold,6,14.4,139.6,10,card,summer,156.0
C00212,2026-05-21 08:00:00,33,Seoul,app,silver,12,,91.7,5,card,summer,133.8
C00213,2026-03-03 12:00:00,28,Daejeon,store,basic,2,17.7,86.7,15,mobile,vip,119.6
C00214,2026-01-10 20:00:00,29,Seoul,web,silver,14,14.9,129.6,0,transfer,none,160.0
C00215,2026-06-06 08:00:00,23,Daejeon,web,basic,5,6.0,5.2,5,transfer,none,36.1
C00216,2026-06-26 17:00:00,23,Gwangju,web,basic,8,23.7,34.5,20,card,none,69.6
C00217,2026-03-17 14:00:00,43,Daegu,app,basic,7,,37.2,5,card,none,81.9
C00218,2026-07-04 19:00:00,43,Daegu,store,basic,6,17.8,177.6,0,card,vip,207.4
C00219,2026-07-09 11:00:00,23,Busan,app,silver,7,13.4,149.2,10,card,summer,173.9
C00220,2026-06-07 22:00:00,40,Daegu,store,silver,9,25.9,47.6,0,card,summer,138.9
C00221,2026-07-24 21:00:00,,Daejeon,store,gold,7,18.1,127.3,20,transfer,summer,165.5
C00222,2026-03-31 13:00:00,28,Gwangju,store,basic,11,9.0,134.3,5,card,none,150.0
C00223,2026-03-03 12:00:00,47,Busan,store,basic,10,21.4,141.9,15,card,none,144.2
C00224,2026-02-14 16:00:00,32,Seoul,app,gold,9,22.0,140.5,15,transfer,none,214.8
C00225,2026-07-28 14:00:00,52,Daejeon,app,basic,6,6.4,107.3,10,mobile,none,124.2
C00226,2026-03-12 11:00:00,29,Gwangju,store,basic,5,16.0,,10,card,none,80.0
C00227,2026-05-20 21:00:00,53,Gwangju,web,gold,7,17.5,,10,card,summer,83.2
C00228,2026-01-09 15:00:00,31,Busan,web,silver,7,30.9,187.1,0,mobile,summer,230.3
C00229,2026-08-09 19:00:00,29,Seoul,store,basic,5,7.9,48.9,0,transfer,summer,110.5
C00230,2026-03-16 12:00:00,68,Busan,app,gold,1,9.4,5,0,transfer,vip,70.6
C00231,2026-02-02 19:00:00,45,Daejeon,app,basic,5,13.8,17.5,20,,none,35.9
C00232,2026-06-12 20:00:00,45,Daejeon,app,basic,9,14.9,66.4,5,card,vip,106.3
C00233,2026-08-05 19:00:00,65,Gwangju,app,basic,13,9.8,49.4,0,transfer,summer,91.7
C00234,2026-03-14 13:00:00,39,Seoul,web,basic,5,15.9,155.8,20,transfer,none,130.0
C00235,2026-08-08 10:00:00,38,Busan,store,basic,8,21.5,96.6,20,transfer,none,125.7
C00236,2026-06-20 22:00:00,42,Daejeon,store,basic,7,15.2,50.6,0,card,none,88.2
C00237,2026-05-03 09:00:00,44,Daegu,web,gold,10,16.6,99.1,20,transfer,summer,135.8
C00238,2026-01-23 19:00:00,40,Busan,store,gold,8,13.9,77.7,10,card,none,155.5
C00239,2026-05-25 08:00:00,33,Busan,app,silver,6,14.1,131.7,20,transfer,vip,158.6
C00240,2026-07-12 09:00:00,41,Busan,app,silver,4,13.3,145.6,0,card,summer,173.0
C00241,2026-06-03 19:00:00,22,Daegu,web,silver,3,12.0,18.3,20,mobile,none,33.8
C00242,2026-07-20 22:00:00,49,Gwangju,web,silver,8,12.0,78.1,20,,vip,111.9
C00243,2026-03-23 10:00:00,21,Daejeon,web,basic,12,9.3,133.8,0,card,none,163.9
C00244,2026-07-22 14:00:00,65,Daejeon,web,silver,2,16.6,55.3,20,mobile,summer,78.0
C00245,2026-03-13 09:00:00,33,Daegu,app,silver,12,20.7,188.5,15,mobile,summer,237.1
C00246,2026-07-06 21:00:00,46,Gwangju,web,basic,8,22.2,126.2,15,mobile,summer,136.7
C00247,2026-02-14 09:00:00,45,Gwangju,store,silver,8,25.2,109.0,5,mobile,none,152.2
C00248,2026-03-10 19:00:00,53,Gwangju,web,basic,13,9.1,504.0,5,mobile,summer,204.2
C00249,2026-05-08 15:00:00,34,Daegu,web,gold,7,19.7,82.6,0,mobile,summer,146.0
C00250,2026-01-12 21:00:00,53,Busan,web,silver,9,13.0,58.6,0,mobile,summer,111.3
C00251,2026-04-18 11:00:00,33,Gwangju,app,basic,11,16.0,67.5,0,mobile,vip,127.2
C00252,2026-01-12 14:00:00,58,Seoul,store,basic,12,20.3,86.3,5,transfer,none,165.3
C00253,2026-05-25 20:00:00,33,Busan,store,gold,13,7.9,119.4,10,card,none,189.2
C00254,2026-05-19 13:00:00,37,Daejeon,store,silver,3,8.9,148.3,20,card,none,165.5
C00255,2026-03-02 14:00:00,34,Seoul,web,gold,8,28.0,103.6,0,mobile,none,179.2
C00256,2026-07-11 09:00:00,30,Gwangju,web,basic,3,13.0,73.7,15,card,none,72.4
C00257,2026-03-08 21:00:00,30,Daejeon,app,basic,14,13.5,30.5,5,card,none,89.8
C00258,2026-01-28 10:00:00,33,Daejeon,app,basic,4,18.9,137.8,0,card,none,167.6
C00259,2026-07-26 18:00:00,32,Busan,web,silver,13,13.1,84.8,5,transfer,none,144.4
C00260,2026-07-29 10:00:00,42,Seoul,app,basic,11,18.4,28.9,0,card,none,95.0
C00261,2026-01-16 21:00:00,40,Seoul,store,silver,5,19.3,151.0,20,card,none,203.6
C00262,2026-04-24 20:00:00,49,Daejeon,web,basic,13,28.0,125.6,0,mobile,none,155.2
C00263,2026-07-05 14:00:00,27,Daegu,app,basic,8,11.1,125.0,0,card,none,145.4
C00264,2026-03-17 15:00:00,32,Daejeon,web,silver,3,21.7,141.1,0,mobile,none,170.4
C00265,2026-07-25 16:00:00,49,Daejeon,app,gold,1,18.3,60.6,15,mobile,none,109.9
C00266,2026-06-02 11:00:00,41,Gwangju,app,silver,15,19.3,88.1,10,card,vip,173.0
C00267,2026-01-26 11:00:00,33,Busan,store,gold,5,23.3,7.0,0,transfer,none,113.5
C00268,2026-02-15 11:00:00,19,Daegu,store,silver,1,10.0,518.7,0,mobile,vip,89.4
C00269,2026-08-03 20:00:00,,Seoul,web,silver,4,14.1,156.9,0,card,none,205.0
C00270,2026-02-21 20:00:00,39,Seoul,web,basic,12,25.1,185.8,5,mobile,vip,192.2
C00271,2026-07-18 09:00:00,52,Daejeon,store,basic,1,23.6,93.6,20,transfer,none,134.3
C00272,2026-04-22 20:00:00,36,Gwangju,app,basic,5,10.8,74.1,15,mobile,summer,112.9
C00273,2026-04-07 12:00:00,37,Gwangju,app,gold,4,17.2,107.6,20,mobile,none,125.1
C00274,2026-06-06 11:00:00,22,Busan,app,gold,6,14.5,62.0,0,card,summer,131.7
