customer_id,age,city,plan,contract,payment_method,tenure_months,monthly_fee,usage_hours,support_calls,late_payments,churn
C0122,59,Seoul,Standard,Monthly,Mobile,39,47.4,20.2,2,1,0
C0123,21,Seoul,Premium,Monthly,Card,65,90.0,56.9,0,0,1
C0124,70,Busan,Basic,Monthly,Mobile,20,34.0,37.1,3,0,0
C0125,24,Busan,Basic,Monthly,Bank,57,18.7,38.5,0,3,0
C0126,68,Seoul,Standard,Yearly,Mobile,43,46.5,45.0,2,0,0
C0127,61,Gwangju,Standard,Monthly,Card,19,43.3,34.7,3,0,1
C0128,64,Gwangju,Basic,Monthly,Bank,17,28.2,14.0,0,0,0
C0129,60,Daegu,Standard,Monthly,Bank,24,49.5,37.3,3,0,0
C0130,28,Seoul,Premium,Monthly,Mobile,68,79.4,45.6,3,0,0
C0131,29,Seoul,Standard,Monthly,Card,57,45.5,46.4,3,0,0
C0132,67,Daegu,Standard,Monthly,Bank,61,45.0,35.7,3,0,0
C0133,,Seoul,Basic,Monthly,Card,26,,33.2,2,3,0
C0134,54,Gwangju,Standard,Monthly,Card,37,41.0,47.1,3,1,0
C0135,24,Gwangju,Basic,Monthly,Bank,4,24.1,50.7,0,2,1
C0136,33,Seoul,Premium,Yearly,Mobile,43,76.0,33.1,2,3,0
C0137,27,Daejeon,Standard,Monthly,Card,3,38.2,74.2,2,0,0
C0138,26,Daejeon,Basic,Monthly,Card,54,41.3,23.8,0,2,0
C0139,53,Seoul,Standard,Monthly,Card,38,49.4,52.1,0,2,0
C0140,24,Busan,Basic,Yearly,Mobile,65,43.1,22.3,2,1,1
C0141,43,Gwangju,Basic,Monthly,Card,45,36.4,66.8,2,2,0
C0142,27,Seoul,Standard,Yearly,Card,60,50.6,39.7,4,1,0
C0143,48,Seoul,Basic,Yearly,Card,41,37.7,33.7,4,0,0
C0144,67,Daegu,Basic,Yearly,Card,43,22.5,72.1,1,1,0
C0145,43,Seoul,Basic,Yearly,Bank,67,22.4,49.0,2,1,0
C0146,30,Busan,Basic,Monthly,Mobile,38,19.4,63.7,1,2,0
C0147,21,Daegu,Premium,Monthly,Bank,36,88.8,18.9,0,1,0
C0148,51,Daejeon,Standard,Yearly,Card,57,50.2,43.4,2,0,0
C0149,55,Seoul,Basic,Monthly,Bank,48,33.3,44.3,1,2,0
C0150,36,Seoul,Basic,Yearly,Bank,67,28.6,56.2,0,2,0
C0151,58,Seoul,Premium,Monthly,Card,18,,27.1,3,0,1
C0152,62,Gwangju,Premium,Monthly,Mobile,9,77.7,37.6,0,1,0
C0153,63,Daegu,Standard,Monthly,Card,26,42.4,29.9,2,1,0
C0154,48,,Standard,Monthly,Card,9,47.3,104.6,0,0,0
C0155,71,Busan,Basic,Monthly,Card,58,38.1,46.4,0,2,0
C0156,56,Seoul,Premium,Monthly,Card,16,87.6,40.4,0,3,1
C0157,52,Gwangju,Premium,Monthly,Mobile,71,76.7,65.5,1,0,0
C0158,56,Gwangju,Basic,Monthly,Mobile,44,180.8,23.7,3,0,1
C0159,60,Daejeon,Basic,Monthly,Mobile,54,35.7,39.2,1,0,0
C0160,38,Busan,Premium,Yearly,Bank,59,71.5,44.6,2,1,0
C0161,57,Seoul,Premium,Monthly,Bank,52,73.3,54.0,3,0,0
C0162,36,Busan,Basic,Monthly,Bank,54,32.4,76.0,2,2,0
C0163,39,Seoul,Basic,Yearly,Bank,64,34.9,28.3,3,1,0
C0164,34,Seoul,Basic,Monthly,Bank,61,31.9,44.1,2,1,0
C0165,42,Daejeon,Basic,Monthly,Mobile,72,36.4,62.3,2,1,0
C0166,36,Daejeon,Standard,Monthly,Card,13,40.2,60.7,0,3,0
C0167,31,Daegu,Basic,Monthly,Card,18,25.1,12.1,1,1,0
C0168,27,Seoul,Standard,Monthly,Mobile,39,40.9,30.8,0,1,0
C0169,49,Daejeon,Basic,Monthly,Bank,40,28.4,15.8,2,0,0
C0170,60,Daejeon,Standard,Monthly,Mobile,7,228.1,36.8,1,0,0
C0171,28,Daejeon,Basic,Monthly,Mobile,15,22.7,59.1,2,1,1
C0172,51,Daejeon,Premium,Yearly,Mobile,8,56.0,,1,0,0
C0173,43,Seoul,Basic,Yearly,Bank,70,27.2,65.2,0,0,0
C0174,58,Busan,Premium,Monthly,Bank,29,80.5,24.6,6,0,0
C0175,50,Seoul,Basic,Yearly,Mobile,36,15.0,63.6,1,0,0
C0176,,Gwangju,Premium,Monthly,Bank,11,78.7,57.1,1,2,1
C0177,53,Seoul,Standard,Monthly,Card,31,39.2,67.3,2,0,1
C0178,45,Seoul,Standard,Yearly,Card,1,54.6,31.6,6,2,0
C0179,49,Busan,Basic,Yearly,Bank,37,36.7,12.5,0,2,0
C0180,65,Daejeon,Basic,Yearly,Bank,23,35.4,40.1,2,0,0
C0181,66,Gwangju,Premium,Yearly,Card,39,84.7,38.6,1,0,0
C0182,53,Busan,Premium,Monthly,Mobile,60,73.5,,1,3,0
C0183,64,Seoul,Standard,Yearly,Mobile,25,59.5,71.9,3,0,0
C0184,24,,Basic,Yearly,Bank,42,23.3,41.2,2,2,0
C0185,40,Seoul,Standard,Monthly,Mobile,47,53.4,36.3,1,1,0
C0186,51,Gwangju,Premium,Yearly,Mobile,16,75.7,11.1,0,1,0
C0187,49,Seoul,Standard,Monthly,Bank,71,53.2,27.1,4,0,0
C0188,62,Daejeon,Premium,Monthly,Bank,68,76.7,35.4,2,0,0
C0189,51,Seoul,Standard,Monthly,Mobile,57,46.4,49.7,3,0,0
C0190,70,Seoul,Basic,Monthly,Mobile,8,28.5,32.8,0,1,0
C0191,19,Daegu,Standard,Monthly,Bank,9,197.6,40.5,1,0,0
C0192,37,Busan,Standard,Yearly,Mobile,54,34.2,67.4,0,2,0
C0193,24,Daegu,Standard,Monthly,Mobile,45,46.1,78.2,6,1,0
C0194,72,Seoul,Basic,Monthly,Mobile,70,30.0,49.6,0,2,1
C0195,31,Gwangju,Standard,Monthly,Mobile,54,53.0,15.6,0,0,1
C0196,57,Seoul,Standard,Yearly,Card,32,49.5,24.8,2,2,0
C0197,22,Seoul,Premium,Monthly,Mobile,41,81.1,28.3,0,0,0
C0198,61,Busan,Basic,Monthly,Mobile,23,15.0,29.2,0,1,0
C0199,,Busan,Standard,Yearly,Bank,20,43.9,52.3,1,0,0
C0200,64,Seoul,Standard,Monthly,Bank,54,49.2,38.8,1,2,0
C0201,47,Daejeon,Basic,Yearly,Card,7,17.6,67.3,1,0,0
C0202,67,Busan,Standard,Monthly,Card,43,50.1,77.2,0,1,0
C0203,66,Gwangju,Standard,Monthly,Mobile,27,46.5,49.6,1,2,0
C0204,60,Seoul,Basic,Monthly,Bank,60,15.9,69.9,6,1,0
C0205,42,Seoul,Basic,Yearly,Mobile,19,19.4,44.2,4,0,0
C0206,31,Seoul,Basic,Yearly,Bank,71,28.4,20.7,0,3,0
C0207,60,Daegu,Standard,Yearly,Bank,22,54.9,58.5,3,3,0
C0208,,Busan,Premium,Monthly,Mobile,7,81.8,24.5,2,0,0
C0209,19,Seoul,Standard,Monthly,Mobile,62,41.9,39.5,2,0,1
C0210,65,Seoul,Premium,Monthly,Mobile,56,81.5,7.0,3,1,1
C0211,31,Daegu,Basic,Monthly,Bank,11,15.0,54.4,0,0,0
C0212,62,Daejeon,Basic,Yearly,Mobile,5,26.8,51.2,3,0,1
C0213,29,Seoul,Premium,Monthly,Bank,13,80.9,18.6,5,4,0
C0214,55,Busan,Basic,Monthly,Bank,70,34.5,40.3,1,0,0
C0215,,Seoul,Premium,Yearly,Card,39,82.5,52.7,2,0,0
C0216,40,Busan,Standard,Yearly,Mobile,11,183.5,41.8,0,1,0
C0217,40,Daegu,Standard,Monthly,Bank,4,44.2,19.8,0,1,0
C0218,43,Busan,Standard,Monthly,Card,38,52.5,16.4,2,1,0
C0219,59,Seoul,Basic,Monthly,Card,1,29.2,35.5,3,0,1
C0220,46,Busan,Standard,Monthly,Card,12,43.9,48.0,1,0,0
C0221,37,Busan,Standard,Yearly,Mobile,32,46.2,37.5,1,1,0
C0222,50,Seoul,Basic,Monthly,Bank,62,39.5,26.2,2,0,0
C0223,58,Seoul,Basic,Monthly,Bank,43,33.9,28.1,3,0,0
C0224,71,Daejeon,Premium,Monthly,Bank,26,74.1,43.4,1,1,0
C0225,59,Busan,Standard,Monthly,Bank,36,55.8,26.5,2,2,0
C0226,53,Seoul,Standard,Monthly,Mobile,60,52.9,37.9,3,0,1
C0227,69,Daejeon,Standard,Monthly,Bank,31,43.0,51.8,2,1,0
C0228,57,Busan,Basic,Monthly,Mobile,54,19.6,33.9,0,3,0
C0229,59,Gwangju,Basic,Monthly,Mobile,46,19.7,62.3,3,0,0
C0230,67,Seoul,Standard,Monthly,Card,34,39.0,69.7,2,0,0
C0231,42,Busan,Standard,Monthly,Mobile,20,54.7,45.1,1,1,0
C0232,26,Daejeon,Standard,Monthly,Bank,59,47.2,21.8,2,1,0
C0233,47,Seoul,Basic,Yearly,Card,3,27.1,22.1,3,0,0
C0234,34,Busan,Standard,Monthly,Bank,60,53.0,59.2,2,2,0
C0235,20,Daegu,Premium,Monthly,Bank,50,77.1,42.3,3,3,0
C0236,55,Seoul,Premium,Monthly,Bank,26,84.6,45.5,0,0,0
C0237,57,Busan,Basic,Monthly,Bank,59,27.4,21.0,0,0,0
C0238,24,Daegu,Basic,Monthly,Card,24,21.8,48.7,1,2,0
C0239,46,Seoul,Standard,Yearly,Mobile,23,52.9,35.3,0,2,0
C0240,22,Daejeon,Premium,Monthly,Card,50,68.4,37.5,4,1,0
C0241,72,Busan,Basic,Monthly,Card,38,26.1,44.5,3,3,0
C0242,68,Daejeon,Standard,Monthly,Card,35,,10.7,2,3,1
C0243,65,Busan,Basic,Monthly,Mobile,32,22.8,104.0,0,1,0
C0244,47,,Basic,Yearly,Card,45,20.3,24.1,3,1,0
C0245,71,Seoul,Basic,Monthly,Bank,69,26.6,83.2,4,2,0
C0246,51,Gwangju,Standard,Monthly,Bank,8,58.8,40.4,5,3,1
C0247,64,Seoul,Basic,Yearly,Bank,63,24.3,60.7,3,0,1
C0248,69,Gwangju,Basic,Monthly,Bank,48,16.7,47.5,0,0,0
C0249,24,Daegu,Standard,Monthly,Bank,9,61.8,25.6,2,0,0
C0250,39,Daejeon,Basic,Monthly,Mobile,63,29.2,7.0,3,0,0
C0251,72,Busan,Basic,Yearly,Bank,59,32.2,42.2,6,3,1
C0252,60,Seoul,Premium,Yearly,Card,47,82.5,58.4,2,0,0
C0253,38,Daegu,Standard,Monthly,Card,13,52.4,42.1,4,1,0
C0254,19,Seoul,Basic,Monthly,Bank,17,39.7,43.7,0,2,1
C0255,42,Gwangju,Basic,Yearly,Card,19,25.8,51.1,4,0,0
C0256,32,Daegu,Basic,Monthly,Mobile,57,38.4,36.4,2,2,0
C0257,43,Seoul,Standard,Yearly,Card,36,40.0,31.9,1,0,0
C0258,63,Seoul,Premium,Yearly,Card,67,71.2,35.2,1,2,0
C0259,69,Gwangju,Standard,Monthly,Bank,10,65.3,33.7,0,0,1
C0260,72,,Basic,Yearly,Bank,10,28.8,42.7,2,1,1
C0261,69,Busan,Basic,Yearly,Bank,55,19.6,35.3,1,0,0
C0262,38,Seoul,Premium,Yearly,Card,69,79.8,62.0,1,0,0
C0263,38,Daegu,Standard,Yearly,Card,32,39.8,51.4,3,1,0
C0264,66,Daegu,Basic,Monthly,Card,2,16.9,78.0,4,0,0
C0265,29,Busan,Standard,Yearly,Mobile,16,51.0,37.9,2,0,1
C0266,64,Gwangju,Standard,Monthly,Mobile,47,51.0,53.5,5,1,0
C0267,55,Daegu,Basic,Yearly,Card,6,35.4,39.9,2,1,0
C0268,30,Gwangju,Premium,Monthly,Mobile,54,84.3,54.7,2,0,0
C0269,55,Busan,Standard,Yearly,Card,29,51.5,1.0,3,0,0
C0270,37,Daejeon,Basic,Monthly,Bank,2,31.5,52.4,1,0,1
C0271,42,Busan,Standard,Yearly,Card,70,56.2,29.3,2,1,0
C0272,41,Daegu,Standard,Monthly,Bank,1,48.6,25.5,2,0,1
C0273,34,Busan,Premium,Yearly,Card,36,85.8,63.1,5,0,0
C0274,42,,Standard,Monthly,Mobile,18,46.9,29.1,1,0,0
C0275,27,Seoul,Basic,Monthly,Bank,42,33.2,54.3,1,1,0
C0276,56,Seoul,Basic,Monthly,Bank,53,30.0,53.0,3,0,0
C0277,26,Seoul,Premium,Monthly,Mobile,6,85.6,74.7,2,2,0
C0278,44,Busan,Standard,Monthly,Card,4,40.7,32.1,5,0,1
C0279,25,Daejeon,Basic,Monthly,Card,17,22.6,58.3,2,0,1
C0280,56,Seoul,Premium,Monthly,Card,26,89.5,31.4,3,3,0
C0281,40,Seoul,Premium,Monthly,Mobile,56,89.4,26.7,2,1,1
C0282,32,Gwangju,Basic,Monthly,Card,5,24.1,26.5,0,0,0
C0283,49,Seoul,Basic,Monthly,Card,68,27.7,96.5,2,1,0
C0284,64,Seoul,Standard,Monthly,Mobile,65,58.3,54.2,1,1,1
C0285,70,Daejeon,Basic,Yearly,Mobile,46,32.2,1.0,2,0,0
C0286,36,,Standard,Yearly,Card,50,51.5,67.7,0,0,0
C0287,70,Daegu,Basic,Monthly,Mobile,46,,34.9,4,0,0
C0288,50,Busan,Basic,Monthly,Card,30,22.8,40.0,1,1,0
C0289,70,Seoul,Standard,Yearly,Bank,8,59.5,45.1,4,0,0
C0290,42,Gwangju,Basic,Yearly,Bank,13,40.2,54.8,1,0,0
C0291,59,Gwangju,Standard,Monthly,Mobile,46,51.7,64.3,2,2,0
C0292,27,Seoul,Basic,Yearly,Mobile,51,25.0,18.5,3,0,0
C0293,,Gwangju,Basic,Monthly,Bank,19,25.5,48.0,1,2,0
C0294,24,Daejeon,Standard,Yearly,Bank,58,46.7,42.8,3,0,0
C0295,65,Seoul,Basic,Yearly,Card,53,25.9,42.7,0,0,0
C0296,55,Daegu,Standard,Monthly,Card,5,51.6,56.3,1,0,1
C0297,43,Seoul,Basic,Yearly,Card,44,27.3,28.9,0,1,0
C0298,29,Daegu,Standard,Monthly,Bank,27,34.0,39.2,15,0,0
C0299,,Seoul,Basic,Monthly,Mobile,71,24.3,33.7,12,2,0
C0300,61,Daegu,Standard,Monthly,Card,22,45.6,6.4,0,1,0
C0301,49,Busan,Standard,Monthly,Mobile,50,43.8,74.5,3,2,1
C0302,48,Seoul,Premium,Monthly,Card,13,61.0,50.0,3,0,0
C0303,54,Seoul,Basic,Monthly,Mobile,61,26.9,36.5,1,2,0
C0304,21,Busan,Premium,Yearly,Mobile,19,88.4,61.6,4,4,0
C0305,70,Seoul,Basic,Monthly,Mobile,56,34.6,72.2,3,2,1
C0306,65,Gwangju,Basic,Monthly,Bank,71,15.3,54.1,1,1,0
C0307,58,Busan,Standard,Monthly,Card,19,52.1,32.9,0,0,1
C0308,68,Seoul,Basic,Monthly,Bank,53,21.9,66.7,1,0,1
C0309,44,Seoul,Standard,Yearly,Card,51,49.9,32.2,3,3,0
C0310,42,Seoul,Premium,Monthly,Bank,63,84.0,21.9,3,0,1
C0311,66,Busan,Premium,Monthly,Bank,12,84.2,52.8,2,0,0
C0312,42,Daejeon,Standard,Monthly,Bank,65,40.0,58.9,0,0,0
C0313,72,Seoul,Basic,Monthly,Card,47,32.7,28.9,1,0,0
C0314,26,Daegu,Basic,Monthly,Bank,23,22.9,37.3,4,0,0
C0315,35,Daegu,Standard,Monthly,Bank,7,62.5,60.9,3,0,0
C0316,62,Seoul,Standard,Monthly,Mobile,2,54.8,43.5,1,3,1
C0317,57,Daejeon,Basic,Yearly,Mobile,36,25.9,49.6,0,1,0
C0318,62,Busan,Standard,Monthly,Card,66,53.8,41.8,13,0,0
C0319,37,Seoul,Basic,Monthly,Bank,42,25.4,31.9,3,0,0
C0320,28,Busan,Basic,Monthly,Mobile,52,27.2,20.3,0,0,0
