customer_id,signup_date,age,gender,region,plan_type,monthly_fee,usage_hours,support_calls,late_payments,contract_months,device_type,payment_method,satisfaction_score,churn
CUST-00030,2025-10-18,46.0,Male,Busan,Standard,21572.0,39.8,2.0,1,24,Android,VirtualAccount,5.0,0
CUST-00031,2025-11-15,,Male,Seoul,Standard,26917.0,15.5,4.0,0,6,Android,VirtualAccount,3.0,0
CUST-00032,2024-11-29,36.0,Male,Daegu,Standard,56958.0,26.9,1.0,0,12,Android,Mobile,2.0,0
CUST-00033,2024-01-31,32.0,Female,Seoul,Basic,82162.0,19.1,0.0,1,12,Android,BankTransfer,5.0,0
CUST-00034,2023-03-21,54.0,Male,Busan,Standard,57287.0,19.6,3.0,1,6,Android,Mobile,5.0,0
CUST-00035,2023-02-17,49.0,Male,Seoul,Standard,59589.0,41.5,1.0,1,6,iOS,VirtualAccount,5.0,0
CUST-00036,2025-11-26,56.0,Male,Busan,Basic,89624.0,54.5,0.0,2,6,iOS,VirtualAccount,1.0,1
CUST-00037,2024-09-23,46.0,Male,Busan,Premium,74354.0,39.0,0.0,1,6,iOS,BankTransfer,4.0,0
CUST-00038,2026-01-22,52.0,Female,Daejeon,Standard,77720.0,48.5,3.0,2,6,iOS,VirtualAccount,4.0,0
CUST-00039,2024-10-12,47.0,Male,Busan,Basic,39477.0,49.0,2.0,1,6,Android,Card,4.0,0
CUST-00040,2023-08-25,37.0,Male,Daegu,Premium,51777.0,46.2,1.0,1,12,iOS,Card,5.0,0
CUST-00041,2025-03-24,45.0,Male,Incheon,Basic,52449.0,84.6,3.0,1,6,iOS,VirtualAccount,2.0,1
CUST-00042,2023-10-23,38.0,Female,Incheon,Basic,93191.0,30.6,0.0,1,24,Web,Card,2.0,0
CUST-00043,2024-04-07,21.0,Male,Daejeon,Standard,63682.0,21.6,1.0,2,6,Android,BankTransfer,2.0,0
CUST-00044,2023-07-26,29.0,Male,Seoul,Basic,65994.0,70.1,2.0,1,6,Android,BankTransfer,4.0,0
CUST-00045,2023-11-18,40.0,Female,Daegu,Basic,92583.0,39.4,3.0,0,24,iOS,VirtualAccount,1.0,1
CUST-00046,2024-12-08,38.0,Male,Daejeon,Standard,58662.0,41.9,2.0,0,6,Android,VirtualAccount,3.0,0
CUST-00047,2025-05-21,33.0,Female,Seoul,Standard,64585.0,13.1,4.0,2,12,Android,BankTransfer,4.0,0
CUST-00048,2024-01-04,57.0,Male,Incheon,Standard,78730.0,11.2,1.0,2,3,Android,Mobile,3.0,0
CUST-00049,2025-01-02,44.0,Male,Seoul,Basic,70750.0,40.0,0.0,1,24,iOS,Card,4.0,0
CUST-00050,2023-12-30,27.0,Male,Busan,Standard,66288.0,68.8,2.0,0,12,iOS,BankTransfer,2.0,0
CUST-00051,2025-07-25,28.0,Male,Incheon,Standard,65814.0,36.1,2.0,1,6,iOS,BankTransfer,2.0,0
CUST-00052,2026-01-30,55.0,Male,Incheon,Standard,43430.0,21.7,0.0,0,12,iOS,Card,1.0,0
CUST-00053,2024-04-07,35.0,Male,Daejeon,Standard,62709.0,49.1,1.0,2,1,iOS,BankTransfer,1.0,1
CUST-00054,2025-01-19,30.0,Male,Incheon,Premium,25055.0,42.5,2.0,2,24,iOS,BankTransfer,4.0,0
CUST-00055,2025-04-25,36.0,Female,Daegu,Standard,53348.0,23.0,2.0,0,12,Android,VirtualAccount,3.0,1
CUST-00056,2023-04-25,45.0,Male,Seoul,Standard,82743.0,35.4,4.0,1,12,Android,BankTransfer,1.0,0
CUST-00057,2023-11-25,57.0,Male,Daejeon,Standard,76660.0,42.8,2.0,0,12,Android,VirtualAccount,3.0,0
CUST-00058,2023-01-08,40.0,Male,Daejeon,Premium,81119.0,14.0,0.0,1,1,iOS,Mobile,1.0,1
CUST-00059,2023-12-09,41.0,Female,Busan,Premium,67094.0,19.3,1.0,0,6,Android,Mobile,1.0,0
CUST-00060,2026-04-28,32.0,Female,Incheon,Premium,49229.0,20.1,2.0,1,1,iOS,BankTransfer,2.0,1
CUST-00061,2024-06-02,,Male,Busan,Premium,56810.0,13.4,2.0,1,24,iOS,Mobile,2.0,0
CUST-00062,2024-03-28,42.0,Male,Busan,Standard,51377.0,21.6,4.0,0,3,Android,Mobile,2.0,0
CUST-00063,2026-05-30,49.0,Male,Seoul,Standard,42386.0,37.0,0.0,1,12,Android,BankTransfer,4.0,0
CUST-00064,2026-05-20,29.0,Female,Seoul,Basic,83248.0,30.8,0.0,1,3,Web,VirtualAccount,4.0,0
CUST-00065,2023-10-29,55.0,Male,Daegu,Basic,67335.0,43.6,1.0,0,3,iOS,Mobile,4.0,0
CUST-00066,2023-11-16,47.0,Male,Seoul,Standard,66374.0,30.4,0.0,0,3,iOS,BankTransfer,2.0,0
CUST-00067,2024-09-01,23.0,Female,Daejeon,Basic,80374.0,47.6,1.0,0,24,iOS,Card,5.0,0
CUST-00068,2023-03-31,45.0,Female,Busan,Basic,59875.0,31.1,0.0,0,12,iOS,VirtualAccount,1.0,1
CUST-00069,2023-03-17,62.0,Female,Seoul,Basic,50574.0,46.0,1.0,1,6,Web,Card,4.0,0
CUST-00070,2024-04-07,51.0,Male,Daegu,Basic,35863.0,54.9,4.0,1,6,Web,VirtualAccount,4.0,0
CUST-00071,2023-04-10,44.0,Female,Daejeon,Standard,77842.0,46.8,2.0,1,1,Android,Card,4.0,0
CUST-00072,2023-03-06,42.0,Female,Busan,Standard,70765.0,9.8,0.0,0,12,iOS,Mobile,1.0,0
CUST-00073,2024-01-04,23.0,Male,Seoul,Basic,59171.0,30.2,1.0,1,3,Android,BankTransfer,2.0,0
CUST-00074,2024-02-03,36.0,Male,Daejeon,Premium,97757.0,101.5,0.0,1,24,Android,BankTransfer,5.0,0
CUST-00075,2023-09-08,39.0,Male,Incheon,Premium,49918.0,60.1,4.0,2,1,iOS,Mobile,1.0,0
CUST-00076,2025-05-29,63.0,Female,Daegu,Standard,46494.0,5.0,1.0,0,6,Web,BankTransfer,1.0,1
CUST-00077,2024-08-02,61.0,Female,Daejeon,Basic,18000.0,59.7,2.0,1,24,Web,BankTransfer,2.0,0
CUST-00078,2025-09-10,28.0,Male,Busan,Basic,54407.0,21.6,1.0,1,1,iOS,Mobile,2.0,0
CUST-00079,2026-04-16,26.0,Female,Daegu,Basic,43582.0,17.2,3.0,0,24,iOS,VirtualAccount,1.0,0
CUST-00080,2024-05-08,41.0,Male,Seoul,Premium,75392.0,59.8,5.0,2,1,Android,Card,3.0,0
CUST-00081,2025-04-15,38.0,Male,Daegu,Premium,60206.0,26.6,2.0,1,12,Web,Card,1.0,0
CUST-00082,2025-03-21,,Male,Seoul,Basic,49286.0,29.4,0.0,3,24,Web,Mobile,1.0,0
CUST-00083,2025-01-01,46.0,Female,Seoul,Basic,61604.0,8.4,3.0,1,3,Android,Mobile,1.0,0
CUST-00084,2023-04-27,54.0,Male,Busan,Basic,59778.0,22.1,2.0,0,3,iOS,VirtualAccount,5.0,0
CUST-00085,2023-12-08,57.0,Male,Daegu,Standard,72514.0,30.6,2.0,0,12,iOS,VirtualAccount,3.0,0
CUST-00086,2024-09-25,54.0,Female,Busan,Standard,72672.0,59.8,1.0,0,1,iOS,BankTransfer,1.0,0
CUST-00087,2025-02-13,47.0,Male,Busan,Basic,80125.0,77.3,1.0,0,12,iOS,BankTransfer,5.0,0
CUST-00088,2024-08-14,48.0,Female,Seoul,Standard,84923.0,59.7,1.0,1,12,Android,Mobile,5.0,0
CUST-00089,2025-10-14,49.0,Male,Incheon,Basic,64477.0,27.5,1.0,2,24,iOS,Mobile,3.0,0
CUST-00090,2023-10-30,39.0,Female,Seoul,Standard,51523.0,27.9,1.0,1,24,Web,Mobile,4.0,0
CUST-00091,2024-09-19,52.0,Female,Busan,Standard,67044.0,44.3,4.0,0,6,Android,VirtualAccount,1.0,1
CUST-00092,2025-04-15,52.0,Male,Busan,Basic,43413.0,16.6,3.0,1,24,iOS,Mobile,5.0,1
CUST-00093,2023-09-12,39.0,Female,Incheon,Standard,83957.0,33.0,5.0,1,6,iOS,Card,2.0,0
CUST-00094,2025-09-21,29.0,Female,Busan,Standard,49257.0,28.4,3.0,0,12,Android,VirtualAccount,5.0,0
CUST-00095,2024-02-09,57.0,Female,Incheon,Premium,65710.0,39.5,1.0,1,12,Android,VirtualAccount,3.0,0
CUST-00096,2025-10-13,26.0,Female,Daejeon,Premium,40132.0,75.1,3.0,1,24,iOS,Card,2.0,0
CUST-00097,2026-05-13,45.0,Male,Seoul,Standard,33281.0,52.3,1.0,1,24,Android,Card,2.0,0
CUST-00098,2023-12-11,18.0,Male,Busan,Standard,36184.0,16.0,0.0,1,6,Android,VirtualAccount,2.0,0
CUST-00099,2025-09-14,21.0,Male,Daejeon,Basic,59134.0,27.8,3.0,2,3,iOS,Mobile,4.0,1
CUST-00100,2023-12-23,33.0,Male,Incheon,Basic,61082.0,127.3,1.0,1,3,Android,Mobile,5.0,0
CUST-00101,2025-01-13,28.0,Male,Busan,Standard,82434.0,21.7,0.0,0,6,Android,BankTransfer,1.0,0
CUST-00102,2024-05-04,35.0,Male,Seoul,Standard,67340.0,47.7,1.0,0,24,iOS,Card,4.0,0
CUST-00103,2025-03-08,27.0,Male,Busan,Basic,85018.0,50.9,2.0,2,12,iOS,Mobile,2.0,0
CUST-00104,2025-11-07,35.0,Male,Incheon,Basic,56980.0,18.0,1.0,0,6,Android,BankTransfer,3.0,1
CUST-00105,2024-01-05,39.0,Male,Incheon,Premium,66485.0,12.2,1.0,0,12,iOS,BankTransfer,2.0,0
CUST-00106,2023-03-08,,Male,Seoul,Basic,35869.0,17.9,1.0,0,12,iOS,BankTransfer,3.0,0
CUST-00107,2025-02-12,74.0,Male,Daegu,Basic,66768.0,18.5,2.0,0,24,iOS,BankTransfer,4.0,0
CUST-00108,2024-11-10,48.0,Male,Busan,Basic,43715.0,33.5,4.0,0,3,Web,BankTransfer,5.0,0
CUST-00109,2025-12-24,53.0,Male,Daejeon,Basic,68866.0,34.0,1.0,1,12,iOS,BankTransfer,2.0,1
CUST-00110,2024-06-15,43.0,Male,Seoul,Standard,80680.0,29.0,0.0,1,6,iOS,Mobile,5.0,0
CUST-00111,2024-04-23,34.0,Female,Busan,Basic,78957.0,28.7,1.0,1,1,iOS,VirtualAccount,3.0,0
CUST-00112,2024-01-01,18.0,Male,Daegu,Standard,63998.0,2.6,3.0,0,1,Web,Card,3.0,0
CUST-00113,2024-09-16,54.0,Male,Seoul,Premium,60407.0,41.9,3.0,0,12,Web,BankTransfer,2.0,0
CUST-00114,2024-04-06,38.0,Female,Seoul,Premium,58499.0,12.0,2.0,3,1,Android,Mobile,5.0,0
CUST-00115,2026-03-12,38.0,Male,Busan,Standard,79355.0,36.8,2.0,1,1,Android,Mobile,3.0,0
CUST-00116,2023-12-15,36.0,Female,Seoul,Standard,32019.0,45.3,3.0,0,6,Android,Card,5.0,0
CUST-00117,2024-01-15,48.0,Female,Incheon,Basic,54728.0,7.7,1.0,1,1,Android,Card,1.0,0
CUST-00118,2025-01-26,42.0,Female,Busan,Basic,42818.0,40.2,1.0,3,6,Web,BankTransfer,1.0,0
CUST-00119,2023-07-15,47.0,Female,Busan,Standard,54481.0,73.0,3.0,1,3,Android,Mobile,1.0,1
CUST-00120,2024-04-11,28.0,Male,Busan,Basic,58541.0,16.0,1.0,0,3,Android,Card,5.0,0
CUST-00121,2023-02-26,63.0,Male,Daegu,Basic,33518.0,14.4,2.0,1,3,Android,Mobile,1.0,1
CUST-00122,2023-04-14,22.0,Male,Daegu,Basic,46313.0,50.7,0.0,1,6,iOS,Mobile,3.0,0
CUST-00123,2023-07-04,47.0,Female,Seoul,Standard,32557.0,44.3,2.0,1,12,Android,VirtualAccount,4.0,1
CUST-00124,2026-04-14,42.0,Female,Incheon,Basic,55219.0,29.4,1.0,0,3,Android,BankTransfer,2.0,0
CUST-00125,2024-10-08,41.0,Male,Seoul,Basic,69825.0,34.4,4.0,1,12,iOS,VirtualAccount,4.0,1
CUST-00126,2024-05-28,79.0,Male,Daejeon,Standard,98848.0,18.1,2.0,2,24,Web,Card,3.0,0
CUST-00127,2025-08-05,18.0,Male,Seoul,Premium,60616.0,24.9,2.0,1,12,iOS,VirtualAccount,2.0,0
CUST-00128,2025-12-11,33.0,Female,Seoul,Basic,68521.0,14.9,4.0,1,24,Android,BankTransfer,4.0,0
CUST-00129,2023-05-08,18.0,Female,Busan,Standard,74777.0,46.0,1.0,0,6,Android,VirtualAccount,5.0,0
CUST-00130,2025-06-04,44.0,Female,Daejeon,Premium,46728.0,23.0,3.0,1,3,iOS,Card,5.0,0
CUST-00131,2024-03-11,31.0,Female,Daejeon,Standard,47650.0,28.6,0.0,2,12,Android,Mobile,4.0,0
CUST-00132,2026-03-29,34.0,Female,Busan,Standard,35701.0,30.9,3.0,0,12,Android,BankTransfer,5.0,0
CUST-00133,2025-06-29,51.0,Female,Seoul,Premium,28450.0,52.7,2.0,0,6,Android,VirtualAccount,2.0,0
CUST-00134,2025-05-05,43.0,Female,Daejeon,Standard,73168.0,24.3,2.0,2,1,Web,Mobile,1.0,1
CUST-00135,2024-07-25,50.0,Male,Daegu,Basic,47479.0,19.5,1.0,1,12,iOS,Mobile,3.0,0
CUST-00136,2025-12-01,37.0,Female,Incheon,Standard,61672.0,47.5,1.0,0,6,iOS,VirtualAccount,2.0,0
CUST-00137,2023-02-13,33.0,Male,Incheon,Basic,18000.0,40.3,1.0,0,12,iOS,Mobile,3.0,0
CUST-00138,2026-02-11,46.0,Female,Busan,Standard,52796.0,18.0,2.0,0,1,Android,Card,2.0,0
CUST-00139,2023-12-30,31.0,Male,Daegu,Basic,89174.0,22.3,3.0,3,12,Android,VirtualAccount,4.0,1
CUST-00140,2025-07-02,18.0,Male,Incheon,Basic,36876.0,55.0,1.0,2,24,iOS,BankTransfer,1.0,0
CUST-00141,2023-11-04,44.0,Male,Daejeon,Basic,248701.0,71.4,0.0,1,6,Android,BankTransfer,4.0,0
CUST-00142,2024-06-25,24.0,Male,Daegu,Basic,55413.0,21.1,3.0,1,1,Android,BankTransfer,2.0,1
CUST-00143,2025-11-04,50.0,Female,Daegu,Basic,70526.0,62.5,3.0,3,12,Web,Mobile,4.0,0
CUST-00144,2025-08-26,56.0,Male,Daejeon,Premium,93743.0,48.4,2.0,0,6,Web,Mobile,5.0,0
CUST-00145,2023-04-21,47.0,Female,Incheon,Basic,32888.0,20.4,2.0,0,12,Android,BankTransfer,3.0,0
CUST-00146,2025-07-28,49.0,Female,Seoul,Premium,89198.0,25.7,2.0,1,12,Android,Mobile,1.0,1
CUST-00147,2025-11-14,33.0,Male,Daejeon,Standard,70358.0,14.2,3.0,1,24,Android,Card,4.0,0
CUST-00148,2024-05-10,64.0,Female,Daegu,Basic,60994.0,57.4,1.0,0,12,Web,Mobile,1.0,0
CUST-00149,2023-02-14,26.0,Male,Daejeon,Basic,67605.0,22.6,1.0,0,12,Android,Mobile,4.0,0
CUST-00150,2024-06-09,39.0,Male,Daejeon,Standard,90210.0,33.8,0.0,1,12,iOS,Card,1.0,1
CUST-00151,2026-04-09,19.0,Male,Seoul,Standard,70208.0,60.2,3.0,1,6,iOS,Mobile,1.0,0
CUST-00152,2024-02-03,18.0,Male,Busan,Basic,55400.0,27.3,0.0,0,12,iOS,Card,3.0,0
CUST-00153,2023-11-11,51.0,Male,Daejeon,Standard,75517.0,57.2,1.0,1,6,Android,Mobile,1.0,0
CUST-00154,2024-10-28,26.0,Male,Busan,Basic,51956.0,25.1,1.0,0,1,Android,Card,3.0,0
CUST-00155,2024-09-22,45.0,Female,Incheon,Basic,84784.0,70.3,1.0,1,24,Web,BankTransfer,1.0,1
CUST-00156,2024-09-03,34.0,Male,Seoul,Premium,76446.0,52.9,2.0,2,12,Android,VirtualAccount,2.0,0
CUST-00157,2025-10-01,18.0,Female,Daejeon,Standard,54414.0,54.9,3.0,1,6,iOS,BankTransfer,1.0,0
CUST-00158,2024-03-28,25.0,Male,Seoul,Standard,195349.0,50.9,2.0,0,6,Android,VirtualAccount,1.0,0
CUST-00159,2025-07-06,42.0,Female,Seoul,Basic,57961.0,53.5,2.0,1,12,Android,Mobile,4.0,1
CUST-00160,2023-12-28,21.0,Male,Seoul,Premium,70495.0,37.4,3.0,1,6,iOS,VirtualAccount,2.0,1
CUST-00161,2024-01-20,51.0,Male,Incheon,Standard,68647.0,31.1,2.0,1,6,iOS,Card,5.0,0
CUST-00162,2023-12-17,33.0,Female,Daegu,Basic,222052.0,47.7,3.0,2,12,Web,BankTransfer,5.0,0
CUST-00163,2023-05-10,30.0,Female,Seoul,Basic,72262.0,20.7,5.0,0,12,iOS,Card,2.0,0
CUST-00164,2023-10-18,57.0,Male,Daegu,Basic,46553.0,53.8,2.0,1,12,Android,Mobile,1.0,0
CUST-00165,2026-03-05,36.0,Male,Incheon,Basic,66790.0,18.6,3.0,2,12,iOS,BankTransfer,5.0,0
CUST-00166,2024-05-10,52.0,Female,Seoul,Standard,37228.0,31.8,1.0,0,6,Web,VirtualAccount,5.0,0
CUST-00167,2023-08-23,27.0,Male,Seoul,Standard,73318.0,24.5,2.0,0,12,Android,BankTransfer,3.0,0
CUST-00168,2024-01-07,38.0,Female,Busan,Standard,92193.0,22.2,1.0,2,12,Android,Card,1.0,0
CUST-00169,2026-01-15,49.0,Female,Incheon,Basic,49057.0,43.2,3.0,0,6,Web,Mobile,5.0,0
CUST-00170,2023-03-13,39.0,Female,Seoul,Basic,63524.0,44.3,2.0,1,12,iOS,Mobile,5.0,0
CUST-00171,2025-06-10,19.0,Male,Busan,Basic,73999.0,33.4,1.0,0,12,Android,Mobile,3.0,0
CUST-00172,2024-02-04,75.0,Female,Seoul,Standard,50615.0,42.9,0.0,0,24,Web,Mobile,5.0,0
CUST-00173,2024-02-12,42.0,Male,Daegu,Basic,44702.0,54.5,0.0,1,24,Android,BankTransfer,1.0,0
CUST-00174,2025-04-04,36.0,Male,Seoul,Premium,18000.0,69.0,2.0,0,24,Android,BankTransfer,2.0,0
CUST-00175,2025-07-15,44.0,Male,Busan,Standard,53478.0,42.5,0.0,2,12,Android,BankTransfer,2.0,0
CUST-00176,2023-08-08,35.0,Male,Daegu,Premium,83197.0,39.6,0.0,0,24,Android,Mobile,2.0,0
CUST-00177,2026-05-12,48.0,Female,Seoul,Basic,53240.0,4.4,0.0,1,6,Android,Mobile,2.0,1
CUST-00178,2023-11-04,64.0,Female,Seoul,Standard,50453.0,64.4,2.0,0,12,iOS,Card,5.0,0
CUST-00179,2023-09-07,43.0,Male,Seoul,Basic,58703.0,15.7,2.0,1,6,iOS,Card,2.0,0
CUST-00180,2025-11-17,55.0,Female,Seoul,Basic,34033.0,28.4,1.0,0,12,Android,Mobile,1.0,0
CUST-00181,2023-11-19,32.0,Female,Seoul,Standard,37363.0,79.3,1.0,2,1,iOS,Mobile,1.0,0
CUST-00182,2023-07-18,43.0,Male,Seoul,Basic,63306.0,135.4,3.0,1,3,Web,Mobile,5.0,0
CUST-00183,2023-04-16,50.0,Male,Daegu,Basic,73652.0,96.2,5.0,1,6,Android,VirtualAccount,2.0,0
CUST-00184,2025-04-23,24.0,Female,Incheon,Standard,59664.0,35.9,1.0,0,24,Web,Card,2.0,0
CUST-00185,2025-07-15,22.0,Female,Seoul,Standard,54755.0,36.5,3.0,1,24,iOS,Mobile,3.0,0
CUST-00186,2024-07-08,52.0,Female,Busan,Basic,70018.0,10.9,4.0,1,12,iOS,VirtualAccount,1.0,1
CUST-00187,2024-02-15,56.0,Male,Daejeon,Standard,47289.0,53.8,1.0,1,3,Android,Card,1.0,0
CUST-00188,2023-01-29,60.0,Female,Busan,Basic,87879.0,62.1,3.0,0,12,Android,Mobile,2.0,0
CUST-00189,2023-05-05,26.0,Female,Seoul,Basic,111417.0,28.6,2.0,0,6,iOS,Card,4.0,0
CUST-00190,2023-10-16,29.0,Male,Incheon,Basic,79505.0,387.0,1.0,2,1,Web,Card,3.0,0
CUST-00191,2023-01-12,51.0,Female,Seoul,Basic,64168.0,4.1,2.0,0,3,Android,VirtualAccount,5.0,0
CUST-00192,2024-01-26,28.0,Female,Seoul,Standard,83859.0,21.2,2.0,1,24,iOS,BankTransfer,2.0,0
CUST-00193,2026-01-23,37.0,Male,Seoul,Standard,84460.0,30.2,3.0,1,1,iOS,Card,4.0,0
CUST-00194,2024-05-05,73.0,Female,Incheon,Standard,50309.0,33.2,1.0,4,12,iOS,BankTransfer,1.0,0
CUST-00195,2025-01-15,42.0,Female,Seoul,Basic,18000.0,21.3,2.0,0,12,Android,VirtualAccount,4.0,0
CUST-00196,2025-05-05,27.0,Male,Seoul,Standard,73199.0,49.8,1.0,1,12,iOS,VirtualAccount,4.0,0
CUST-00197,2024-10-27,43.0,Female,Seoul,Premium,50050.0,19.3,2.0,0,24,iOS,,1.0,0
CUST-00198,2026-03-03,63.0,Female,Seoul,Standard,45675.0,48.8,1.0,3,6,Android,Mobile,4.0,0
CUST-00199,2025-10-17,36.0,Male,Seoul,Standard,69514.0,17.1,1.0,0,1,iOS,Card,1.0,0
CUST-00200,2025-04-10,50.0,Male,Seoul,Standard,48625.0,39.4,3.0,1,1,iOS,VirtualAccount,3.0,1
CUST-00201,2025-01-04,40.0,Male,Seoul,Premium,54569.0,46.3,3.0,2,12,Web,VirtualAccount,1.0,0
CUST-00202,2023-05-29,38.0,Male,Seoul,Standard,34063.0,31.5,3.0,3,12,Web,Card,2.0,0
CUST-00203,2023-11-26,47.0,Female,Daejeon,Standard,71762.0,15.7,2.0,0,6,Web,VirtualAccount,3.0,0
CUST-00204,2024-06-19,58.0,Female,Incheon,Standard,67742.0,35.4,1.0,0,3,iOS,Card,3.0,0
CUST-00205,2023-08-31,42.0,Male,Daejeon,Standard,84868.0,39.4,0.0,0,3,Android,Card,2.0,0
CUST-00206,2026-03-07,34.0,Male,Daegu,Premium,53698.0,16.8,2.0,1,24,Android,Mobile,1.0,0
CUST-00207,2023-10-11,44.0,Male,Seoul,Standard,83811.0,48.7,2.0,2,6,Android,BankTransfer,4.0,0
CUST-00208,2025-09-11,30.0,Female,Seoul,Standard,76571.0,12.5,2.0,0,24,Android,BankTransfer,5.0,0
CUST-00209,2023-11-25,43.0,Female,Seoul,Standard,66549.0,27.3,0.0,0,12,iOS,VirtualAccount,3.0,0
CUST-00210,2025-03-15,42.0,Male,Busan,Basic,54574.0,42.7,0.0,1,3,Web,BankTransfer,5.0,0
CUST-00211,2023-04-18,35.0,Male,Daegu,Standard,48232.0,27.2,2.0,1,12,Android,VirtualAccount,4.0,0
CUST-00212,2026-05-23,54.0,Male,Daejeon,Basic,72560.0,38.1,2.0,0,12,iOS,BankTransfer,4.0,0
CUST-00213,2026-04-11,40.0,Female,Seoul,Basic,62983.0,39.0,3.0,1,12,Android,BankTransfer,5.0,0
CUST-00214,2024-10-29,38.0,Male,Busan,Basic,41753.0,26.9,1.0,1,12,Android,Card,4.0,0
CUST-00215,2023-04-01,37.0,Male,Daegu,Standard,55989.0,45.0,2.0,1,24,iOS,BankTransfer,4.0,0
CUST-00216,2026-02-10,48.0,Female,Busan,Standard,45013.0,25.1,1.0,3,6,iOS,VirtualAccount,2.0,0
CUST-00217,2025-07-10,31.0,Female,Busan,Standard,45244.0,60.6,2.0,0,12,iOS,Mobile,2.0,0
CUST-00218,2023-04-28,48.0,Female,Busan,Basic,76034.0,81.5,1.0,0,12,Web,BankTransfer,5.0,0
CUST-00219,2023-10-06,38.0,Male,Busan,Standard,62607.0,60.5,1.0,1,3,Web,Mobile,2.0,0
CUST-00220,2023-10-01,38.0,Female,Incheon,Basic,53639.0,27.3,0.0,2,12,iOS,VirtualAccount,3.0,0
CUST-00221,2024-03-13,27.0,Female,Seoul,Standard,65117.0,22.2,2.0,0,3,Android,VirtualAccount,4.0,0
CUST-00222,2024-06-02,52.0,Male,Busan,Basic,63692.0,25.8,0.0,3,3,iOS,VirtualAccount,4.0,0
CUST-00223,2026-02-07,22.0,Male,Incheon,Standard,96292.0,30.5,2.0,0,6,Android,VirtualAccount,3.0,0
