order_id,order_date,distance_km,traffic_index,stop_count,driver_experience_years,region,weather,vehicle_type,service_level,package_type,delivery_fee,departure_hour,delivery_time_min
ORD-20260184,2026-04-11,18.47,70.4,8,3.6,Seoul,clear,van,normal,large,4614.0,18,139.0
ORD-20260185,2026-04-27,6.64,28.8,10,0.6,Incheon,cloudy,truck,same_day,small,6575.0,15,77.7
ORD-20260186,2026-03-04,29.22,46.3,4,4.4,Daejeon,clear,truck,normal,large,6145.0,14,139.6
ORD-20260187,2026-05-31,20.18,30.7,6,4.4,Daejeon,clear,motorbike,normal,small,4830.0,14,100.3
ORD-20260188,2026-07-31,61.52,53.6,5,3.4,Incheon,clear,van,normal,large|fragile,9236.0,15,209.4
ORD-20260189,2026-02-11,34.86,81.0,7,2.5,Daegu,clear,truck,normal,medium,5312.0,18,167.6
ORD-20260190,2026-04-20,13.75,45.8,6,1.9,Seoul,cloudy,van,normal,large,4848.0,19,127.2
ORD-20260191,2026-06-06,4.3,42.8,7,4.1,Incheon,clear,van,normal,small|fragile,3484.0,12,63.4
ORD-20260192,2026-05-15,7.8,45.1,6,0.9,Daegu,clear,van,normal,small,,17,91.6
ORD-20260193,2026-07-03,14.62,39.0,5,8.9,Busan,clear,van,same_day,small,6317.0,8,74.8
ORD-20260194,2026-05-05,26.08,54.4,2,5.4,Busan,cloudy,van,express,medium,6716.0,15,109.5
ORD-20260195,2026-07-20,16.01,46.3,10,6.8,Daegu,clear,van,normal,medium,5515.0,13,112.3
ORD-20260196,2026-02-02,25.67,81.1,4,1.9,Incheon,clear,motorbike,express,medium,7059.0,10,118.5
ORD-20260197,2026-01-29,15.36,65.1,2,5.9,Seoul,clear,motorbike,normal,medium,4068.0,21,95.9
ORD-20260198,2026-04-11,6.81,39.5,6,6.8,Busan,rain,van,normal,medium|fragile,4601.0,16,94.7
ORD-20260199,2026-03-30,19.92,79.6,6,4.8,Seoul,clear,van,normal,small,4522.0,8,133.4
ORD-20260200,2026-06-13,11.06,50.4,4,4.7,Seoul,clear,van,normal,small,3406.0,19,94.3
ORD-20260201,2026-03-23,30.49,37.3,6,0.6,Incheon,clear,van,normal,small|fragile,6219.0,19,141.9
ORD-20260202,2026-05-21,11.29,23.9,1,2.4,Daejeon,clear,van,express,large|fragile,6353.0,9,72.6
ORD-20260203,2026-05-29,19.4,91.3,3,7.4,Daegu,clear,van,same_day,medium,6746.0,6,105.4
ORD-20260204,2026-02-19,24.45,67.1,5,1.8,Incheon,clear,truck,express,medium,8069.0,6,122.8
ORD-20260205,2026-06-28,18.55,69.9,10,6.6,Incheon,rain,van,express,small,7913.0,17,126.2
ORD-20260206,2026-06-19,23.13,77.1,3,6.4,Daejeon,clear,truck,normal,large,5032.0,20,131.0
ORD-20260207,2026-05-21,20.13,62.5,2,5.3,Busan,clear,truck,normal,medium|fragile,4526.0,8,123.2
ORD-20260208,2026-01-02,15.91,51.2,4,3.0,Busan,rain,truck,normal,medium|fragile,5142.0,12,125.4
ORD-20260209,2026-02-13,28.85,35.6,5,4.0,Busan,rain,van,express,large,7237.0,17,130.2
ORD-20260210,2026-07-15,29.49,59.6,4,1.8,Daegu,cloudy,motorbike,normal,medium|fragile,5776.0,7,147.5
ORD-20260211,2026-05-30,30.05,19.7,3,3.9,Seoul,clear,van,express,medium|fragile,7350.0,15,107.0
ORD-20260212,2026-02-12,14.8,28.5,11,7.6,Seoul,clear,truck,normal,small,5146.0,17,115.6
ORD-20260213,2026-07-16,52.1,72.7,4,3.6,Seoul,cloudy,truck,normal,small,7488.0,15,198.4
ORD-20260214,2026-04-19,23.18,55.6,7,3.7,Daegu,cloudy,van,express,medium,7359.0,17,109.2
ORD-20260215,2026-07-04,33.09,57.4,2,2.0,Busan,cloudy,truck,normal,large|fragile,6173.0,14,145.0
ORD-20260216,2026-08-07,253.16,36.4,4,4.9,Seoul,clear,van,express,medium,5485.0,9,79.7
ORD-20260217,2026-07-12,15.43,11.3,8,3.3,Incheon,cloudy,truck,normal,small,4840.0,19,101.6
ORD-20260218,2026-06-30,17.92,64.0,3,0.2,Busan,clear,truck,normal,large|fragile,4562.0,16,113.1
ORD-20260219,2026-05-16,13.64,53.1,9,4.7,Daejeon,clear,van,same_day,large,6620.0,16,101.9
ORD-20260220,2026-01-22,21.95,52.2,0,5.7,Busan,rain,van,normal,large,4463.0,19,129.6
ORD-20260221,2026-04-20,27.92,31.5,5,5.1,Busan,clear,van,normal,large,5687.0,11,112.0
ORD-20260222,2026-05-05,25.35,47.3,8,4.2,Daegu,cloudy,van,express,small|fragile,8703.0,8,117.0
ORD-20260223,2026-05-25,64.13,78.0,5,6.1,Seoul,rain,van,same_day,medium,10901.0,18,218.6
ORD-20260224,2026-01-21,17.13,16.0,3,3.1,Seoul,rain,van,same_day,small,5865.0,21,77.2
ORD-20260225,2026-07-27,15.54,65.8,3,1.7,Incheon,clear,truck,normal,medium,3687.0,14,110.4
ORD-20260226,2026-05-06,11.03,71.3,10,0.7,Busan,cloudy,van,express,medium,6931.0,10,110.2
ORD-20260227,2026-03-29,19.89,48.2,8,7.4,Busan,clear,truck,normal,large,5759.0,8,130.0
ORD-20260228,2026-08-07,18.77,48.3,5,8.1,Daejeon,cloudy,truck,express,medium|fragile,6211.0,9,94.7
ORD-20260229,2026-02-06,58.66,60.7,6,7.5,Incheon,clear,van,normal,large,8229.0,7,201.9
ORD-20260230,2026-06-21,62.91,44.4,7,5.1,Seoul,clear,van,normal,small,10276.0,7,209.5
ORD-20260231,2026-06-22,33.35,36.2,8,3.4,Seoul,clear,van,normal,small|fragile,7302.0,6,139.3
ORD-20260232,2026-02-13,11.8,32.9,3,8.7,Busan,clear,truck,same_day,medium,4684.0,10,60.8
ORD-20260233,2026-01-31,24.4,46.8,5,3.7,Daegu,clear,van,normal,large|fragile,5523.0,6,116.2
ORD-20260234,2026-06-05,10.41,61.4,5,1.2,Daejeon,clear,motorbike,normal,small,,16,86.1
ORD-20260235,2026-06-29,5.04,81.2,8,6.6,Incheon,cloudy,truck,normal,medium,3977.0,10,97.7
ORD-20260236,2026-04-26,9.19,51.2,2,2.6,Busan,cloudy,truck,express,small,6391.0,9,84.8
ORD-20260237,2026-04-10,30.55,5.0,1,2.4,Daegu,clear,motorbike,express,large,7416.0,19,110.1
ORD-20260238,2026-03-02,13.35,35.1,3,5.5,Busan,cloudy,van,express,large,5191.0,6,73.3
ORD-20260239,2026-01-02,15.46,59.3,4,6.3,Daejeon,clear,truck,normal,large|fragile,5032.0,11,103.8
