customer_id,gender,age,city,signup_date,plan_type,payment_method,monthly_usage_hours,support_calls,monthly_fee,satisfaction_score,churn
C0053,F,45,Incheon,2025-07-25,Basic,Card,44.4,2,15.6,4,0
C0054,M,,Seoul,2024-04-11,Standard,Card,56.0,3,32.9,2,1
C0055,F,40,Seoul,2024-10-22,Standard,Card,51.4,1,31.0,3,0
C0056,F,23,,2024-03-14,Premium,Mobile,64.3,5,43.9,4,0
C0057,M,29,Incheon,2024-03-23,Standard,Card,26.2,0,33.4,4,0
C0058,F,49,Busan,2025-04-26,Basic,Bank,28.0,0,18.7,3,0
C0059,F,24,Seoul,2025-02-25,Basic,Card,30.1,1,17.1,5,0
C0060,M,34,Daegu,2024-01-02,Premium,Mobile,63.5,0,58.4,3,0
C0061,M,35,Seoul,2025-12-16,Premium,Card,50.6,1,46.5,4,0
C0062,F,30,Incheon,2024-04-30,Premium,Card,56.4,1,61.5,5,0
C0063,M,42,Seoul,2025-06-04,Basic,Mobile,27.0,2,17.6,1,1
C0064,M,38,Busan,2025-05-16,Standard,Mobile,,3,31.1,3,0
C0065,M,54,Busan,2025-02-24,Basic,Mobile,5.4,5,20.1,4,0
C0066,F,32,Seoul,2025-03-26,Standard,Mobile,42.1,5,38.4,1,0
C0067,F,19,Seoul,2024-12-02,Standard,Bank,47.5,4,31.7,3,0
C0068,F,,Seoul,2024-04-02,Basic,Card,22.6,1,19.5,4,0
C0069,F,52,Busan,2025-06-27,Basic,Card,33.6,0,21.0,2,1
C0070,F,21,Busan,2025-11-13,Standard,Card,42.2,5,33.1,5,0
C0071,M,43,Incheon,2024-11-05,Standard,Card,41.3,2,34.4,3,0
C0072,M,53,Seoul,2024-02-20,Basic,Mobile,30.8,4,16.8,5,1
C0073,M,36,Busan,2025-11-28,Standard,Bank,49.0,3,32.2,5,0
C0074,M,34,Busan,2024-05-15,Standard,Card,37.2,3,31.2,3,1
C0075,M,43,Incheon,2024-03-18,Premium,Card,56.1,5,40.2,5,0
C0076,M,43,Busan,2025-11-19,Basic,Card,33.9,2,21.4,4,0
C0077,M,41,Busan,2024-11-05,Premium,Mobile,54.0,1,57.8,1,1
C0078,F,39,,2025-07-07,Standard,Bank,38.1,0,32.6,2,0
C0079,M,,Seoul,2024-08-29,Basic,Card,24.7,2,18.1,4,0
C0080,M,30,Incheon,2024-08-05,Premium,Card,86.5,0,50.4,1,1
C0081,F,50,Busan,2024-12-02,Basic,Mobile,35.8,2,14.6,4,0
C0082,M,36,Incheon,2024-08-31,Basic,Card,22.9,1,18.8,3,1
C0083,F,19,Seoul,2025-09-21,Basic,Bank,30.8,5,20.2,5,0
C0084,F,54,Seoul,2025-03-30,Basic,Bank,,2,19.5,4,0
C0085,M,25,Busan,2025-12-19,Standard,Card,52.1,4,27.4,5,0
C0086,F,19,Seoul,2024-11-16,Standard,Card,52.6,1,35.2,2,0
C0087,F,19,Seoul,2025-07-29,Basic,Card,35.5,0,17.6,3,0
C0088,F,48,Seoul,2025-11-03,Standard,Card,145.7,0,32.4,3,0
C0089,F,41,Incheon,2025-10-20,Premium,Bank,38.1,0,52.9,4,0
C0090,M,43,Busan,2024-03-12,Basic,Bank,23.2,3,21.8,1,1
C0091,M,39,Seoul,2024-02-23,Premium,Bank,65.9,3,56.7,1,0
C0092,M,29,Seoul,2025-11-25,Basic,Card,,1,16.4,4,0
C0093,F,41,Daegu,2024-05-02,Standard,Card,67.4,5,30.0,2,1
C0094,M,52,Busan,2024-11-16,Basic,Mobile,37.6,0,17.5,4,1
C0095,M,46,Seoul,2025-03-23,Standard,Card,65.6,2,30.5,4,0
C0096,M,38,Busan,2024-07-17,Standard,Bank,60.8,3,36.7,4,0
C0097,F,34,Busan,2025-10-05,Standard,Card,48.8,0,26.5,4,0
C0098,M,44,Busan,2024-11-06,Basic,Card,16.4,2,15.8,3,1
C0099,M,36,Incheon,2025-06-03,Premium,Bank,54.2,0,52.6,5,0
C0100,F,30,Busan,2024-12-17,Basic,Card,39.3,2,18.9,4,0
C0101,F,20,Seoul,2024-02-23,Standard,Bank,60.6,2,38.4,1,1
C0102,F,28,Busan,2025-12-16,Basic,Mobile,,1,17.9,4,0
C0103,M,40,Daegu,2025-06-23,Standard,Bank,26.9,4,37.0,4,0
C0104,M,45,Busan,2024-04-13,Basic,Card,23.9,0,18.8,4,0
C0105,F,30,Busan,2024-06-18,Standard,Bank,38.3,2,32.2,3,0
C0106,M,35,Incheon,2024-07-17,Standard,Mobile,50.1,0,31.2,5,0
C0107,M,53,Daegu,2025-10-18,Basic,Card,23.7,0,19.3,5,1
C0108,F,35,Incheon,2024-08-15,Basic,Card,19.2,3,14.3,5,0
C0109,M,44,Busan,2025-10-27,Premium,Mobile,57.6,1,51.2,1,0
C0110,M,34,Busan,2025-07-15,Basic,Mobile,28.4,4,17.7,3,1
C0111,F,19,Seoul,2025-09-03,Basic,Mobile,37.4,0,18.2,4,1
C0112,M,35,Seoul,2024-03-10,Basic,Mobile,39.4,4,18.1,4,0
C0113,F,19,Busan,2024-12-19,Basic,Bank,4.7,2,22.7,2,1
C0114,M,19,Busan,2025-12-13,Standard,Card,36.3,1,32.2,2,1
C0115,F,41,Busan,2025-07-10,Premium,Bank,60.0,1,63.7,4,1
C0116,M,,Seoul,2025-01-30,Basic,Card,47.5,1,20.4,4,0
C0117,F,34,Seoul,2024-11-24,Premium,Bank,53.6,3,56.7,3,1
C0118,M,33,Incheon,2024-10-08,Basic,Mobile,30.6,0,15.6,1,0
C0119,F,,Seoul,2024-03-09,Standard,Card,40.2,2,34.9,3,1
C0120,M,44,Daegu,2025-02-11,Standard,Bank,38.6,1,36.2,5,0
C0121,F,34,Seoul,2025-05-17,Premium,Card,66.5,2,61.0,1,0
C0122,M,27,Seoul,2024-06-10,Basic,Card,13.0,1,13.4,4,1
C0123,F,36,Seoul,2025-04-23,Basic,Bank,20.2,2,16.0,4,0
C0124,M,19,Daegu,2025-10-19,Basic,Mobile,25.0,4,20.3,4,0
C0125,F,35,Seoul,2025-06-14,Premium,Mobile,52.3,2,49.5,3,0
C0126,M,39,Seoul,2024-11-06,Standard,Card,35.1,1,30.1,4,0
C0127,M,42,Daegu,2025-10-18,Basic,Card,16.2,2,17.1,2,1
C0128,M,29,Busan,2025-04-09,Premium,Card,50.7,2,54.3,3,0
C0129,M,40,Incheon,2025-01-14,Basic,Card,20.6,1,18.9,3,1
C0130,F,32,Seoul,2024-06-12,Basic,Mobile,38.5,3,13.6,4,0
C0131,M,26,Busan,2024-09-03,Premium,Bank,58.1,2,54.3,1,0
C0132,M,34,Busan,2025-01-09,Basic,Card,29.4,2,16.6,3,0
C0133,F,26,Seoul,2025-09-17,Premium,Bank,65.9,5,49.6,3,0
C0134,F,38,Seoul,2024-12-07,Basic,Card,40.5,2,16.1,2,0
C0135,M,50,Daegu,2025-06-05,Basic,Card,56.7,0,18.2,3,0
C0136,M,19,Daegu,2025-04-30,Standard,Card,32.1,1,31.8,5,1
C0137,M,41,Seoul,2025-11-28,Premium,Card,71.6,2,59.0,4,0
C0138,M,31,Daegu,2024-03-04,Premium,Mobile,47.5,1,53.9,4,0
C0139,F,23,Seoul,2025-11-28,Standard,Mobile,45.4,0,34.9,4,0
C0140,F,61,Daegu,2025-05-15,Standard,Bank,30.8,1,34.8,5,1
C0141,M,42,Seoul,2024-02-13,Standard,Card,35.3,1,31.5,3,0
C0142,F,38,Seoul,2025-08-23,Basic,Card,20.3,2,19.8,5,1
C0143,M,34,Daegu,2024-06-10,Basic,Bank,23.0,0,22.2,5,0
C0144,M,34,Daegu,2024-02-08,Standard,Card,45.7,3,37.5,5,0
C0145,M,36,Daegu,2024-02-08,Premium,Card,51.1,4,53.6,2,0
C0146,M,39,Seoul,2024-12-04,Basic,Mobile,24.2,3,21.4,3,0
C0147,F,43,Incheon,2024-03-29,Premium,Bank,77.3,1,55.7,5,1
C0148,M,36,Incheon,2024-01-12,Basic,Bank,46.3,2,21.4,3,1
C0149,M,29,Incheon,2024-05-16,Basic,Card,13.4,0,19.4,5,0
C0150,F,36,Seoul,2025-06-24,Standard,Bank,25.4,1,38.1,4,0
C0151,F,45,Seoul,2025-05-15,Standard,Bank,60.6,4,30.0,5,0
C0152,F,21,Busan,2024-01-04,Basic,Card,22.1,2,15.7,1,0
C0153,F,46,Busan,2025-10-18,Basic,Card,26.9,4,18.5,3,0
C0154,M,24,Seoul,2024-12-22,Standard,Bank,53.7,6,40.8,3,0
C0155,F,46,,2024-08-23,Standard,Card,40.3,2,39.2,3,1
C0156,M,19,Incheon,2025-08-31,Basic,Card,10.9,4,19.7,4,0
C0157,F,19,Daegu,2024-08-27,Basic,Mobile,23.4,3,15.3,3,0
C0158,M,55,Seoul,2025-07-24,Basic,Card,5.5,5,17.4,5,0
C0159,M,48,Daegu,2024-06-01,Basic,Card,22.1,1,20.5,4,0
C0160,F,42,Seoul,2024-05-17,Premium,Bank,35.1,1,56.6,3,0
C0161,F,44,Seoul,2025-08-24,Basic,Card,31.4,1,15.8,3,0
C0162,F,36,Daegu,2024-09-05,Standard,Bank,48.9,1,34.2,3,0
C0163,M,25,Busan,2024-04-10,Standard,Card,39.8,3,33.0,4,0
C0164,F,28,Busan,2025-08-16,Basic,Mobile,25.0,1,16.9,2,1
C0165,M,34,Incheon,2024-06-21,Standard,Card,62.4,2,31.9,2,0
C0166,F,19,Busan,2024-01-07,Premium,Card,54.8,0,53.3,3,0
C0167,M,48,Incheon,2024-01-17,Premium,Bank,63.8,4,53.3,1,0
C0168,F,19,Seoul,2024-04-08,Premium,Card,57.8,0,58.7,4,0
C0169,F,27,Seoul,2025-12-01,Premium,Card,66.0,2,53.0,5,0
C0170,M,31,Busan,2025-03-20,Basic,Card,26.8,1,17.2,5,0
C0171,F,39,Incheon,2024-03-17,Standard,Card,63.5,1,32.8,4,0
C0172,F,47,Daegu,2024-03-19,Standard,Card,38.5,1,37.1,4,0
C0173,M,35,Incheon,2024-12-20,Standard,Bank,36.0,4,30.8,5,0
C0174,M,43,Seoul,2024-08-21,Standard,Card,40.1,0,31.8,3,1
C0175,M,39,Busan,2025-10-11,Basic,Bank,11.4,3,21.0,3,0
C0176,M,,Seoul,2024-04-15,Standard,Bank,44.8,3,31.5,2,1
C0177,M,20,Daegu,2024-09-05,Standard,Mobile,51.9,1,35.9,3,0
C0178,F,38,Busan,2024-09-09,Standard,Card,49.7,1,32.2,4,1
C0179,M,28,,2025-10-28,Basic,Card,41.3,3,18.8,3,0
C0180,M,43,Seoul,2024-09-05,Standard,Bank,40.2,1,28.6,4,0
C0181,F,29,,2025-03-24,Standard,Bank,29.4,3,37.6,1,0
C0182,F,30,Seoul,2024-03-16,Standard,Bank,35.9,0,26.2,4,0
C0183,M,19,Seoul,2025-10-15,Premium,Bank,,2,51.4,3,0
C0184,M,43,Daegu,2024-08-15,Basic,Card,26.0,0,18.8,4,0
C0185,F,33,Busan,2024-04-28,Basic,Mobile,30.0,3,15.5,3,0
C0186,M,24,Seoul,2025-12-28,Basic,Card,29.8,4,22.2,4,0
C0187,F,22,Seoul,2025-02-18,Standard,Card,40.6,1,29.5,4,0
C0188,M,26,Daegu,2024-03-05,Basic,Bank,22.0,0,16.9,4,1
C0189,M,20,Seoul,2024-12-22,Standard,Bank,39.3,1,31.1,2,0
C0190,F,30,Busan,2024-05-24,Basic,Card,19.6,0,18.8,2,0
C0191,F,24,Busan,2024-02-24,Basic,Card,23.7,5,14.4,3,0
C0192,M,25,Daegu,2025-08-01,Standard,Card,48.9,5,33.3,3,1
C0193,M,19,Seoul,2024-10-01,Standard,Bank,34.4,2,34.4,3,0
C0194,F,39,Daegu,2024-02-03,Standard,Card,41.7,0,23.6,5,0
C0195,F,39,Seoul,2025-03-14,Premium,Bank,75.4,2,55.7,2,1
C0196,M,30,Incheon,2025-06-10,Basic,Bank,24.2,4,18.7,2,0
C0197,M,38,Incheon,2024-09-10,Basic,Bank,23.8,2,15.3,3,0
C0198,M,,Daegu,2025-12-12,Basic,Bank,36.9,3,18.1,5,0
C0199,F,33,Seoul,2025-07-01,Basic,Card,15.9,0,22.9,5,0
C0200,F,24,Seoul,2024-04-11,Standard,Card,36.9,0,35.9,1,0
C0201,M,39,Busan,2024-10-07,Standard,Card,58.1,3,31.4,2,1
C0202,M,32,Seoul,2024-08-06,Basic,Card,9.8,1,19.2,3,0
C0203,F,45,Busan,2024-04-14,Basic,Card,27.1,3,20.4,3,0
C0204,F,46,Seoul,2024-08-06,Basic,Card,33.9,1,18.0,3,1
C0205,F,38,Daegu,2024-05-23,Basic,Card,32.3,2,22.6,3,0
C0206,F,43,Busan,2025-02-05,Standard,Bank,28.8,2,37.9,5,1
C0207,M,,Incheon,2024-11-20,Basic,Card,24.8,4,22.7,4,0
C0208,F,38,Busan,2025-02-11,Basic,Card,28.4,0,18.9,4,1
C0209,F,33,Seoul,2025-07-03,Basic,Mobile,37.3,1,21.9,4,0
C0210,M,32,Busan,2025-04-09,Basic,Card,6.9,1,18.5,4,1
C0211,F,33,Incheon,2024-09-22,Standard,Bank,35.7,2,33.1,4,0
C0212,F,29,,2025-10-04,Basic,Mobile,38.0,3,20.3,3,0
C0213,M,38,Seoul,2024-01-03,Basic,Bank,4.9,5,20.4,3,1
C0214,F,19,,2025-03-02,Basic,Card,20.1,3,17.9,5,0
C0215,F,42,Incheon,2025-04-21,Premium,Card,75.9,4,56.9,3,0
C0216,M,27,Seoul,2025-05-20,Standard,Bank,38.3,5,28.0,4,1
C0217,M,47,Seoul,2024-12-09,Standard,Card,44.1,4,33.8,5,0
C0218,F,19,Incheon,2024-02-14,Basic,Card,41.5,5,16.5,4,0
C0219,F,,Seoul,2024-03-04,Basic,Bank,21.7,0,21.6,3,0
C0220,M,31,,2025-08-21,Basic,Bank,36.0,2,19.7,3,0
