customer_id,age,gender,city,monthly_fee,usage_hours,login_count,support_calls,contract_months,churn
C045,28,M,울산,70000,29.4,17,1,12,1
C046,41,F,부산,55000,26.9,17,2,1,0
C047,24,M,대구,40000,32.8,19,2,1,0
C048,30,M,대구,35000,37.1,21,2,1,0
C049,32,M,서울,75000,32.8,28,1,1,0
C050,43,M,서울,50000,49.3,25,2,12,1
C051,29,F,부산,65000,41.3,16,3,12,0
C052,35,M,부산,60000,18.1,18,4,24,0
C053,51,M,서울,45000,18.7,30,1,1,1
C054,55,M,대구,75000,22.8,16,0,1,1
C055,57,F,서울,65000,9.5,37,0,12,1
C056,27,M,부산,80000,28.5,6,2,24,0
C057,43,M,부산,80000,,16,4,3,1
C058,38,F,서울,50000,29.5,18,2,12,1
C059,23,M,부산,70000,36.8,17,2,12,0
C060,48,F,부산,70000,47.3,23,2,24,1
C061,,F,대구,35000,33.0,26,3,24,0
C062,49,M,대구,45000,42.2,20,0,3,0
C063,29,M,부산,85000,24.9,28,0,1,1
C064,,F,서울,70000,27.8,25,2,6,0
C065,56,M,울산,75000,38.8,9,2,24,0
C066,51,M,서울,55000,24.6,12,4,3,1
C067,55,M,서울,50000,31.9,21,2,1,0
C068,43,F,서울,85000,8.2,23,2,3,0
C069,58,M,대구,45000,17.6,15,6,1,1
C070,38,F,서울,60000,52.7,23,2,24,0
C071,28,M,부산,85000,38.7,12,2,1,1
C072,51,M,서울,60000,22.8,13,4,24,1
C073,35,F,부산,85000,23.1,21,0,12,0
C074,51,M,,70000,36.5,16,2,12,1
C075,29,M,서울,45000,22.3,27,0,24,0
C076,54,M,서울,40000,13.0,7,0,3,0
C077,26,F,부산,45000,35.0,16,2,6,0
C078,31,M,부산,70000,22.4,24,0,3,0
C079,49,F,대구,85000,22.4,19,1,6,0
C080,49,F,부산,55000,30.6,20,1,12,0
C081,45,F,부산,75000,37.7,1,4,6,1
C082,32,F,대구,80000,21.4,19,0,3,0
C083,48,M,서울,80000,49.8,29,1,3,1
C084,37,M,부산,60000,43.0,23,1,6,0
C085,34,F,울산,85000,27.1,16,1,1,1
C086,43,M,대구,60000,37.8,32,2,24,0
C087,49,F,서울,30000,50.5,31,1,1,0
C088,54,F,서울,80000,45.2,22,3,1,0
C089,43,M,서울,40000,35.4,15,1,6,1
C090,49,M,대구,75000,18.2,6,0,1,0
C091,24,M,서울,40000,28.8,21,2,3,0
C092,21,M,부산,85000,31.5,20,0,1,1
C093,24,F,서울,50000,26.3,17,0,1,0
C094,21,M,울산,55000,31.3,15,2,12,1
C095,37,F,서울,70000,19.0,16,1,1,0
C096,33,F,서울,40000,28.6,6,3,12,1
C097,43,M,대구,60000,52.7,23,2,6,0
C098,41,M,서울,75000,35.0,24,1,1,0
C099,33,M,대구,40000,38.4,12,1,6,0
C100,59,M,서울,75000,29.9,20,0,3,1
C101,31,M,서울,55000,49.9,22,2,24,0
C102,40,M,울산,35000,31.1,23,4,1,1
C103,37,M,대구,30000,28.7,20,1,24,0
C104,,M,부산,40000,17.5,19,0,6,1
C105,44,M,서울,75000,33.6,15,2,1,1
C106,45,F,부산,55000,29.3,24,2,24,0
C107,26,M,서울,55000,20.1,16,1,6,0
C108,32,F,서울,75000,42.2,20,0,3,1
C109,24,M,울산,75000,11.9,18,2,24,0
C110,40,M,서울,60000,18.9,12,2,6,1
C111,22,M,서울,45000,53.2,24,3,24,0
C112,22,F,울산,70000,18.9,14,0,12,0
C113,41,M,서울,35000,50.3,20,4,24,0
C114,41,M,대구,75000,31.2,14,3,24,0
C115,58,M,부산,70000,18.2,4,1,12,1
C116,41,M,대구,80000,48.3,33,2,1,0
C117,31,M,부산,85000,23.4,18,2,1,1
C118,41,M,서울,35000,35.7,24,5,24,0
C119,35,F,서울,85000,31.9,10,0,12,0
C120,48,F,대구,85000,29.8,11,3,3,0
