customer_id,age,gender,region,plan_type,contract_type,payment_method,signup_date,tenure_months,monthly_fee,support_calls,late_payments,avg_weekly_hours,auto_payment,churn
C100150,30.0,Female,Seoul,Premium,Monthly,Bank transfer,2024-06-28,18.0,79.9,3.0,2.0,6.1,No,0
C100321,24.0,Female,Seoul,Basic,Monthly,Mobile,2025-03-01,10.0,27.4,2.0,1.0,13.5,No,0
C100518,40.0,Female,Daejeon,Premium,Monthly,Card,2024-11-20,13.0,68.0,1.0,1.0,2.3,No,0
C100568,32.0,Female,Daejeon,Basic,Monthly,Bank transfer,2023-06-03,30.0,37.8,1.0,1.0,7.4,Yes,0
C100460,37.0,Male,Seoul,Standard,Monthly,Bank transfer,2024-12-29,12.0,42.5,1.0,3.0,8.0,No,0
C100452,45.0,Female,Seoul,Standard,One-year,Card,2025-09-07,3.0,46.1,1.0,3.0,1.1,Yes,0
C100507,24.0,Female,Busan,Basic,One-year,Card,2022-11-07,37.0,31.2,2.0,0.0,2.9,Yes,0
C100542,46.0,Male,Busan,Basic,Two-year,Card,2022-04-23,44.0,31.4,1.0,0.0,3.9,No,0
C100558,38.0,Male,Daegu,Standard,Monthly,Bank transfer,2022-02-11,46.0,48.8,0.0,3.0,6.6,No,0
C100124,23.0,Female,Busan,Basic,Two-year,Card,2023-07-29,29.0,22.8,4.0,0.0,2.2,No,1
C100337,30.0,Female,Gwangju,Basic,One-year,Bank transfer,2024-08-17,16.0,27.0,2.0,0.0,6.8,Yes,0
C100312,49.0,Male,Daegu,Standard,Monthly,Mobile,2025-01-18,11.0,43.9,3.0,0.0,0.2,No,0
C100538,40.0,Female,Seoul,Basic,Monthly,Card,2024-04-27,20.0,24.0,0.0,0.0,3.2,Yes,0
C100033,45.0,Female,Daejeon,Basic,Monthly,Card,2025-02-25,10.0,19.7,1.0,2.0,4.2,Yes,0
C100336,42.0,,Seoul,Standard,Monthly,Card,2025-09-14,3.0,53.3,1.0,0.0,3.8,No,0
C100187,51.0,Female,Busan,Standard,Two-year,Mobile,2024-12-25,12.0,37.6,0.0,2.0,5.6,No,0
C100614,39.0,Male,Busan,Basic,Monthly,Mobile,2025-01-09,11.0,23.8,3.0,1.0,19.0,No,0
C100130,42.0,Male,Seoul,Basic,Monthly,Card,2022-05-10,43.0,34.5,1.0,1.0,2.5,No,1
C100054,43.0,Male,Busan,Basic,One-year,Mobile,2024-05-26,19.0,18.3,0.0,0.0,5.8,Yes,0
C100468,29.0,Female,Seoul,Premium,Monthly,Card,2023-08-11,28.0,79.5,2.0,2.0,2.9,No,1
C100178,45.0,Male,Daejeon,Basic,Monthly,Card,2023-01-01,36.0,27.9,0.0,0.0,8.4,Yes,0
C100334,45.0,Female,Seoul,Basic,Monthly,Card,2022-08-01,41.0,19.9,1.0,0.0,2.1,Yes,0
C100393,60.0,Male,Daegu,Basic,Monthly,Mobile,2025-09-27,3.0,17.0,0.0,2.0,1.1,No,1
C100127,42.0,Female,Daejeon,Premium,Monthly,Card,2024-04-04,20.0,68.4,3.0,2.0,3.7,No,1
C100215,32.0,Male,Seoul,Standard,Two-year,Mobile,2023-06-27,30.0,39.9,0.0,1.0,2.8,Yes,0
C100102,56.0,Female,Seoul,Standard,Monthly,Mobile,2025-11-20,1.0,56.4,4.0,0.0,5.5,No,0
C100513,43.0,Male,Busan,Basic,Monthly,Card,2025-10-20,2.0,20.8,0.0,0.0,4.1,No,1
C100447,45.0,Male,Seoul,Premium,Monthly,Card,2022-02-11,46.0,76.0,0.0,0.0,4.3,Yes,0
C100408,,Male,Seoul,Basic,One-year,Card,2023-02-23,34.0,17.9,2.0,0.0,7.5,No,0
C100050,37.0,Male,Seoul,Standard,One-year,Mobile,2025-09-14,3.0,38.6,3.0,3.0,7.9,Yes,0
C100331,48.0,Male,Seoul,Basic,Monthly,Mobile,2024-02-04,22.0,28.3,1.0,0.0,5.1,No,0
C100493,25.0,Male,Busan,Premium,Monthly,Card,2023-08-04,28.0,75.0,2.0,0.0,1.9,Yes,0
C100090,42.0,Female,Busan,Basic,Monthly,Card,2024-12-24,12.0,20.8,2.0,1.0,6.2,Yes,0
C100029,54.0,Male,Seoul,Standard,Monthly,Mobile,2024-05-16,19.0,44.0,0.0,2.0,1.6,No,1
C100088,55.0,Female,Busan,Basic,Monthly,Mobile,2025-08-20,4.0,12.8,3.0,1.0,6.2,Yes,1
C100223,32.0,Male,Busan,Premium,Monthly,Mobile,2023-01-04,35.0,82.8,0.0,2.0,42.0,Yes,0
C100038,36.0,Male,Seoul,Basic,One-year,Card,2022-01-04,47.0,15.9,2.0,0.0,4.6,Yes,0
C100505,38.0,Female,Daejeon,Premium,Monthly,Bank transfer,2025-10-04,2.0,79.1,2.0,1.0,7.9,No,0
C100136,24.0,Female,Daejeon,Premium,Monthly,Bank transfer,2022-06-08,42.0,67.0,1.0,0.0,4.1,No,0
C100264,53.0,Male,Gwangju,Standard,Monthly,Bank transfer,2022-07-17,41.0,50.6,1.0,0.0,8.6,Yes,0
C100066,48.0,Female,Busan,Basic,Monthly,Bank transfer,2025-06-17,6.0,20.9,1.0,0.0,7.2,Yes,0
C100561,49.0,Female,Daegu,Basic,Monthly,Card,2022-10-11,38.0,33.4,1.0,1.0,6.5,No,0
C100487,44.0,Male,Gwangju,Basic,One-year,Card,2022-06-05,42.0,27.4,1.0,0.0,1.2,No,0
C100082,32.0,Male,Daejeon,Standard,Monthly,Virtual account,2024-06-01,19.0,50.5,0.0,1.0,2.2,Yes,0
C100550,37.0,,Seoul,Basic,Monthly,Bank transfer,2024-06-23,18.0,26.5,1.0,2.0,1.3,No,0
C100059,49.0,Female,Seoul,Basic,Monthly,Mobile,2025-10-08,2.0,26.1,1.0,0.0,0.5,No,1
C100114,19.0,Female,Daegu,Basic,One-year,Bank transfer,2025-06-04,6.0,27.4,1.0,2.0,5.3,Yes,0
C100179,37.0,Female,Seoul,Standard,Monthly,Card,2024-07-26,17.0,41.6,2.0,1.0,5.1,Yes,0
C100293,38.0,Male,Seoul,Basic,Two-year,Mobile,2022-08-26,40.0,18.3,4.0,0.0,3.6,No,0
C100320,34.0,Male,Seoul,Basic,Monthly,Bank transfer,2023-03-25,33.0,15.6,2.0,1.0,9.5,Yes,0
C100052,19.0,Male,Seoul,Basic,One-year,Virtual account,2022-06-05,42.0,17.1,2.0,2.0,5.5,No,0
C100305,35.0,Female,Busan,Basic,Two-year,Bank transfer,2024-09-02,15.0,23.0,2.0,0.0,0.7,No,0
C100347,47.0,Male,Gwangju,Basic,One-year,Bank transfer,2025-03-01,10.0,25.3,3.0,0.0,4.6,No,0
C100045,27.0,Female,Seoul,Standard,Monthly,Card,2024-01-08,23.0,49.9,0.0,0.0,4.8,Yes,0
C100374,33.0,Male,Daejeon,Standard,Monthly,Card,2022-08-27,40.0,41.8,0.0,0.0,8.6,No,0
C100025,19.0,Male,Daejeon,Premium,Monthly,Virtual account,2023-04-16,32.0,,0.0,2.0,11.2,Yes,0
C100583,40.0,Male,Seoul,Premium,Monthly,Card,2023-11-13,25.0,77.2,1.0,0.0,10.9,Yes,0
C100307,30.0,Female,Seoul,Basic,Monthly,Card,2023-06-11,30.0,44.5,2.0,2.0,3.6,No,0
C100053,37.0,Female,Seoul,Premium,Monthly,Card,2025-06-25,6.0,72.3,3.0,1.0,8.6,Yes,0
C100149,52.0,Male,Seoul,Premium,Two-year,Bank transfer,2025-01-17,11.0,79.5,1.0,0.0,3.9,No,0
C100026,49.0,Male,Busan,Basic,Monthly,Virtual account,2024-02-06,22.0,29.5,1.0,0.0,3.1,Yes,0
C100103,45.0,Female,Seoul,Basic,Monthly,Card,,35.0,32.7,1.0,0.0,2.7,Yes,0
C100385,38.0,Female,Busan,Premium,Monthly,Virtual account,2022-10-08,38.0,81.9,2.0,0.0,12.7,No,0
C100459,35.0,Female,Seoul,Basic,Monthly,Bank transfer,2024-12-31,12.0,14.5,2.0,0.0,3.4,Yes,0
C100208,64.0,Male,Seoul,Basic,Monthly,Card,2022-06-03,42.0,31.6,0.0,2.0,1.3,No,0
C100543,55.0,Male,Gwangju,Basic,Monthly,Card,2022-08-29,40.0,16.1,2.0,0.0,2.3,Yes,0
C100564,26.0,Male,Seoul,Basic,Monthly,Bank transfer,2024-04-23,20.0,17.8,2.0,1.0,5.9,Yes,0
C100024,44.0,Male,Gwangju,Basic,One-year,Bank transfer,2023-03-25,33.0,28.8,3.0,2.0,3.0,Yes,0
C100182,66.0,Female,Daegu,Basic,One-year,Virtual account,2024-09-02,15.0,25.2,4.0,2.0,5.5,No,1
C100519,32.0,Male,Daegu,Standard,Monthly,Card,2022-08-12,40.0,49.7,1.0,1.0,1.2,No,0
C100009,33.0,Female,Seoul,Standard,Monthly,Bank transfer,2023-03-05,33.0,43.1,0.0,1.0,3.3,No,0
C100069,33.0,Male,Gwangju,Basic,Monthly,Mobile,2023-04-30,32.0,15.1,2.0,2.0,3.5,No,0
C100548,31.0,Female,Seoul,Basic,Monthly,Card,2023-07-24,29.0,16.0,0.0,0.0,9.7,Yes,0
C100369,33.0,Male,Busan,Standard,Monthly,Mobile,2025-05-22,7.0,43.0,2.0,1.0,3.4,No,1
C100075,47.0,Male,Daegu,Basic,Two-year,Bank transfer,2024-02-18,22.0,21.5,2.0,0.0,,Yes,0
C100327,43.0,Female,Gwangju,Standard,One-year,Virtual account,2025-05-27,7.0,39.3,3.0,1.0,2.5,Yes,0
C100363,53.0,Male,Busan,Basic,Monthly,Bank transfer,2025-10-28,2.0,30.2,7.0,0.0,1.8,No,0
C100246,41.0,Female,Daegu,Standard,One-year,Mobile,2025-10-29,2.0,55.4,4.0,1.0,2.5,No,0
C100205,33.0,Female,Gwangju,Basic,Two-year,Card,2023-11-10,25.0,30.7,1.0,0.0,5.1,Yes,0
C100446,31.0,Male,Seoul,Basic,One-year,Bank transfer,2024-01-09,23.0,16.9,4.0,0.0,2.3,Yes,0
C100575,49.0,Male,Daegu,Basic,Monthly,Virtual account,2024-09-17,15.0,29.4,2.0,2.0,2.4,Yes,0
C100608,53.0,Female,Busan,Basic,One-year,Card,2024-12-15,12.0,21.7,2.0,1.0,5.4,Yes,0
C100601,32.0,Female,Busan,Standard,Two-year,Mobile,2025-08-28,4.0,42.5,3.0,0.0,4.4,No,0
C100589,55.0,Male,Seoul,Standard,Monthly,Card,2024-03-29,21.0,39.5,3.0,1.0,3.3,Yes,0
C100484,35.0,Female,Busan,Basic,One-year,Card,2024-09-02,15.0,30.6,1.0,1.0,2.1,Yes,0
C100165,52.0,Male,Daejeon,Basic,One-year,Mobile,2024-02-10,22.0,19.5,1.0,0.0,9.3,Yes,0
C100176,53.0,Female,Busan,Basic,One-year,Mobile,2023-12-21,24.0,23.5,2.0,1.0,0.4,No,0
C100340,36.0,,Seoul,Standard,One-year,Virtual account,2025-10-22,2.0,48.6,3.0,1.0,6.0,Yes,0
C100494,43.0,Male,Seoul,Standard,Monthly,Bank transfer,2024-03-04,21.0,55.9,5.0,0.0,2.1,Yes,1
C100395,36.0,Male,Gwangju,Basic,One-year,Mobile,2023-04-11,32.0,24.3,1.0,1.0,3.1,No,0
C100118,29.0,Male,Seoul,Premium,One-year,Card,2025-08-17,4.0,81.5,2.0,0.0,5.6,Yes,0
C100378,45.0,Male,Daegu,Premium,Monthly,Bank transfer,2023-12-10,24.0,77.7,2.0,1.0,1.1,Yes,0
C100078,40.0,Male,Busan,Basic,One-year,Card,2023-11-12,25.0,19.9,0.0,0.0,5.9,Yes,0
C100097,44.0,Male,Daejeon,Basic,One-year,Card,2024-05-11,19.0,238.5,1.0,0.0,5.7,Yes,0
C100466,43.0,Female,Daegu,Premium,Monthly,Mobile,2025-09-21,3.0,79.7,2.0,1.0,1.6,Yes,0
C100464,42.0,Female,Seoul,Basic,Monthly,Bank transfer,2025-11-30,1.0,32.0,4.0,1.0,4.3,Yes,1
C100120,53.0,Male,Busan,Standard,Monthly,Card,2022-12-29,36.0,50.3,1.0,0.0,0.4,Yes,0
C100518,40.0,Female,Daejeon,Premium,Monthly,Card,2024-11-20,13.0,68.0,1.0,1.0,2.3,No,0
C100266,37.0,Male,Gwangju,Basic,Monthly,Mobile,2024-08-17,16.0,19.5,2.0,0.0,1.4,No,0
C100409,33.0,Female,Busan,Basic,One-year,Mobile,2025-01-12,11.0,19.7,1.0,2.0,6.1,Yes,0
C100279,39.0,Female,Busan,Basic,Monthly,Card,2025-01-02,11.0,15.7,1.0,1.0,2.5,Yes,0
C100581,47.0,Male,Daejeon,Standard,Two-year,Card,2024-05-22,19.0,51.8,1.0,1.0,,No,0
C100535,43.0,Female,Daegu,Basic,Monthly,Bank transfer,2023-05-14,31.0,24.0,0.0,1.0,2.6,Yes,0
C100457,32.0,Male,Busan,Basic,Monthly,Card,2024-08-31,16.0,13.6,1.0,0.0,2.1,Yes,1
C100172,40.0,Male,Seoul,Premium,Monthly,Card,2025-10-30,2.0,75.2,2.0,0.0,7.2,No,0
C100119,50.0,Female,Daegu,Standard,Two-year,Mobile,2024-06-30,18.0,50.4,1.0,1.0,2.6,No,0
C100357,39.0,Male,Busan,Standard,One-year,Card,2024-11-13,13.0,42.4,4.0,3.0,10.9,No,0
C100512,36.0,Male,Gwangju,Premium,Two-year,Mobile,2024-09-12,15.0,77.9,21.0,0.0,7.9,No,0
C100170,36.0,Female,Busan,Basic,Monthly,Mobile,2022-02-25,46.0,25.9,0.0,1.0,3.9,Yes,0
C100250,42.0,Female,Daejeon,Basic,One-year,Card,2023-07-05,29.0,20.2,3.0,1.0,5.0,Yes,0
C100144,34.0,Female,Daejeon,Basic,One-year,Card,2024-09-05,15.0,25.8,0.0,1.0,,No,0
C100402,23.0,Male,Busan,Basic,Two-year,Bank transfer,2025-04-25,8.0,16.0,1.0,0.0,5.9,Yes,0
C100148,43.0,Female,Busan,Standard,Two-year,Card,2025-06-25,6.0,38.1,2.0,1.0,1.3,No,0
C100423,33.0,Female,Gwangju,Basic,Monthly,Bank transfer,2022-06-24,42.0,20.1,1.0,0.0,9.4,Yes,0
C100140,49.0,Female,Busan,Basic,One-year,Mobile,2025-01-02,11.0,32.6,2.0,2.0,2.6,No,1
C100181,34.0,Male,Daegu,Basic,One-year,Card,2023-03-18,33.0,26.7,1.0,1.0,3.4,No,0
C100302,32.0,Female,Seoul,Standard,Monthly,,2023-04-12,32.0,41.6,5.0,2.0,2.7,Yes,0
C100573,42.0,Female,Busan,Standard,Monthly,Bank transfer,2023-02-20,34.0,46.3,3.0,1.0,0.9,No,0
C100605,25.0,Female,Seoul,Standard,One-year,Bank transfer,2024-01-24,23.0,47.8,3.0,0.0,1.7,No,0
C100073,30.0,Male,Daejeon,Basic,Monthly,Mobile,2024-09-28,15.0,29.1,2.0,1.0,2.6,No,0
C100486,27.0,Female,Seoul,Premium,Monthly,Card,2023-01-05,35.0,72.2,1.0,0.0,0.9,Yes,0
C100303,51.0,Male,Seoul,Basic,One-year,Bank transfer,2023-02-07,34.0,21.2,1.0,1.0,4.3,Yes,0
C100448,37.0,Female,Busan,Basic,Monthly,Card,2022-07-03,41.0,24.6,0.0,0.0,4.6,Yes,0
C100199,29.0,Female,Daegu,Standard,One-year,Card,2023-11-03,25.0,37.5,1.0,0.0,2.5,Yes,0
C100504,45.0,Male,Busan,Standard,Two-year,Bank transfer,2025-04-01,9.0,47.8,0.0,0.0,6.3,No,0
C100040,46.0,Female,Seoul,Standard,One-year,Bank transfer,2025-01-18,11.0,51.4,1.0,1.0,4.0,No,0
C100514,30.0,Male,Seoul,Basic,One-year,Card,2024-12-06,12.0,29.7,1.0,0.0,9.5,Yes,0
C100101,,Male,Seoul,Standard,Monthly,Bank transfer,2024-10-27,14.0,45.4,1.0,0.0,8.0,Yes,1
C100216,30.0,Male,Busan,Basic,Monthly,Mobile,2024-02-15,22.0,23.6,3.0,2.0,2.7,Yes,0
C100122,29.0,Female,Daejeon,Basic,One-year,Card,2025-07-24,5.0,25.6,1.0,0.0,5.7,Yes,0
C100587,47.0,Male,Busan,Standard,Monthly,Virtual account,2024-08-08,16.0,46.0,0.0,2.0,1.8,Yes,0
C100261,46.0,Female,Seoul,Basic,Monthly,Card,2024-05-13,19.0,22.9,2.0,2.0,,No,0
C100210,32.0,Male,Daejeon,Standard,Monthly,Bank transfer,2022-06-20,42.0,47.4,0.0,0.0,4.7,Yes,0
C100072,46.0,Female,Busan,Standard,Monthly,Bank transfer,2023-08-28,28.0,44.6,0.0,0.0,3.1,Yes,0
C100157,38.0,Female,Seoul,Basic,Monthly,Mobile,2024-09-22,15.0,34.9,1.0,0.0,1.3,No,0
C100134,46.0,Female,Daegu,Basic,One-year,Card,2022-05-05,43.0,23.2,0.0,0.0,2.9,No,0
C100237,39.0,Male,Busan,Basic,Monthly,Mobile,2022-10-10,38.0,19.7,2.0,0.0,4.3,Yes,0
C100289,55.0,Male,Daejeon,Standard,Two-year,Mobile,2022-12-09,36.0,42.0,1.0,1.0,3.3,No,0
C100158,39.0,Female,Seoul,Basic,One-year,Virtual account,2025-05-23,7.0,17.2,2.0,1.0,2.6,No,1
C100106,42.0,Female,Seoul,Standard,Monthly,Bank transfer,2025-05-05,7.0,39.1,3.0,1.0,7.3,Yes,0
C100364,50.0,Female,Daegu,Standard,One-year,Virtual account,2025-05-26,7.0,49.3,1.0,0.0,4.0,Yes,0
C100362,54.0,Male,Busan,Basic,Two-year,Mobile,2023-04-04,32.0,28.5,1.0,0.0,6.2,No,0
C100441,35.0,Male,Daejeon,Basic,Monthly,Card,2023-07-15,29.0,24.5,2.0,0.0,6.2,Yes,0
C100619,51.0,Female,Seoul,Standard,Monthly,Virtual account,2022-01-17,47.0,46.7,0.0,2.0,6.9,Yes,0
C100272,42.0,Male,Busan,Basic,Monthly,Card,2022-04-23,44.0,22.2,1.0,2.0,1.0,Yes,0
C100104,41.0,Female,Busan,Basic,Monthly,Card,2023-11-22,25.0,27.0,3.0,1.0,2.3,No,0
C100067,52.0,Male,Gwangju,Standard,Monthly,Mobile,2022-03-31,45.0,47.2,0.0,0.0,3.8,No,0
C100528,39.0,Male,Seoul,Standard,One-year,Card,2022-06-15,42.0,49.6,3.0,1.0,0.7,Yes,0
C100286,28.0,Female,Busan,Basic,Two-year,Virtual account,2022-12-27,36.0,26.2,1.0,0.0,0.5,No,0
C100081,39.0,Female,Seoul,Standard,One-year,Card,2024-01-04,23.0,48.6,4.0,1.0,5.0,Yes,0
C100123,33.0,Female,Busan,Premium,Two-year,Mobile,2023-07-08,29.0,85.1,1.0,1.0,11.8,No,0
C100096,32.0,Male,Gwangju,Standard,One-year,Card,2024-01-30,23.0,47.8,1.0,0.0,3.3,No,0
C100367,52.0,Female,Seoul,Basic,Monthly,Mobile,2022-03-10,45.0,33.7,3.0,1.0,6.8,Yes,0
C100159,35.0,Male,Busan,Standard,One-year,Card,2023-04-14,32.0,53.0,2.0,0.0,2.9,Yes,0
C100315,41.0,Male,Daegu,Standard,Two-year,Bank transfer,2022-06-24,42.0,53.4,1.0,1.0,8.9,Yes,0
C100113,44.0,Male,Seoul,Basic,Monthly,Mobile,2022-11-23,37.0,35.1,1.0,1.0,5.5,No,0
C100131,48.0,Female,Daejeon,Basic,Monthly,Virtual account,2025-10-02,2.0,22.5,0.0,2.0,3.1,Yes,0
C100611,28.0,Female,Seoul,Basic,One-year,Bank transfer,2025-01-29,11.0,18.5,5.0,0.0,2.9,No,1
C100371,19.0,Male,Seoul,Standard,Monthly,Card,2025-12-28,1.0,55.1,1.0,1.0,3.4,No,0
C100156,38.0,Female,Daejeon,Basic,Monthly,Card,2024-09-23,15.0,33.8,2.0,0.0,3.7,Yes,0
C100014,45.0,Male,Seoul,Standard,Monthly,Card,2023-01-09,35.0,48.6,0.0,1.0,8.4,No,0
C100610,32.0,Male,Daegu,Basic,Monthly,Mobile,2023-10-02,27.0,,0.0,1.0,2.2,Yes,0
C100200,27.0,Female,Seoul,Basic,Monthly,Card,2025-03-28,9.0,15.7,1.0,0.0,4.9,Yes,1
C100240,33.0,Female,Daegu,Standard,Monthly,Bank transfer,2025-07-29,5.0,45.9,0.0,2.0,0.4,Yes,1
C100202,38.0,Female,Daegu,Standard,One-year,Mobile,2022-09-30,39.0,44.2,0.0,1.0,7.2,Yes,0
C100105,39.0,Male,Busan,Standard,Monthly,Card,2022-10-31,38.0,41.6,0.0,1.0,2.8,No,0
C100615,34.0,Female,Seoul,Standard,Monthly,Mobile,2025-07-12,5.0,48.3,2.0,0.0,0.7,No,0
C100607,38.0,Female,Seoul,Premium,One-year,Virtual account,2022-01-14,47.0,67.1,2.0,0.0,2.8,Yes,0
C100206,27.0,Female,Seoul,Basic,Monthly,Card,2025-12-01,1.0,28.0,3.0,1.0,10.7,Yes,0
C100419,44.0,,Daegu,Standard,Monthly,Card,2022-05-19,43.0,47.4,4.0,1.0,2.9,No,0
C100361,28.0,Male,Seoul,Basic,Monthly,Card,2023-03-28,33.0,24.4,3.0,2.0,0.5,No,0
C100287,43.0,Female,Seoul,Basic,One-year,Virtual account,2024-08-31,16.0,24.8,1.0,0.0,4.8,No,0
C100381,40.0,Male,Busan,Standard,Two-year,Card,2022-06-12,42.0,47.0,1.0,1.0,6.8,Yes,0
