customer_id,signup_date,age,monthly_fee,tenure_months,support_calls,contract_type,payment_method,region,avg_usage_hours,late_payments,churn
CUST_1102,2025-02-03,39,53.32,17,0,monthly,cash,Daejeon,5.17,0,0
CUST_1103,2023-06-07,36,75.18,37,2,two_year,card,Daejeon,4.51,2,0
CUST_1104,2025-02-13,68,85.44,17,0,monthly,cash,Seoul,3.84,2,1
CUST_1105,2025-03-29,34,66.46,16,0,monthly,mobile,Seoul,5.17,1,0
CUST_1106,2025-02-22,62,61.12,17,0,monthly,mobile,Seoul,3.2,2,1
CUST_1107,2023-11-27,36,77.19,32,3,monthly,card,Seoul,6.75,1,0
CUST_1108,2023-11-30,46,81.44,32,0,one_year,card,Busan,8.42,2,0
CUST_1109,2023-07-12,29,74.35,36,0,monthly,card,Daegu,3.7,0,0
CUST_1110,2024-09-23,30,64.11,22,3,monthly,bank_transfer,Daegu,9.62,3,0
CUST_1111,2023-08-16,40,69.2,35,2,monthly,bank_transfer,Gwangju,3.74,0,0
CUST_1112,2024-03-24,43,62.51,28,6,two_year,cash,Gwangju,5.25,0,0
CUST_1113,2024-04-09,51,69.32,27,2,two_year,mobile,Seoul,2.56,0,0
CUST_1114,2024-03-31,29,63.99,28,1,monthly,bank_transfer,Seoul,6.24,0,0
CUST_1115,2023-12-17,23,107.57,31,1,monthly,mobile,Busan,4.04,1,0
CUST_1116,2022-06-04,50,97.89,49,0,one_year,cash,Gwangju,4.91,0,0
CUST_1117,2025-07-08,35,86.7,12,0,one_year,card,Daegu,5.27,0,0
CUST_1118,2022-04-27,34,79.08,51,0,monthly,cash,Daejeon,1.11,0,0
CUST_1119,2022-03-26,,78.32,52,1,monthly,bank_transfer,Seoul,3.58,0,0
CUST_1120,2022-06-22,33,66.65,49,2,monthly,bank_transfer,Daegu,6.62,0,0
CUST_1121,2023-11-24,39,61.08,32,1,monthly,cash,Daegu,3.68,1,0
CUST_1122,2025-05-19,48,54.13,14,1,monthly,cash,Busan,4.33,0,0
CUST_1123,2024-02-11,34,53.0,29,4,two_year,card,Daejeon,6.71,0,0
CUST_1124,2023-03-15,29,95.59,40,5,monthly,mobile,Seoul,12.14,0,0
CUST_1125,2024-12-14,51,71.26,19,2,monthly,bank_transfer,Busan,3.9,2,0
CUST_1126,2022-12-06,40,61.12,43,0,two_year,mobile,Daejeon,6.84,1,0
CUST_1127,2024-08-18,47,59.55,23,1,monthly,mobile,Daejeon,2.81,0,0
CUST_1128,2023-02-13,43,56.64,41,2,two_year,card,Gwangju,7.23,1,0
CUST_1129,2023-07-13,27,74.52,36,2,two_year,cash,Daegu,4.15,2,0
CUST_1130,2024-02-05,44,131.29,29,1,two_year,mobile,Busan,5.09,1,0
CUST_1131,2022-10-12,41,44.53,45,0,monthly,bank_transfer,Busan,2.35,0,0
CUST_1132,2022-08-16,,52.47,47,3,one_year,cash,Seoul,5.67,3,0
CUST_1133,2022-02-03,30,47.71,53,1,monthly,mobile,Busan,3.42,0,0
CUST_1134,2024-12-08,45,65.81,19,0,two_year,card,Daejeon,4.47,1,0
CUST_1135,2024-02-04,40,70.62,29,2,one_year,card,Gwangju,3.28,0,0
CUST_1136,2025-01-23,,91.37,18,3,two_year,cash,Busan,2.54,1,0
CUST_1137,2024-07-26,48,70.09,24,3,monthly,mobile,Gwangju,1.38,0,0
CUST_1138,2022-03-16,41,53.98,52,0,two_year,mobile,Daegu,,2,0
CUST_1139,2024-06-19,50,54.84,25,4,monthly,mobile,Seoul,4.47,1,0
CUST_1140,2023-01-05,30,62.04,42,4,monthly,cash,Busan,,0,1
CUST_1141,2023-12-24,31,52.88,31,0,monthly,cash,Daegu,2.49,0,0
CUST_1142,2022-03-05,51,88.38,52,2,monthly,mobile,Daegu,4.36,0,0
CUST_1143,2024-07-10,51,60.9,24,2,monthly,cash,Daegu,2.59,0,0
CUST_1144,2023-01-17,29,67.12,42,0,monthly,cash,Busan,4.3,2,0
CUST_1145,2024-10-02,42,77.28,21,3,one_year,card,Daegu,5.27,0,0
CUST_1146,2023-08-18,59,42.36,35,1,one_year,mobile,Gwangju,1.02,1,0
CUST_1147,2023-04-30,41,62.53,39,0,one_year,bank_transfer,Gwangju,4.26,1,0
CUST_1148,2024-09-07,20,61.49,22,2,two_year,card,Daejeon,4.2,0,0
CUST_1149,2025-02-03,,57.24,17,4,two_year,card,Seoul,4.42,0,0
CUST_1150,2023-04-07,24,106.17,39,4,monthly,mobile,Busan,2.78,0,1
CUST_1151,2022-12-12,27,52.62,43,3,two_year,mobile,Gwangju,6.89,3,0
CUST_1152,2025-03-27,,80.7,16,0,monthly,mobile,Daegu,3.77,0,0
CUST_1153,2023-09-02,23,75.79,35,3,monthly,mobile,Gwangju,6.28,2,1
CUST_1154,2023-12-09,47,65.37,31,0,monthly,cash,Seoul,6.39,0,0
CUST_1155,2023-08-18,63,53.55,35,0,two_year,mobile,Gwangju,6.94,0,0
CUST_1156,2024-11-20,18,75.51,20,1,monthly,cash,Busan,4.81,1,1
CUST_1157,2024-10-10,22,44.87,21,1,monthly,card,Daejeon,3.57,1,0
CUST_1158,2024-04-05,32,82.1,27,1,monthly,card,Daejeon,4.32,0,0
CUST_1159,2025-06-30,38,57.89,13,3,one_year,mobile,Gwangju,4.53,3,1
CUST_1160,2024-11-08,38,70.33,20,4,one_year,cash,Busan,5.45,0,0
CUST_1161,2025-06-09,35,85.16,13,0,one_year,,Gwangju,2.62,0,0
CUST_1162,2022-08-13,56,63.66,47,3,one_year,card,Gwangju,2.18,0,0
CUST_1163,2025-03-30,24,52.01,16,1,one_year,cash,Busan,4.28,1,0
CUST_1164,2022-08-14,45,87.1,47,0,monthly,cash,Seoul,5.66,0,0
CUST_1165,2024-09-06,30,64.23,22,4,monthly,mobile,Daegu,8.12,0,0
CUST_1166,2025-02-16,32,112.46,17,5,one_year,cash,Daegu,4.48,0,0
CUST_1167,2023-07-15,37,92.38,36,0,monthly,mobile,Busan,3.83,0,0
CUST_1168,2023-12-11,56,53.57,31,2,one_year,mobile,Gwangju,3.62,0,0
CUST_1169,2025-04-16,41,73.44,15,3,monthly,,Daejeon,4.12,0,0
CUST_1170,2022-10-09,56,67.82,45,3,two_year,cash,Daejeon,4.05,0,0
CUST_1171,2023-08-08,25,32.33,35,4,monthly,card,Busan,5.98,0,0
CUST_1172,2022-03-16,53,66.64,52,0,two_year,mobile,Seoul,4.92,2,0
CUST_1173,2023-11-18,33,125.71,32,0,two_year,cash,Daegu,4.27,1,1
CUST_1174,2024-07-28,29,41.44,24,3,monthly,bank_transfer,Busan,4.94,0,0
CUST_1175,2024-05-25,35,66.18,26,1,monthly,mobile,Busan,3.85,2,0
CUST_1176,2023-07-01,50,62.17,37,2,one_year,bank_transfer,Seoul,,0,0
CUST_1177,2024-10-26,63,47.57,21,2,one_year,mobile,Daegu,2.22,0,0
CUST_1178,2022-11-10,18,83.74,44,0,two_year,bank_transfer,Busan,6.69,0,0
CUST_1179,2024-12-12,23,77.24,19,4,monthly,bank_transfer,Gwangju,5.83,0,0
CUST_1180,2024-06-23,47,76.05,25,1,monthly,card,Daejeon,4.43,2,0
CUST_1181,2025-02-18,19,75.49,17,1,one_year,bank_transfer,Gwangju,3.12,2,0
CUST_1182,2025-01-13,69,65.28,18,6,monthly,cash,Busan,6.46,1,0
CUST_1183,2024-05-10,23,96.9,26,0,monthly,card,Gwangju,6.01,2,1
CUST_1184,2025-01-05,36,73.5,18,5,one_year,,Daejeon,4.37,0,0
CUST_1185,2023-04-16,41,85.43,39,1,one_year,,Seoul,8.75,1,0
CUST_1186,2022-02-02,41,74.45,53,0,one_year,card,Busan,3.77,1,0
CUST_1187,2023-03-21,41,32.41,40,5,monthly,mobile,Gwangju,8.96,0,0
CUST_1188,2023-09-11,65,26.11,34,0,monthly,bank_transfer,Daejeon,4.57,0,0
CUST_1189,2024-02-20,43,49.92,29,1,monthly,cash,Busan,5.29,1,0
CUST_1190,2024-08-06,54,53.88,23,4,monthly,bank_transfer,Daegu,4.36,1,0
CUST_1191,2024-01-30,57,84.63,30,2,one_year,card,Seoul,,1,0
CUST_1192,2025-02-18,42,80.4,17,3,two_year,bank_transfer,Busan,4.0,1,0
CUST_1193,2024-09-07,56,51.2,22,1,monthly,mobile,Daegu,3.16,0,0
CUST_1194,2023-06-20,25,98.97,37,0,one_year,mobile,Busan,5.45,0,0
CUST_1195,2023-03-30,40,63.39,40,0,one_year,mobile,Busan,4.06,1,0
CUST_1196,2023-05-19,23,67.13,38,1,one_year,cash,Daejeon,3.6,2,0
CUST_1197,2025-01-24,18,70.27,18,0,monthly,card,Seoul,4.16,3,0
CUST_1198,2024-04-24,52,88.47,27,3,monthly,cash,Daegu,,2,0
CUST_1199,2024-09-16,39,64.0,22,0,monthly,mobile,Gwangju,4.45,1,0
CUST_1200,2024-05-31,50,25.84,26,2,monthly,bank_transfer,Gwangju,5.28,0,0
CUST_1201,2024-03-23,67,91.11,28,0,one_year,mobile,Seoul,5.12,0,0
CUST_1202,2022-07-11,31,77.91,48,0,one_year,card,Daejeon,5.16,2,0
CUST_1203,2022-07-15,62,39.46,48,2,one_year,cash,Daegu,8.43,1,0
CUST_1204,2025-01-17,38,64.99,18,3,two_year,bank_transfer,Daejeon,4.16,2,0
CUST_1205,2025-03-06,47,49.89,16,3,one_year,bank_transfer,Seoul,,0,1
CUST_1206,2024-06-14,41,74.9,25,0,one_year,mobile,Seoul,,0,0
CUST_1207,2023-04-13,23,104.47,39,0,one_year,card,Gwangju,5.87,0,0
CUST_1208,2023-07-03,51,93.0,37,0,monthly,card,Seoul,2.72,2,0
CUST_1209,2023-07-07,45,72.12,36,0,monthly,card,Seoul,5.71,2,0
CUST_1210,2023-10-27,42,64.62,33,0,one_year,bank_transfer,Gwangju,6.32,0,0
CUST_1211,2023-07-05,36,89.12,36,3,monthly,cash,Seoul,5.5,0,0
CUST_1212,2024-10-12,34,59.67,21,3,two_year,mobile,Gwangju,5.7,0,0
CUST_1213,2024-05-31,50,30.68,26,3,monthly,bank_transfer,Daejeon,4.65,0,0
CUST_1214,2023-08-20,39,38.81,35,21,monthly,mobile,Daejeon,4.2,0,1
CUST_1215,2025-01-22,49,97.91,18,5,two_year,bank_transfer,Daejeon,5.26,1,1
CUST_1216,2024-04-17,37,238.11,27,1,monthly,cash,Daejeon,6.03,4,1
CUST_1217,2024-03-31,18,57.28,28,3,monthly,mobile,Gwangju,3.51,0,0
CUST_1218,2023-05-24,34,51.34,38,1,two_year,cash,Daegu,4.39,2,1
CUST_1219,2023-06-14,44,99.64,37,0,monthly,,Daejeon,3.88,0,0
CUST_1220,2022-11-05,39,70.69,44,3,two_year,card,Busan,5.88,0,0
CUST_1221,2024-12-03,27,69.44,19,0,monthly,mobile,Seoul,5.79,1,0
CUST_1222,2022-08-12,37,56.25,47,3,monthly,bank_transfer,Daegu,4.67,0,0
CUST_1223,2024-04-09,35,57.65,27,1,one_year,bank_transfer,Daejeon,3.38,0,0
CUST_1224,2023-02-26,37,97.7,41,2,one_year,bank_transfer,Daegu,2.66,0,0
CUST_1225,2024-09-29,24,62.05,22,0,one_year,mobile,Daegu,,2,0
CUST_1226,2023-09-02,54,53.94,35,1,monthly,card,Busan,3.5,0,0
CUST_1227,2025-05-06,48,81.99,14,3,one_year,bank_transfer,Gwangju,7.02,1,0
CUST_1228,2024-07-12,23,39.68,24,4,monthly,cash,Gwangju,4.22,0,0
CUST_1229,2024-05-01,37,46.01,27,3,one_year,bank_transfer,Daegu,6.7,2,0
CUST_1230,2024-07-25,22,53.2,24,0,one_year,mobile,Gwangju,4.86,1,0
CUST_1231,2022-03-27,41,45.46,52,2,one_year,bank_transfer,Daegu,6.55,1,0
CUST_1232,2022-06-28,18,90.88,49,2,one_year,mobile,Gwangju,3.57,0,0
CUST_1233,2023-02-28,49,33.66,41,0,one_year,bank_transfer,Daegu,3.91,2,0
CUST_1234,2024-11-19,,64.25,20,6,one_year,card,Daegu,,1,0
CUST_1235,2023-05-27,47,81.02,38,2,monthly,bank_transfer,Gwangju,8.07,0,0
CUST_1236,2022-06-04,24,36.34,49,4,monthly,mobile,Daejeon,5.93,2,1
CUST_1237,2022-07-10,39,45.01,48,1,monthly,cash,Busan,3.43,3,0
CUST_1238,2023-10-24,,51.0,33,0,monthly,mobile,Seoul,3.77,2,0
CUST_1239,2022-02-03,57,94.79,53,2,two_year,bank_transfer,Busan,4.82,1,0
CUST_1240,2023-07-16,50,77.47,36,4,one_year,card,Daejeon,6.04,0,0
CUST_1241,2024-05-29,30,41.15,26,4,monthly,bank_transfer,Gwangju,4.81,1,0
CUST_1242,2022-09-04,53,65.44,46,2,monthly,card,Seoul,5.28,0,0
CUST_1243,2022-09-30,29,43.64,46,4,one_year,bank_transfer,Daejeon,5.71,0,0
CUST_1244,2024-04-23,31,52.6,27,2,monthly,card,Gwangju,8.35,0,0
CUST_1245,2022-10-14,41,190.6,45,2,one_year,mobile,Seoul,7.1,2,0
CUST_1246,2024-11-26,34,58.95,20,0,one_year,bank_transfer,Daejeon,6.34,0,0
CUST_1247,2022-05-26,18,57.25,50,6,monthly,cash,Daegu,4.47,0,0
CUST_1248,2022-05-30,45,67.78,50,2,monthly,cash,Gwangju,5.28,0,0
CUST_1249,2024-05-17,39,59.08,26,0,monthly,mobile,Seoul,4.26,0,0
CUST_1250,2025-01-03,33,90.55,18,2,one_year,mobile,Daejeon,2.35,0,0
CUST_1251,2022-06-26,46,62.47,49,1,one_year,bank_transfer,Seoul,4.43,1,1
CUST_1252,2024-10-13,54,59.92,21,2,monthly,bank_transfer,Daegu,2.14,1,0
CUST_1253,2023-11-18,44,52.08,32,4,one_year,card,Daejeon,5.85,0,0
CUST_1254,2025-03-06,44,77.14,16,2,one_year,card,Busan,1.23,1,0
CUST_1255,2022-01-26,41,89.58,54,1,two_year,card,Gwangju,5.45,1,0
CUST_1256,2023-04-05,35,85.68,39,1,monthly,mobile,Seoul,3.47,0,0
CUST_1257,2024-11-22,70,61.22,20,4,monthly,mobile,Daegu,5.6,2,1
CUST_1258,2023-08-21,31,60.36,35,0,one_year,cash,Busan,3.48,0,0
CUST_1259,2022-11-05,53,67.82,44,2,two_year,card,Daegu,6.36,3,0
CUST_1260,2023-09-22,52,81.93,34,2,monthly,bank_transfer,Daegu,6.77,3,0
CUST_1261,2024-11-30,19,89.09,20,0,one_year,bank_transfer,Daejeon,5.53,2,0
CUST_1262,2022-09-25,,82.5,46,0,one_year,mobile,Daegu,7.6,0,0
CUST_1263,2022-10-06,43,40.95,45,2,monthly,cash,Seoul,5.64,0,0
CUST_1264,2023-09-24,18,75.93,34,4,monthly,card,Busan,6.46,1,1
CUST_1265,2023-05-24,52,63.04,38,3,one_year,bank_transfer,Seoul,5.23,3,0
CUST_1266,2025-01-31,41,89.27,17,2,monthly,bank_transfer,Busan,3.92,1,0
CUST_1267,2022-06-22,32,59.35,49,2,monthly,cash,Busan,4.47,3,0
CUST_1268,2022-09-08,53,72.89,46,3,one_year,cash,Daejeon,6.73,3,0
CUST_1269,2023-03-16,49,58.26,40,1,one_year,bank_transfer,Daegu,5.12,0,0
CUST_1270,2022-06-29,39,77.68,49,3,monthly,card,Daejeon,8.16,1,0
CUST_1271,2024-09-19,32,88.45,22,1,monthly,bank_transfer,Seoul,6.02,3,1
CUST_1272,2024-08-24,20,60.72,23,7,monthly,bank_transfer,Daegu,4.79,0,0
CUST_1273,2023-03-26,18,40.92,40,0,two_year,bank_transfer,Busan,7.37,1,0
CUST_1274,2024-01-05,43,64.54,30,0,one_year,bank_transfer,Daejeon,0.87,0,0
CUST_1275,2022-04-26,41,80.97,51,2,two_year,bank_transfer,Busan,4.79,0,0
CUST_1276,2023-10-25,47,71.13,33,1,monthly,mobile,Seoul,3.9,0,0
CUST_1277,2022-07-26,35,82.11,48,5,monthly,cash,Daegu,4.38,2,0
CUST_1278,2025-06-10,42,53.17,13,1,monthly,mobile,Busan,4.24,1,0
CUST_1279,2025-03-19,18,107.47,16,2,one_year,bank_transfer,Gwangju,4.71,2,1
CUST_1280,2022-06-09,43,123.68,49,4,monthly,mobile,Daejeon,7.88,2,0
CUST_1281,2023-12-19,40,76.56,31,3,one_year,bank_transfer,Daejeon,4.81,0,0
CUST_1282,2022-07-27,51,35.97,48,0,monthly,cash,Seoul,3.45,1,1
CUST_1283,2023-06-19,45,64.65,37,3,one_year,card,Daegu,6.25,0,0
CUST_1284,2022-03-05,25,79.18,52,0,monthly,mobile,Busan,3.67,2,0
CUST_1285,2025-01-11,40,83.19,18,2,one_year,cash,Busan,5.34,1,1
CUST_1286,2025-07-04,34,59.14,12,3,monthly,card,Daejeon,4.97,1,0
CUST_1287,2024-09-28,48,57.37,22,1,monthly,cash,Daegu,3.49,1,0
CUST_1288,2023-06-24,42,82.64,37,4,one_year,card,Daegu,5.87,1,0
CUST_1289,2023-04-11,19,54.33,39,2,monthly,cash,Gwangju,3.19,2,1
CUST_1290,2022-03-13,18,66.43,52,3,one_year,card,Daejeon,2.37,2,0
CUST_1291,2023-01-30,49,81.95,42,4,two_year,bank_transfer,Gwangju,4.67,0,0
CUST_1292,2022-05-18,54,80.26,50,0,monthly,card,Gwangju,3.72,0,0
CUST_1293,2022-11-03,50,88.37,44,2,two_year,card,Daegu,0.78,3,0
CUST_1294,2023-06-25,30,82.46,37,1,monthly,bank_transfer,Gwangju,4.5,0,1
CUST_1295,2023-11-10,39,61.08,32,0,monthly,mobile,Daegu,5.01,0,0
CUST_1296,2022-07-21,49,64.53,48,1,one_year,mobile,Daegu,7.47,0,0
CUST_1297,2024-06-23,46,103.19,25,2,two_year,card,Gwangju,1.93,1,0
CUST_1298,2024-04-06,56,96.39,27,2,monthly,bank_transfer,Seoul,4.52,1,0
CUST_1299,2023-02-12,37,103.83,41,0,monthly,card,Busan,4.72,0,1
CUST_1300,2024-08-29,31,57.37,23,4,one_year,card,Daegu,7.89,1,0
CUST_1301,2023-03-15,51,44.42,40,1,monthly,card,Seoul,3.59,0,0
CUST_1302,2022-01-18,43,94.01,54,4,one_year,mobile,Daejeon,3.86,3,0
CUST_1303,2023-03-23,23,73.25,40,16,monthly,mobile,Gwangju,3.27,0,0
CUST_1304,2022-08-10,30,69.07,47,1,monthly,mobile,Busan,6.29,2,0
CUST_1305,2025-05-13,32,76.95,14,2,monthly,mobile,Daegu,5.1,2,0
CUST_1306,2025-04-09,36,41.84,15,3,monthly,cash,Daegu,7.34,0,0
CUST_1307,2025-02-17,43,75.23,17,3,one_year,bank_transfer,Daegu,5.75,0,0
CUST_1308,2023-09-21,19,87.01,34,0,monthly,card,Daejeon,6.43,2,0
CUST_1309,2025-06-25,63,85.16,13,0,monthly,mobile,Daejeon,4.79,3,1
