customer_id,signup_date,age,region,plan_type,monthly_fee,tenure_months,data_usage_gb,support_calls,late_payments,payment_method,device_type,discount_applied,churn
CUS-10036,2020-09-25,63,Seoul,Basic,41453,71,25.6,4,0,MobilePay,Android,Yes,0
CUS-10037,2024-04-02,69,Daegu,Basic,26824,28,1.3,7,2,AutoDebit,Android,No,0
CUS-10038,2023-02-22,47,Daejeon,Standard,50954,41,41.7,7,0,AutoDebit,Android,No,0
CUS-10039,2026-06-08,44,Incheon,Premium,77782,1,89.2,3,1,AutoDebit,Other,No,1
CUS-10040,2024-03-05,61,Busan,Basic,25717,29,20.3,5,2,AutoDebit,Android,No,0
CUS-10041,2023-11-02,21,Daegu,Standard,52784,33,,0,1,MobilePay,Other,No,0
CUS-10042,2024-01-25,61,Busan,Basic,37959,30,65.4,4,0,Card,iOS,No,0
CUS-10043,2026-04-18,56,Seoul,Standard,59557,3,58.2,3,0,MobilePay,iOS,No,0
CUS-10044,2020-12-08,52,Busan,Basic,39121,68,16.3,2,2,BankTransfer,Android,Yes,0
CUS-10045,2021-03-29,57,Busan,Standard,49059,65,23.0,0,0,AutoDebit,iOS,No,0
CUS-10046,2023-12-03,39,Daejeon,Basic,32932,32,12.5,4,0,MobilePay,Android,No,0
CUS-10047,2022-04-07,74,Incheon,Basic,36442,52,47.3,5,1,Card,Other,Yes,0
CUS-10048,2024-03-10,28,Busan,Basic,26248,29,21.4,5,0,BankTransfer,iOS,No,0
CUS-10049,2025-01-06,40,Seoul,Standard,48337,19,57.7,5,1,BankTransfer,Other,Yes,0
CUS-10050,2024-07-22,50,Daegu,Basic,38016,24,30.6,6,0,AutoDebit,Android,Yes,0
CUS-10051,2026-05-08,37,Seoul,Basic,29574,2,3.1,0,0,MobilePay,iOS,Yes,0
CUS-10052,2022-09-13,,Incheon,Standard,52377,47,39.1,0,0,AutoDebit,Android,Yes,0
CUS-10053,2024-02-23,44,Busan,Basic,42267,29,21.2,4,0,AutoDebit,Other,Yes,0
CUS-10054,2022-04-07,49,Incheon,Standard,61339,52,61.9,6,0,BankTransfer,iOS,No,0
CUS-10055,2025-01-20,21,Daegu,Standard,54653,18,38.4,2,1,Card,Android,No,0
CUS-10056,2024-09-21,21,Incheon,Premium,79434,22,,0,0,MobilePay,Android,Yes,0
CUS-10057,2025-08-24,44,Busan,Premium,87624,11,86.9,0,1,Card,Android,No,0
CUS-10058,2024-09-02,45,Daejeon,Standard,51002,23,77.0,2,1,Card,Android,Yes,0
CUS-10059,2022-11-15,69,Daegu,Premium,78584,45,54.5,2,3,MobilePay,Android,No,1
CUS-10060,2021-05-02,57,Daegu,Standard,51765,63,30.3,4,0,MobilePay,iOS,Yes,0
CUS-10061,2021-09-08,56,Seoul,Premium,86732,59,81.5,0,2,BankTransfer,Android,No,0
CUS-10062,2023-07-15,53,Daegu,Basic,32362,37,8.9,3,0,Card,Android,No,1
CUS-10063,2023-08-21,67,Daejeon,Basic,26068,35,20.7,2,0,AutoDebit,Android,No,0
CUS-10064,2025-04-23,69,Daejeon,Premium,87748,15,95.3,0,1,MobilePay,Android,No,0
CUS-10065,2024-07-08,56,Incheon,Standard,51125,25,31.9,3,1,MobilePay,Android,No,0
CUS-10066,2020-10-09,73,Seoul,Standard,59981,70,,4,0,BankTransfer,Android,No,0
CUS-10067,2024-08-23,72,Incheon,Basic,30079,23,27.8,7,3,BankTransfer,iOS,No,1
CUS-10068,2024-03-07,35,Seoul,Standard,56565,29,45.4,2,0,MobilePay,Android,No,0
CUS-10069,2022-05-06,64,Seoul,Standard,60692,51,52.4,0,0,AutoDebit,Android,No,0
CUS-10070,2026-01-04,43,Seoul,Standard,61823,6,53.1,0,2,Card,iOS,No,0
CUS-10071,2025-02-20,60,Seoul,Standard,63209,17,55.3,1,0,Card,Android,No,0
CUS-10072,2023-09-26,24,Busan,Basic,40660,34,23.7,6,0,AutoDebit,Android,Yes,0
CUS-10073,2020-10-12,65,Busan,Basic,26662,70,3.2,1,2,AutoDebit,Android,Yes,0
CUS-10074,2023-09-29,47,Busan,Premium,81285,34,105.4,2,0,Card,iOS,Yes,0
CUS-10075,2022-05-19,20,Daegu,Basic,42478,51,10.2,2,1,AutoDebit,Android,Yes,0
CUS-10076,2022-07-14,46,Seoul,Basic,26557,49,29.2,3,0,MobilePay,Android,No,0
CUS-10077,2025-10-28,52,Seoul,Basic,35197,9,16.8,5,3,MobilePay,iOS,No,1
CUS-10078,2022-08-19,29,Seoul,Standard,59262,48,62.1,5,3,BankTransfer,Android,Yes,0
CUS-10079,2020-08-18,51,Seoul,Premium,75695,72,90.5,1,1,MobilePay,Android,No,0
CUS-10080,2020-12-24,64,Seoul,Premium,79432,68,55.0,0,0,MobilePay,Android,No,0
CUS-10081,2023-05-20,70,Seoul,Standard,56797,38,46.7,3,0,Card,Android,Yes,0
CUS-10082,2022-05-31,70,Daegu,Standard,59414,50,54.5,3,0,AutoDebit,iOS,Yes,0
CUS-10083,2021-08-16,40,Incheon,Premium,77577,60,69.9,4,0,MobilePay,Other,No,0
CUS-10084,2025-02-02,65,Seoul,Premium,76233,18,70.6,1,1,AutoDebit,iOS,Yes,0
CUS-10085,2025-06-20,55,Daegu,Standard,48999,13,69.8,4,3,MobilePay,Android,No,0
CUS-10086,2022-07-28,64,Seoul,Premium,72476,48,91.1,1,1,BankTransfer,iOS,Yes,0
CUS-10087,2020-09-15,54,Incheon,Basic,32397,71,14.7,0,0,Card,Android,Yes,0
CUS-10088,2026-02-04,69,Busan,Premium,74652,5,85.4,2,1,Card,Android,Yes,1
CUS-10089,2022-10-09,53,Seoul,Basic,27460,46,30.7,0,1,BankTransfer,Android,No,0
CUS-10090,2024-07-06,48,Busan,Standard,56297,25,9.4,2,0,MobilePay,Android,No,0
CUS-10091,2022-05-15,67,Seoul,Basic,33607,51,1.0,11,0,Card,Android,No,1
CUS-10092,2021-03-03,,Busan,Standard,60374,65,44.8,3,1,MobilePay,iOS,Yes,0
CUS-10093,2022-09-26,63,Busan,Standard,52303,46,41.5,0,0,MobilePay,Android,No,0
CUS-10094,2025-10-22,51,Busan,Standard,61763,9,83.4,3,0,MobilePay,iOS,No,1
CUS-10095,2025-02-26,40,Daejeon,Basic,25299,17,25.0,7,0,AutoDebit,iOS,No,0
CUS-10096,2024-03-19,32,Seoul,Standard,49960,28,40.4,1,1,BankTransfer,Android,No,0
CUS-10097,2021-02-19,19,Incheon,Basic,28313,66,29.8,2,0,BankTransfer,Android,No,0
CUS-10098,2020-09-13,52,Seoul,Standard,58948,71,68.0,0,0,AutoDebit,iOS,Yes,0
CUS-10099,2021-12-19,20,Daejeon,Premium,79868,56,56.0,5,2,BankTransfer,iOS,No,0
CUS-10100,2023-12-27,40,Daejeon,Standard,62204,31,63.4,5,1,AutoDebit,iOS,No,0
CUS-10101,2021-10-27,33,Seoul,Premium,85905,57,61.5,1,2,MobilePay,Android,No,0
CUS-10102,2023-07-11,65,Seoul,Premium,84511,37,93.1,5,3,AutoDebit,Android,No,1
CUS-10103,2021-05-24,30,Busan,Premium,89387,63,68.7,1,0,AutoDebit,Android,No,0
CUS-10104,2025-06-14,68,Seoul,Standard,52433,13,67.3,2,0,BankTransfer,iOS,Yes,0
CUS-10105,2024-03-05,69,Seoul,Premium,88468,29,79.8,3,0,,Android,No,0
CUS-10106,2024-12-25,46,Seoul,Basic,42981,19,40.2,8,0,Card,iOS,No,0
CUS-10107,2021-08-23,74,Daejeon,Standard,48876,60,7.0,5,0,Card,Android,Yes,1
CUS-10108,2022-05-16,27,Seoul,Standard,60601,51,26.2,3,3,Card,Android,No,0
CUS-10109,2024-02-26,49,Incheon,Standard,57300,29,52.4,2,0,BankTransfer,iOS,No,0
CUS-10110,2022-05-09,55,Seoul,Standard,62878,51,30.2,6,0,MobilePay,Android,Yes,0
CUS-10111,2023-03-19,60,Daegu,Standard,57657,41,56.8,0,0,Card,Android,Yes,0
CUS-10112,2024-04-03,26,Daegu,Basic,36521,28,25.4,2,5,,iOS,Yes,0
CUS-10113,2023-06-24,29,Daejeon,Standard,48963,37,20.1,1,0,Card,Android,No,0
CUS-10114,2024-11-27,57,Busan,Premium,86746,20,57.8,3,0,AutoDebit,Android,Yes,0
CUS-10115,2025-08-12,21,Seoul,Basic,31874,11,4.4,3,1,BankTransfer,Android,No,0
CUS-10116,2024-01-03,27,Busan,Standard,51810,31,60.9,4,1,AutoDebit,Android,No,1
CUS-10117,2022-10-20,57,Incheon,Basic,27359,46,39.6,3,0,BankTransfer,Android,No,0
CUS-10118,2022-02-26,61,Incheon,Standard,52493,53,33.1,10,1,MobilePay,iOS,No,0
CUS-10119,2021-12-10,69,Seoul,Basic,41184,56,1.0,4,1,Card,iOS,Yes,0
CUS-10120,2026-01-04,46,Daegu,Premium,86763,6,87.4,8,0,AutoDebit,iOS,Yes,0
CUS-10121,2021-12-25,63,Busan,Standard,52854,55,66.3,7,3,Card,iOS,No,0
CUS-10122,2025-01-13,68,Seoul,Standard,48306,18,27.4,6,1,MobilePay,iOS,No,0
CUS-10123,2024-07-07,62,Busan,Basic,26686,25,10.8,1,3,MobilePay,Android,No,1
CUS-10124,2022-06-15,25,Busan,Standard,52937,50,58.7,5,1,BankTransfer,Android,No,0
CUS-10125,2021-08-19,51,Busan,Premium,76702,60,62.5,4,5,,iOS,No,0
CUS-10126,2023-01-28,63,Daejeon,Standard,52007,42,32.2,6,0,BankTransfer,iOS,No,1
CUS-10127,2024-01-04,21,Seoul,Standard,62794,31,17.3,5,3,AutoDebit,Android,No,1
CUS-10128,2024-12-31,59,Seoul,Basic,30857,19,52.1,8,2,BankTransfer,iOS,No,1
CUS-10129,2022-08-01,62,Incheon,Standard,58936,48,34.3,4,2,Card,iOS,No,0
CUS-10130,2024-07-05,36,Daejeon,Standard,61014,25,53.7,2,0,Card,iOS,Yes,0
CUS-10131,2024-09-03,46,Seoul,Basic,28496,23,42.2,2,1,AutoDebit,Android,No,0
CUS-10132,2025-02-18,32,Incheon,Basic,34891,17,28.8,1,2,AutoDebit,Android,Yes,0
CUS-10133,2025-06-20,54,Seoul,Premium,73572,13,93.9,4,0,,Android,No,0
CUS-10134,2022-05-01,71,Busan,Standard,63575,51,48.4,7,1,BankTransfer,iOS,Yes,0
CUS-10135,2025-06-09,63,Seoul,Basic,260000,13,20.3,5,0,AutoDebit,Android,Yes,0
CUS-10136,2022-08-21,41,Seoul,Premium,85892,48,59.7,0,0,BankTransfer,Android,Yes,0
CUS-10137,2020-08-29,30,Daegu,Basic,36597,72,1.0,4,2,MobilePay,iOS,No,0
CUS-10138,2025-12-03,51,Daegu,Basic,37395,8,36.9,4,0,BankTransfer,Android,No,0
CUS-10139,2021-03-19,21,Busan,Premium,79347,65,112.9,1,0,Card,Android,No,1
CUS-10140,2023-12-16,38,Daegu,Standard,65909,31,33.5,3,0,AutoDebit,Android,No,0
CUS-10141,2026-01-04,53,Busan,Premium,89380,6,100.1,2,0,,Other,No,0
CUS-10142,2026-03-13,55,Busan,Standard,54457,4,27.2,1,0,AutoDebit,iOS,No,0
CUS-10143,2022-10-18,61,Daejeon,Premium,76523,46,101.3,4,0,MobilePay,Android,Yes,0
CUS-10144,2024-03-26,27,Incheon,Basic,30561,28,2.6,5,0,BankTransfer,iOS,No,0
CUS-10145,2020-10-20,71,Seoul,Basic,41076,70,27.2,3,1,MobilePay,iOS,Yes,0
CUS-10146,2025-03-17,37,Incheon,Basic,27171,16,25.7,1,1,MobilePay,iOS,No,0
CUS-10147,2021-08-10,52,Seoul,Premium,79803,60,80.3,0,0,AutoDebit,iOS,No,0
CUS-10148,2021-09-13,67,Seoul,Basic,35276,59,10.7,0,1,MobilePay,iOS,No,0
CUS-10149,2026-04-14,56,Incheon,Premium,72585,3,95.7,2,0,BankTransfer,iOS,No,0
CUS-10150,2021-07-09,50,Daegu,Basic,35702,61,35.2,1,2,BankTransfer,Android,No,0
CUS-10151,2024-09-28,71,Daegu,Basic,28816,22,1.0,4,0,BankTransfer,Android,No,1
CUS-10152,2024-11-15,31,Incheon,Basic,27506,20,13.5,5,3,MobilePay,iOS,No,1
CUS-10153,2022-04-23,42,Daegu,Standard,56132,52,45.4,4,0,BankTransfer,iOS,No,0
CUS-10154,2022-04-29,25,Daegu,Premium,73122,51,101.4,1,0,BankTransfer,Android,Yes,0
CUS-10155,2023-04-30,,Seoul,Standard,51333,39,70.4,7,0,BankTransfer,Android,Yes,0
CUS-10156,2022-04-05,63,Busan,Premium,79474,52,96.5,2,1,BankTransfer,iOS,No,0
CUS-10157,2025-03-14,53,Incheon,Standard,48637,16,46.6,2,2,BankTransfer,iOS,No,0
CUS-10158,2022-12-18,26,Incheon,Premium,89610,44,61.2,6,0,BankTransfer,Android,No,0
CUS-10159,2022-10-10,42,Daegu,Basic,39913,46,26.0,3,1,MobilePay,Android,Yes,0
CUS-10160,2020-08-10,45,Daegu,Basic,37512,72,11.9,3,0,BankTransfer,Android,No,0
CUS-10161,2022-05-17,68,Daejeon,Standard,52595,51,33.6,4,3,AutoDebit,iOS,Yes,0
CUS-10162,2024-03-20,58,Daejeon,Basic,41934,28,1.0,6,0,Card,Android,No,0
CUS-10163,2021-04-22,27,Busan,Basic,26594,64,1.0,5,0,AutoDebit,iOS,No,0
CUS-10164,2022-04-04,55,Incheon,Premium,81088,52,92.6,0,0,AutoDebit,Android,Yes,0
CUS-10165,2022-09-24,25,Busan,Standard,57151,46,44.4,8,0,BankTransfer,iOS,No,0
CUS-10166,2021-01-01,55,Seoul,Standard,62383,67,54.6,1,0,BankTransfer,Android,No,0
CUS-10167,2021-09-10,51,Incheon,Standard,60285,59,15.3,3,1,,Android,No,1
CUS-10168,2024-04-24,53,Seoul,Standard,54008,27,25.7,1,2,AutoDebit,Android,No,0
CUS-10169,2021-07-03,31,Daejeon,Basic,25037,61,40.9,4,0,Card,iOS,No,0
CUS-10170,2021-12-10,71,Seoul,Standard,59182,56,26.1,2,5,AutoDebit,Android,No,0
CUS-10171,2022-01-02,74,Seoul,Basic,37374,55,1.0,5,0,BankTransfer,iOS,No,0
CUS-10172,2025-02-01,74,Daejeon,Basic,33106,18,31.2,5,3,BankTransfer,Android,Yes,0
CUS-10173,2026-02-11,34,Daegu,Premium,85084,5,121.8,0,1,MobilePay,Android,No,0
CUS-10174,2022-09-08,25,Busan,Basic,37911,47,27.6,6,0,Card,iOS,No,0
CUS-10175,2021-05-24,27,Daejeon,Standard,56661,63,58.9,3,2,AutoDebit,Android,Yes,1
CUS-10176,2023-04-01,74,Daejeon,Basic,37102,40,29.3,6,0,MobilePay,Android,No,1
CUS-10177,2024-05-12,68,Busan,Basic,41752,27,34.0,7,2,Card,Android,Yes,0
CUS-10178,2022-01-06,39,Busan,Premium,73650,55,89.3,1,1,BankTransfer,iOS,No,0
CUS-10179,2021-12-17,58,Seoul,Standard,60437,56,19.1,4,1,MobilePay,Android,Yes,0
CUS-10180,2025-02-11,23,Daejeon,Standard,53210,17,30.9,5,1,BankTransfer,Android,No,0
CUS-10181,2023-02-22,43,Daegu,Standard,60620,41,57.7,1,2,Card,iOS,No,0
CUS-10182,2023-12-01,28,Busan,Basic,39931,32,1.0,6,0,BankTransfer,iOS,Yes,0
CUS-10183,2024-04-10,30,Daegu,Standard,61914,28,74.7,6,0,AutoDebit,iOS,No,1
CUS-10184,2021-05-31,50,Busan,Basic,34198,62,19.0,4,2,Card,Android,Yes,0
CUS-10185,2023-03-07,51,Seoul,Basic,39045,41,56.0,0,2,BankTransfer,iOS,Yes,0
CUS-10186,2024-02-25,23,Busan,Basic,42809,29,26.2,4,0,AutoDebit,Android,No,0
CUS-10187,2022-03-16,64,Busan,Premium,78350,53,86.6,5,0,Card,Android,No,0
CUS-10188,2021-12-06,51,Seoul,Basic,42229,56,22.8,4,0,AutoDebit,iOS,Yes,0
CUS-10189,2022-07-10,47,Incheon,Standard,62952,49,61.0,3,0,Card,Android,Yes,0
CUS-10190,2025-07-30,57,Seoul,Basic,35467,12,8.6,5,0,BankTransfer,Android,No,0
CUS-10191,2022-07-07,64,Daegu,Standard,54783,49,85.0,4,0,MobilePay,iOS,Yes,0
CUS-10192,2025-01-08,62,Daegu,Standard,51216,18,59.8,5,1,MobilePay,Android,Yes,0
CUS-10193,2020-12-01,65,Seoul,Premium,76179,68,115.2,2,2,BankTransfer,Android,Yes,0
CUS-10194,2023-05-17,31,Daejeon,Premium,83915,39,83.1,1,4,MobilePay,Android,Yes,0
CUS-10195,2022-05-11,49,Busan,Premium,86671,51,99.0,4,2,AutoDebit,iOS,Yes,0
CUS-10196,2022-03-27,44,Seoul,Premium,78713,52,91.3,0,2,AutoDebit,Android,No,1
CUS-10197,2022-09-09,69,Daegu,Basic,35667,47,7.8,2,0,MobilePay,Android,Yes,0
CUS-10198,2023-10-03,51,Incheon,Standard,61971,34,34.6,8,0,MobilePay,iOS,No,0
CUS-10199,2024-12-08,63,Seoul,Standard,64039,20,21.5,6,0,BankTransfer,iOS,No,0
CUS-10200,2025-06-11,39,Busan,Basic,34692,13,24.0,0,0,AutoDebit,Android,No,0
CUS-10201,2024-03-25,38,Daegu,Standard,58656,28,61.3,0,1,MobilePay,iOS,No,1
CUS-10202,2025-07-17,47,Incheon,Premium,79505,12,80.5,3,4,MobilePay,iOS,Yes,1
CUS-10203,2023-01-22,45,Daegu,Standard,57035,42,42.8,5,3,Card,Android,Yes,0
CUS-10204,2020-12-20,51,Daegu,Basic,37339,68,10.5,3,0,AutoDebit,Android,No,0
CUS-10205,2020-08-31,70,Seoul,Basic,42062,72,40.3,6,0,MobilePay,Android,No,0
CUS-10206,2022-11-06,31,Busan,Standard,53575,45,63.3,3,3,Card,Android,Yes,0
CUS-10207,2026-02-19,41,Incheon,Basic,27735,5,12.4,10,2,Card,Android,No,1
CUS-10208,2025-12-02,21,Daegu,Premium,85536,8,89.1,3,0,MobilePay,iOS,Yes,0
CUS-10209,2023-11-12,32,Seoul,Standard,64107,33,62.9,0,2,MobilePay,Android,No,0
CUS-10210,2025-01-10,25,Seoul,Standard,52358,18,69.7,4,0,Card,Other,Yes,0
CUS-10211,2020-08-10,39,Incheon,Basic,35518,72,31.0,5,0,,iOS,No,0
CUS-10212,2022-01-17,37,Seoul,Premium,80288,55,94.1,0,0,BankTransfer,iOS,Yes,0
CUS-10213,2026-04-29,40,Busan,Standard,61407,3,42.8,3,2,Card,Android,No,0
CUS-10214,2024-06-15,68,Seoul,Standard,56409,25,1.0,2,1,Card,Android,No,0
CUS-10215,2023-06-22,20,Busan,Standard,50240,37,82.4,2,0,AutoDebit,Android,No,0
CUS-10216,2023-02-18,41,Seoul,Basic,36409,41,1.0,1,0,Card,Android,No,0
CUS-10217,2022-06-13,,Seoul,Premium,85996,50,87.1,0,1,BankTransfer,iOS,Yes,0
CUS-10218,2026-01-22,74,Seoul,Premium,82583,6,107.1,2,0,AutoDebit,iOS,No,0
CUS-10219,2024-03-19,29,Seoul,Standard,51453,28,60.6,4,2,AutoDebit,iOS,Yes,0
CUS-10220,2023-06-22,26,Daegu,Standard,54324,37,65.5,5,0,BankTransfer,Android,No,0
CUS-10221,2024-07-19,28,Seoul,Basic,32321,24,,5,0,BankTransfer,iOS,No,1
CUS-10222,2020-12-30,29,Daegu,Premium,75762,67,104.3,1,0,BankTransfer,Android,No,0
CUS-10223,2022-11-11,20,Busan,Basic,40711,45,22.5,3,3,BankTransfer,Android,No,1
CUS-10224,2021-09-20,68,Daegu,Basic,40913,59,24.9,1,0,Card,iOS,No,0
CUS-10225,2024-07-31,71,Daegu,Premium,82997,24,104.6,1,0,Card,Android,No,0
CUS-10226,2020-09-01,23,Incheon,Standard,60690,71,59.0,3,3,Card,Android,No,0
CUS-10227,2024-06-26,,Busan,Basic,35646,25,55.8,1,1,AutoDebit,Android,No,0
CUS-10228,2022-01-15,65,Busan,Standard,65089,55,33.2,2,0,AutoDebit,Android,No,0
CUS-10229,2025-10-05,27,Seoul,Basic,28797,9,11.8,0,1,MobilePay,iOS,No,0
CUS-10230,2022-09-01,53,Seoul,Basic,28873,47,7.0,4,0,BankTransfer,iOS,No,0
CUS-10231,2022-04-23,47,Daegu,Standard,60081,52,22.0,1,0,MobilePay,Android,No,0
CUS-10232,2024-08-21,58,Busan,Premium,72983,23,81.2,1,0,MobilePay,Android,No,0
CUS-10233,2026-04-30,65,Seoul,Premium,86923,3,106.0,6,3,AutoDebit,Other,No,1
CUS-10234,2025-02-28,39,Daejeon,Basic,30403,17,33.9,2,0,AutoDebit,iOS,No,0
CUS-10235,2022-09-13,51,Seoul,Standard,51670,47,57.1,4,3,Card,iOS,No,0
CUS-10236,2022-09-25,35,Incheon,Basic,37087,46,38.5,8,0,BankTransfer,iOS,No,0
CUS-10237,2021-05-13,63,Busan,Standard,52825,63,39.6,2,2,Card,iOS,No,0
CUS-10238,2025-01-02,55,Seoul,Standard,55460,19,43.6,7,0,AutoDebit,Android,No,0
CUS-10239,2025-06-20,49,Daegu,Basic,27957,13,18.3,2,1,MobilePay,iOS,Yes,0
CUS-10240,2024-06-21,33,Seoul,Premium,87571,25,62.2,3,2,AutoDebit,iOS,No,1
CUS-10241,2021-02-10,37,Busan,Basic,26100,66,16.0,6,0,BankTransfer,iOS,No,0
CUS-10242,2022-04-25,58,Seoul,Premium,74907,51,96.5,2,0,MobilePay,Android,No,0
CUS-10243,2021-07-08,56,Seoul,Premium,81278,61,106.6,1,0,Card,Android,No,0
CUS-10244,2021-09-28,51,Busan,Basic,34460,58,1.0,4,2,AutoDebit,Android,Yes,0
CUS-10245,2026-02-11,38,Seoul,Standard,52989,5,60.3,1,1,MobilePay,Android,No,0
CUS-10246,2025-09-07,60,Seoul,Basic,29825,10,23.3,4,0,BankTransfer,Android,No,0
CUS-10247,2025-06-13,67,Seoul,Basic,33804,13,31.8,1,0,AutoDebit,Android,Yes,0
CUS-10248,2025-04-09,49,Seoul,Basic,38030,15,1.0,1,1,Card,Android,No,0
CUS-10249,2021-09-08,55,Daegu,Basic,37182,59,1.0,5,0,AutoDebit,Android,No,1
CUS-10250,2023-08-18,44,Daejeon,Standard,49370,35,59.5,3,0,MobilePay,Android,No,0
CUS-10251,2024-09-13,71,Incheon,Premium,81468,22,93.9,4,2,AutoDebit,Android,Yes,0
CUS-10252,2024-01-10,26,Incheon,Standard,60813,31,23.9,3,3,BankTransfer,Android,No,0
CUS-10253,2020-11-14,48,Busan,Basic,33328,69,37.8,8,1,BankTransfer,Android,No,1
CUS-10254,2022-06-27,56,Seoul,Premium,78727,49,56.1,5,3,BankTransfer,Android,No,1
CUS-10255,2021-10-11,,Incheon,Standard,51781,58,30.9,3,1,AutoDebit,Android,No,0
CUS-10256,2021-05-20,61,Seoul,Basic,28483,63,36.6,4,1,AutoDebit,iOS,No,0
CUS-10257,2024-02-07,54,Daegu,Basic,34258,30,29.5,2,0,BankTransfer,iOS,Yes,0
CUS-10258,2024-09-23,21,Seoul,Premium,84229,22,85.5,3,0,MobilePay,Android,No,0
CUS-10259,2022-12-20,64,Daejeon,Standard,60167,43,67.2,0,0,BankTransfer,Android,No,0
CUS-10260,2020-11-21,70,Daejeon,Standard,51814,69,29.3,1,0,Card,iOS,No,0
CUS-10261,2024-08-20,49,Seoul,Premium,81312,23,66.4,7,0,BankTransfer,iOS,No,0
CUS-10262,2022-01-27,21,Seoul,Standard,54029,54,62.6,2,3,Card,Android,No,0
CUS-10263,2024-03-18,27,Seoul,Basic,41255,28,9.3,4,1,AutoDebit,Android,No,0
CUS-10264,2024-03-28,55,Busan,Basic,25686,28,31.0,7,0,MobilePay,iOS,Yes,0
CUS-10265,2020-10-01,46,Daegu,Standard,58608,70,64.6,6,0,Card,Android,Yes,1
CUS-10266,2025-03-19,60,Daegu,Basic,35811,16,43.2,5,0,BankTransfer,Android,No,1
CUS-10267,2025-12-09,44,Seoul,Basic,39276,7,7.8,6,4,AutoDebit,Other,No,1
CUS-10268,2022-06-28,65,Daejeon,Standard,63884,49,56.8,3,0,BankTransfer,Android,No,0
