ticket_id,created_at,customer_age,membership_tier,issue_type,contact_channel,region,monthly_spend,tenure_months,previous_tickets,avg_response_minutes,satisfaction_score,reopened_count,resolution_hours,priority
TK-260114,2026-05-14 13:00:00,63,Gold,Cancellation,Email,Daejeon,139034,22,7,97,2.5,0,7.4,Low
TK-260115,2025-09-16 07:00:00,34,Basic,Account,Phone,Busan,48328,36,3,2,3.4,2,0.4,Medium
TK-260116,2026-02-15 15:00:00,23,Silver,Delivery,Chat,Busan,80024,41,6,96,3.3,1,11.9,Low
TK-260117,2026-04-29 19:00:00,61,Gold,Delivery,App,Seoul,125637,18,0,30,4.9,0,2.3,Low
TK-260118,2025-03-21 22:00:00,73,Basic,Account,Phone,Daegu,61635,51,0,73,4.1,0,2.1,Low
TK-260119,2025-03-29 08:00:00,21,Silver,Account,Chat,Seoul,104187,93,0,60,3.0,0,6.5,Low
TK-260120,2026-04-21 08:00:00,73,Silver,Cancellation,App,Incheon,78281,12,0,37,2.9,2,12.5,High
TK-260121,2025-12-23 06:00:00,51,Silver,Technical,Chat,Busan,71604,37,1,67,3.1,0,7.5,Medium
TK-260122,2025-04-05 11:00:00,40,Basic,Delivery,Chat,Incheon,62269,78,2,2,3.4,0,5.9,Low
TK-260123,2025-09-05 19:00:00,56,Basic,Technical,Chat,Seoul,38069,82,3,53,,2,9.0,Medium
TK-260124,2025-11-22 09:00:00,40,Silver,Account,Phone,Daejeon,80198,83,2,44,2.9,0,9.4,Medium
TK-260125,2026-05-25 17:00:00,52,Basic,Technical,Chat,Seoul,57667,48,2,60,4.0,1,5.8,High
TK-260126,2026-06-08 15:00:00,53,Basic,Payment,Email,Seoul,59088,52,0,75,3.0,2,2.1,Medium
TK-260127,2025-03-23 23:00:00,58,Basic,Cancellation,Email,Seoul,68366,30,6,51,3.4,0,1.7,Medium
TK-260128,2025-04-14 08:00:00,59,Basic,Technical,Email,Seoul,58094,31,3,109,4.0,0,4.6,Low
TK-260129,2025-08-24 14:00:00,22,Basic,Delivery,Chat,Incheon,33752,90,0,69,2.5,1,4.3,Medium
TK-260130,2025-01-16 00:00:00,54,Basic,Technical,Phone,Busan,28195,59,1,85,3.9,1,4.6,Medium
TK-260131,2025-07-18 07:00:00,52,Silver,Delivery,Chat,Incheon,106968,89,5,28,2.9,0,1.8,Low
TK-260132,2025-06-26 18:00:00,24,Silver,Payment,Email,Seoul,69799,92,0,22,2.2,0,2.1,Low
TK-260133,2025-07-17 10:00:00,20,Silver,Delivery,Email,Busan,85172,87,0,105,2.7,1,6.0,High
TK-260134,2025-01-14 14:00:00,66,Gold,Delivery,Chat,Seoul,146521,75,5,24,3.1,0,10.3,Low
TK-260135,2025-04-27 04:00:00,63,Silver,Delivery,Phone,Seoul,89109,9,4,9,3.4,0,13.0,Medium
TK-260136,2025-08-16 07:00:00,42,Silver,Delivery,Chat,Incheon,64741,75,0,2,3.7,0,2.9,Medium
TK-260137,2025-09-21 21:00:00,19,Gold,Account,Phone,Seoul,139298,32,0,59,5.0,2,4.3,Medium
TK-260138,2025-04-26 19:00:00,55,Basic,Technical,Chat,Busan,70114,69,4,64,4.5,1,23.9,Low
TK-260139,2025-04-17 17:00:00,34,Gold,Technical,Email,Daegu,150884,13,0,86,1.6,3,2.5,High
TK-260140,2026-06-16 15:00:00,75,Basic,Account,App,Seoul,34427,55,0,42,2.7,0,1.4,Low
TK-260141,2026-06-05 08:00:00,62,Silver,Technical,Chat,Seoul,102408,14,3,107,3.7,1,6.0,Medium
TK-260142,2025-01-04 03:00:00,67,Silver,Payment,Email,Seoul,97666,96,11,24,3.9,2,1.9,High
TK-260143,2025-01-22 22:00:00,38,Silver,Delivery,Chat,Seoul,75445,62,1,98,3.0,2,6.2,Medium
TK-260144,2026-02-11 04:00:00,58,Silver,Delivery,Chat,Busan,91213,96,7,66,2.1,0,5.7,Low
TK-260145,2025-08-16 00:00:00,57,Basic,Delivery,Phone,Busan,71564,44,0,95,3.5,2,7.5,High
TK-260146,2025-11-28 17:00:00,28,Basic,Technical,Email,Daejeon,59202,80,0,41,4.9,0,5.2,Low
TK-260147,2025-07-30 09:00:00,20,Silver,Technical,App,Busan,57160,74,7,48,4.1,1,5.8,Medium
TK-260148,2025-12-14 07:00:00,56,Silver,Payment,Chat,Incheon,71679,22,4,81,5.0,0,10.7,Medium
TK-260149,2025-07-29 05:00:00,23,Silver,Cancellation,App,Seoul,96588,55,0,44,3.5,0,1.5,Low
TK-260150,2025-09-02 21:00:00,68,Silver,Technical,Email,Incheon,75895,7,2,117,2.8,0,5.1,Medium
TK-260151,2025-06-22 14:00:00,45,Gold,Delivery,Email,Daejeon,134650,33,10,14,3.7,1,3.1,Medium
TK-260152,2026-01-15 19:00:00,45,Basic,Payment,Phone,Daegu,39011,15,2,33,3.9,1,1.9,Medium
TK-260153,2025-01-29 03:00:00,23,Silver,Technical,Phone,Busan,72857,30,6,86,4.0,0,6.0,Medium
TK-260154,2026-01-10 02:00:00,23,Gold,Payment,Chat,Seoul,130896,36,1,22,3.5,2,3.2,High
TK-260155,2026-06-13 08:00:00,62,VIP,Account,Chat,Daejeon,228188,2,2,83,2.9,1,11.3,Medium
TK-260156,2025-09-20 08:00:00,35,Silver,Technical,Chat,Busan,79483,89,13,139,4.2,0,2.9,Low
TK-260157,2025-08-28 01:00:00,72,Basic,Delivery,Chat,Seoul,43558,9,2,87,3.4,1,7.4,Low
TK-260158,2025-11-25 00:00:00,41,VIP,Delivery,Email,Seoul,208409,11,6,15,5.0,0,1.1,Low
TK-260159,2025-03-14 17:00:00,71,Basic,Delivery,Email,Seoul,30884,75,5,66,2.8,0,7.5,Medium
TK-260160,2025-01-09 22:00:00,55,Basic,Account,Chat,Incheon,26686,90,0,2,2.5,0,1.3,Medium
TK-260161,2025-03-06 00:00:00,68,Gold,Delivery,App,Seoul,116261,67,3,68,3.3,1,3.6,Medium
TK-260162,2025-04-05 14:00:00,61,Basic,Cancellation,Email,Seoul,39171,10,3,135,3.1,0,8.7,High
TK-260163,2025-10-01 20:00:00,44,Basic,Payment,Phone,Busan,61493,75,4,2,4.4,2,4.1,Low
TK-260164,2026-02-27 08:00:00,47,Gold,Payment,Chat,Daejeon,146325,26,5,26,2.7,2,1.9,Medium
TK-260165,2025-03-15 02:00:00,33,Basic,Delivery,Chat,Busan,64320,36,4,26,5.0,0,5.8,Medium
TK-260166,2026-05-06 07:00:00,52,Basic,Account,Chat,Seoul,39705,93,4,40,3.0,0,2.5,Low
TK-260167,2026-04-26 14:00:00,43,Gold,Cancellation,Phone,Seoul,152008,23,7,128,4.0,1,3.7,Medium
TK-260168,2025-01-11 10:00:00,20,Silver,Delivery,Email,Seoul,67659,45,6,108,3.1,0,13.3,High
TK-260169,2025-11-16 15:00:00,52,Gold,Delivery,Email,Daejeon,147170,35,0,75,2.8,0,8.3,Medium
TK-260170,2026-02-27 10:00:00,35,VIP,Account,Phone,Seoul,220333,21,2,81,1.7,0,17.9,Low
TK-260171,2025-06-21 12:00:00,72,Basic,Cancellation,Phone,Seoul,38076,28,7,46,3.9,0,2.4,Medium
TK-260172,2025-04-06 10:00:00,47,Gold,Technical,App,Seoul,149359,38,0,58,3.2,0,4.7,Low
TK-260173,2025-01-03 22:00:00,33,VIP,Technical,Phone,Daejeon,199089,72,9,30,3.2,0,5.3,Medium
TK-260174,2025-12-12 17:00:00,30,Silver,Delivery,Email,Busan,,45,4,57,2.9,1,4.0,Medium
TK-260175,2025-12-22 17:00:00,58,Silver,Cancellation,Chat,Daegu,58920,92,2,81,4.0,1,3.3,Low
TK-260176,2025-09-15 14:00:00,72,Gold,Payment,Phone,Incheon,121837,1,0,37,4.4,2,1.6,Medium
TK-260177,2025-04-04 03:00:00,44,Basic,Account,,Seoul,33082,68,3,20,4.4,1,9.2,Low
TK-260178,2026-03-24 13:00:00,56,Gold,Delivery,Phone,Seoul,125472,45,6,56,3.2,3,3.0,Medium
TK-260179,2026-03-15 08:00:00,36,Gold,Account,App,Incheon,158014,19,4,87,5.0,1,10.8,Medium
TK-260180,2026-03-23 20:00:00,38,Basic,Delivery,App,Busan,47753,87,4,73,4.0,0,3.7,Low
TK-260181,2025-04-04 19:00:00,51,Silver,Payment,Phone,Daegu,55508,59,0,2,5.0,0,2.0,Medium
TK-260182,2026-04-13 05:00:00,76,Basic,Technical,Phone,Seoul,38421,53,5,113,5.0,0,15.8,Medium
TK-260183,2026-04-15 09:00:00,37,VIP,Technical,Email,Seoul,196361,28,2,70,2.5,0,2.4,Medium
TK-260184,2025-11-07 22:00:00,48,Gold,Account,App,Seoul,137883,15,1,69,4.4,0,5.3,Medium
TK-260185,2026-05-21 11:00:00,70,Silver,Payment,Chat,Seoul,99450,16,3,81,3.6,0,5.8,Low
TK-260186,2026-01-23 14:00:00,47,Basic,Delivery,Email,Incheon,41361,33,1,93,2.6,0,11.4,High
TK-260187,2026-04-28 03:00:00,64,Gold,Account,,Busan,115444,19,4,2,3.4,4,2.9,Low
TK-260188,2025-05-16 14:00:00,19,Gold,Payment,Phone,Incheon,144491,69,3,95,3.1,0,4.6,Medium
TK-260189,2025-05-27 22:00:00,66,Gold,Delivery,App,Incheon,107950,52,0,46,2.6,1,5.6,High
TK-260190,2026-04-15 17:00:00,45,Gold,Technical,Chat,Seoul,157744,45,0,90,2.0,0,3.3,Low
TK-260191,2025-11-02 22:00:00,52,Gold,Technical,Chat,Seoul,152586,40,4,45,2.7,1,1.5,Low
TK-260192,2026-03-25 00:00:00,29,VIP,Delivery,Chat,Daegu,218902,55,0,70,2.2,0,5.0,Low
TK-260193,2025-10-01 14:00:00,41,Basic,Payment,Phone,Incheon,68710,58,10,80,2.1,0,2.2,High
TK-260194,2026-04-25 19:00:00,45,Silver,Cancellation,Phone,Busan,74483,33,2,75,3.8,0,3.5,Low
TK-260195,2026-04-05 15:00:00,70,Basic,Technical,App,Daegu,48993,69,11,51,4.5,1,8.9,Medium
TK-260196,2025-08-14 17:00:00,45,Gold,Cancellation,App,Incheon,120003,39,3,177,4.6,1,16.6,Medium
TK-260197,2025-11-18 04:00:00,40,Gold,Delivery,Phone,Daegu,112555,2,0,80,1.5,0,2.4,High
TK-260198,2025-11-14 04:00:00,66,Basic,Technical,Phone,Busan,46209,13,0,97,1.9,0,3.5,Low
TK-260199,2025-12-01 06:00:00,75,Gold,Technical,App,Incheon,141367,74,0,127,5.0,2,6.7,High
TK-260200,2026-05-31 16:00:00,68,Silver,Cancellation,Phone,Incheon,59086,95,3,43,3.0,0,4.7,Low
TK-260201,2025-10-29 08:00:00,38,Gold,Account,App,Daegu,122487,2,1,65,4.3,3,2.2,Medium
TK-260202,2025-01-21 23:00:00,69,Gold,Technical,Chat,Busan,117886,9,8,111,3.8,3,4.1,Medium
TK-260203,2025-07-28 16:00:00,35,Basic,Technical,Phone,Daegu,,43,3,21,3.2,0,8.6,Medium
TK-260204,2026-01-14 13:00:00,23,Gold,Delivery,Phone,Seoul,141718,16,4,52,5.0,0,7.8,Medium
TK-260205,2026-07-04 18:00:00,41,Silver,Cancellation,App,Seoul,85630,88,2,70,2.8,1,3.3,Medium
TK-260206,2025-08-20 12:00:00,25,Gold,Cancellation,App,Daegu,107345,90,0,80,3.5,2,8.4,Medium
TK-260207,2025-11-29 04:00:00,23,Basic,Account,App,Seoul,60833,21,6,2,4.0,0,8.1,Medium
TK-260208,2025-11-16 21:00:00,52,Silver,Delivery,Chat,Seoul,59974,93,4,95,4.8,1,8.1,Medium
TK-260209,2025-06-09 09:00:00,55,Silver,Account,Phone,Busan,,63,1,73,3.6,0,8.2,Medium
TK-260210,2025-03-14 05:00:00,58,Basic,Payment,Chat,Incheon,71498,27,7,76,2.2,0,2.5,Low
TK-260211,2025-07-05 20:00:00,34,Basic,Payment,Phone,Busan,52633,24,3,19,3.7,1,4.8,Medium
TK-260212,2026-05-24 15:00:00,38,Gold,Payment,App,Daegu,131925,31,6,8,4.1,0,6.6,Medium
TK-260213,2025-06-23 23:00:00,24,Basic,Technical,App,Daegu,65909,90,5,80,3.2,4,9.4,Medium
TK-260214,2025-03-23 11:00:00,74,Silver,Account,Email,Daegu,90177,11,1,32,4.3,1,7.1,Low
TK-260215,2025-10-31 23:00:00,39,Gold,Technical,Email,Incheon,140452,18,7,86,2.6,0,4.9,Medium
TK-260216,2025-11-15 11:00:00,59,Basic,Account,Chat,Busan,47550,5,5,29,4.9,0,7.7,Low
TK-260217,2025-01-06 06:00:00,28,Basic,Payment,Chat,Incheon,43372,76,0,59,3.1,0,7.7,Medium
TK-260218,2025-05-06 17:00:00,49,Basic,Account,App,Busan,67310,89,8,19,3.3,1,5.7,Medium
TK-260219,2025-04-09 16:00:00,71,Basic,Delivery,Chat,Daegu,49442,22,2,48,2.9,1,6.6,Low
TK-260220,2025-02-25 14:00:00,24,Gold,Technical,Phone,Daejeon,131319,92,3,79,3.1,0,2.0,Medium
TK-260221,2025-01-27 15:00:00,25,Silver,Payment,Chat,Busan,100091,75,0,114,4.0,0,3.5,Low
TK-260222,2025-12-02 00:00:00,26,Gold,Technical,Chat,Incheon,139202,37,1,79,5.0,0,8.7,High
TK-260223,2025-09-24 10:00:00,70,Basic,Cancellation,Chat,Daegu,22153,79,6,57,3.2,0,4.8,Medium
TK-260224,2025-04-29 04:00:00,42,Basic,Cancellation,Phone,Busan,69640,71,3,66,2.8,0,5.0,Medium
TK-260225,2025-03-17 10:00:00,38,Basic,Delivery,Phone,Seoul,58798,55,5,64,4.0,1,7.4,High
TK-260226,2026-02-01 02:00:00,27,Basic,Technical,Phone,Incheon,23484,46,4,44,3.9,0,8.3,High
TK-260227,2025-12-07 19:00:00,58,Silver,Account,Chat,Incheon,74334,66,3,74,3.8,2,5.1,Medium
TK-260228,2026-06-07 18:00:00,23,Gold,Delivery,Phone,Busan,,49,1,33,4.2,1,2.0,Low
TK-260229,2025-12-17 19:00:00,72,Gold,Payment,Chat,Seoul,131382,13,4,9,3.5,0,1.3,Low
