customer_id,signup_date,age,gender,region,service_tier,contract_type,payment_method,auto_payment,tenure_months,monthly_fee,support_calls_90d,late_payments_12m,weekly_usage_hours,monthly_usage_minutes,churn_risk
CUS-10016,2024-05-24,60.0,Female,Daegu,Basic,One-year,Card,Yes,48.0,31.8,1.0,1.0,4.0,316.0,No
CUS-10017,2024-03-06,29.0,Female,Gwangju,Basic,Monthly,Bank transfer,No,15.0,53.0,5.0,2.0,4.6,305.0,No
CUS-10018,2021-10-30,56.0,Female,Seoul,Basic,Two-year,Card,No,55.0,44.6,2.0,2.0,2.2,167.0,No
CUS-10019,2021-06-19,51.0,Male,Seoul,Standard,Monthly,Bank transfer,Yes,56.0,67.2,2.0,0.0,12.0,653.0,No
CUS-10020,2024-03-19,50.0,Male,Seoul,Standard,Monthly,Card,Yes,19.0,52.5,1.0,1.0,6.2,348.0,No
CUS-10021,2022-06-21,31.0,Female,Busan,Standard,Monthly,Bank transfer,Yes,15.0,69.9,0.0,0.0,1.7,125.0,No
CUS-10022,2024-08-04,43.0,Male,Daejeon,Basic,Monthly,Mobile pay,Yes,11.0,36.1,3.0,1.0,11.6,677.0,No
CUS-10023,2021-11-21,48.0,,Gwangju,Standard,Two-year,Card,No,23.0,39.0,1.0,1.0,7.6,646.0,No
CUS-10024,2025-01-22,44.0,Male,Seoul,Premium,Monthly,Bank transfer,Yes,52.0,48.3,0.0,0.0,3.7,252.0,No
CUS-10025,2024-05-26,25.0,Male,Busan,Standard,Monthly,Card,Yes,49.0,43.6,1.0,0.0,5.0,331.0,No
CUS-10026,2023-05-28,42.0,Male,Seoul,Premium,Monthly,Card,Yes,15.0,73.7,6.0,2.0,9.7,644.0,No
CUS-10027,2021-02-15,42.0,Male,Daegu,Standard,One-year,Mobile pay,No,10.0,54.8,2.0,0.0,2.4,160.0,Yes
CUS-10028,2022-11-24,43.0,Male,Daegu,Premium,Monthly,Mobile pay,Yes,8.0,46.2,0.0,0.0,3.3,208.0,No
CUS-10029,2024-10-05,36.0,Female,Daejeon,Premium,Monthly,Card,No,72.0,66.0,3.0,1.0,7.8,624.0,No
CUS-10030,2025-07-21,25.0,Female,Daegu,Standard,One-year,Card,No,61.0,72.0,2.0,2.0,3.3,252.0,Yes
CUS-10031,2023-12-14,37.0,Male,Busan,Premium,Monthly,Mobile pay,Yes,22.0,40.5,1.0,0.0,5.8,449.0,No
CUS-10032,2025-08-24,19.0,Male,Daejeon,Standard,One-year,Card,Yes,13.0,33.5,4.0,0.0,3.3,259.0,No
CUS-10033,2022-12-08,49.0,Female,Busan,Standard,Two-year,Mobile pay,Yes,44.0,54.6,5.0,5.0,3.7,271.0,No
CUS-10034,2021-11-03,40.0,Female,Gwangju,Standard,One-year,Card,Yes,69.0,47.3,1.0,2.0,6.6,447.0,No
CUS-10035,2025-05-24,30.0,Male,Daejeon,Basic,Two-year,Virtual account,Yes,6.0,32.7,2.0,1.0,10.9,880.0,No
CUS-10036,2023-07-01,31.0,Male,Busan,Premium,Monthly,Virtual account,Yes,61.0,42.9,4.0,0.0,5.1,333.0,No
CUS-10037,2022-01-13,52.0,Female,Daegu,Standard,Two-year,Bank transfer,Yes,47.0,27.9,1.0,0.0,1.9,164.0,No
CUS-10038,2022-06-25,18.0,Female,Daejeon,Premium,Monthly,Bank transfer,Yes,72.0,71.8,2.0,0.0,7.0,602.0,No
CUS-10039,2022-06-29,49.0,Female,Daegu,Basic,Monthly,Bank transfer,Yes,25.0,35.8,1.0,0.0,3.3,242.0,No
CUS-10040,2021-11-18,43.0,Female,Busan,Premium,Monthly,Card,No,49.0,40.3,1.0,0.0,8.6,637.0,No
CUS-10041,2021-08-23,75.0,Male,Daejeon,Basic,Monthly,Card,No,54.0,56.9,1.0,0.0,8.6,585.0,No
CUS-10042,2024-04-23,25.0,Female,Daegu,Standard,Monthly,Bank transfer,Yes,62.0,73.6,1.0,1.0,4.7,306.0,No
CUS-10043,2024-05-14,32.0,Female,Seoul,Premium,Two-year,Bank transfer,No,16.0,86.4,3.0,1.0,3.1,209.0,No
CUS-10044,2025-10-16,33.0,Female,Daegu,Premium,Monthly,Card,Yes,57.0,85.9,2.0,0.0,4.3,368.0,No
CUS-10045,2022-04-11,36.0,Female,Daejeon,Premium,Monthly,Card,No,65.0,64.4,1.0,1.0,3.9,349.0,No
CUS-10046,2022-04-16,30.0,Female,Gwangju,Basic,Two-year,Bank transfer,Yes,7.0,48.6,2.0,2.0,4.4,336.0,No
CUS-10047,2024-03-21,42.0,Male,Seoul,Standard,Monthly,Virtual account,Yes,6.0,15.6,1.0,1.0,7.9,436.0,No
CUS-10048,2024-02-06,31.0,Female,Daegu,,One-year,Card,Yes,10.0,21.6,4.0,2.0,4.7,325.0,Yes
CUS-10049,2023-01-13,40.0,Female,Busan,Basic,Two-year,Card,Yes,20.0,63.1,2.0,1.0,4.0,230.0,No
CUS-10050,2025-08-17,61.0,Female,Seoul,Premium,Monthly,Mobile pay,No,12.0,53.5,0.0,0.0,1.1,71.0,Yes
CUS-10051,2025-08-30,35.0,Female,Gwangju,Basic,One-year,Card,No,18.0,53.4,1.0,2.0,1.2,97.0,No
CUS-10052,2023-12-22,29.0,Female,Daejeon,Premium,Monthly,Virtual account,Yes,28.0,51.2,3.0,0.0,3.0,224.0,Yes
CUS-10053,2023-04-18,41.0,Male,Daejeon,Basic,Monthly,Bank transfer,No,36.0,49.3,1.0,0.0,2.4,167.0,No
CUS-10054,2022-12-10,53.0,Female,Seoul,Premium,Two-year,Card,Yes,68.0,62.1,2.0,0.0,3.9,251.0,No
CUS-10055,2023-12-16,21.0,Female,Seoul,Basic,One-year,Card,No,27.0,47.8,4.0,1.0,5.0,359.0,Yes
CUS-10056,2025-04-17,42.0,Female,Seoul,Basic,Two-year,Card,Yes,19.0,75.4,1.0,2.0,,94.0,No
CUS-10057,2025-07-26,50.0,Female,Daegu,Standard,Monthly,Bank transfer,Yes,65.0,76.7,2.0,0.0,6.1,464.0,No
CUS-10058,2021-02-21,47.0,Female,Gwangju,Premium,Monthly,Bank transfer,No,17.0,31.5,1.0,0.0,9.0,721.0,No
CUS-10059,2021-06-05,56.0,Female,Gwangju,Basic,Two-year,Bank transfer,No,43.0,69.8,2.0,1.0,6.2,442.0,No
CUS-10060,,23.0,Male,Seoul,Standard,Two-year,Bank transfer,No,45.0,45.3,1.0,0.0,2.8,157.0,Yes
CUS-10061,2025-11-19,51.0,Male,Daegu,Basic,Two-year,Mobile pay,No,61.0,58.7,3.0,0.0,5.9,410.0,No
CUS-10062,2023-08-22,36.0,Male,Daejeon,Standard,Monthly,Bank transfer,No,52.0,48.8,2.0,1.0,1.1,80.0,No
CUS-10063,2023-12-06,57.0,Male,Seoul,Standard,One-year,Card,No,48.0,73.2,1.0,0.0,3.7,276.0,No
CUS-10064,2025-07-10,35.0,Male,Seoul,Standard,Monthly,Card,Yes,19.0,59.3,2.0,0.0,11.1,789.0,No
CUS-10065,2025-10-31,39.0,Male,Daegu,Standard,Two-year,Card,No,43.0,33.1,1.0,1.0,20.0,880.0,No
CUS-10066,2025-10-29,47.0,Female,Gwangju,Standard,Monthly,Mobile pay,No,9.0,67.1,3.0,1.0,6.1,431.0,No
CUS-10067,2021-08-31,,Male,Seoul,Standard,Two-year,Card,No,40.0,73.6,0.0,0.0,0.3,30.0,No
CUS-10068,2022-05-15,47.0,Female,Seoul,Standard,One-year,Card,Yes,47.0,35.1,1.0,1.0,7.5,514.0,No
CUS-10069,2023-07-30,46.0,Male,Seoul,Premium,Two-year,Mobile pay,No,72.0,19.0,3.0,0.0,2.3,153.0,No
CUS-10070,2025-11-19,35.0,Male,Busan,Premium,Two-year,Mobile pay,Yes,54.0,74.9,1.0,2.0,5.0,363.0,No
CUS-10071,2021-08-11,29.0,Male,Gwangju,Premium,One-year,Bank transfer,No,25.0,69.3,2.0,1.0,3.7,259.0,No
CUS-10072,2024-01-25,33.0,Female,Seoul,Premium,One-year,Card,Yes,46.0,52.8,0.0,1.0,7.4,582.0,Yes
CUS-10073,2025-03-29,33.0,Female,Daejeon,Premium,One-year,Bank transfer,No,44.0,62.7,1.0,0.0,6.0,435.0,No
CUS-10074,,39.0,Male,Gwangju,Premium,One-year,Card,Yes,5.0,72.0,2.0,4.0,1.6,111.0,No
CUS-10075,2025-10-06,48.0,Male,Seoul,Basic,Monthly,Card,Yes,24.0,61.3,0.0,1.0,8.5,692.0,No
CUS-10076,2022-08-29,,Male,Gwangju,Standard,Monthly,Mobile pay,Yes,41.0,60.6,0.0,0.0,2.3,145.0,No
CUS-10077,2023-03-28,27.0,Male,Busan,Standard,Two-year,Card,Yes,8.0,63.4,2.0,0.0,6.0,479.0,Yes
CUS-10078,2024-11-05,41.0,Male,Daejeon,Premium,Monthly,Mobile pay,No,59.0,36.0,1.0,2.0,4.6,356.0,No
CUS-10079,2022-02-09,33.0,Female,Seoul,Standard,One-year,Card,Yes,7.0,101.9,1.0,0.0,6.2,990.0,No
CUS-10080,2021-07-24,42.0,Male,Busan,Basic,Monthly,Card,No,46.0,66.9,2.0,0.0,7.7,608.0,No
CUS-10081,2022-11-10,47.0,Female,Busan,Basic,Two-year,Mobile pay,Yes,20.0,53.3,2.0,0.0,10.1,751.0,No
CUS-10082,2024-04-17,30.0,Male,Seoul,Standard,Two-year,Virtual account,No,32.0,52.4,0.0,1.0,12.1,750.0,No
CUS-10083,2021-03-21,49.0,Male,Daejeon,Basic,Monthly,Virtual account,Yes,64.0,53.6,3.0,0.0,4.1,286.0,Yes
CUS-10084,2021-01-08,38.0,Male,Gwangju,Basic,Monthly,,No,8.0,28.5,2.0,1.0,4.3,334.0,Yes
CUS-10085,2023-09-02,41.0,Male,Gwangju,Standard,One-year,Bank transfer,Yes,25.0,61.1,2.0,0.0,3.9,310.0,No
CUS-10086,2025-07-30,37.0,Male,Seoul,Basic,One-year,Mobile pay,Yes,22.0,64.4,3.0,0.0,4.9,389.0,No
CUS-10087,2022-01-05,26.0,Male,Busan,Basic,Monthly,Card,No,56.0,56.3,0.0,0.0,2.2,148.0,No
CUS-10088,2022-01-14,46.0,Female,Busan,Standard,One-year,Virtual account,Yes,4.0,46.3,0.0,1.0,5.2,380.0,No
CUS-10089,2021-04-06,40.0,Female,Seoul,Standard,Monthly,Bank transfer,No,52.0,46.4,4.0,0.0,9.1,814.0,No
CUS-10090,2023-03-12,53.0,Female,Daegu,Standard,One-year,Card,Yes,50.0,64.0,3.0,1.0,3.6,279.0,Yes
CUS-10091,2023-02-26,60.0,Female,Seoul,Premium,Two-year,Card,No,25.0,43.3,1.0,0.0,4.4,361.0,No
CUS-10092,2024-08-22,43.0,Male,Daejeon,Basic,Two-year,Bank transfer,Yes,14.0,68.3,1.0,0.0,8.3,620.0,No
CUS-10093,2024-03-31,18.0,Female,Daegu,Basic,Monthly,Card,Yes,49.0,53.0,2.0,1.0,4.1,329.0,No
CUS-10094,2025-12-15,33.0,Female,Seoul,Basic,Monthly,Bank transfer,Yes,68.0,42.5,1.0,0.0,2.9,227.0,No
CUS-10095,2021-12-06,51.0,Male,Daegu,Basic,Monthly,Bank transfer,Yes,67.0,27.1,2.0,0.0,1.8,115.0,No
CUS-10096,2022-07-06,39.0,Female,Seoul,Basic,Monthly,Bank transfer,Yes,6.0,63.5,4.0,2.0,2.1,161.0,Yes
CUS-10097,2021-05-10,18.0,Female,Daegu,Basic,Monthly,Card,No,21.0,37.8,2.0,0.0,2.6,193.0,No
CUS-10098,2021-10-07,55.0,Female,Seoul,Basic,Two-year,Card,No,54.0,62.1,1.0,4.0,1.8,133.0,No
CUS-10099,2022-07-18,45.0,Female,Busan,Standard,Two-year,Card,No,14.0,36.8,3.0,0.0,19.1,880.0,No
CUS-10100,2022-10-29,28.0,Female,Seoul,Standard,Monthly,Bank transfer,No,17.0,69.3,0.0,0.0,5.5,323.0,No
CUS-10101,2021-10-16,32.0,Female,Seoul,Standard,Monthly,Virtual account,Yes,15.0,69.8,2.0,0.0,2.4,174.0,No
CUS-10102,2021-04-14,55.0,Male,Busan,Standard,Monthly,Card,Yes,42.0,58.9,2.0,1.0,4.3,310.0,No
CUS-10103,2023-10-10,52.0,Male,Seoul,Standard,Monthly,Mobile pay,Yes,60.0,58.1,2.0,1.0,,169.0,No
CUS-10104,2021-02-08,49.0,Male,Busan,Basic,One-year,Card,Yes,1.0,60.0,2.0,2.0,5.6,406.0,No
CUS-10105,2021-04-20,39.0,Male,Gwangju,Standard,Monthly,Mobile pay,No,10.0,103.8,2.0,1.0,2.4,184.0,No
CUS-10106,2025-06-11,51.0,Female,Busan,Premium,One-year,Mobile pay,Yes,5.0,67.8,2.0,1.0,0.4,30.0,No
CUS-10107,2022-06-01,37.0,Female,Busan,Standard,One-year,Bank transfer,Yes,62.0,12.3,0.0,0.0,5.4,380.0,No
CUS-10108,2023-04-05,48.0,Male,Seoul,Standard,One-year,Virtual account,No,19.0,64.0,0.0,2.0,1.8,139.0,No
CUS-10109,2022-04-27,55.0,Female,Daegu,Standard,Monthly,Card,No,40.0,83.1,0.0,1.0,2.9,185.0,Yes
CUS-10110,2022-07-11,41.0,Male,Daegu,Basic,One-year,Card,No,28.0,65.1,3.0,2.0,7.3,404.0,No
CUS-10111,2023-06-26,18.0,Male,Busan,Premium,Monthly,Card,No,21.0,78.7,0.0,1.0,7.6,565.0,No
CUS-10112,2023-10-10,43.0,Male,Gwangju,Standard,One-year,Card,No,3.0,85.4,3.0,0.0,5.7,434.0,No
CUS-10113,2025-12-24,45.0,Female,Daegu,Premium,One-year,Card,No,9.0,60.3,1.0,0.0,4.0,294.0,No
CUS-10114,2023-06-06,42.0,Male,Daejeon,Premium,Two-year,Card,No,36.0,81.1,1.0,0.0,10.0,676.0,No
CUS-10115,2022-01-29,27.0,Female,Seoul,Standard,Monthly,Card,No,58.0,46.6,2.0,1.0,8.9,682.0,No
CUS-10116,2021-05-17,38.0,Male,Seoul,Basic,Monthly,Card,Yes,47.0,96.7,2.0,2.0,,299.0,No
CUS-10117,2024-01-12,57.0,Male,Busan,Basic,Monthly,Mobile pay,Yes,43.0,60.0,1.0,0.0,1.2,66.0,No
CUS-10118,2021-11-23,41.0,Male,Busan,Basic,One-year,Card,No,28.0,,3.0,0.0,5.2,431.0,No
CUS-10119,2022-10-12,45.0,Male,Seoul,Standard,Monthly,Card,No,25.0,64.2,1.0,0.0,4.2,234.0,No
CUS-10120,2025-11-28,45.0,Male,Seoul,Standard,Monthly,Mobile pay,No,42.0,66.3,4.0,0.0,3.5,232.0,No
CUS-10121,2021-12-28,46.0,Male,Daegu,Standard,One-year,Card,No,32.0,37.5,0.0,0.0,3.5,241.0,No
CUS-10122,2023-11-13,33.0,Male,Busan,Standard,Monthly,Mobile pay,No,37.0,50.1,3.0,1.0,6.4,416.0,No
CUS-10123,2021-03-18,36.0,Female,Gwangju,Standard,Monthly,Card,Yes,20.0,26.4,3.0,1.0,3.2,234.0,No
CUS-10124,2024-03-10,55.0,Female,Seoul,Standard,Monthly,Virtual account,Yes,61.0,78.7,1.0,1.0,4.0,286.0,No
CUS-10125,2024-01-03,50.0,Male,Seoul,Basic,One-year,Card,Yes,54.0,46.0,1.0,0.0,4.1,255.0,No
CUS-10126,2025-07-22,49.0,Female,Busan,Standard,Monthly,Mobile pay,Yes,70.0,70.0,1.0,1.0,3.4,295.0,No
CUS-10127,2023-05-04,29.0,Female,Seoul,Basic,Two-year,Bank transfer,Yes,5.0,73.0,5.0,1.0,4.6,295.0,No
CUS-10128,2024-06-07,43.0,Female,Seoul,Basic,Monthly,Card,Yes,65.0,49.9,1.0,0.0,4.3,1120.0,No
CUS-10129,2025-02-18,46.0,Male,Seoul,Standard,Monthly,Card,No,59.0,57.3,0.0,2.0,3.6,284.0,No
CUS-10130,2024-01-15,42.0,Male,Seoul,Standard,Monthly,Mobile pay,No,52.0,63.7,2.0,1.0,3.0,228.0,No
CUS-10131,2022-03-15,49.0,Male,Seoul,Basic,Monthly,Mobile pay,Yes,49.0,39.7,0.0,0.0,4.6,382.0,No
CUS-10132,2023-05-17,37.0,Male,Seoul,Standard,Two-year,Mobile pay,No,15.0,,1.0,1.0,20.5,880.0,No
CUS-10133,2022-03-16,21.0,Female,Daejeon,Premium,Monthly,Card,No,12.0,71.3,3.0,1.0,2.0,151.0,No
CUS-10134,2023-09-10,51.0,Male,Daejeon,Standard,Monthly,Card,No,61.0,48.5,2.0,1.0,1.0,66.0,No
CUS-10135,2023-06-11,41.0,Male,Daejeon,Premium,One-year,Bank transfer,Yes,55.0,34.6,1.0,1.0,7.2,650.0,No
CUS-10136,2021-03-31,35.0,Female,Daegu,Basic,Monthly,Virtual account,Yes,10.0,25.8,1.0,0.0,9.2,659.0,No
CUS-10137,2021-07-01,73.0,Male,Daegu,Basic,Monthly,Mobile pay,Yes,53.0,16.1,3.0,0.0,5.4,409.0,No
CUS-10138,2025-12-27,23.0,Male,Seoul,,Monthly,Virtual account,Yes,30.0,88.0,1.0,0.0,4.2,323.0,No
CUS-10139,2025-04-04,26.0,Female,Seoul,Basic,Monthly,Virtual account,Yes,42.0,41.8,1.0,2.0,3.6,283.0,No
CUS-10140,2025-06-21,36.0,Female,Seoul,Standard,One-year,Card,Yes,32.0,86.8,0.0,0.0,12.6,1710.0,No
CUS-10141,2023-06-03,18.0,Female,Busan,Basic,Monthly,Bank transfer,Yes,60.0,65.8,1.0,0.0,0.4,31.0,Yes
CUS-10142,2021-11-03,59.0,Female,Gwangju,Basic,Monthly,Card,No,20.0,70.3,3.0,1.0,11.5,740.0,Yes
CUS-10143,2021-06-06,46.0,Female,Gwangju,Standard,Monthly,Mobile pay,Yes,20.0,60.7,5.0,0.0,1.7,148.0,No
CUS-10144,2023-10-01,50.0,Female,Busan,Standard,Monthly,Mobile pay,No,59.0,99.9,4.0,0.0,3.7,275.0,No
CUS-10145,2021-01-26,63.0,Male,Daejeon,Standard,Monthly,Bank transfer,Yes,16.0,76.5,1.0,2.0,9.6,680.0,No
CUS-10146,2025-09-22,53.0,Male,Seoul,Basic,Monthly,Card,Yes,60.0,75.3,3.0,0.0,5.4,400.0,No
CUS-10147,2024-04-08,21.0,Female,Seoul,Standard,One-year,Card,No,48.0,81.0,3.0,1.0,4.4,266.0,No
CUS-10148,2024-09-30,46.0,Male,Seoul,Premium,Monthly,Card,Yes,49.0,31.0,1.0,3.0,5.7,446.0,No
CUS-10149,2022-08-22,29.0,Female,Daejeon,Basic,One-year,Virtual account,Yes,57.0,71.4,2.0,3.0,6.2,408.0,No
CUS-10150,2021-05-19,47.0,Female,Seoul,Basic,One-year,Card,No,29.0,72.7,2.0,0.0,8.2,658.0,No
CUS-10151,2022-10-30,38.0,Female,Seoul,Standard,Monthly,Card,Yes,12.0,46.2,1.0,1.0,5.8,386.0,No
CUS-10152,2023-11-24,40.0,Male,Gwangju,Premium,Monthly,Bank transfer,No,35.0,34.6,4.0,1.0,2.5,188.0,No
CUS-10153,2023-08-24,58.0,Female,Busan,Basic,Monthly,Virtual account,Yes,14.0,59.8,1.0,0.0,14.1,880.0,No
CUS-10154,2023-12-02,27.0,Female,Daejeon,Standard,One-year,Card,Yes,1.0,72.6,3.0,0.0,1.4,97.0,No
CUS-10155,2021-04-13,46.0,Female,Seoul,Standard,Two-year,Card,Yes,8.0,69.1,2.0,0.0,4.5,265.0,No
CUS-10156,2025-10-18,43.0,Female,Daejeon,Premium,One-year,Card,No,62.0,103.4,1.0,1.0,,880.0,No
CUS-10157,2021-12-28,27.0,Female,Daejeon,Basic,Monthly,Mobile pay,No,16.0,75.9,2.0,0.0,3.4,234.0,No
CUS-10158,2023-10-08,53.0,Female,Daegu,Basic,Two-year,Virtual account,Yes,60.0,49.9,1.0,0.0,1.9,144.0,No
CUS-10159,2022-11-15,45.0,Male,Seoul,Standard,Monthly,Mobile pay,Yes,69.0,45.1,2.0,0.0,2.2,151.0,No
CUS-10160,2021-09-11,46.0,Female,Daegu,Premium,One-year,Bank transfer,No,25.0,50.2,3.0,0.0,3.4,179.0,No
CUS-10161,2023-07-26,26.0,Female,Seoul,Standard,Two-year,Mobile pay,Yes,28.0,48.5,0.0,0.0,6.9,445.0,No
CUS-10162,2022-07-03,52.0,Female,Gwangju,Standard,Two-year,Card,No,18.0,53.5,1.0,0.0,6.7,508.0,No
CUS-10163,2023-07-07,38.0,Male,Daegu,Premium,Two-year,Card,Yes,64.0,55.0,3.0,1.0,6.4,412.0,No
CUS-10164,2024-12-07,43.0,Male,Daegu,Premium,Monthly,Bank transfer,No,6.0,90.0,1.0,0.0,6.1,524.0,No
CUS-10165,2025-12-17,58.0,Male,Seoul,Standard,Monthly,Mobile pay,Yes,40.0,63.2,0.0,0.0,1.8,130.0,No
CUS-10166,2023-12-22,22.0,Male,Seoul,Premium,Monthly,Mobile pay,Yes,35.0,75.0,2.0,1.0,3.9,275.0,No
CUS-10167,2025-12-14,49.0,Male,Daejeon,Basic,One-year,Mobile pay,Yes,26.0,47.8,3.0,0.0,0.6,36.0,No
CUS-10168,2021-04-12,38.0,Male,Seoul,Standard,Two-year,Bank transfer,No,65.0,57.3,1.0,1.0,6.4,442.0,No
CUS-10169,2022-11-01,38.0,Male,Seoul,Basic,Monthly,Bank transfer,No,49.0,64.3,2.0,0.0,6.3,414.0,No
CUS-10170,2021-05-17,62.0,Female,Seoul,Basic,Monthly,Bank transfer,Yes,34.0,56.0,3.0,3.0,5.3,388.0,No
CUS-10171,2025-08-18,29.0,Female,Seoul,Basic,Monthly,Virtual account,Yes,52.0,43.6,3.0,3.0,9.5,645.0,Yes
CUS-10172,2025-01-08,51.0,Female,Busan,Basic,Monthly,Bank transfer,No,19.0,66.3,2.0,1.0,8.6,595.0,Yes
CUS-10173,2025-11-18,61.0,Male,Seoul,Standard,Two-year,Bank transfer,No,35.0,37.2,2.0,1.0,4.9,320.0,No
CUS-10174,2022-04-23,45.0,Male,Busan,Standard,Two-year,Bank transfer,No,54.0,89.1,0.0,0.0,10.4,837.0,No
CUS-10175,2024-03-02,45.0,Female,Seoul,Premium,Two-year,Card,No,44.0,68.8,2.0,3.0,3.5,299.0,No
CUS-10176,2025-07-24,56.0,Male,Seoul,Premium,Two-year,Bank transfer,Yes,28.0,65.6,5.0,2.0,9.8,696.0,No
CUS-10177,2023-01-23,23.0,Female,Seoul,Standard,One-year,Bank transfer,Yes,66.0,42.7,3.0,2.0,5.9,363.0,No
CUS-10178,2024-12-04,31.0,Female,Daejeon,Standard,Monthly,Card,No,38.0,84.3,0.0,0.0,2.0,147.0,No
CUS-10179,2022-11-13,47.0,Female,Busan,Standard,Monthly,Card,Yes,70.0,60.6,4.0,0.0,16.1,880.0,No
CUS-10180,2022-09-15,30.0,Male,Daejeon,Basic,Monthly,Card,Yes,43.0,86.5,2.0,2.0,3.7,247.0,No
CUS-10181,2021-01-26,25.0,Female,Gwangju,Standard,Monthly,Card,No,50.0,54.8,2.0,3.0,4.5,308.0,No
CUS-10182,2024-07-07,33.0,Male,Gwangju,Standard,Monthly,Bank transfer,No,34.0,64.1,0.0,0.0,4.8,267.0,No
CUS-10183,2023-02-03,33.0,Female,Busan,Basic,Monthly,Card,Yes,20.0,52.8,2.0,0.0,,452.0,Yes
CUS-10184,2023-04-18,41.0,Female,Daegu,Standard,Monthly,Mobile pay,No,7.0,27.1,2.0,2.0,5.7,335.0,No
CUS-10185,2021-11-16,52.0,Male,Busan,Standard,One-year,,No,71.0,80.1,3.0,0.0,12.2,793.0,No
CUS-10186,2024-08-30,53.0,Male,Daejeon,Basic,One-year,Bank transfer,Yes,37.0,66.9,2.0,0.0,3.3,270.0,No
CUS-10187,2025-09-23,42.0,Female,Seoul,Standard,One-year,Bank transfer,No,43.0,60.7,2.0,2.0,2.7,222.0,No
CUS-10188,2024-05-29,43.0,Female,Daegu,Basic,One-year,Bank transfer,Yes,49.0,48.2,3.0,0.0,4.4,314.0,No
CUS-10189,2025-05-09,20.0,Female,Busan,Basic,One-year,Bank transfer,No,22.0,60.3,1.0,2.0,6.5,473.0,No
CUS-10190,2025-06-10,49.0,Female,Seoul,Standard,Two-year,Card,No,66.0,75.1,2.0,1.0,5.0,346.0,No
CUS-10191,2023-02-17,38.0,Male,Gwangju,Standard,One-year,Virtual account,No,56.0,90.6,2.0,0.0,5.3,415.0,No
CUS-10192,2024-09-18,57.0,Male,Seoul,Premium,Monthly,Card,Yes,23.0,26.1,3.0,1.0,3.5,249.0,No
CUS-10193,2021-11-02,33.0,Female,Daegu,Basic,Monthly,Bank transfer,No,25.0,74.3,1.0,2.0,4.5,297.0,No
CUS-10194,2024-02-14,39.0,Female,Daejeon,Standard,One-year,Card,No,33.0,77.8,2.0,2.0,1.5,121.0,No
CUS-10195,2025-05-06,38.0,Male,Busan,Premium,Monthly,Bank transfer,Yes,48.0,25.5,1.0,2.0,8.6,573.0,No
CUS-10196,2023-10-12,64.0,,Seoul,Standard,Monthly,Card,No,39.0,21.2,6.0,0.0,11.6,879.0,No
CUS-10197,2023-08-04,50.0,Male,Busan,Standard,One-year,Virtual account,Yes,24.0,39.4,1.0,0.0,,880.0,No
CUS-10198,2025-11-29,35.0,Female,Seoul,Basic,One-year,Mobile pay,Yes,60.0,31.7,2.0,2.0,12.3,849.0,No
CUS-10199,2025-10-16,32.0,Female,Gwangju,Standard,Monthly,Card,No,72.0,53.0,4.0,0.0,1.9,137.0,Yes
CUS-10200,2021-05-28,48.0,Female,Seoul,Basic,One-year,Card,Yes,21.0,52.5,3.0,0.0,4.4,334.0,No
