customer_id,age,gender,city,tenure_months,monthly_fee,contract_type,support_calls,late_payments,usage_hours,churn
C1097,31.0,F,Daegu,32,34.52,Monthly,1,1,123.9,1
C1098,54.0,M,Busan,47,69.78,OneYear,0,0,104.8,0
C1099,52.0,M,Incheon,40,84.76,Monthly,4,0,142.9,1
C1100,26.0,F,Seoul,70,100.36,TwoYear,1,1,97.0,0
C1101,62.0,F,Daegu,48,77.29,Monthly,2,1,112.4,0
C1102,,F,Seoul,31,61.31,Monthly,3,1,107.8,1
C1103,60.0,M,Seoul,70,51.92,Monthly,1,0,84.9,0
C1104,19.0,F,Daegu,8,68.21,Monthly,2,1,109.2,0
C1105,60.0,M,Incheon,71,62.61,Monthly,2,1,173.2,0
C1106,59.0,F,Busan,12,49.73,OneYear,5,2,85.5,0
C1107,59.0,F,Seoul,21,104.88,Monthly,1,2,109.7,0
C1108,53.0,M,Busan,60,100.13,TwoYear,4,4,139.0,1
C1109,43.0,M,Seoul,53,,Monthly,3,1,134.9,1
C1110,55.0,M,Incheon,70,51.42,OneYear,2,0,95.4,0
C1111,33.0,F,Daegu,54,83.39,Monthly,2,0,11.6,1
C1112,59.0,F,Seoul,46,79.51,OneYear,3,1,113.1,0
C1113,47.0,F,Seoul,25,75.97,OneYear,3,2,17.3,0
C1114,42.0,F,Seoul,1,90.49,Monthly,0,2,146.4,0
C1115,45.0,M,Incheon,9,79.44,TwoYear,2,0,100.9,0
C1116,48.0,F,Busan,22,81.32,Monthly,0,0,130.0,0
C1117,20.0,M,Daegu,3,79.46,Monthly,4,1,63.4,1
C1118,26.0,M,Busan,37,74.13,OneYear,5,1,40.7,0
C1119,,F,Busan,56,35.89,TwoYear,3,2,104.1,1
C1120,24.0,F,Seoul,70,69.51,Monthly,4,1,93.8,1
C1121,41.0,M,Incheon,36,57.99,Monthly,2,2,77.8,0
C1122,53.0,F,Seoul,64,44.96,TwoYear,1,0,98.0,0
C1123,53.0,F,Busan,71,,OneYear,2,1,191.9,0
C1124,43.0,F,Busan,62,99.12,TwoYear,2,2,124.2,0
C1125,63.0,F,Busan,34,92.47,Monthly,2,0,131.7,0
C1126,,M,Incheon,24,72.59,OneYear,3,0,124.5,0
C1127,23.0,M,Seoul,71,92.31,Monthly,2,1,146.8,0
C1128,58.0,M,Busan,18,68.22,TwoYear,1,1,88.3,0
C1129,48.0,F,Busan,30,71.65,Monthly,1,1,23.1,1
C1130,52.0,F,Busan,6,48.32,OneYear,1,0,88.4,0
C1131,48.0,M,Seoul,58,75.15,Monthly,1,0,123.4,0
C1132,47.0,M,Seoul,47,69.09,OneYear,4,1,61.1,0
C1133,23.0,M,Seoul,7,44.55,OneYear,2,0,88.8,0
C1134,48.0,F,Seoul,16,67.08,Monthly,1,2,70.8,0
C1135,60.0,F,Busan,40,66.56,TwoYear,1,1,147.6,0
C1136,34.0,M,Busan,39,100.36,Monthly,2,0,121.2,0
C1137,50.0,M,Busan,58,84.1,OneYear,1,1,117.8,0
C1138,20.0,F,Busan,20,68.21,Monthly,2,0,116.8,0
C1139,37.0,M,Busan,67,72.48,Monthly,7,1,93.7,0
C1140,41.0,F,Seoul,33,68.8,Monthly,3,3,101.9,1
C1141,70.0,M,Busan,60,64.35,Monthly,0,2,53.5,0
C1142,30.0,M,Seoul,18,48.52,Monthly,2,0,18.5,0
C1143,33.0,F,Seoul,3,65.28,OneYear,3,1,100.3,0
C1144,40.0,M,Busan,4,54.57,OneYear,6,0,106.3,1
C1145,70.0,M,Busan,27,45.49,OneYear,1,1,137.3,0
C1146,63.0,M,Seoul,69,77.2,Monthly,3,1,150.0,0
C1147,20.0,M,Busan,4,75.04,Monthly,1,0,149.9,0
C1148,31.0,M,Busan,27,35.84,Monthly,1,0,60.1,0
C1149,,M,Daegu,8,65.79,OneYear,4,0,82.7,0
C1150,22.0,M,Busan,68,85.92,TwoYear,2,0,111.8,0
C1151,63.0,M,Busan,49,87.07,Monthly,2,0,183.6,0
C1152,33.0,F,Seoul,55,86.47,OneYear,2,0,146.8,0
C1153,66.0,F,Daegu,52,68.7,Monthly,2,0,134.2,0
C1154,,M,Busan,48,52.79,Monthly,1,1,81.4,0
C1155,41.0,M,Busan,56,48.49,Monthly,4,0,64.1,0
C1156,53.0,F,Busan,1,74.2,Monthly,0,0,122.6,0
C1157,25.0,F,Seoul,63,74.83,OneYear,2,0,56.5,0
C1158,47.0,F,Busan,54,91.17,TwoYear,1,0,86.7,0
C1159,45.0,M,Daegu,54,87.8,Monthly,1,0,91.0,0
C1160,59.0,M,Incheon,29,65.62,Monthly,2,3,150.8,0
C1161,70.0,M,Incheon,58,45.6,OneYear,1,1,82.6,0
C1162,53.0,M,Busan,28,62.26,TwoYear,3,4,9.6,0
C1163,40.0,F,Busan,4,71.91,OneYear,4,2,112.7,0
C1164,40.0,M,Daegu,66,64.36,Monthly,3,1,70.5,0
C1165,40.0,M,Seoul,17,57.6,OneYear,1,2,96.5,0
C1166,61.0,M,Daegu,8,72.55,Monthly,1,1,92.0,0
C1167,35.0,F,Busan,45,58.93,TwoYear,4,3,85.4,0
C1168,27.0,M,Seoul,17,56.69,Monthly,1,0,122.7,0
C1169,36.0,F,Seoul,62,73.61,OneYear,2,0,41.3,0
C1170,20.0,M,Daegu,32,60.76,Monthly,2,1,76.9,0
C1171,24.0,F,Seoul,1,72.39,Monthly,0,1,118.9,0
C1172,23.0,M,Seoul,69,72.92,TwoYear,1,1,73.5,0
C1173,59.0,F,Seoul,38,47.49,OneYear,4,1,38.7,1
C1174,,F,Seoul,19,59.34,Monthly,1,2,118.4,1
C1175,55.0,F,Seoul,49,93.88,TwoYear,4,1,134.3,0
C1176,43.0,F,Daegu,39,47.08,TwoYear,5,0,93.4,0
C1177,56.0,F,Seoul,3,29.9,Monthly,4,1,26.4,1
C1178,27.0,F,Daegu,55,34.49,Monthly,2,0,119.7,0
C1179,65.0,F,Incheon,29,68.52,Monthly,4,1,36.9,0
C1180,45.0,M,Seoul,51,68.56,OneYear,3,1,105.8,0
C1181,67.0,F,Seoul,65,65.88,Monthly,7,4,63.9,0
C1182,26.0,F,Busan,44,89.86,Monthly,1,1,54.4,1
C1183,44.0,F,Seoul,49,20.0,TwoYear,2,2,79.5,0
C1184,55.0,M,Seoul,19,75.13,TwoYear,4,1,88.6,0
C1185,44.0,M,Incheon,18,96.11,TwoYear,3,2,72.5,0
C1186,42.0,F,Incheon,30,47.7,TwoYear,1,2,115.6,0
C1187,27.0,M,Daegu,62,61.16,OneYear,2,1,79.4,0
C1188,38.0,M,Seoul,38,54.45,OneYear,1,1,129.3,0
C1189,,M,Busan,26,51.9,OneYear,2,2,104.8,0
C1190,34.0,M,Daegu,57,62.13,Monthly,2,0,70.6,0
C1191,54.0,M,Seoul,62,93.69,Monthly,4,2,64.7,1
C1192,51.0,M,Busan,65,,Monthly,2,0,37.3,0
C1193,50.0,M,Seoul,22,61.95,OneYear,1,0,105.2,0
C1194,37.0,M,Seoul,52,102.29,Monthly,0,3,82.6,1
C1195,68.0,M,Busan,43,68.64,Monthly,5,1,12.0,0
C1196,23.0,F,Seoul,33,99.57,OneYear,2,0,76.2,0
C1197,36.0,M,Seoul,29,66.32,Monthly,4,2,63.5,1
C1198,25.0,F,Daegu,9,70.36,Monthly,4,0,150.1,0
C1199,36.0,F,Incheon,20,74.58,OneYear,1,1,35.4,0
C1200,69.0,F,Busan,40,125.22,TwoYear,1,0,44.6,0
C1201,38.0,M,Daegu,64,83.32,Monthly,1,1,133.8,0
C1202,66.0,F,Incheon,63,55.27,Monthly,1,1,142.5,0
C1203,44.0,F,Seoul,14,85.44,Monthly,5,0,68.9,1
C1204,55.0,F,Busan,49,61.49,OneYear,2,1,72.9,0
C1205,42.0,F,Seoul,7,59.18,TwoYear,1,1,116.6,0
C1206,32.0,F,Seoul,49,84.35,Monthly,2,3,13.6,1
C1207,58.0,F,Daegu,25,68.56,OneYear,2,0,29.9,0
C1208,69.0,M,Busan,33,73.01,Monthly,2,1,85.2,0
C1209,32.0,F,Busan,52,68.25,Monthly,2,0,149.2,0
C1210,59.0,M,Seoul,31,74.06,TwoYear,3,0,79.7,0
C1211,32.0,F,Seoul,59,75.65,Monthly,2,1,98.5,0
C1212,56.0,F,Incheon,39,33.13,Monthly,2,1,134.7,1
C1213,60.0,M,Seoul,72,80.0,Monthly,3,0,168.7,0
C1214,42.0,F,Seoul,46,50.32,OneYear,2,1,74.8,0
C1215,57.0,M,Seoul,22,42.04,TwoYear,1,0,94.4,0
C1216,33.0,F,Busan,56,66.95,TwoYear,3,2,158.8,0
C1217,23.0,M,Busan,30,69.51,Monthly,4,2,41.7,1
C1218,24.0,F,Busan,39,55.52,Monthly,4,2,131.0,0
C1219,42.0,M,Seoul,10,82.96,OneYear,4,1,59.4,0
C1220,65.0,F,Seoul,9,,Monthly,2,2,98.6,0
