customer_id,age,monthly_fee,tenure_months,support_calls,data_usage_gb,gender,city,plan,contract_type,churn
C0032,22,33.2,6,3,10.8,M,Seoul,Basic,Month-to-month,0
C0033,29,47.3,48,0,27.0,M,Seoul,Basic,Two-year,0
C0034,56,112.3,36,0,24.8,F,Daegu,Premium,One-year,0
C0035,41,116.1,14,1,9.9,F,Incheon,Premium,One-year,1
C0036,70,78.2,52,1,26.1,M,Daegu,Standard,Month-to-month,0
C0037,66,115.1,52,2,27.3,M,Incheon,Premium,Two-year,0
C0038,38,40.7,53,4,23.8,M,Busan,Basic,Month-to-month,1
C0039,68,47.9,18,0,30.6,F,Seoul,Basic,Two-year,0
C0040,25,83.2,39,5,8.7,F,Incheon,Standard,Month-to-month,1
C0041,55,37.1,13,1,36.1,M,Busan,Basic,Month-to-month,0
C0042,26,33.4,47,0,30.7,F,Daegu,Basic,Month-to-month,0
C0043,45,44.4,43,4,17.0,M,Daegu,Basic,One-year,0
C0044,57,80.4,42,2,17.7,M,Incheon,Standard,Two-year,0
C0045,61,108.1,6,1,35.0,F,Seoul,Premium,One-year,1
C0046,20,49.9,3,1,22.3,M,Incheon,Basic,One-year,0
C0047,63,73.1,25,0,22.2,M,Seoul,Standard,Month-to-month,0
C0048,54,310.0,16,0,26.0,M,Incheon,Standard,Two-year,0
C0049,67,102.9,58,0,27.8,F,Incheon,Premium,One-year,0
C0050,59,62.9,18,2,23.1,M,Daegu,Standard,One-year,0
C0051,40,44.5,21,2,19.7,M,Busan,Basic,Month-to-month,0
C0052,48,120.2,27,3,37.7,F,Seoul,Premium,One-year,0
C0053,19,62.9,23,1,30.5,F,Busan,Standard,Month-to-month,0
C0054,70,97.5,26,2,19.2,M,Seoul,Premium,One-year,0
C0055,24,32.0,42,0,29.8,M,Seoul,Basic,Month-to-month,0
C0056,36,40.1,49,2,31.0,M,Incheon,Basic,Month-to-month,0
C0057,41,113.6,15,0,9.3,M,Seoul,Premium,Month-to-month,1
C0058,61,40.4,8,2,16.2,F,Daegu,Basic,One-year,0
C0059,26,120.9,50,3,1.0,M,,Premium,One-year,0
C0060,31,62.6,5,1,7.8,M,Seoul,Standard,Month-to-month,0
C0061,70,83.1,8,2,10.9,M,Daegu,Standard,One-year,1
C0062,45,73.1,53,2,12.4,F,Incheon,Standard,Month-to-month,0
C0063,60,67.2,18,0,8.5,F,Incheon,Standard,One-year,0
C0064,24,42.2,18,4,27.0,F,Incheon,Basic,Month-to-month,1
C0065,50,73.0,14,1,27.5,F,Daegu,Standard,Month-to-month,0
C0066,54,83.5,49,3,22.6,F,Incheon,Standard,Month-to-month,1
C0067,63,64.7,16,1,33.1,F,Daegu,Standard,One-year,0
C0068,35,49.8,15,4,26.3,M,Busan,Basic,One-year,0
C0069,56,35.0,49,0,20.9,M,Busan,Basic,Month-to-month,0
C0070,21,,4,4,8.9,M,Incheon,Basic,Month-to-month,1
C0071,49,28.5,29,0,41.7,F,Incheon,Basic,Month-to-month,0
C0072,28,24.5,10,2,30.2,M,Busan,Basic,One-year,0
C0073,69,33.2,40,2,32.8,F,Incheon,Basic,One-year,1
C0074,66,70.8,7,2,27.8,M,Daegu,Standard,Month-to-month,1
C0075,23,41.2,11,3,22.2,F,Daegu,Basic,Month-to-month,1
C0076,33,60.3,60,4,20.5,M,Incheon,Basic,Month-to-month,1
C0077,36,69.9,53,2,24.5,F,Daegu,Standard,Month-to-month,0
C0078,53,78.5,32,3,10.8,F,Daegu,Standard,Month-to-month,1
C0079,62,78.8,54,3,12.8,M,Daegu,Standard,One-year,0
C0080,36,74.2,12,3,31.6,F,Seoul,Standard,Month-to-month,1
C0081,25,72.7,55,2,29.9,F,Daegu,Standard,Month-to-month,1
C0082,35,50.0,21,1,33.6,M,Incheon,Basic,Month-to-month,0
C0083,67,57.5,32,0,11.2,M,Daegu,Standard,Two-year,0
C0084,59,,39,2,26.3,F,Seoul,Standard,Month-to-month,0
C0085,26,113.9,30,4,17.8,M,Incheon,Premium,Month-to-month,1
C0086,49,110.2,16,0,17.2,M,Busan,Premium,Month-to-month,0
C0087,45,64.1,22,3,17.7,M,Daegu,Standard,One-year,0
C0088,,109.7,35,0,13.9,F,Incheon,Premium,Two-year,0
C0089,34,45.7,37,0,33.9,F,Seoul,Basic,Month-to-month,0
C0090,69,67.0,53,1,19.0,M,Busan,Standard,One-year,0
C0091,47,121.4,7,0,20.4,M,Incheon,Premium,Two-year,0
C0092,58,116.4,45,3,19.1,F,,Premium,One-year,0
C0093,50,105.7,56,0,18.8,M,Daegu,Premium,One-year,0
C0094,25,48.4,29,2,25.8,M,Seoul,Basic,Month-to-month,0
C0095,46,33.6,10,2,31.3,M,Busan,Basic,One-year,0
C0096,56,85.7,10,3,23.4,F,Daegu,Standard,Two-year,0
C0097,37,70.8,44,1,21.0,F,,Standard,Month-to-month,0
C0098,43,116.8,55,4,15.4,F,Daegu,Premium,Month-to-month,0
C0099,61,111.7,26,1,33.5,M,Incheon,Premium,Two-year,0
C0100,33,114.7,41,0,24.5,M,Seoul,Premium,One-year,0
C0101,47,43.3,3,0,15.0,M,Daegu,Basic,Month-to-month,0
C0102,,116.1,34,4,14.8,M,Daegu,Premium,Two-year,0
C0103,37,52.6,48,3,10.2,F,Seoul,Basic,Two-year,0
C0104,70,79.6,36,0,11.4,M,Daegu,Standard,Month-to-month,0
C0105,62,55.0,17,0,13.5,F,Seoul,Standard,Month-to-month,0
C0106,58,59.9,15,0,14.3,F,Daegu,Standard,Month-to-month,1
C0107,21,54.3,20,2,21.9,M,Busan,Basic,Month-to-month,0
C0108,56,54.3,48,1,19.3,M,Incheon,Standard,Two-year,0
C0109,63,21.4,24,2,31.6,M,Daegu,Basic,One-year,0
C0110,44,72.8,18,0,23.7,F,Seoul,Standard,One-year,0
C0111,20,245.0,4,2,15.5,M,Busan,Basic,One-year,0
C0112,40,128.1,50,3,33.6,M,Daegu,Premium,Month-to-month,1
C0113,35,44.9,52,3,33.8,M,Busan,Basic,One-year,0
C0114,22,64.6,9,3,21.4,M,Incheon,Standard,Month-to-month,0
C0115,47,88.1,33,2,34.2,F,Incheon,Standard,Month-to-month,0
C0116,25,,32,1,19.7,M,Daegu,Standard,Month-to-month,0
C0117,59,70.1,38,0,19.6,F,Incheon,Standard,Month-to-month,0
C0118,68,35.3,36,1,20.9,F,Busan,Basic,One-year,0
C0119,65,107.3,7,1,29.2,F,Daegu,Premium,One-year,1
C0120,46,64.9,7,2,21.7,M,Seoul,Standard,One-year,0
C0121,26,102.7,27,0,32.6,F,Seoul,Premium,One-year,0
C0122,61,78.2,31,3,22.7,F,Seoul,Standard,One-year,0
C0123,54,44.0,50,2,10.7,M,Daegu,Basic,Month-to-month,0
C0124,30,78.2,56,0,30.2,M,Busan,Standard,Two-year,0
C0125,52,49.1,14,0,28.9,M,Daegu,Basic,Month-to-month,0
C0126,28,68.2,11,1,22.1,M,,Standard,Month-to-month,0
C0127,45,34.4,18,2,32.5,F,Incheon,Basic,One-year,0
C0128,33,108.7,26,0,25.0,M,Daegu,Premium,One-year,0
C0129,37,45.7,21,3,29.2,F,Busan,Basic,Month-to-month,0
C0130,41,82.3,5,3,10.2,F,Seoul,Standard,Month-to-month,1
C0131,46,48.2,37,0,29.3,F,Seoul,Basic,Two-year,0
C0132,63,84.5,59,5,15.8,M,Busan,Standard,Month-to-month,1
C0133,38,53.4,48,1,28.9,M,Seoul,Standard,Month-to-month,0
C0134,65,37.2,53,1,18.9,M,Busan,Basic,Month-to-month,0
C0135,67,60.8,42,5,32.1,F,Incheon,Standard,One-year,0
C0136,59,93.5,40,3,11.4,F,Busan,Standard,Month-to-month,0
C0137,69,64.5,18,0,17.4,M,Daegu,Standard,Month-to-month,0
C0138,24,108.2,40,2,14.6,M,Incheon,Premium,One-year,1
C0139,57,112.3,31,0,21.8,F,Seoul,Premium,One-year,0
C0140,21,17.1,16,1,14.7,M,Daegu,Basic,Month-to-month,0
C0141,40,34.4,44,0,12.8,F,Seoul,Basic,One-year,0
C0142,57,45.3,56,2,24.2,M,,Basic,One-year,0
C0143,27,117.0,39,1,18.3,F,Daegu,Premium,One-year,0
C0144,52,32.3,6,0,16.3,F,Seoul,Basic,Month-to-month,0
C0145,68,36.2,32,4,60.8,M,Seoul,Basic,One-year,0
C0146,52,26.9,3,1,12.3,M,Incheon,Basic,Month-to-month,0
C0147,58,55.2,52,3,13.7,M,Incheon,Basic,One-year,0
C0148,69,46.7,29,1,22.7,F,Busan,Basic,Two-year,0
C0149,48,114.7,50,1,30.7,F,Busan,Premium,One-year,0
C0150,42,37.5,36,2,35.0,M,Daegu,Basic,Month-to-month,0
C0151,51,105.7,10,2,18.6,M,Incheon,Premium,Two-year,0
C0152,43,74.0,6,2,20.5,M,Daegu,Standard,Month-to-month,1
C0153,,76.3,31,1,17.4,F,Incheon,Standard,Two-year,0
C0154,65,41.9,39,2,17.7,F,Busan,Basic,Month-to-month,0
C0155,,69.5,40,1,23.2,F,Seoul,Standard,One-year,1
C0156,41,36.8,16,0,16.8,M,Daegu,Basic,Month-to-month,0
C0157,51,132.0,36,5,24.3,M,Incheon,Premium,Month-to-month,1
C0158,,32.7,43,2,11.3,F,Busan,Basic,Month-to-month,0
C0159,30,114.0,54,2,12.1,F,Busan,Premium,Month-to-month,1
C0160,21,111.2,51,0,22.8,F,Incheon,Premium,Month-to-month,0
C0161,67,35.1,42,2,29.9,M,Daegu,Basic,One-year,0
C0162,43,111.1,22,2,32.4,F,Daegu,Premium,Month-to-month,0
C0163,65,,28,3,27.8,M,Daegu,Basic,Month-to-month,0
C0164,46,62.1,11,0,18.9,M,Daegu,Standard,Month-to-month,0
C0165,69,103.5,4,3,27.8,F,Busan,Premium,Month-to-month,1
C0166,23,61.5,16,0,23.5,F,Seoul,Standard,One-year,0
C0167,42,44.4,29,2,10.3,F,Incheon,Basic,Month-to-month,1
C0168,52,38.7,25,1,25.9,F,Incheon,Basic,One-year,0
C0169,50,126.5,13,4,34.3,F,Busan,Premium,Month-to-month,0
C0170,39,116.8,43,3,20.1,F,Daegu,Premium,One-year,0
C0171,59,65.0,12,2,11.7,M,Busan,Standard,Month-to-month,0
C0172,48,42.2,52,2,26.7,M,Seoul,Basic,Two-year,0
C0173,52,101.1,27,2,5.4,M,Busan,Premium,One-year,0
C0174,72,69.2,50,2,10.6,M,Incheon,Standard,Two-year,0
C0175,52,420.0,10,1,27.0,M,Daegu,Premium,Month-to-month,1
C0176,54,77.4,18,2,27.4,M,Busan,Standard,One-year,1
C0177,58,45.2,47,3,17.3,M,Seoul,Basic,Two-year,0
C0178,55,67.7,27,0,20.4,F,Daegu,Standard,One-year,0
C0179,38,67.2,30,2,23.4,F,Incheon,Standard,Month-to-month,0
C0180,65,47.5,56,1,16.9,F,Seoul,Basic,Month-to-month,0
C0181,34,48.2,10,3,26.3,F,Incheon,Basic,Two-year,0
C0182,39,105.0,13,3,22.9,F,Incheon,Premium,Month-to-month,1
C0183,44,47.6,33,0,23.8,F,Seoul,Basic,Month-to-month,0
C0184,53,62.0,1,0,27.5,F,Daegu,Standard,Month-to-month,0
C0185,55,68.1,36,2,32.7,M,Incheon,Standard,One-year,0
C0186,26,78.6,9,6,30.9,F,Daegu,Standard,Month-to-month,1
C0187,51,76.0,3,2,23.4,F,Incheon,Standard,Month-to-month,0
C0188,39,77.7,11,1,12.3,F,Daegu,Standard,Month-to-month,0
C0189,55,114.5,20,1,22.3,F,Seoul,Premium,One-year,0
C0190,20,72.3,39,0,1.0,M,Seoul,Standard,Month-to-month,0
C0191,58,75.7,50,2,17.7,M,Seoul,Standard,One-year,0
C0192,45,83.5,45,3,25.0,F,Seoul,Standard,Month-to-month,0
C0193,61,100.6,31,0,20.8,M,Incheon,Premium,Month-to-month,0
C0194,60,35.9,52,4,17.7,M,Busan,Basic,Month-to-month,0
C0195,38,82.5,50,1,28.0,F,Daegu,Standard,One-year,0
C0196,55,106.2,44,1,3.6,F,Daegu,Premium,One-year,0
C0197,,44.8,46,4,31.7,F,Incheon,Basic,One-year,0
C0198,25,68.5,40,3,21.6,M,Busan,Standard,Month-to-month,0
C0199,,52.8,31,4,31.1,M,Busan,Basic,Two-year,0
C0200,37,71.7,21,0,21.3,M,Busan,Standard,One-year,0
C0201,30,,27,2,18.2,M,Incheon,Standard,Month-to-month,1
C0202,21,79.4,1,0,18.3,F,Daegu,Standard,One-year,0
C0203,27,38.8,55,0,21.8,M,Daegu,Basic,Month-to-month,0
C0204,69,107.0,19,2,8.2,M,Incheon,Premium,Month-to-month,1
C0205,61,36.6,7,2,26.5,F,Busan,Basic,Month-to-month,0
C0206,56,39.8,47,2,15.7,F,Busan,Basic,Month-to-month,0
C0207,44,65.2,44,0,21.7,F,Seoul,Standard,Two-year,0
C0208,49,79.3,10,2,1.0,F,Incheon,Standard,Two-year,0
C0209,70,77.8,43,3,8.4,M,Incheon,Standard,Month-to-month,0
C0210,51,38.8,13,1,17.4,F,Incheon,Basic,Month-to-month,0
C0211,24,77.3,58,0,20.9,F,Busan,Standard,Month-to-month,0
C0212,65,51.6,2,2,8.8,M,Seoul,Basic,Month-to-month,1
C0213,22,55.6,60,5,5.8,F,Seoul,Basic,Month-to-month,0
C0214,45,44.0,24,3,30.8,F,Incheon,Basic,Two-year,0
C0215,27,74.3,42,2,18.5,F,Busan,Standard,Month-to-month,0
C0216,62,69.9,47,2,11.3,M,Busan,Standard,Month-to-month,1
C0217,65,39.0,49,4,32.7,F,Seoul,Basic,Month-to-month,0
C0218,22,62.7,16,1,21.5,M,Busan,Standard,One-year,1
C0219,37,52.3,15,2,8.6,F,Daegu,Basic,Two-year,0
C0220,36,67.1,4,1,10.7,M,Incheon,Standard,Month-to-month,1
C0221,60,39.3,43,0,29.5,F,Incheon,Basic,Month-to-month,0
C0222,38,95.0,55,0,17.7,M,Incheon,Premium,One-year,0
C0223,34,44.9,17,2,34.4,F,Daegu,Basic,One-year,0
C0224,57,40.7,3,3,26.1,M,Incheon,Basic,Two-year,0
C0225,19,115.7,14,5,13.1,M,Incheon,Premium,One-year,1
C0226,39,47.8,50,0,19.9,F,Daegu,Basic,Month-to-month,0
C0227,25,39.2,52,3,20.8,F,Busan,Basic,Month-to-month,0
C0228,35,36.6,36,1,32.9,F,Daegu,Basic,Month-to-month,0
C0229,72,66.8,16,0,22.1,F,Daegu,Standard,Month-to-month,0
C0230,65,112.5,51,0,19.0,F,Busan,Premium,Month-to-month,0
C0231,22,47.7,34,4,25.7,M,Seoul,Basic,One-year,1
C0232,51,54.1,30,4,13.3,F,Incheon,Basic,Month-to-month,0
C0233,20,53.6,34,1,11.0,F,Seoul,Standard,One-year,0
C0234,25,48.6,34,3,25.5,F,Daegu,Basic,Month-to-month,0
C0235,44,60.0,30,0,11.1,M,Daegu,Standard,One-year,0
C0236,24,76.0,26,0,13.7,M,Seoul,Standard,Month-to-month,0
C0237,60,35.3,51,0,43.6,M,Seoul,Basic,Two-year,0
C0238,23,101.3,44,0,39.2,M,Busan,Premium,Month-to-month,0
C0239,56,28.4,10,2,7.8,F,Seoul,Basic,One-year,0
C0240,53,47.8,22,0,11.0,M,Daegu,Basic,Month-to-month,0
