customer_id,age,gender,monthly_fee,usage_time,contract_type,support_count,churn
C10065,50.0,Female,74600.0,,Two-year,0.0,0
C10066,51.0,Male,52000.0,116.4,Monthly,3.0,1
C10067,37.0,Female,54200.0,63.9,Monthly,0.0,0
C10068,35.0,Male,85000.0,87.4,Two-year,2.0,0
C10069,51.0,Male,67200.0,142.0,Two-year,1.0,0
C10070,39.0,Female,106300.0,112.7,One-year,2.0,1
C10071,26.0,Female,57400.0,32.1,One-year,1.0,0
C10072,27.0,Female,90000.0,124.5,Monthly,2.0,0
C10073,30.0,Female,70100.0,46.2,Monthly,2.0,0
C10074,,Female,85500.0,158.6,Monthly,0.0,0
C10075,43.0,Male,58200.0,141.1,Monthly,1.0,0
C10076,49.0,Male,66900.0,108.0,Monthly,0.0,0
C10077,36.0,Male,65500.0,102.1,Two-year,0.0,0
C10078,43.0,Male,49600.0,85.6,Monthly,2.0,0
C10079,49.0,Female,82600.0,125.5,Monthly,2.0,1
C10080,37.0,Male,82300.0,78.3,One-year,2.0,0
C10081,46.0,Female,81100.0,105.6,Monthly,2.0,0
C10082,33.0,Female,101800.0,,Monthly,4.0,1
C10083,37.0,Female,99900.0,69.7,One-year,1.0,0
C10084,36.0,Male,59800.0,67.3,Monthly,1.0,0
C10085,27.0,Male,76200.0,41.3,One-year,1.0,0
C10086,47.0,Female,54300.0,47.1,Two-year,0.0,1
C10087,35.0,Female,68500.0,12.7,Monthly,0.0,0
C10088,41.0,Female,54800.0,127.8,Two-year,1.0,0
C10089,47.0,Female,103600.0,176.4,Two-year,1.0,0
C10090,46.0,Female,76000.0,159.1,Two-year,1.0,0
C10091,49.0,Male,63200.0,21.8,One-year,2.0,0
C10092,40.0,Female,94300.0,127.6,One-year,5.0,0
C10093,36.0,Male,20200.0,159.0,,2.0,0
C10094,40.0,Female,23700.0,74.4,One-year,0.0,0
C10095,21.0,Female,85500.0,99.6,Monthly,1.0,0
C10096,24.0,Female,69300.0,4.6,Two-year,1.0,0
C10097,25.0,Male,73500.0,107.0,One-year,1.0,0
C10098,29.0,Male,38800.0,47.1,One-year,2.0,0
C10099,46.0,Female,67500.0,104.0,Monthly,1.0,1
C10100,30.0,Male,112100.0,24.7,Monthly,3.0,1
C10101,36.0,Male,86100.0,119.4,Monthly,3.0,0
C10102,57.0,Male,71700.0,141.1,Monthly,0.0,0
C10103,37.0,Male,58300.0,59.8,Monthly,2.0,0
C10104,50.0,Male,59300.0,43.8,Monthly,2.0,0
C10105,30.0,Female,21200.0,3.0,Monthly,0.0,0
C10106,39.0,Male,73700.0,83.0,One-year,0.0,0
C10107,30.0,Male,86600.0,68.8,Monthly,1.0,0
C10108,37.0,Male,33300.0,25.2,Two-year,4.0,0
C10109,51.0,Male,53400.0,115.4,Monthly,0.0,0
C10110,20.0,Male,42500.0,74.8,Monthly,1.0,0
C10111,46.0,Female,46800.0,46.6,Monthly,0.0,0
C10112,44.0,Male,69200.0,70.0,One-year,1.0,0
C10113,34.0,Male,22100.0,143.2,Monthly,3.0,0
C10114,24.0,Male,,122.1,One-year,3.0,0
C10115,42.0,Male,84600.0,89.1,Two-year,2.0,0
C10116,35.0,Male,62500.0,122.9,Monthly,0.0,0
C10117,44.0,Male,18000.0,42.8,One-year,1.0,0
C10118,41.0,Female,46100.0,96.5,Monthly,2.0,0
C10119,60.0,Male,95100.0,101.6,Monthly,1.0,0
C10120,38.0,Female,18000.0,73.9,Monthly,2.0,1
C10121,29.0,Male,60400.0,114.6,Monthly,0.0,0
C10122,43.0,Male,42000.0,59.9,One-year,3.0,0
C10123,44.0,Male,,117.9,One-year,2.0,0
C10124,57.0,Female,53100.0,119.8,One-year,0.0,0
C10125,51.0,Female,76900.0,3.0,Monthly,0.0,0
C10126,45.0,Male,80400.0,148.6,One-year,1.0,0
C10127,59.0,Male,108400.0,3.0,Monthly,2.0,1
C10128,27.0,Male,63500.0,67.3,Monthly,2.0,1
C10129,33.0,Male,76300.0,141.1,Monthly,2.0,0
C10130,30.0,Female,35300.0,80.7,One-year,1.0,0
C10131,36.0,Male,94200.0,29.0,Two-year,2.0,0
C10132,24.0,Male,51300.0,45.8,Monthly,2.0,0
C10133,49.0,Female,55700.0,141.2,One-year,1.0,0
C10134,38.0,Male,67500.0,8.5,One-year,2.0,1
C10135,23.0,Male,33600.0,145.8,Two-year,3.0,0
C10136,29.0,Female,73000.0,92.5,One-year,3.0,0
C10137,45.0,Male,89300.0,41.3,One-year,3.0,0
C10138,51.0,Male,74400.0,68.8,One-year,1.0,0
C10139,65.0,Male,33000.0,49.2,Two-year,2.0,0
C10140,75.0,Female,,134.0,Monthly,2.0,1
C10141,46.0,Male,84300.0,128.0,Two-year,0.0,0
C10142,29.0,Male,26700.0,17.6,Monthly,2.0,0
C10143,,Male,44400.0,76.8,Two-year,5.0,1
C10144,44.0,Male,87300.0,56.2,Monthly,1.0,0
C10145,31.0,Female,73900.0,153.2,Monthly,0.0,1
C10146,36.0,Male,77100.0,34.2,Monthly,1.0,0
C10147,34.0,Female,108900.0,167.2,Monthly,1.0,0
C10148,39.0,Female,78300.0,93.5,Monthly,1.0,1
C10149,54.0,Female,82500.0,42.7,Monthly,2.0,0
C10150,43.0,Male,127600.0,64.5,Monthly,3.0,1
C10151,39.0,Female,63300.0,58.9,Monthly,1.0,0
C10152,29.0,Female,50400.0,37.6,One-year,1.0,0
C10153,21.0,Male,77400.0,99.3,Two-year,6.0,0
C10154,35.0,Female,77700.0,39.7,One-year,0.0,0
C10155,40.0,Female,56400.0,3.0,Monthly,2.0,1
C10156,62.0,Male,45300.0,,Monthly,0.0,0
C10157,43.0,Female,118800.0,13.9,Two-year,1.0,0
C10158,53.0,Male,75200.0,61.2,Monthly,1.0,0
C10159,35.0,Female,51900.0,54.1,Monthly,2.0,0
C10160,27.0,Female,88200.0,55.8,Two-year,2.0,0
C10161,29.0,Male,65600.0,,Two-year,3.0,0
C10162,32.0,Female,62400.0,97.5,Monthly,0.0,0
C10163,67.0,Male,80400.0,106.0,One-year,4.0,0
C10164,31.0,Female,39600.0,15.1,Monthly,3.0,0
C10165,51.0,Female,75800.0,65.6,One-year,2.0,0
C10166,30.0,Male,110100.0,104.7,Monthly,2.0,0
C10167,52.0,Male,78300.0,48.9,Monthly,3.0,0
C10168,46.0,Male,59700.0,135.9,One-year,2.0,0
C10169,39.0,Male,56800.0,40.9,Monthly,4.0,0
C10170,41.0,Male,59000.0,82.1,One-year,4.0,1
C10171,33.0,Male,62400.0,68.6,Monthly,2.0,1
C10172,46.0,Male,59700.0,102.4,Two-year,2.0,0
C10173,36.0,Male,88200.0,66.2,One-year,2.0,0
C10174,,Female,29900.0,,Monthly,3.0,0
C10175,26.0,Female,87000.0,84.4,One-year,3.0,0
C10176,43.0,Female,59600.0,62.0,Monthly,3.0,0
C10177,60.0,Male,76300.0,116.8,Monthly,2.0,0
C10178,43.0,Female,43200.0,105.7,Monthly,7.0,1
C10179,40.0,Female,97200.0,91.0,Two-year,4.0,1
C10180,44.0,Male,95400.0,75.6,Two-year,2.0,0
C10181,57.0,Male,89100.0,130.8,Two-year,0.0,0
C10182,44.0,Female,34700.0,,Two-year,0.0,0
C10183,36.0,Male,86200.0,81.2,Two-year,2.0,0
C10184,54.0,Female,76900.0,99.7,Monthly,0.0,0
C10185,46.0,Female,32700.0,171.3,Two-year,1.0,0
C10186,59.0,Male,67500.0,34.7,One-year,2.0,0
C10187,43.0,Male,76000.0,129.6,Monthly,1.0,0
C10188,26.0,Female,80200.0,9.8,One-year,2.0,0
C10189,25.0,Female,71900.0,104.8,Monthly,2.0,0
C10190,61.0,Male,74400.0,165.9,Monthly,3.0,1
C10191,62.0,Female,100400.0,117.0,Monthly,3.0,1
C10192,39.0,Female,95000.0,102.7,Monthly,1.0,0
C10193,36.0,Female,18000.0,69.8,Monthly,4.0,0
C10194,59.0,Female,61000.0,96.4,Two-year,3.0,0
C10195,28.0,Male,64400.0,83.7,One-year,5.0,0
C10196,30.0,Male,29500.0,59.6,One-year,1.0,0
C10197,49.0,Female,,82.0,,1.0,0
C10198,36.0,Male,95500.0,103.9,Monthly,1.0,0
C10199,41.0,Female,44100.0,60.5,Monthly,2.0,1
C10200,,Female,75400.0,58.7,Two-year,0.0,0
C10201,45.0,Male,47900.0,33.8,Monthly,3.0,0
C10202,58.0,Female,53200.0,112.6,One-year,3.0,0
C10203,42.0,Male,100500.0,119.5,One-year,3.0,0
C10204,49.0,Female,56100.0,105.4,One-year,1.0,0
C10205,18.0,Male,78200.0,138.4,Two-year,0.0,0
C10206,40.0,Female,26800.0,99.0,Monthly,5.0,1
C10207,,Female,109000.0,112.6,Two-year,0.0,0
C10208,26.0,Male,81300.0,108.7,One-year,1.0,0
C10209,30.0,Female,64000.0,90.9,One-year,1.0,0
C10210,37.0,Female,80700.0,71.1,One-year,0.0,0
C10211,52.0,,37000.0,194.6,Two-year,1.0,0
C10212,25.0,Female,94000.0,74.7,Two-year,1.0,0
C10213,41.0,Female,60900.0,65.0,Monthly,2.0,0
C10214,35.0,Male,63500.0,114.5,One-year,2.0,0
C10215,37.0,Female,57200.0,106.3,One-year,0.0,0
C10216,53.0,Male,55200.0,31.8,Monthly,3.0,1
C10217,47.0,Female,83300.0,145.5,Two-year,3.0,0
C10218,57.0,Female,73600.0,90.8,Monthly,3.0,1
C10219,39.0,Male,82300.0,45.0,One-year,0.0,0
C10220,33.0,Male,67800.0,148.5,Monthly,3.0,0
C10221,38.0,Female,79300.0,123.2,Monthly,0.0,0
C10222,,Male,58800.0,38.1,Two-year,1.0,0
C10223,43.0,Female,117100.0,175.0,Monthly,2.0,0
C10224,28.0,Male,33500.0,124.6,Monthly,0.0,0
C10225,42.0,Female,95700.0,94.5,Monthly,1.0,0
C10226,44.0,Male,98100.0,166.6,Monthly,0.0,1
C10227,71.0,Male,49300.0,102.2,One-year,2.0,0
C10228,64.0,Female,117000.0,93.7,Two-year,2.0,0
C10229,31.0,Female,89900.0,65.3,Monthly,1.0,0
C10230,38.0,Male,89400.0,121.2,One-year,1.0,0
C10231,23.0,Male,68600.0,116.4,Monthly,0.0,0
C10232,34.0,Female,63200.0,95.7,One-year,0.0,0
C10233,45.0,Female,63400.0,59.5,Monthly,2.0,0
C10234,55.0,Male,76600.0,100.8,Monthly,2.0,0
C10235,32.0,Female,98800.0,91.9,Monthly,1.0,1
C10236,33.0,Female,72000.0,35.0,One-year,1.0,0
C10237,18.0,Female,47900.0,28.8,Monthly,0.0,0
C10238,39.0,Female,86100.0,120.4,Monthly,2.0,1
C10239,28.0,Female,88300.0,3.0,One-year,1.0,0
C10240,35.0,Male,82400.0,104.2,,3.0,0
C10241,30.0,Female,84400.0,73.5,Monthly,1.0,1
C10242,40.0,Female,62000.0,153.9,One-year,0.0,0
C10243,20.0,Female,,72.8,Two-year,1.0,0
C10244,23.0,Male,,124.7,Monthly,2.0,0
C10245,67.0,Male,32000.0,77.1,One-year,0.0,0
C10246,26.0,Female,73200.0,100.1,Monthly,3.0,0
C10247,28.0,Male,66200.0,128.2,One-year,0.0,0
C10248,63.0,Female,58300.0,74.2,Monthly,1.0,0
C10249,75.0,Male,18000.0,139.8,One-year,2.0,0
C10250,27.0,Female,40600.0,50.3,Monthly,1.0,0
C10251,37.0,Female,92700.0,108.3,Monthly,0.0,0
C10252,45.0,Male,53400.0,136.5,Two-year,2.0,0
C10253,62.0,Male,75900.0,124.7,Monthly,2.0,0
C10254,29.0,,37400.0,181.2,Two-year,0.0,0
C10255,38.0,Female,99700.0,60.6,Two-year,2.0,0
C10256,50.0,Male,64800.0,32.9,Two-year,8.0,1
C10257,46.0,Female,74400.0,50.3,Monthly,3.0,1
C10258,36.0,Female,119200.0,124.7,One-year,5.0,0
C10259,39.0,Male,101400.0,117.4,Monthly,5.0,1
C10260,25.0,Male,61300.0,99.6,Monthly,0.0,0
C10261,38.0,Male,54900.0,44.5,Two-year,2.0,0
C10262,38.0,Male,60800.0,129.5,One-year,2.0,0
C10263,44.0,Male,79200.0,39.9,One-year,1.0,0
C10264,,Male,65700.0,147.2,Monthly,1.0,0
C10265,47.0,Female,59300.0,223.6,One-year,1.0,0
C10266,53.0,Male,100300.0,111.5,One-year,2.0,0
C10267,43.0,Female,65500.0,121.2,Monthly,0.0,0
C10268,45.0,Male,118600.0,72.8,Two-year,2.0,0
C10269,42.0,Male,70000.0,13.5,Monthly,1.0,0
C10270,41.0,Female,107300.0,67.9,Monthly,1.0,1
C10271,32.0,Female,75900.0,45.8,One-year,1.0,1
C10272,45.0,Male,89200.0,29.9,Two-year,2.0,0
C10273,40.0,Male,52100.0,172.5,Monthly,1.0,0
C10274,66.0,Male,49200.0,107.3,Monthly,2.0,0
C10275,60.0,Female,78100.0,,Monthly,6.0,0
C10276,46.0,Male,89700.0,81.1,Two-year,2.0,0
C10277,32.0,Male,68900.0,87.2,Monthly,2.0,0
C10278,28.0,Male,39700.0,138.4,Monthly,2.0,0
C10279,55.0,Male,38100.0,93.5,Two-year,3.0,0
C10280,44.0,Female,36600.0,118.9,Monthly,2.0,0
C10281,47.0,Female,29100.0,86.2,One-year,1.0,0
C10282,20.0,Female,70400.0,79.6,Monthly,0.0,0
C10283,52.0,Male,92800.0,31.7,One-year,4.0,0
C10284,46.0,Male,67700.0,6.0,Monthly,1.0,1
C10285,28.0,Male,18300.0,83.2,Monthly,1.0,0
C10286,35.0,Female,63800.0,97.5,Monthly,0.0,0
C10287,44.0,Female,64400.0,37.1,One-year,0.0,0
C10288,42.0,Female,114100.0,93.4,One-year,0.0,0
C10289,37.0,Female,35900.0,97.4,Monthly,4.0,1
C10290,40.0,Female,59400.0,3.0,Monthly,0.0,0
C10291,38.0,Female,105500.0,53.8,Two-year,1.0,0
C10292,43.0,Male,77900.0,113.3,Monthly,1.0,1
C10293,59.0,Male,80400.0,112.4,Monthly,1.0,0
C10294,18.0,Male,70500.0,43.1,One-year,4.0,1
C10295,38.0,Female,75300.0,102.1,Monthly,0.0,0
C10296,,Male,85100.0,141.0,Monthly,2.0,0
C10297,45.0,Female,50200.0,130.0,Monthly,3.0,0
C10298,37.0,Female,87300.0,90.7,Monthly,2.0,0
C10299,20.0,Female,37800.0,73.9,One-year,1.0,1
C10300,45.0,Male,75200.0,66.7,One-year,1.0,0
C10301,62.0,Male,71900.0,116.1,One-year,2.0,0
C10302,23.0,Male,54400.0,103.8,Monthly,4.0,1
C10303,51.0,Female,67500.0,123.3,Two-year,2.0,0
C10304,37.0,Female,54300.0,100.9,Monthly,1.0,1
C10305,40.0,Female,44400.0,131.8,One-year,1.0,0
C10306,28.0,Male,60200.0,,Monthly,2.0,0
C10307,37.0,Male,43700.0,130.3,One-year,3.0,0
C10308,57.0,Male,75100.0,134.2,Monthly,1.0,0
C10309,48.0,Female,42700.0,58.8,Monthly,3.0,1
C10310,62.0,Female,83700.0,13.6,Monthly,1.0,0
C10311,55.0,Male,42000.0,164.5,Monthly,2.0,0
C10312,46.0,Female,55500.0,106.5,Monthly,1.0,0
C10313,62.0,Male,54300.0,17.8,One-year,0.0,0
C10314,46.0,Female,97200.0,62.9,Two-year,2.0,0
C10315,51.0,Male,75300.0,129.7,Monthly,1.0,0
C10316,37.0,Male,63300.0,82.4,Two-year,4.0,0
C10317,42.0,Female,79000.0,72.0,One-year,1.0,0
C10318,33.0,Male,21600.0,158.0,Two-year,4.0,0
C10319,53.0,Male,67100.0,47.9,One-year,2.0,0
C10320,27.0,Male,111900.0,59.1,One-year,2.0,0
C10321,50.0,Male,70900.0,104.5,One-year,1.0,0
C10322,39.0,Female,69500.0,112.6,One-year,1.0,0
C10323,55.0,Female,80100.0,117.3,Two-year,3.0,0
C10324,50.0,Female,87700.0,136.0,Monthly,5.0,0
C10325,63.0,Male,24100.0,103.9,Monthly,2.0,0
C10326,50.0,Female,31000.0,117.0,Monthly,1.0,0
C10327,22.0,Male,72600.0,83.3,Two-year,3.0,0
C10328,40.0,Male,52300.0,97.8,Monthly,2.0,0
C10329,27.0,Male,96900.0,99.8,One-year,2.0,1
C10330,35.0,Female,61100.0,104.7,Two-year,2.0,0
C10331,59.0,Female,25400.0,,Two-year,3.0,0
C10332,49.0,Female,40100.0,120.0,Monthly,0.0,0
C10333,33.0,Female,18000.0,97.0,One-year,1.0,0
C10334,29.0,Female,62800.0,58.6,Two-year,2.0,0
C10335,41.0,Female,63900.0,98.0,Monthly,0.0,0
C10336,26.0,Female,58700.0,93.7,One-year,0.0,0
C10337,,Male,91700.0,103.7,Monthly,1.0,1
C10338,45.0,Male,94400.0,194.3,One-year,1.0,0
C10339,,Male,64300.0,71.4,Monthly,2.0,1
C10340,48.0,Female,21000.0,114.0,Monthly,2.0,0
C10341,18.0,Male,81600.0,143.1,Monthly,3.0,0
C10342,45.0,Female,80200.0,99.4,Monthly,3.0,1
C10343,42.0,Male,74800.0,200.2,Monthly,1.0,0
C10344,46.0,Female,89600.0,78.0,One-year,0.0,0
C10345,60.0,Male,42400.0,109.6,Monthly,2.0,0
C10346,18.0,Male,112200.0,59.1,Monthly,0.0,0
C10347,34.0,Male,46900.0,79.2,One-year,1.0,0
C10348,48.0,Male,84500.0,106.2,One-year,1.0,0
C10349,22.0,Female,30900.0,133.1,,1.0,0
C10350,59.0,,47500.0,109.4,Two-year,1.0,0
C10351,45.0,Female,101400.0,151.7,Monthly,0.0,0
C10352,51.0,Male,62300.0,90.7,Two-year,1.0,0
C10353,34.0,Male,86500.0,80.1,Monthly,0.0,0
C10354,51.0,Female,73200.0,216.7,One-year,2.0,0
C10355,54.0,Male,65700.0,112.7,Two-year,2.0,0
C10356,44.0,Female,98000.0,62.6,Two-year,1.0,0
C10357,44.0,Female,62800.0,63.8,One-year,1.0,0
C10358,44.0,Female,28800.0,52.6,One-year,4.0,0
C10359,31.0,Male,50300.0,137.1,Monthly,1.0,0
C10360,,Male,80100.0,78.6,One-year,0.0,0
C10361,39.0,,76700.0,100.7,One-year,0.0,0
C10362,46.0,Male,33500.0,92.1,Two-year,1.0,0
C10363,53.0,Male,52100.0,127.9,Monthly,0.0,0
C10364,28.0,Male,55200.0,56.9,Monthly,3.0,1
C10365,39.0,Female,60000.0,46.6,One-year,1.0,1
C10366,59.0,Female,37700.0,105.1,Monthly,1.0,1
C10367,32.0,Female,54200.0,122.0,Monthly,0.0,0
C10368,31.0,Female,52000.0,110.0,Monthly,1.0,0
C10369,43.0,Male,85000.0,58.6,One-year,0.0,0
C10370,51.0,Female,85800.0,125.5,Monthly,1.0,0
C10371,41.0,Male,64800.0,61.5,Monthly,2.0,0
C10372,57.0,Female,59400.0,71.5,Monthly,1.0,0
C10373,51.0,Male,71100.0,,Two-year,1.0,0
C10374,51.0,Female,50000.0,153.6,One-year,1.0,0
C10375,48.0,Male,42800.0,123.5,Monthly,5.0,0
C10376,69.0,Male,47300.0,122.2,Monthly,2.0,0
C10377,39.0,Male,54000.0,151.1,One-year,2.0,0
C10378,18.0,Male,42400.0,221.6,Monthly,1.0,0
C10379,60.0,Male,71600.0,18.1,One-year,3.0,0
C10380,36.0,Female,84100.0,61.8,Monthly,1.0,0
C10381,42.0,Male,33100.0,67.3,Two-year,2.0,0
C10382,57.0,Female,68600.0,56.7,Monthly,1.0,0
C10383,22.0,Male,63200.0,46.5,One-year,3.0,0
C10384,26.0,Female,75500.0,81.5,Monthly,3.0,0
C10385,22.0,Male,67700.0,40.3,Two-year,2.0,0
C10386,31.0,Female,36000.0,110.1,Two-year,3.0,0
C10387,46.0,Female,40200.0,97.3,One-year,1.0,0
C10388,47.0,Male,68600.0,116.6,Monthly,2.0,1
C10389,44.0,Female,90600.0,117.8,Monthly,1.0,0
C10390,24.0,Male,19300.0,122.1,One-year,2.0,0
C10391,18.0,Male,75600.0,,One-year,0.0,0
C10392,42.0,Female,94200.0,190.5,Monthly,0.0,0
C10393,35.0,Female,64600.0,105.5,Monthly,2.0,0
C10394,47.0,Male,80100.0,11.2,Monthly,0.0,1
C10395,49.0,Male,52500.0,49.9,Two-year,1.0,0
C10396,43.0,Female,65400.0,16.7,One-year,2.0,0
C10397,50.0,Female,32300.0,95.8,One-year,3.0,0
C10398,44.0,Female,18000.0,89.5,One-year,0.0,0
C10399,47.0,Female,88700.0,73.9,Monthly,0.0,0
C10400,33.0,Female,46300.0,185.5,Monthly,0.0,0
C10401,39.0,Male,58000.0,119.7,Monthly,2.0,0
C10402,43.0,Female,37500.0,127.7,One-year,1.0,0
C10403,51.0,Male,37000.0,53.1,Monthly,4.0,0
C10404,36.0,Female,64200.0,50.0,Monthly,2.0,0
C10405,47.0,Male,51900.0,96.7,Monthly,1.0,0
C10406,38.0,Female,76300.0,102.8,Monthly,4.0,0
C10407,40.0,Female,78000.0,11.5,One-year,4.0,1
C10408,51.0,Female,75100.0,86.9,Monthly,2.0,1
C10409,18.0,Female,73200.0,95.6,Monthly,4.0,0
C10410,25.0,Male,102700.0,85.3,One-year,1.0,0
C10411,23.0,Female,44500.0,58.4,Monthly,3.0,1
C10412,18.0,Male,66800.0,70.7,Monthly,3.0,0
C10413,33.0,Male,92900.0,87.0,Monthly,1.0,0
C10414,50.0,Male,95800.0,99.1,One-year,4.0,0
C10415,38.0,Male,36700.0,122.2,Monthly,1.0,0
C10416,43.0,Male,61100.0,143.6,One-year,1.0,0
C10417,54.0,Female,97900.0,81.8,Two-year,1.0,0
C10418,57.0,Female,79200.0,74.5,One-year,2.0,0
C10419,40.0,Female,72300.0,114.7,Monthly,1.0,0
C10420,57.0,Male,63200.0,122.5,One-year,2.0,0
C10421,42.0,Male,59600.0,75.5,Monthly,0.0,0
C10422,31.0,Male,74300.0,130.6,Monthly,1.0,1
C10423,34.0,Female,62400.0,139.1,One-year,1.0,0
C10424,23.0,Female,67100.0,153.1,Monthly,1.0,1
C10425,30.0,Male,69700.0,175.0,Monthly,3.0,1
C10426,37.0,Female,53100.0,56.0,Monthly,0.0,0
C10427,51.0,Male,79700.0,95.6,Monthly,2.0,0
C10428,62.0,Male,132100.0,95.5,Monthly,4.0,1
C10429,24.0,Male,28900.0,90.6,One-year,5.0,0
C10430,46.0,Male,75100.0,65.8,Two-year,0.0,0
C10431,29.0,Female,51300.0,28.1,Monthly,4.0,0
C10432,47.0,Female,80700.0,99.2,One-year,0.0,0
C10433,39.0,Male,69000.0,60.4,Monthly,0.0,1
C10434,19.0,Female,84800.0,98.9,Monthly,1.0,0
C10435,52.0,Female,93900.0,59.3,Monthly,3.0,0
C10436,34.0,Female,72200.0,45.5,Monthly,1.0,0
C10437,35.0,Female,92900.0,105.5,Monthly,1.0,0
C10438,28.0,Male,18000.0,101.8,Monthly,0.0,0
C10439,33.0,Female,103000.0,121.1,Monthly,1.0,0
C10440,46.0,Male,76300.0,193.4,One-year,0.0,0
C10441,39.0,Female,91700.0,107.5,Monthly,3.0,0
C10442,45.0,Male,41200.0,116.8,Monthly,0.0,0
C10443,45.0,Female,49700.0,46.5,Monthly,1.0,0
C10444,57.0,Male,71200.0,37.1,One-year,2.0,0
C10445,37.0,Male,67600.0,166.2,Monthly,0.0,0
C10446,23.0,Female,74200.0,53.4,One-year,1.0,0
C10447,54.0,,91900.0,48.0,Monthly,1.0,0
C10448,37.0,Male,29200.0,93.2,Monthly,2.0,0
C10449,54.0,Female,89400.0,90.9,Two-year,0.0,0
C10450,46.0,Female,68200.0,54.4,Monthly,1.0,1
C10451,39.0,Male,63500.0,81.3,Monthly,2.0,0
C10452,45.0,Female,35600.0,150.3,Monthly,0.0,0
C10453,64.0,Male,79100.0,58.7,Two-year,1.0,0
C10454,66.0,Female,18000.0,32.3,One-year,1.0,0
C10455,42.0,Male,82300.0,137.4,One-year,2.0,0
C10456,43.0,Male,35200.0,117.2,Two-year,0.0,0
C10457,54.0,Female,69200.0,67.1,Monthly,2.0,0
C10458,31.0,Female,65400.0,23.8,Two-year,4.0,0
