customer_id,signup_date,age,monthly_visits,avg_session_min,cart_adds,purchase_count,return_rate,discount_usage,days_since_last_visit,device_type,membership,region,preferred_category,contact_channel,customer_segment
CUST-000089,2025-08-07,31.0,13,16.45,2,2,0.124,0.448,11.5,mobile,Basic,Seoul,beauty,email,Bargain
CUST-000090,2023-03-27,42.0,8,21.92,9,4,0.224,0.377,9.5,desktop,Gold,Seoul,beauty,email,Explorer
CUST-000091,2025-04-21,55.0,12,14.11,1,4,0.317,0.204,6.4,mobile,Gold,Busan,home,email|sms,Loyal
CUST-000092,2023-07-12,38.0,7,27.94,4,5,0.068,0.386,3.5,desktop,Basic,Seoul,electronics,email|sms,Explorer
CUST-000093,2024-07-30,32.0,9,9.57,6,2,0.088,0.742,27.3,mobile,Basic,Seoul,fashion,push,Bargain
CUST-000094,2023-04-27,25.0,12,39.59,7,4,0.281,0.516,11.7,mobile,Silver,Seoul,sports,sms,Explorer
CUST-000095,2024-11-27,57.0,4,24.63,5,1,0.155,0.351,9.9,mobile,Silver,Seoul,sports,email|sms,Explorer
CUST-000096,2022-11-14,50.0,8,14.77,10,5,0.211,0.617,16.2,mobile,Silver,Daejeon,fashion,sms,Bargain
CUST-000097,2023-01-25,56.0,8,6.29,8,1,0.024,0.259,11.5,mobile,Basic,Gyeonggi,fashion,email,Bargain
CUST-000098,2022-07-24,39.0,12,25.45,8,4,0.582,0.542,17.2,mobile,Basic,Gyeonggi,sports,push|sms,Bargain
CUST-000099,2025-08-03,18.0,10,8.46,4,6,0.48,0.435,14.7,desktop,Basic,Gyeonggi,beauty,push,Bargain
CUST-000100,2022-05-12,38.0,10,11.58,8,2,0.501,0.267,8.4,mobile,Basic,Gyeonggi,home,sms,Bargain
CUST-000101,2024-03-21,35.0,8,7.63,8,6,0.218,0.856,35.1,tablet,Gold,Daegu,fashion,email,Bargain
CUST-000102,2025-12-13,41.0,9,12.73,7,3,0.185,0.105,11.9,desktop,Silver,Gyeonggi,electronics,push|sms,Loyal
CUST-000103,2023-03-25,36.0,10,19.4,2,2,0.131,0.273,19.6,desktop,Basic,Seoul,beauty,sms,Explorer
CUST-000104,2022-04-23,22.0,10,24.12,3,7,0.1,0.321,15.4,desktop,Basic,Daejeon,fashion,push,Explorer
CUST-000105,2025-05-14,46.0,14,7.27,7,4,0.247,0.336,3.0,mobile,Basic,Gyeonggi,home,email|push,Bargain
CUST-000106,2022-05-26,53.0,12,19.58,8,2,0.034,0.399,2.6,mobile,Silver,Seoul,home,push,Bargain
CUST-000107,2022-08-19,47.0,12,38.26,8,4,0.162,0.721,4.0,desktop,Silver,Daegu,beauty,email,Explorer
CUST-000108,2025-01-11,53.0,4,9.82,9,4,0.144,0.158,0.7,mobile,Silver,Gyeonggi,home,push|sms,Bargain
CUST-000109,2023-03-09,53.0,9,22.62,6,2,0.053,0.335,20.3,mobile,Silver,Daegu,sports,email|push,Explorer
CUST-000110,2023-12-20,37.0,10,34.97,7,3,0.182,0.093,30.9,mobile,Gold,Gyeonggi,fashion,sms,Explorer
CUST-000111,2025-07-27,41.0,10,8.18,5,9,0.024,0.213,3.6,desktop,Basic,Gyeonggi,fashion,email,Loyal
CUST-000112,2025-06-29,18.0,7,17.8,5,4,0.149,0.562,15.2,mobile,Basic,Daejeon,sports,email|push|sms,Bargain
CUST-000113,2026-02-20,56.0,11,13.3,3,4,0.096,0.496,26.2,desktop,Gold,Seoul,home,push,Bargain
CUST-000114,2023-11-08,49.0,12,13.42,4,7,0.212,0.387,6.2,mobile,Basic,Seoul,home,email,Bargain
CUST-000115,2024-08-28,55.0,11,38.41,3,4,0.227,0.733,16.0,mobile,Basic,Daegu,fashion,email,Bargain
CUST-000116,2024-05-20,46.0,8,2.66,2,2,0.023,0.193,18.8,mobile,Gold,Gyeonggi,electronics,email|push,Explorer
CUST-000117,2022-02-08,40.0,13,34.62,8,2,0.148,0.396,24.9,desktop,Silver,Seoul,beauty,push|sms,Explorer
CUST-000118,2024-06-15,20.0,8,7.72,4,1,0.02,0.055,4.0,mobile,Gold,Seoul,electronics,sms,Loyal
CUST-000119,2023-01-19,54.0,10,15.3,7,5,0.139,0.227,47.1,mobile,Silver,Gyeonggi,home,sms,Loyal
CUST-000120,2022-05-16,23.0,15,24.24,7,5,0.217,0.742,27.1,mobile,Basic,Seoul,home,email|push,Explorer
CUST-000121,2025-09-06,54.0,6,3.84,4,4,0.309,0.163,39.3,desktop,Basic,Seoul,sports,email|push,Bargain
CUST-000122,2025-02-24,54.0,8,25.23,7,5,0.327,0.716,15.7,mobile,Basic,Daegu,home,sms,Explorer
CUST-000123,2022-12-18,18.0,8,9.06,4,2,0.254,0.299,13.2,mobile,Basic,Daejeon,home,push,Explorer
CUST-000124,2023-10-30,59.0,6,6.52,2,5,0.068,0.408,4.5,mobile,Silver,Gyeonggi,home,push,Loyal
CUST-000125,2022-09-14,24.0,6,11.23,7,3,0.175,0.241,1.4,desktop,Basic,Daejeon,beauty,email|sms,Bargain
CUST-000126,2024-05-27,22.0,9,11.22,5,5,0.166,0.132,17.4,desktop,Silver,Gyeonggi,beauty,push,Explorer
CUST-000127,2022-11-04,36.0,11,3.29,3,2,0.054,0.08,8.6,desktop,Basic,Seoul,fashion,email,Explorer
CUST-000128,2026-02-22,37.0,10,9.29,3,8,0.139,0.467,6.8,mobile,Silver,Daejeon,home,email,Loyal
CUST-000129,2024-01-09,47.0,11,26.32,11,3,0.082,0.745,0.4,desktop,Silver,Gyeonggi,home,email|push,Bargain
CUST-000130,2023-11-04,48.0,6,9.84,10,3,0.117,0.435,14.1,mobile,Basic,Daejeon,electronics,email|sms,Bargain
CUST-000131,2023-05-28,49.0,10,11.26,8,3,0.166,0.543,2.0,desktop,Silver,Gyeonggi,beauty,sms,Bargain
CUST-000132,2025-04-12,33.0,8,9.23,9,1,0.233,0.117,8.2,mobile,Silver,Seoul,fashion,push|sms,Explorer
CUST-000133,2024-06-14,42.0,9,53.66,7,5,0.321,0.738,9.4,desktop,Basic,Gyeonggi,home,sms,Explorer
CUST-000134,2022-02-17,18.0,11,49.82,5,4,0.152,0.211,5.3,mobile,Basic,Gyeonggi,sports,email|push|sms,Explorer
CUST-000135,2026-04-03,18.0,3,199.16,7,5,0.084,0.418,6.7,mobile,Silver,Gyeonggi,sports,email|push|sms,Explorer
CUST-000136,2024-02-04,42.0,5,10.41,8,5,0.421,0.603,15.2,desktop,Silver,Seoul,beauty,email|push|sms,Loyal
CUST-000137,2025-07-07,53.0,9,6.91,7,2,0.047,0.391,16.1,mobile,Basic,Daejeon,beauty,email|push,Explorer
CUST-000138,2025-10-03,53.0,6,18.68,7,2,0.317,0.385,15.9,mobile,Silver,Gyeonggi,home,email,Explorer
CUST-000139,2023-12-27,37.0,12,15.58,7,6,0.155,0.409,10.9,desktop,Gold,Busan,home,push,Bargain
CUST-000140,2024-01-12,48.0,9,26.37,12,3,0.093,0.408,22.6,mobile,Basic,Gyeonggi,electronics,push,Bargain
CUST-000141,2022-06-14,48.0,7,13.13,3,2,0.214,0.238,45.1,mobile,Basic,Gyeonggi,electronics,email|push|sms,Bargain
CUST-000142,2026-01-24,50.0,8,36.55,7,2,0.054,0.167,45.3,mobile,Basic,Seoul,beauty,push|sms,Explorer
CUST-000143,2025-09-27,43.0,7,18.44,11,4,0.162,0.43,18.4,desktop,Gold,Gyeonggi,fashion,email|sms,Explorer
CUST-000144,2023-09-12,45.0,11,20.06,4,3,0.19,0.566,25.8,desktop,Gold,Seoul,electronics,push,Bargain
CUST-000145,2025-12-04,39.0,13,24.17,6,3,0.096,0.369,38.1,mobile,Basic,Gyeonggi,fashion,sms,Explorer
CUST-000146,2022-08-20,38.0,17,16.94,7,1,0.132,0.442,2.4,desktop,Basic,Seoul,sports,push,Bargain
CUST-000147,2025-12-13,49.0,9,41.14,4,5,0.123,0.456,24.0,mobile,Silver,Busan,fashion,email|push|sms,Explorer
CUST-000148,2024-09-19,26.0,2,30.19,5,4,0.438,0.293,5.0,desktop,Silver,Daegu,sports,email,Explorer
CUST-000149,2024-03-06,45.0,6,12.76,5,7,0.123,0.163,22.7,mobile,Basic,Seoul,fashion,sms,Explorer
CUST-000150,2024-01-14,46.0,6,15.63,9,5,0.136,0.261,21.4,desktop,Silver,Daegu,sports,push,Explorer
CUST-000151,2023-07-11,39.0,3,35.14,5,6,0.202,0.644,13.7,mobile,Basic,Seoul,electronics,sms,Loyal
CUST-000152,2024-04-23,41.0,9,25.86,4,0,0.186,0.483,25.3,mobile,Basic,Seoul,sports,email,Bargain
CUST-000153,2023-03-28,40.0,11,21.34,6,2,0.033,0.391,48.0,desktop,Gold,Gyeonggi,electronics,push,Explorer
CUST-000154,2023-05-01,37.0,5,12.58,2,1,0.153,0.463,6.4,desktop,Basic,Seoul,electronics,email|push,Bargain
CUST-000155,2024-08-27,47.0,8,42.22,4,7,0.142,0.536,28.1,desktop,Silver,Gyeonggi,fashion,sms,Explorer
CUST-000156,2023-08-20,28.0,4,30.13,10,6,0.195,0.899,7.9,mobile,Basic,Gyeonggi,beauty,sms,Bargain
CUST-000157,2023-08-10,52.0,12,20.91,4,1,0.155,0.432,2.2,mobile,Basic,Seoul,electronics,email|push,Explorer
CUST-000158,2026-03-02,18.0,7,12.26,11,6,0.431,0.567,2.8,desktop,Basic,Gyeonggi,sports,push,Bargain
CUST-000159,2023-12-06,42.0,8,10.86,9,4,0.147,0.541,17.6,desktop,Silver,Gyeonggi,fashion,email|sms,Bargain
CUST-000160,2022-06-05,38.0,9,3.86,8,2,0.215,0.439,8.5,mobile,Gold,Busan,beauty,email,Bargain
CUST-000161,2023-06-09,24.0,6,21.48,3,3,0.045,0.389,5.2,desktop,Basic,Seoul,home,sms,Bargain
CUST-000162,2025-11-25,69.0,5,19.55,5,4,0.193,0.329,31.9,desktop,Gold,Daejeon,home,email|push,Explorer
CUST-000163,2023-11-30,31.0,9,37.84,5,4,0.189,0.332,18.3,mobile,Basic,Daegu,home,push,Bargain
CUST-000164,2023-03-27,50.0,6,18.57,6,3,0.069,0.528,5.1,desktop,Silver,Seoul,sports,sms,Explorer
CUST-000165,2024-12-04,22.0,12,53.44,4,7,0.208,0.714,16.6,mobile,Basic,Daejeon,beauty,email|push,Explorer
CUST-000166,2026-06-29,54.0,8,27.06,1,4,0.196,0.457,17.8,mobile,Silver,Seoul,beauty,sms,Explorer
CUST-000167,2022-10-22,33.0,5,8.54,7,1,0.094,0.636,4.3,mobile,Basic,Seoul,electronics,push,Bargain
CUST-000168,2025-09-20,49.0,6,40.01,8,4,0.178,0.535,38.6,desktop,Basic,Gyeonggi,beauty,email,Explorer
CUST-000169,2025-01-15,30.0,5,5.57,5,3,0.08,0.195,16.2,mobile,Basic,Seoul,sports,email,Explorer
CUST-000170,2024-12-02,29.0,16,24.65,7,8,0.191,0.239,6.1,desktop,Basic,Seoul,electronics,sms,Loyal
CUST-000171,2024-11-27,45.0,9,20.44,9,4,0.073,0.312,16.2,tablet,Basic,Busan,fashion,sms,Loyal
CUST-000172,2024-09-10,45.0,11,6.81,8,4,0.136,0.092,20.9,desktop,Basic,Gyeonggi,fashion,email|push,Explorer
CUST-000173,2022-02-18,36.0,11,2.32,6,4,0.321,0.211,2.8,mobile,Basic,Busan,beauty,sms,Loyal
CUST-000174,2023-05-05,21.0,11,38.27,9,3,0.307,0.711,4.6,mobile,Basic,Seoul,home,email,Explorer
CUST-000175,2026-04-21,29.0,7,28.96,3,2,0.373,0.385,32.6,mobile,Silver,Seoul,beauty,email|sms,Explorer
CUST-000176,2022-01-25,34.0,8,5.14,8,3,0.08,0.61,12.0,tablet,Gold,Busan,electronics,push,Loyal
CUST-000177,2026-06-24,42.0,11,13.88,6,2,0.329,0.526,8.6,tablet,Silver,Daejeon,sports,email|push,Bargain
CUST-000178,2024-08-09,19.0,13,27.21,10,5,0.112,0.766,7.3,mobile,Basic,Daegu,beauty,sms,Explorer
CUST-000179,2023-06-06,45.0,8,18.85,4,5,0.159,0.036,19.5,desktop,Silver,Daegu,sports,email|push,Loyal
CUST-000180,2023-02-28,27.0,14,56.2,4,2,0.066,0.623,5.8,mobile,Gold,Gyeonggi,electronics,email|push|sms,Explorer
CUST-000181,2023-02-01,38.0,14,15.3,1,2,0.08,0.444,11.1,desktop,Silver,Seoul,home,email,Explorer
CUST-000182,2022-06-17,46.0,10,24.03,8,3,0.133,0.215,9.1,mobile,Basic,Daegu,fashion,email|push,Bargain
CUST-000183,2025-01-27,18.0,8,42.11,6,1,0.117,0.645,14.6,mobile,Basic,Gyeonggi,home,push,Explorer
CUST-000184,2026-03-03,32.0,5,17.75,8,4,0.14,0.586,7.9,mobile,Basic,Seoul,beauty,sms,Bargain
CUST-000185,2022-02-11,31.0,8,11.84,6,2,0.425,0.43,22.2,mobile,Basic,Seoul,home,email,Explorer
CUST-000186,2023-10-30,36.0,10,27.52,8,5,0.245,0.215,86.1,mobile,Basic,Daejeon,fashion,sms,At_Risk
CUST-000187,2023-07-08,51.0,7,18.45,6,2,0.232,0.5,1.9,tablet,Silver,Seoul,sports,push,Bargain
CUST-000188,2022-01-10,26.0,8,14.25,7,10,0.172,0.485,31.6,desktop,Basic,Busan,home,email,Bargain
CUST-000189,2024-12-10,24.0,6,20.47,8,4,0.236,0.087,14.7,mobile,Basic,Seoul,sports,push,Bargain
CUST-000190,2023-01-05,46.0,8,33.52,4,7,0.399,0.549,4.8,mobile,Basic,Seoul,fashion,push,Explorer
CUST-000191,2024-10-27,31.0,10,25.81,5,5,0.089,0.595,4.4,mobile,Basic,Gyeonggi,electronics,email|push,Explorer
CUST-000192,2023-06-10,33.0,6,14.35,6,1,0.068,0.604,6.9,mobile,Basic,Gyeonggi,fashion,push,Bargain
CUST-000193,2023-09-10,37.0,6,12.61,8,3,0.052,0.342,8.0,desktop,Basic,Daegu,beauty,email,Explorer
CUST-000194,2025-08-13,36.0,10,4.39,5,2,0.355,0.375,3.1,mobile,Basic,Seoul,electronics,push,Explorer
CUST-000195,2023-05-10,49.0,12,5.95,7,7,0.387,0.204,3.1,mobile,Basic,Gyeonggi,home,sms,Explorer
CUST-000196,2024-09-01,60.0,7,29.48,11,3,0.048,0.896,3.6,mobile,Silver,Daegu,home,sms,Bargain
CUST-000197,2026-02-26,30.0,8,20.67,12,4,0.033,0.047,19.6,desktop,Basic,Daejeon,home,email|sms,Bargain
CUST-000198,2023-07-03,34.0,14,13.63,7,3,0.045,0.184,5.2,desktop,Gold,Daegu,home,sms,Loyal
CUST-000199,2025-11-19,58.0,13,23.78,8,0,0.074,0.388,10.0,mobile,Silver,Daegu,electronics,sms,Explorer
CUST-000200,2023-05-28,42.0,6,35.35,2,4,0.074,0.207,4.9,mobile,Basic,Busan,electronics,email|push|sms,Explorer
CUST-000201,2022-08-09,40.0,12,37.73,3,5,0.197,0.81,1.2,mobile,Gold,Gyeonggi,electronics,email|sms,Loyal
CUST-000202,2025-05-20,41.0,8,4.38,6,4,0.182,0.185,7.0,mobile,Silver,Seoul,sports,push,Loyal
CUST-000203,2022-08-17,52.0,9,26.33,5,1,0.227,0.218,16.0,mobile,Basic,Gyeonggi,fashion,sms,Bargain
CUST-000204,2025-06-19,48.0,11,16.26,5,2,0.078,0.53,21.7,tablet,Silver,Seoul,fashion,email|push|sms,Bargain
CUST-000205,2025-03-16,40.0,3,6.91,3,4,0.3,0.513,29.5,mobile,Silver,Gyeonggi,sports,email,Bargain
CUST-000206,2023-10-07,45.0,8,18.49,3,2,0.051,0.361,12.2,mobile,Gold,Gyeonggi,fashion,sms,Loyal
CUST-000207,2026-07-21,39.0,12,32.16,10,3,0.127,0.695,9.3,mobile,Basic,Busan,fashion,email|sms,Bargain
CUST-000208,2024-07-10,41.0,7,17.45,2,1,0.195,0.479,14.5,mobile,Silver,Gyeonggi,beauty,push,Explorer
CUST-000209,2026-01-21,21.0,15,24.44,12,3,0.061,0.489,12.6,desktop,Silver,Gyeonggi,beauty,push,Bargain
CUST-000210,2025-04-21,53.0,8,33.52,4,3,0.225,0.211,34.3,mobile,Basic,Seoul,electronics,email,Explorer
CUST-000211,2025-11-27,52.0,12,29.18,6,4,0.252,0.268,6.7,mobile,Gold,Busan,fashion,push,Bargain
