order_id,order_date,city,weather,traffic_level,distance_km,items_count,prep_minutes,courier_experience_years,vehicle_type,order_channel,delivery_minutes
ORD-20260160,2026-07-05,Seoul,Clear,High,3.6,4,19.6,3.6,Scooter,App,49.3
ORD-20260149,2026-04-12,Daegu,Clear,Medium,3.6,4,19.3,3.3,Scooter,App,30.1
ORD-20260122,2026-07-16,Incheon,Clear,Medium,5.5,3,20.3,6.4,Scooter,Web,39.0
ORD-20260102,2026-06-05,Busan,Clear,Medium,8.8,2,22.5,1.2,Scooter,Web,57.1
ORD-20260068,2026-05-03,Daegu,Clear,Medium,5.0,4,29.7,4.6,Scooter,App,46.2
ORD-20260461,2026-03-08,Seoul,Rain,High,5.1,4,16.8,3.5,Scooter,Phone,56.9
ORD-20260062,2026-07-04,Busan,Snow,Medium,10.2,4,20.0,4.8,Car,App,64.7
ORD-20260091,2026-04-16,Incheon,Clear,High,7.8,2,19.4,3.0,Scooter,App,49.6
ORD-20260079,2026-04-08,Busan,Clear,High,3.3,3,18.8,1.7,Bike,Web,45.3
ORD-20260473,2026-05-31,Daejeon,Clear,Medium,6.8,6,28.3,7.8,Bike,Web,60.6
ORD-20260349,2026-07-07,Incheon,Cloudy,High,2.1,5,16.5,1.5,Scooter,App,41.0
ORD-20260173,2026-05-21,Seoul,Clear,Medium,7.4,3,27.0,1.9,Scooter,App,50.0
ORD-20260008,2026-04-01,Daejeon,Rain,Medium,5.1,2,26.2,,Bike,App,61.2
ORD-20260455,2026-02-12,Busan,Clear,Medium,3.4,5,28.1,4.0,Bike,App,48.6
ORD-20260504,2026-02-16,Daegu,Cloudy,High,11.7,3,18.5,3.4,Scooter,Web,60.6
ORD-20260263,2026-04-22,Seoul,Cloudy,High,2.0,4,22.9,3.2,Bike,App,50.2
ORD-20260172,2026-07-07,Busan,Clear,Low,7.8,5,26.8,1.0,Scooter,Web,55.5
ORD-20260241,2026-03-10,Daejeon,Rain,Medium,7.6,3,22.0,,Scooter,App,47.4
ORD-20260377,2026-03-26,Seoul,Rain,Medium,13.7,3,19.3,2.1,Scooter,Web,75.1
ORD-20260453,2026-05-06,Daegu,Clear,Medium,10.0,1,12.4,3.6,Car,App,49.1
ORD-20260057,2026-05-03,Seoul,Cloudy,Medium,8.1,1,10.4,,Bike,App,54.3
ORD-20260148,2026-06-10,Seoul,Cloudy,High,3.6,3,19.2,2.0,Car,Phone,55.4
ORD-20260501,2026-05-11,Seoul,Clear,Medium,4.5,3,17.2,0.2,Bike,App,46.1
ORD-20260361,2026-04-22,Seoul,Rain,High,10.2,4,25.6,2.4,Car,Web,74.9
ORD-20260273,2026-05-02,Daejeon,Rain,Medium,2.8,4,30.1,6.2,Bike,App,52.1
ORD-20260176,2026-02-23,Seoul,Clear,High,8.8,2,25.5,3.8,Bike,App,72.7
ORD-20260385,2026-05-28,Daegu,Clear,High,8.8,1,13.2,0.5,Scooter,App,66.0
ORD-20260404,2026-05-30,Seoul,Clear,Low,8.8,2,15.1,1.2,Scooter,Web,50.9
ORD-20260021,2026-05-10,Busan,Clear,Medium,14.6,3,17.7,4.1,Bike,App,74.4
ORD-20260125,2026-01-12,Busan,Rain,High,8.5,1,20.4,3.2,Scooter,App,69.2
ORD-20260442,2026-05-21,Seoul,Rain,High,25.3,5,20.2,,Car,App,115.4
ORD-20260157,2026-07-12,Incheon,Clear,Medium,9.4,1,18.4,0,Car,App,59.0
ORD-20260496,2026-04-19,Daegu,Clear,Medium,4.4,4,21.5,3.5,Bike,App,50.2
ORD-20260207,2026-01-19,Daejeon,Cloudy,Medium,13.8,3,21.1,3.5,Bike,App,61.5
ORD-20260249,2026-02-28,Seoul,Rain,High,3.2,3,24.8,3.5,Bike,App,57.9
ORD-20260277,2026-01-29,Incheon,Rain,Low,2.4,5,22.1,4.3,Scooter,App,34.2
ORD-20260275,2026-04-12,Daejeon,Cloudy,Low,5.4,3,19.9,2.6,Bike,App,44.8
ORD-20260237,2026-02-13,Seoul,Clear,Low,7.1,5,26.1,0.3,Scooter,App,52.8
ORD-20260413,2026-04-16,Daegu,Clear,High,10.0,4,22.5,0.4,Bike,App,63.0
ORD-20260267,2026-02-07,Seoul,Snow,Medium,9.3,5,23.2,1.3,Scooter,Web,65.4
ORD-20260334,2026-07-11,Incheon,Cloudy,Low,0.4,2,26.4,1.5,Scooter,Web,31.9
ORD-20260411,2026-07-16,Seoul,Clear,Low,5.7,2,16.8,2.3,Scooter,App,38.8
ORD-20260295,2026-06-20,Seoul,Clear,Low,11.0,4,19.8,4.2,Scooter,Web,56.1
ORD-20260449,2026-03-05,Daegu,Clear,High,0.4,3,26.9,1.6,Bike,Web,44.5
ORD-20260145,2026-01-26,Busan,Clear,Medium,8.3,2,20.7,2.0,Scooter,Web,52.9
ORD-20260360,2026-01-31,Busan,Clear,Medium,5.8,2,23.1,2.7,Bike,App,52.5
ORD-20260105,2026-07-12,Busan,,Medium,7.3,2,16.2,3.0,Scooter,App,49.7
ORD-20260357,2026-02-25,Daejeon,Rain,Medium,4.2,5,22.7,3.0,Scooter,App,48.5
ORD-20260040,2026-01-20,Daegu,Cloudy,High,5.6,5,25.4,2.4,Car,Web,63.1
ORD-20260362,2026-03-19,Daejeon,Snow,High,8.0,1,15.8,1.2,Scooter,Web,62.3
ORD-20260395,2026-06-11,Seoul,Rain,Medium,5.0,6,22.0,0.3,Scooter,Web,57.4
ORD-20260486,2026-04-17,Daegu,Clear,Medium,4.2,1,14.3,0.2,Bike,App,40.3
ORD-20260007,2026-04-02,Seoul,Clear,Medium,10.2,1,20.9,3.0,Bike,App,60.6
ORD-20260438,2026-06-10,Seoul,Clear,Low,7.2,1,18.2,4.8,Scooter,App,42.7
ORD-20260130,2026-02-04,Busan,Clear,Medium,4.9,4,19.4,,Scooter,Web,47.1
ORD-20260148,2026-06-10,Seoul,Cloudy,High,3.6,3,19.2,2.0,Car,Phone,55.4
ORD-20260020,2026-04-07,Daejeon,Clear,Medium,9.0,1,12.8,1.8,Scooter,App,44.3
ORD-20260408,2026-05-30,Busan,Cloudy,High,6.9,3,20.7,1.1,Scooter,App,57.0
ORD-20260272,2026-02-17,Incheon,Clear,Low,8.2,1,18.1,2.3,Bike,Web,41.4
ORD-20260260,2026-05-30,Daegu,Cloudy,Medium,8.0,1,16.0,5.4,Scooter,App,41.4
ORD-20260005,2026-01-28,Seoul,Cloudy,Medium,6.8,4,21.4,3.0,Car,App,56.8
ORD-20260291,2026-01-16,Daejeon,Clear,Medium,7.9,1,19.7,2.0,Scooter,Web,50.0
ORD-20260282,2026-05-22,Incheon,,Medium,12.4,5,20.4,6.0,Bike,Web,63.3
ORD-20260107,2026-04-25,Busan,Clear,Medium,4.0,3,20.4,5.2,Scooter,App,43.0
ORD-20260495,2026-03-21,Seoul,Clear,Medium,8.6,1,22.2,2.7,Scooter,App,55.3
ORD-20260006,2026-05-14,Daejeon,Cloudy,Medium,2.4,3,14.6,2.9,Car,App,43.6
ORD-20260392,2026-07-26,Busan,Cloudy,Low,4.2,8,34.6,1.1,Car,Web,64.8
ORD-20260115,2026-05-11,Incheon,Cloudy,Medium,4.8,4,17.1,1.4,Bike,App,45.6
ORD-20260215,2026-03-23,Busan,Rain,High,12.8,5,27.5,1.6,Scooter,Web,74.6
ORD-20260278,2026-02-09,Daegu,Clear,High,10.0,2,15.5,0.0,Scooter,App,60.6
ORD-20260515,2026-02-03,Incheon,Rain,High,10.8,3,21.8,4.5,Car,Web,68.8
ORD-20260146,2026-02-02,Seoul,Clear,Medium,6.6,1,15.7,6.9,Scooter,App,42.8
ORD-20260514,2026-04-23,Seoul,Clear,Medium,0.4,5,31.4,5.2,Scooter,App,34.0
ORD-20260200,2026-04-16,Busan,Clear,High,7.2,4,24.5,2.1,Scooter,Web,60.3
ORD-20260015,2026-02-26,Incheon,Cloudy,High,5.8,4,13.9,3.0,Bike,Web,58.7
ORD-20260265,2026-05-14,Busan,Cloudy,Medium,2.1,1,17.8,1.9,Car,Web,40.8
ORD-20260354,2026-05-09,Busan,Clear,Medium,8.4,2,19.3,3.7,Bike,Web,53.5
ORD-20260159,2026-02-23,Busan,Clear,High,4.5,2,15.2,2.8,Scooter,App,34.3
ORD-20260019,2026-04-25,Busan,Clear,Low,7.5,1,10.7,3.1,Bike,App,35.5
ORD-20260076,2026-06-14,Busan,,Low,6.0,6,19.3,2.2,Scooter,Phone,47.1
ORD-20260510,2026-06-01,Incheon,Clear,Low,4.2,1,12.1,2.6,Bike,App,24.0
ORD-20260032,2026-04-04,Incheon,Cloudy,High,,4,25.4,1.7,Car,App,75.2
ORD-20260281,2026-04-09,Seoul,Clear,Medium,2.6,2,11.9,3.0,Scooter,App,28.6
ORD-20260155,2026-03-23,Seoul,Cloudy,Medium,4.4,2,11.2,3.5,Scooter,App,40.6
ORD-20260511,2026-07-22,Seoul,Rain,Medium,7.8,4,18.4,2.8,Car,Web,57.4
ORD-20260405,2026-05-17,Seoul,Clear,Medium,4.5,3,16.5,,Car,Web,40.6
ORD-20260100,2026-05-17,Incheon,Clear,High,5.5,5,18.6,2.7,Scooter,App,48.7
ORD-20260012,2026-01-24,Seoul,Clear,Medium,5.4,3,20.6,4.1,Car,Web,46.6
ORD-20260387,2026-01-04,Busan,Cloudy,Low,7.0,4,23.3,2.5,Scooter,App,45.4
ORD-20260185,2026-04-21,Seoul,Clear,High,,2,16.0,,Scooter,App,46.0
ORD-20260463,2026-04-25,Daegu,Clear,Low,8.5,6,25.6,3.5,Scooter,Web,58.0
ORD-20260108,2026-04-16,Seoul,Cloudy,Low,2.0,1,11.2,4.9,Car,App,28.5
ORD-20260398,2026-04-23,Daejeon,Clear,High,5.5,1,10.3,,Bike,Web,39.8
ORD-20260323,2026-03-25,Seoul,Clear,High,1.6,3,26.5,3.1,Car,App,47.9
ORD-20260487,2026-07-21,Busan,Clear,Low,12.5,4,28.1,3.0,Bike,App,60.3
ORD-20260426,2026-03-02,Seoul,Rain,Medium,6.2,2,18.4,5.9,Car,App,52.0
ORD-20260302,2026-05-30,Busan,Rain,High,5.6,3,22.1,,Scooter,App,59.2
ORD-20260245,2026-02-28,Incheon,Clear,High,4.2,3,17.0,0,Bike,Web,52.8
ORD-20260268,2026-06-17,Incheon,Cloudy,Medium,14.3,4,23.1,3.2,Bike,App,68.0
ORD-20260235,2026-05-04,Daejeon,Clear,Medium,5.3,2,20.3,2.2,Bike,App,39.6
ORD-20260383,2026-04-19,Daegu,Clear,Medium,2.7,1,17.0,4.1,Car,App,39.7
ORD-20260017,2026-02-13,Seoul,,Medium,12.2,2,24.8,,Scooter,App,66.3
ORD-20260415,2026-07-14,Busan,Rain,Medium,3.6,4,19.4,2.8,Scooter,Web,48.1
ORD-20260315,2026-01-03,Incheon,Clear,Medium,3.8,2,20.2,0.1,Scooter,App,39.0
ORD-20260419,2026-07-04,Daejeon,Clear,Medium,3.7,2,24.8,6.5,Scooter,App,41.4
ORD-20260049,2026-07-06,Incheon,,Medium,5.2,4,8.2,,Scooter,App,29.3
ORD-20260433,2026-01-05,Seoul,Clear,High,8.0,3,15.5,2.0,Scooter,App,48.8
ORD-20260075,2026-07-25,Incheon,Rain,Medium,5.7,3,15.4,2.1,Scooter,Web,55.7
ORD-20260437,2026-01-08,Busan,Clear,High,6.4,3,21.3,3.8,Bike,App,58.3
ORD-20260025,2026-04-06,Seoul,Rain,High,2.6,1,11.1,3.2,Car,Web,48.2
ORD-20260444,2026-04-24,Incheon,Cloudy,Medium,8.2,4,26.5,3.6,Car,App,58.1
ORD-20260353,2026-02-06,Busan,Clear,Medium,5.2,2,12.2,3.1,Bike,App,39.8
ORD-20260203,2026-03-06,Seoul,Clear,High,3.5,3,13.3,0,Bike,App,44.9
ORD-20260082,2026-03-12,Seoul,Clear,Low,3.2,2,14.1,4.2,Bike,App,33.9
ORD-20260475,2026-01-28,Seoul,Clear,Medium,8.2,3,20.8,1.6,Scooter,App,54.1
ORD-20260140,2026-05-11,Seoul,Cloudy,High,0.4,3,21.6,5.7,Scooter,App,37.7
ORD-20260239,2026-02-20,Daegu,Clear,Medium,7.1,4,23.2,1.6,Scooter,App,57.3
ORD-20260232,2026-04-09,Seoul,Clear,Low,8.3,5,22.5,1.3,Scooter,App,45.0
ORD-20260116,2026-07-10,Seoul,Cloudy,High,10.3,3,12.0,3.3,Scooter,App,61.8
ORD-20260270,2026-07-03,Incheon,Clear,Medium,0.4,7,22.2,6.0,Bike,App,37.9
ORD-20260138,2026-03-19,Daegu,Clear,Medium,7.6,1,13.1,3.1,Scooter,Web,53.3
ORD-20260441,2026-02-11,Busan,Rain,Medium,7.2,2,18.9,2.5,Bike,App,49.4
ORD-20260187,2026-05-02,Seoul,Clear,Medium,8.7,4,25.0,3.7,Scooter,App,70.4
ORD-20260114,2026-07-17,Incheon,Clear,High,,1,17.1,1.8,Scooter,App,49.2
ORD-20260509,2026-05-20,Incheon,Clear,Medium,6.6,1,26.5,5.5,Scooter,App,48.2
ORD-20260327,2026-02-25,Seoul,Rain,Medium,8.1,2,14.8,7.6,Scooter,App,49.7
ORD-20260432,2026-06-18,Seoul,Clear,Medium,9.2,3,16.4,3.4,Bike,Phone,56.3
ORD-20260287,2026-02-06,Seoul,Clear,Medium,7.8,6,27.5,4.1,Bike,App,61.4
ORD-20260348,2026-01-10,Incheon,Cloudy,High,4.3,6,26.0,3.2,Bike,App,61.5
ORD-20260412,2026-06-22,Busan,Clear,Medium,,4,15.3,4.8,Car,App,37.0
ORD-20260177,2026-06-03,Daejeon,Clear,Medium,8.6,7,31.2,,Scooter,App,61.2
ORD-20260384,2026-03-03,Busan,Cloudy,High,5.9,3,22.7,2.0,Bike,Web,57.6
ORD-20260332,2026-07-23,Seoul,Snow,Low,3.6,2,12.7,1.8,Bike,App,53.2
ORD-20260479,2026-01-17,Incheon,Cloudy,Low,7.4,4,30.9,1.6,Scooter,App,62.7
ORD-20260084,2026-06-25,Busan,,Medium,4.8,2,19.4,,Bike,Web,36.6
ORD-20260047,2026-04-15,Busan,Clear,High,2.8,4,21.8,3.2,Scooter,App,38.6
ORD-20260250,2026-02-28,Busan,Cloudy,Low,15.5,1,11.1,2.7,Scooter,App,61.8
ORD-20260212,2026-04-09,Seoul,Clear,Low,4.6,1,13.9,0.4,Bike,App,38.7
ORD-20260364,2026-05-27,Seoul,Clear,Medium,2.2,7,30.9,4.2,Bike,Web,54.4
ORD-20260024,2026-03-06,Busan,Clear,High,8.9,5,19.3,3.2,Scooter,Web,59.9
ORD-20260143,2026-04-28,Busan,Clear,Medium,10.3,6,26.4,5.7,Scooter,App,61.6
ORD-20260435,2026-02-04,Busan,Clear,Medium,7.9,3,14.6,5.6,Bike,App,41.7
ORD-20260290,2026-02-15,Daejeon,Cloudy,High,6.4,2,11.5,2.5,Scooter,App,53.6
ORD-20260292,2026-03-26,Seoul,Clear,Medium,4.9,1,17.0,0,Bike,Web,41.0
ORD-20260320,2026-05-27,Daegu,Clear,Medium,5.9,4,19.4,1.7,Scooter,Phone,42.7
ORD-20260244,2026-07-25,Busan,Clear,Low,1.8,7,28.0,2.7,Bike,App,49.1
ORD-20260097,2026-07-23,Seoul,Cloudy,High,4.5,3,15.7,3.5,Scooter,App,43.7
ORD-20260046,2026-05-24,Busan,Cloudy,Medium,5.0,4,23.6,1.5,Scooter,App,50.4
ORD-20260085,2026-05-09,Incheon,Cloudy,Low,5.3,4,26.3,3.8,Bike,Web,47.8
ORD-20260325,2026-02-24,Incheon,Cloudy,High,2.9,4,23.1,4.5,Scooter,App,46.7
ORD-20260513,2026-01-04,Daegu,Clear,Low,6.6,1,21.2,1.4,Scooter,Web,57.0
ORD-20260373,2026-01-29,Daejeon,Rain,Medium,13.9,2,23.5,4.8,Scooter,Web,73.1
ORD-20260424,2026-03-12,Seoul,Cloudy,Medium,2.5,1,18.1,,Car,App,48.0
ORD-20260386,2026-07-23,Seoul,Clear,Medium,8.5,3,19.1,2.6,Scooter,App,46.1
ORD-20260494,2026-05-24,Daejeon,Clear,Medium,,4,25.9,3.9,Scooter,Web,52.6
ORD-20260228,2026-03-05,Busan,Rain,Low,6.4,3,21.4,1.5,Car,App,51.0
ORD-20260098,2026-01-01,Busan,Rain,Low,8.9,2,25.1,1.1,Scooter,App,59.3
ORD-20260137,2026-04-08,Seoul,Clear,Medium,8.9,6,30.8,1.0,Car,App,66.0
ORD-20260179,2026-05-14,Busan,Clear,Medium,3.8,4,25.0,2.6,Car,App,45.5
ORD-20260403,2026-04-22,Daegu,Clear,Medium,6.5,2,20.0,3.2,Bike,App,33.9
ORD-20260050,2026-04-21,Busan,Clear,Medium,4.3,2,14.2,4.2,Scooter,Phone,35.4
ORD-20260230,2026-01-21,Daegu,Clear,Low,2.3,3,21.8,2.4,Car,App,30.8
ORD-20260103,2026-03-23,Incheon,Clear,Medium,8.9,4,20.9,3.7,Scooter,App,53.8
ORD-20260344,2026-04-10,Daegu,Clear,Medium,1.8,1,16.2,0.0,Scooter,App,27.5
ORD-20260193,2026-04-14,Seoul,Rain,Low,5.9,2,20.1,3.5,Scooter,App,49.0
ORD-20260078,2026-03-06,Seoul,Clear,High,1.5,4,20.9,6.3,Scooter,Web,50.3
ORD-20260371,2026-06-26,Seoul,Cloudy,Medium,2.9,2,16.7,3.3,Scooter,App,35.8
ORD-20260460,2026-03-28,Busan,Clear,Medium,5.6,3,19.6,0.3,Scooter,App,47.7
ORD-20260436,2026-01-11,Incheon,Clear,Medium,3.3,7,29.3,3.3,Scooter,App,37.1
ORD-20260350,2026-05-29,Seoul,Clear,Medium,0.4,5,21.1,,Scooter,Web,32.8
ORD-20260052,2026-06-16,Seoul,Clear,Low,8.7,5,24.3,0,Scooter,Web,55.3
ORD-20260158,2026-07-26,Seoul,Cloudy,Medium,2.6,4,19.7,4.3,Scooter,App,42.3
ORD-20260410,2026-07-22,Daegu,Clear,Low,0.6,4,15.1,0.9,Bike,App,24.9
ORD-20260490,2026-01-09,Daejeon,Clear,High,4.1,5,14.3,2.7,Bike,App,53.2
ORD-20260427,2026-02-27,Seoul,Clear,Medium,10.9,3,14.4,0,Scooter,App,56.8
ORD-20260132,2026-07-15,Incheon,Clear,Low,6.4,3,16.9,3.2,Bike,App,38.1
ORD-20260305,2026-03-25,Incheon,Rain,Low,5.7,2,15.9,5.0,Scooter,App,40.1
ORD-20260053,2026-07-27,Seoul,Clear,Medium,5.1,4,18.6,3.3,Scooter,Web,42.5
ORD-20260045,2026-06-18,Seoul,Cloudy,Medium,7.8,4,18.5,1.2,Scooter,Web,55.3
ORD-20260028,2026-05-03,Daejeon,Clear,Medium,0.4,1,18.8,2.3,Car,App,36.2
ORD-20260518,2026-02-12,Seoul,Clear,Low,5.9,5,23.1,2.4,Scooter,App,55.3
ORD-20260202,2026-04-11,Daejeon,Rain,Low,0.5,3,17.4,7.0,Scooter,App,36.9
ORD-20260506,2026-03-21,Daejeon,Rain,Low,4.8,4,23.0,3.7,Scooter,App,47.8
ORD-20260288,2026-05-18,Incheon,Cloudy,High,11.1,3,19.4,1.5,Scooter,Web,66.8
ORD-20260443,2026-05-12,Daegu,Rain,High,6.8,4,17.1,4.2,Bike,Web,60.2
ORD-20260141,2026-01-26,Seoul,Clear,Low,4.4,4,19.5,5.0,Scooter,App,34.7
ORD-20260086,2026-02-19,Seoul,Clear,Medium,6.9,3,24.2,3.3,Scooter,App,46.5
ORD-20260399,2026-02-14,Seoul,Clear,High,7.3,4,20.7,5.6,Scooter,Web,55.2
ORD-20260135,2026-07-11,Busan,Cloudy,High,1.5,1,9.7,1.8,Scooter,Web,33.8
ORD-20260372,2026-03-20,Incheon,Clear,Medium,5.5,1,12.2,4.1,Scooter,App,35.6
ORD-20260191,2026-06-02,Seoul,Clear,High,10.2,5,22.6,5.1,Scooter,Web,67.7
ORD-20260217,2026-05-14,Seoul,Cloudy,Low,2.7,4,19.8,4.1,Scooter,App,35.9
ORD-20260136,2026-05-23,Seoul,Rain,Low,8.7,5,23.7,2.9,Scooter,Web,62.7
ORD-20260129,2026-03-02,Seoul,Clear,Low,4.5,5,26.7,3.8,Car,Web,39.2
ORD-20260175,2026-04-26,Seoul,Clear,Low,9.2,3,10.3,3.8,Scooter,Web,43.4
ORD-20260289,2026-01-28,Seoul,Clear,Medium,6.7,2,19.6,5.0,Scooter,App,45.9
ORD-20260258,2026-05-02,Daejeon,Cloudy,Low,5.7,2,14.2,0.7,Bike,App,37.6
ORD-20260026,2026-06-29,Daegu,Clear,Low,2.9,3,14.3,3.5,Scooter,App,22.1
ORD-20260414,2026-06-06,Daejeon,Cloudy,Low,5.0,6,27.2,4.7,Scooter,Web,45.4
ORD-20260330,2026-06-07,Seoul,Cloudy,Medium,5.7,3,20.3,1.4,Bike,App,56.2
ORD-20260492,2026-02-14,Daegu,Cloudy,Low,2.2,1,11.1,0.1,Scooter,App,31.4
ORD-20260457,2026-01-04,Seoul,Cloudy,Medium,8.9,4,24.8,2.8,Scooter,App,54.8
ORD-20260169,2026-05-05,Daegu,Rain,Medium,6.0,6,33.6,0.7,Scooter,App,63.5
ORD-20260481,2026-06-21,Seoul,Clear,Medium,6.0,1,9.1,4.8,Scooter,Web,35.3
ORD-20260423,2026-04-14,Busan,Clear,Medium,9.3,4,21.9,2.9,Bike,App,56.5
ORD-20260485,2026-07-09,Seoul,,Medium,5.5,2,18.0,1.6,Scooter,Web,45.4
ORD-20260401,2026-02-18,Daegu,,High,2.4,4,23.5,4.7,Bike,Web,46.6
ORD-20260488,2026-02-20,Seoul,,Medium,8.1,4,19.9,2.0,Bike,App,61.7
ORD-20260464,2026-05-18,Busan,Rain,Low,4.3,3,17.0,2.7,Car,App,41.5
ORD-20260338,2026-07-08,Incheon,Cloudy,Medium,4.0,1,21.4,0.1,Scooter,App,42.6
ORD-20260044,2026-05-22,Incheon,Clear,Low,7.6,3,22.6,4.1,Scooter,App,45.3
ORD-20260466,2026-04-14,Seoul,Cloudy,Medium,6.4,4,21.7,0.9,Scooter,App,59.2
ORD-20260194,2026-02-21,Daegu,Cloudy,High,6.5,2,10.9,1.8,Bike,Web,49.1
ORD-20260368,2026-01-19,Seoul,Rain,Low,28.3,6,24.1,3.5,Bike,App,104.7
ORD-20260069,2026-06-16,Daejeon,Clear,Medium,6.9,4,21.2,4.6,Scooter,App,45.2
ORD-20260201,2026-04-10,Daegu,Clear,Low,7.7,1,15.3,,Scooter,App,38.7
ORD-20260117,2026-04-11,Seoul,Clear,Medium,8.3,3,26.0,4.7,Scooter,Web,58.1
ORD-20260221,2026-05-22,Seoul,Cloudy,High,6.6,2,16.9,0,Bike,App,56.2
ORD-20260162,2026-07-16,Daegu,,High,4.7,3,29.3,2.2,Scooter,Phone,53.9
ORD-20260382,2026-02-23,Seoul,Clear,Low,3.6,5,18.5,4.1,Scooter,App,35.3
