customer_id,signup_date,age,monthly_usage_hours,support_tickets,satisfaction_score,monthly_fee,contract_type,payment_method,region,auto_renew,churn_risk
CUS-0056,2022-11-25,60,43.9,0,2.7,48.8,monthly,bank_transfer,daejeon,1,medium
CUS-0357,2024-08-03,43,29.2,4,4.7,54.8,monthly,card,busan,1,low
CUS-0057,2023-10-13,40,41.7,0,3.7,46.1,monthly,card,busan,1,low
CUS-0299,2026-05-08,24,54.0,1,5.0,67.0,two_year,bank_transfer,daegu,0,low
CUS-0273,2025-01-23,40,50.5,1,2.5,80.3,monthly,card,daegu,0,high
CUS-0080,2024-09-25,62,38.9,1,3.2,71.4,annual,card,busan,1,low
CUS-0332,2025-10-28,64,38.1,0,2.8,51.7,annual,mobile,seoul,0,low
CUS-0117,2021-11-14,53,35.3,3,2.6,74.4,annual,card,daejeon,1,medium
CUS-0209,2023-12-14,63,42.7,3,4.7,51.3,annual,card,busan,1,low
CUS-0195,2025-07-10,46,52.6,3,4.1,95.2,monthly,card,busan,0,medium
CUS-0341,2024-12-18,43,59.4,5,3.8,51.7,monthly,card,seoul,1,low
CUS-0185,2023-04-07,35,17.6,1,2.7,92.9,annual,mobile,seoul,0,medium
CUS-0219,2023-07-03,61,52.2,3,4.1,91.4,monthly,bank_transfer,busan,0,medium
CUS-0040,2024-09-28,41,43.6,3,3.9,68.4,annual,bank_transfer,busan,0,medium
CUS-0169,2021-09-23,21,10.3,2,2.9,56.7,monthly,card,daejeon,1,medium
CUS-0384,2022-11-18,25,64.1,4,4.6,94.8,two_year,mobile,daegu,0,low
CUS-0076,2025-09-23,49,39.7,3,3.3,71.0,monthly,bank_transfer,daegu,0,high
CUS-0077,2025-07-29,41,44.4,1,2.9,65.5,monthly,cash,daejeon,0,medium
CUS-0419,2024-05-09,65,12.5,0,4.4,91.7,two_year,mobile,gwangju,0,medium
CUS-0034,2023-10-19,62,51.2,1,3.8,115.1,monthly,card,seoul,0,medium
CUS-0114,2025-11-20,30,55.8,1,4.1,78.4,monthly,card,seoul,0,medium
CUS-0402,2022-12-28,37,40.1,2,1.3,68.7,annual,card,seoul,1,medium
CUS-0149,2021-08-06,47,52.8,0,3.4,45.4,monthly,,daejeon,0,low
CUS-0284,2024-03-09,61,74.1,0,3.3,64.5,monthly,bank_transfer,daegu,1,medium
CUS-0371,2024-08-27,31,55.1,1,2.9,81.8,two_year,bank_transfer,daegu,0,medium
CUS-0016,2023-07-16,29,41.7,2,4.0,61.0,two_year,mobile,seoul,1,low
CUS-0079,2022-06-29,56,19.6,3,4.6,81.2,annual,card,seoul,0,low
CUS-0262,2025-07-11,25,74.0,3,4.3,67.4,annual,card,seoul,1,low
CUS-0001,2024-04-01,28,17.8,3,3.3,62.4,monthly,bank_transfer,daejeon,1,medium
CUS-0020,2023-11-08,50,46.0,1,3.2,58.7,monthly,mobile,seoul,0,low
CUS-0272,2026-06-29,39,23.5,2,3.5,76.9,monthly,mobile,daejeon,0,high
CUS-0337,2022-07-26,34,35.0,1,1.3,68.6,monthly,bank_transfer,busan,0,high
CUS-0282,2022-06-19,20,41.1,20,3.7,59.8,two_year,card,busan,0,high
CUS-0279,2022-06-22,29,16.8,3,1.9,49.9,monthly,cash,seoul,1,high
CUS-0078,2023-09-02,56,34.7,3,3.9,90.4,annual,card,seoul,0,medium
CUS-0083,2024-09-11,23,42.0,2,4.8,81.8,monthly,bank_transfer,seoul,0,low
CUS-0409,2025-08-22,37,,2,4.4,80.2,annual,card,busan,0,medium
CUS-0105,2021-09-08,63,21.9,1,3.7,57.3,annual,card,busan,0,low
CUS-0026,2021-11-30,43,24.3,1,4.2,60.6,monthly,cash,seoul,1,medium
CUS-0383,2024-07-15,45,41.0,1,5.0,75.5,monthly,card,daejeon,0,low
CUS-0173,2026-01-06,36,31.2,2,2.9,68.1,two_year,mobile,seoul,1,low
CUS-0370,2023-10-07,59,22.5,3,3.5,76.1,annual,bank_transfer,daejeon,1,low
CUS-0313,2022-07-09,43,40.3,4,2.8,60.1,annual,card,gwangju,1,medium
CUS-0043,2025-09-04,54,59.7,0,1.7,55.8,annual,mobile,daejeon,1,low
CUS-0174,2021-08-26,27,53.0,17,4.4,62.9,annual,bank_transfer,seoul,1,high
CUS-0275,2024-07-16,49,41.6,2,4.2,350.8,monthly,bank_transfer,busan,0,high
CUS-0125,2024-11-30,29,44.8,1,4.9,71.6,annual,card,seoul,0,low
CUS-0297,2023-01-20,32,30.7,1,4.4,72.6,two_year,card,seoul,0,low
CUS-0298,2022-02-14,65,39.5,3,3.1,76.8,monthly,cash,daejeon,0,medium
CUS-0374,2023-03-18,20,,2,3.2,78.0,two_year,mobile,gwangju,0,low
CUS-0023,2024-12-31,45,43.1,4,2.1,60.1,two_year,bank_transfer,gwangju,0,low
CUS-0047,2025-06-08,41,16.1,2,2.4,60.1,monthly,card,daejeon,1,medium
CUS-0286,2023-11-28,38,37.0,0,3.4,62.9,monthly,mobile,daegu,1,low
CUS-0094,2025-04-02,53,44.9,1,3.4,99.6,monthly,bank_transfer,busan,0,medium
CUS-0410,2023-10-13,39,40.7,1,4.7,42.8,monthly,mobile,seoul,0,low
CUS-0412,2022-08-25,37,34.6,5,3.6,51.7,two_year,card,gwangju,0,low
CUS-0058,2023-10-29,40,37.9,3,4.4,82.5,monthly,mobile,seoul,0,medium
CUS-0415,2022-01-10,56,52.8,3,4.0,83.7,annual,bank_transfer,daegu,0,low
CUS-0025,2021-09-12,34,31.5,1,3.5,36.4,monthly,cash,daegu,0,high
CUS-0018,2021-10-19,59,23.2,4,4.2,78.0,monthly,card,seoul,0,medium
CUS-0067,2025-03-08,30,22.4,2,5.0,85.7,monthly,card,busan,1,medium
CUS-0132,2023-11-23,39,32.1,3,4.0,49.3,monthly,mobile,gwangju,0,medium
CUS-0032,2022-06-28,34,13.3,1,4.2,92.7,monthly,mobile,seoul,1,medium
CUS-0085,2024-06-16,36,48.1,0,3.0,49.0,monthly,card,seoul,0,medium
CUS-0291,2026-04-03,43,26.1,2,2.7,46.7,monthly,card,seoul,1,medium
CUS-0375,2023-09-09,54,22.1,0,4.6,59.4,monthly,mobile,daegu,1,low
CUS-0336,2023-09-21,56,,4,3.5,73.6,annual,bank_transfer,seoul,0,low
CUS-0154,2023-07-25,64,53.0,2,3.3,55.3,two_year,bank_transfer,gwangju,1,low
CUS-0247,2023-04-19,45,43.6,3,2.6,63.2,monthly,mobile,daegu,1,high
CUS-0205,2025-03-19,24,29.7,2,2.9,58.0,monthly,card,gwangju,0,medium
CUS-0211,2026-01-16,51,57.8,3,2.0,66.6,monthly,bank_transfer,daejeon,0,high
CUS-0006,2021-12-02,54,48.1,1,4.2,56.8,monthly,card,busan,0,medium
CUS-0046,2022-10-05,65,43.5,1,4.7,112.4,annual,card,busan,0,low
CUS-0343,2022-12-17,55,47.0,2,4.1,281.2,monthly,bank_transfer,seoul,1,high
CUS-0406,2024-04-16,58,40.2,1,4.0,37.3,monthly,card,daegu,1,low
CUS-0365,2022-10-07,35,28.2,3,1.4,76.3,annual,cash,gwangju,1,high
CUS-0267,2023-04-28,42,47.0,0,3.0,71.6,monthly,mobile,seoul,0,medium
CUS-0017,2023-03-15,28,50.1,2,3.5,77.2,annual,card,seoul,0,medium
CUS-0392,2023-10-25,51,15.6,1,3.2,59.8,annual,card,daegu,0,medium
CUS-0249,2024-09-05,22,50.1,0,3.6,82.1,annual,card,busan,0,low
CUS-0348,2022-06-10,20,43.2,2,2.0,59.1,monthly,mobile,seoul,0,medium
CUS-0004,2025-11-03,28,51.7,5,3.1,89.1,annual,card,busan,1,low
CUS-0019,2022-07-31,51,34.4,3,2.6,61.8,annual,card,daegu,0,medium
CUS-0315,2025-03-08,40,54.7,1,2.8,69.2,monthly,card,seoul,0,high
CUS-0061,2021-08-09,41,60.3,3,4.3,43.5,annual,card,daejeon,0,medium
CUS-0204,2026-03-26,30,57.3,2,3.7,79.0,two_year,bank_transfer,seoul,0,low
CUS-0155,2025-03-30,50,57.3,0,3.3,65.9,monthly,bank_transfer,seoul,0,low
CUS-0064,2024-03-01,42,38.6,0,2.8,49.7,monthly,mobile,daejeon,1,medium
CUS-0111,2026-04-23,61,43.2,5,3.9,54.4,monthly,bank_transfer,busan,1,low
CUS-0269,2024-08-21,34,42.3,5,2.8,49.1,two_year,bank_transfer,daegu,1,low
CUS-0397,2025-06-06,21,46.3,1,2.0,46.9,annual,mobile,daejeon,1,low
CUS-0127,2025-06-05,61,50.4,4,,82.2,monthly,mobile,busan,1,low
CUS-0325,2021-11-20,36,25.1,5,2.9,95.5,annual,bank_transfer,daejeon,0,high
CUS-0350,2026-06-07,23,41.8,3,,74.1,annual,bank_transfer,busan,0,high
CUS-0401,2026-02-07,38,59.5,3,3.4,56.1,annual,mobile,daejeon,1,low
CUS-0027,2024-08-13,50,31.8,2,4.1,28.6,annual,card,busan,1,low
CUS-0008,2022-11-09,30,24.4,3,4.8,71.8,annual,card,gwangju,1,low
CUS-0200,2025-04-22,39,58.8,14,2.6,66.3,annual,card,seoul,1,high
CUS-0395,2024-04-20,30,42.0,3,2.7,78.1,monthly,card,busan,1,high
CUS-0109,2022-09-06,20,32.9,3,3.9,69.0,monthly,mobile,busan,0,high
CUS-0102,2023-01-26,62,30.5,0,3.5,42.3,annual,mobile,seoul,1,low
CUS-0362,2023-07-10,24,49.6,5,4.0,34.5,annual,card,seoul,1,low
CUS-0030,2022-03-26,51,41.3,1,3.4,61.9,monthly,bank_transfer,seoul,0,low
CUS-0141,2025-01-28,29,21.0,0,4.2,80.3,annual,bank_transfer,gwangju,0,medium
CUS-0396,2024-06-05,45,32.7,1,2.9,79.6,annual,card,busan,1,low
CUS-0119,2024-08-03,42,41.8,3,3.3,59.7,annual,card,daejeon,0,medium
CUS-0115,2025-05-02,21,19.4,0,3.6,75.4,two_year,bank_transfer,seoul,1,low
CUS-0300,2023-09-18,30,16.0,2,3.7,79.8,annual,card,daejeon,1,medium
CUS-0144,2025-02-26,22,20.6,1,2.6,22.9,annual,card,daejeon,1,low
CUS-0142,2023-05-03,40,31.7,2,3.5,91.8,monthly,bank_transfer,busan,0,medium
CUS-0156,2022-04-21,19,36.8,4,4.0,54.2,annual,card,busan,0,low
CUS-0377,2024-10-21,44,27.5,3,2.3,95.2,annual,card,seoul,1,medium
CUS-0312,2024-06-25,56,24.4,1,3.0,252.3,annual,card,seoul,0,high
CUS-0212,2022-12-23,29,36.5,0,5.0,59.3,monthly,card,seoul,1,medium
CUS-0153,2024-05-02,28,72.8,2,3.1,117.7,two_year,card,gwangju,0,medium
CUS-0292,2022-04-09,63,56.7,2,3.0,60.7,monthly,bank_transfer,gwangju,0,low
CUS-0110,2024-08-16,43,25.4,3,4.2,63.3,two_year,card,busan,0,medium
CUS-0181,2026-04-24,31,15.4,1,4.0,87.8,monthly,card,daegu,0,high
CUS-0194,2022-05-10,58,21.0,4,3.9,63.2,monthly,bank_transfer,seoul,0,medium
CUS-0158,2025-12-11,64,41.1,3,2.7,90.8,monthly,bank_transfer,seoul,0,high
CUS-0182,2022-07-08,64,44.7,0,2.7,91.1,monthly,bank_transfer,seoul,1,medium
CUS-0084,2024-03-30,61,44.3,1,3.0,40.0,monthly,bank_transfer,seoul,1,medium
CUS-0178,2025-06-10,50,19.4,3,3.7,55.6,two_year,mobile,seoul,0,low
CUS-0166,2023-04-21,64,24.4,3,2.9,20.0,annual,bank_transfer,daejeon,1,medium
CUS-0075,2026-05-22,54,27.8,1,3.8,60.8,monthly,card,busan,1,low
CUS-0210,2025-02-03,47,20.1,1,4.3,82.5,monthly,mobile,seoul,0,medium
CUS-0120,2026-05-06,41,46.0,1,2.9,65.5,monthly,card,daegu,1,medium
CUS-0223,2022-06-01,65,56.8,0,2.1,109.2,monthly,bank_transfer,seoul,1,medium
CUS-0250,2026-02-21,31,53.4,1,3.5,84.4,monthly,card,gwangju,1,medium
CUS-0239,2024-05-05,41,34.1,0,4.5,73.4,monthly,card,daejeon,0,medium
CUS-0335,2026-07-20,54,37.1,2,3.0,100.0,monthly,mobile,seoul,0,high
CUS-0321,2025-03-23,28,26.2,1,3.5,64.5,monthly,bank_transfer,busan,1,medium
CUS-0354,2023-05-18,32,31.2,1,3.0,72.4,two_year,card,seoul,0,medium
CUS-0382,2025-08-06,41,33.7,1,3.1,69.5,two_year,bank_transfer,busan,0,low
CUS-0328,2023-10-20,46,40.5,4,2.9,63.2,monthly,card,busan,0,medium
CUS-0342,2023-07-26,21,44.9,3,3.7,59.2,annual,card,busan,1,low
CUS-0037,2025-03-28,44,32.3,0,4.4,84.5,two_year,bank_transfer,daegu,0,low
CUS-0140,2023-06-19,46,32.4,0,4.0,38.0,monthly,card,seoul,1,low
CUS-0311,2025-07-29,32,38.4,2,4.5,91.0,annual,card,daegu,1,low
CUS-0177,2022-07-09,63,22.5,0,3.5,60.6,monthly,bank_transfer,busan,1,medium
CUS-0226,2022-07-02,27,32.6,1,3.0,60.6,monthly,cash,seoul,0,medium
CUS-0303,2022-12-28,23,41.8,4,3.5,63.3,monthly,cash,daegu,0,medium
CUS-0060,2024-08-25,40,44.2,3,3.2,50.3,annual,mobile,daegu,0,medium
CUS-0112,2024-09-26,31,41.7,2,3.8,76.4,annual,bank_transfer,seoul,0,low
CUS-0334,2022-09-02,32,24.8,2,3.7,44.4,annual,card,daejeon,0,low
CUS-0199,2024-05-31,42,53.0,6,3.7,67.2,monthly,card,gwangju,1,medium
CUS-0007,2023-12-04,50,37.0,3,3.7,90.2,two_year,bank_transfer,daejeon,0,medium
CUS-0379,2021-12-15,40,39.2,3,4.5,56.0,monthly,bank_transfer,daegu,0,medium
CUS-0308,2025-01-07,24,61.3,0,4.0,80.6,annual,card,daejeon,0,low
CUS-0159,2024-08-01,58,16.2,3,3.0,79.9,annual,cash,seoul,0,low
CUS-0151,2024-07-24,44,13.9,2,3.7,56.0,two_year,card,seoul,1,low
CUS-0011,2024-12-17,49,34.4,2,2.3,72.1,annual,card,busan,1,medium
CUS-0221,2026-03-07,25,63.4,1,3.6,66.5,two_year,mobile,daejeon,1,low
CUS-0104,2024-09-30,19,55.9,2,4.7,57.4,monthly,cash,seoul,0,low
CUS-0082,2022-11-06,47,22.5,0,4.3,73.8,two_year,cash,busan,0,low
CUS-0394,2025-03-09,61,62.4,6,3.9,67.9,annual,mobile,gwangju,0,medium
CUS-0266,2022-02-03,42,33.6,2,3.3,32.7,monthly,card,busan,0,medium
CUS-0168,2024-11-19,57,45.9,1,4.0,73.5,annual,bank_transfer,daegu,1,low
CUS-0398,2024-01-24,33,33.4,4,4.6,62.0,annual,card,seoul,1,low
CUS-0238,2024-01-27,58,35.7,1,4.4,73.6,annual,card,busan,1,low
CUS-0245,2023-10-20,45,62.8,5,3.7,62.7,annual,mobile,daegu,1,low
CUS-0400,2026-04-15,45,51.6,3,1.8,29.1,annual,bank_transfer,gwangju,0,low
CUS-0418,2024-07-03,44,39.5,2,2.5,277.7,annual,card,daegu,0,high
CUS-0090,2022-11-23,63,50.4,0,4.4,31.2,monthly,mobile,seoul,1,low
CUS-0224,2023-12-18,65,34.0,1,4.2,118.0,annual,card,seoul,1,low
CUS-0164,2025-07-17,25,28.7,4,2.6,69.9,two_year,card,seoul,0,medium
CUS-0196,2023-10-11,38,43.2,0,4.6,86.5,monthly,bank_transfer,daejeon,1,low
CUS-0148,2025-05-04,31,49.2,0,2.6,70.6,monthly,card,seoul,0,low
CUS-0003,2025-08-11,55,29.2,3,2.9,53.0,monthly,bank_transfer,seoul,1,medium
CUS-0093,2024-05-31,37,28.6,1,4.0,96.6,annual,cash,seoul,0,low
CUS-0070,2021-12-10,43,31.1,2,3.7,69.3,monthly,card,gwangju,1,medium
CUS-0228,2024-02-29,33,39.8,0,5.0,89.4,monthly,bank_transfer,busan,0,low
CUS-0124,2025-06-02,19,34.1,4,2.6,64.7,annual,card,seoul,0,medium
CUS-0097,2024-08-09,56,52.2,2,5.0,88.3,monthly,mobile,seoul,1,medium
CUS-0144,2025-02-26,22,20.6,1,2.6,22.9,annual,card,daejeon,1,low
CUS-0323,2025-10-03,65,29.1,0,4.9,34.4,monthly,cash,seoul,0,low
CUS-0305,2023-02-01,30,51.4,2,1.8,64.3,annual,bank_transfer,busan,1,medium
CUS-0098,2026-04-21,47,35.6,2,3.3,86.5,two_year,bank_transfer,seoul,0,low
CUS-0319,2026-06-26,29,20.6,1,3.4,79.8,monthly,card,busan,0,high
CUS-0069,2026-05-04,56,37.3,4,3.3,20.4,monthly,card,gwangju,1,low
CUS-0024,2026-03-01,48,49.0,2,3.5,84.0,monthly,bank_transfer,busan,0,high
CUS-0038,2024-04-25,39,26.9,3,3.4,42.5,monthly,bank_transfer,gwangju,0,medium
CUS-0145,2024-06-06,36,41.5,0,2.4,51.9,two_year,bank_transfer,busan,0,low
CUS-0123,2021-08-11,61,21.3,4,4.4,21.9,two_year,card,busan,1,low
CUS-0230,2023-07-21,61,38.4,3,4.7,40.3,annual,mobile,seoul,0,low
CUS-0203,2022-05-13,42,44.3,2,3.1,105.2,annual,card,seoul,1,low
CUS-0183,2023-02-17,61,61.3,1,3.6,69.7,two_year,mobile,seoul,1,low
CUS-0068,2023-06-29,60,44.3,1,4.2,26.5,monthly,mobile,seoul,1,low
CUS-0368,2021-08-11,65,41.6,2,3.1,47.5,monthly,card,busan,1,medium
CUS-0404,2026-02-27,39,46.1,0,4.0,49.2,monthly,,daejeon,0,low
CUS-0246,2025-10-01,26,18.0,0,4.6,93.4,annual,bank_transfer,seoul,0,low
CUS-0251,2022-02-17,57,35.5,3,3.5,74.6,annual,bank_transfer,busan,1,medium
CUS-0339,2023-02-15,30,33.0,4,3.8,67.3,annual,cash,gwangju,1,medium
CUS-0254,2021-12-16,43,42.0,1,4.7,60.1,monthly,bank_transfer,seoul,1,low
CUS-0126,2022-11-30,56,21.0,3,2.7,68.3,annual,card,busan,0,high
CUS-0147,2022-02-12,40,46.7,1,1.0,48.0,annual,bank_transfer,daegu,1,low
CUS-0326,2024-10-16,37,64.8,3,4.0,56.1,monthly,mobile,daegu,1,low
CUS-0087,2023-12-03,63,11.5,3,2.8,68.1,monthly,card,daejeon,1,medium
CUS-0358,2026-03-02,55,40.3,0,1.3,75.3,monthly,bank_transfer,seoul,1,high
CUS-0220,2023-05-04,25,50.5,1,3.2,92.0,annual,card,gwangju,0,low
CUS-0235,2025-11-22,60,38.0,3,3.4,68.2,monthly,mobile,seoul,1,high
CUS-0359,2024-11-01,20,23.3,3,3.3,52.1,monthly,card,gwangju,0,medium
CUS-0369,2022-01-23,63,26.6,1,4.0,81.1,annual,card,seoul,1,low
CUS-0399,2025-02-15,49,50.9,3,3.3,28.1,annual,card,busan,1,low
CUS-0322,2024-10-20,45,36.7,0,4.2,61.4,annual,card,gwangju,0,low
CUS-0184,2023-09-18,34,37.4,1,4.9,49.7,two_year,mobile,daegu,1,low
CUS-0276,2023-05-13,64,38.7,2,,23.2,annual,mobile,seoul,1,low
CUS-0302,2022-08-23,58,,0,1.8,56.1,monthly,card,daegu,1,medium
CUS-0381,2026-04-13,27,29.4,1,4.6,69.1,annual,bank_transfer,daegu,1,low
CUS-0330,2025-08-11,63,15.4,0,3.7,80.6,monthly,bank_transfer,busan,1,medium
CUS-0130,2025-02-03,54,26.9,3,3.2,36.8,annual,cash,daegu,1,medium
CUS-0039,2022-09-07,42,35.0,3,3.2,54.2,monthly,card,busan,0,high
CUS-0012,2022-05-29,23,41.6,1,3.9,79.9,monthly,card,seoul,0,medium
CUS-0288,2024-11-11,54,,2,5.0,91.8,annual,card,busan,1,low
CUS-0186,2021-08-21,36,51.9,2,4.4,92.5,monthly,bank_transfer,daejeon,1,low
CUS-0256,2026-03-11,54,40.9,1,2.6,82.9,annual,mobile,seoul,1,medium
CUS-0113,2023-01-30,28,73.9,0,3.8,86.5,monthly,card,busan,0,low
CUS-0180,2023-03-11,54,49.7,5,4.0,58.8,monthly,bank_transfer,daejeon,1,medium
CUS-0356,2026-03-06,30,43.2,1,3.0,70.3,monthly,mobile,daejeon,1,medium
CUS-0405,2022-10-24,42,24.1,3,2.9,52.5,annual,bank_transfer,seoul,0,medium
CUS-0287,2023-07-16,20,29.4,1,3.2,45.3,monthly,bank_transfer,busan,0,medium
CUS-0278,2023-03-27,57,59.4,1,4.1,64.6,monthly,card,daejeon,1,low
CUS-0118,2024-04-06,38,47.9,3,,69.7,annual,card,daegu,1,low
CUS-0391,2022-08-05,62,,1,3.0,83.6,monthly,card,daejeon,0,high
CUS-0295,2023-03-07,44,32.9,1,3.5,21.9,two_year,bank_transfer,seoul,0,low
CUS-0408,2023-12-07,32,53.5,3,3.7,66.4,annual,bank_transfer,gwangju,0,low
CUS-0306,2026-06-15,42,27.7,0,3.7,59.1,annual,bank_transfer,seoul,0,high
CUS-0234,2022-02-05,64,34.3,1,4.3,20.0,monthly,bank_transfer,seoul,1,low
CUS-0385,2023-05-27,63,22.9,2,2.9,48.7,annual,bank_transfer,daejeon,1,low
CUS-0263,2025-12-13,33,15.9,0,,61.1,two_year,card,seoul,0,low
CUS-0165,2023-10-15,19,20.3,2,4.5,89.7,annual,card,daejeon,1,low
CUS-0347,2025-03-08,40,29.2,1,3.9,57.9,monthly,bank_transfer,busan,1,medium
CUS-0137,2023-02-09,23,31.5,0,1.3,76.9,monthly,card,seoul,0,high
CUS-0198,2022-11-18,27,34.6,3,3.0,107.5,monthly,bank_transfer,daegu,1,medium
CUS-0259,2026-02-09,30,53.9,3,2.5,46.1,two_year,card,seoul,1,low
CUS-0233,2021-10-03,46,27.0,1,2.1,70.8,monthly,card,daejeon,1,medium
CUS-0116,2023-01-08,40,35.5,2,4.3,39.0,monthly,bank_transfer,daejeon,1,medium
CUS-0121,2024-11-09,51,37.5,3,4.6,78.3,two_year,bank_transfer,daegu,1,low
CUS-0225,2022-11-07,42,38.1,1,3.0,71.9,annual,cash,seoul,1,low
CUS-0403,2025-10-05,20,26.6,3,4.5,59.7,annual,card,gwangju,1,low
CUS-0285,2022-12-17,56,41.2,2,2.9,99.1,annual,bank_transfer,seoul,0,high
CUS-0128,2026-03-12,54,36.9,3,,64.1,annual,mobile,daejeon,1,medium
CUS-0352,2021-09-01,30,5.0,5,2.7,67.0,monthly,card,gwangju,0,high
CUS-0108,2022-01-04,55,63.1,3,3.3,68.6,monthly,,daegu,0,medium
CUS-0372,2021-10-21,60,36.4,2,,51.1,monthly,mobile,daegu,0,medium
CUS-0134,2025-08-25,27,43.1,2,3.3,68.2,annual,card,gwangju,0,medium
CUS-0355,2026-04-02,60,32.0,4,4.8,65.4,monthly,bank_transfer,gwangju,1,low
CUS-0045,2023-12-19,50,20.4,6,4.8,49.2,two_year,bank_transfer,seoul,1,medium
CUS-0390,2025-09-12,21,34.8,3,2.6,65.4,monthly,bank_transfer,daejeon,0,high
CUS-0066,2025-09-15,23,22.0,3,2.8,48.4,monthly,mobile,daejeon,1,high
CUS-0086,2025-05-06,61,54.8,2,4.2,87.1,two_year,card,seoul,1,low
CUS-0243,2024-10-16,35,20.7,1,2.9,86.4,two_year,card,gwangju,1,medium
CUS-0187,2025-01-13,53,40.9,4,3.7,65.3,annual,bank_transfer,seoul,1,medium
CUS-0160,2023-09-13,23,31.3,4,3.9,55.3,monthly,card,daegu,0,high
CUS-0013,2024-06-24,21,14.8,1,3.1,61.5,annual,mobile,seoul,0,medium
CUS-0036,2025-03-09,55,62.9,3,4.2,95.2,monthly,card,seoul,0,high
CUS-0029,2024-06-28,53,26.9,4,1.2,67.3,monthly,card,seoul,0,high
CUS-0171,2022-06-25,23,42.0,2,3.2,95.5,two_year,mobile,daejeon,1,low
CUS-0143,2025-01-04,53,22.9,2,3.7,66.3,monthly,card,daegu,1,medium
CUS-0366,2023-03-30,57,33.9,1,4.1,41.0,monthly,card,daegu,0,low
CUS-0290,2023-09-20,47,2.0,0,3.2,57.1,monthly,bank_transfer,seoul,0,high
CUS-0222,2024-09-20,48,53.2,0,3.8,63.8,annual,card,busan,1,low
CUS-0096,2023-05-17,53,57.9,2,3.2,72.8,monthly,card,gwangju,0,medium
CUS-0052,2023-10-30,59,38.4,1,2.3,65.6,monthly,card,daegu,1,medium
CUS-0241,2026-03-02,57,33.7,1,3.1,64.1,two_year,card,busan,0,low
CUS-0318,2022-03-14,62,39.6,1,2.8,73.3,annual,mobile,busan,0,medium
CUS-0324,2023-10-11,62,56.5,0,3.4,55.3,two_year,bank_transfer,seoul,0,low
CUS-0179,2023-06-11,28,,2,2.1,59.9,annual,mobile,busan,0,medium
CUS-0042,2023-06-15,56,16.5,2,,31.1,monthly,card,daegu,1,medium
CUS-0413,2023-06-20,43,38.4,17,4.0,80.5,monthly,bank_transfer,gwangju,0,high
CUS-0207,2021-09-12,37,16.9,3,2.2,60.1,monthly,bank_transfer,busan,0,high
CUS-0283,2024-07-13,49,36.4,5,3.6,85.4,monthly,card,seoul,0,high
CUS-0255,2021-09-28,57,60.5,4,4.1,75.6,annual,mobile,busan,0,medium
CUS-0353,2023-10-11,39,70.9,3,2.8,47.9,monthly,cash,daegu,1,medium
CUS-0005,2022-04-22,19,39.5,2,4.4,69.5,annual,mobile,daejeon,0,low
CUS-0257,2026-02-18,50,33.5,0,3.9,37.3,annual,mobile,seoul,0,low
CUS-0380,2021-12-20,33,49.1,3,2.5,45.6,two_year,card,gwangju,1,low
CUS-0101,2021-12-13,32,38.3,3,1.4,46.7,two_year,cash,daegu,0,medium
