student_id,study_hours,attendance_rate,assignment_score,mock_exam_score,sleep_hours,study_method,course_level,prior_course,performance_class
STU0042,3.7,78.5,74.9,56.2,8.5,academy,intermediate,1,1
STU0043,7.8,76.1,74.5,59.7,4.7,group_study,intermediate,1,1
STU0044,7.3,81.6,87.1,100,6.7,academy,advanced,0,2
STU0045,9.0,69.4,100,60.4,6.4,group_study,advanced,1,2
STU0046,5.8,77.0,69.5,72.9,6.1,academy,intermediate,0,0
STU0047,4.0,83.8,72.1,80.9,6.9,academy,intermediate,0,1
STU0048,0.9,79.4,92.2,39.1,5.8,academy,basic,0,0
STU0049,4.7,100,83.7,72.5,5.2,group_study,basic,0,1
STU0050,3.6,84.8,72.9,68.0,6.4,online,intermediate,0,1
STU0051,3.9,80.3,92.7,61.6,8.7,online,intermediate,0,1
STU0052,4.9,76.4,92.0,59.6,7.5,online,advanced,0,1
STU0053,6.3,76.7,39.3,60.4,6.6,group_study,basic,1,0
STU0054,3.3,97.1,54.8,81.0,7.7,online,basic,0,1
STU0055,3.4,84.9,50.3,54.4,7.0,online,basic,1,0
STU0056,3.3,76.2,68.7,62.5,7.4,,basic,1,0
STU0057,6.9,86.1,69.3,78.5,7.4,online,advanced,0,1
STU0058,6.8,80.4,62.0,67.6,6.3,group_study,basic,0,1
STU0059,5.0,81.9,79.7,52.3,,online,intermediate,0,0
STU0060,2.3,75.0,49.4,65.1,6.0,group_study,basic,0,0
STU0061,4.5,100,86.0,46.4,5.9,academy,intermediate,0,1
STU0062,6.0,71.2,64.8,58.0,6.2,academy,basic,0,1
STU0063,6.3,93.2,86.4,73.5,5.5,academy,intermediate,1,2
STU0064,4.8,98.2,73.5,56.8,6.2,,intermediate,0,0
STU0065,6.0,78.3,95.2,43.3,6.9,academy,intermediate,1,1
STU0066,4.7,92.4,55.4,73.8,7.5,self_study,basic,0,1
STU0067,6.3,71.8,92.2,83.6,6.0,online,basic,0,1
STU0068,6.6,77.9,78.3,68.8,7.4,self_study,advanced,1,2
STU0069,6.0,89.0,74.2,59.9,6.8,self_study,intermediate,0,2
STU0070,3.6,88.5,77.4,71.8,7.6,self_study,intermediate,0,1
STU0071,4.2,75.1,85.1,65.3,6.3,self_study,basic,1,0
STU0072,5.9,73.0,61.0,65.7,6.7,self_study,intermediate,1,1
STU0073,3.0,72.9,79.3,60.7,,self_study,intermediate,1,0
STU0074,4.2,100,93.4,79.8,7.4,self_study,intermediate,0,1
STU0075,5.6,99.8,70.7,84.5,7.8,academy,intermediate,0,2
STU0076,2.6,75.0,37.4,62.6,9.1,group_study,basic,1,0
STU0077,2.9,82.7,,70.8,6.7,self_study,advanced,0,1
STU0078,2.0,78.8,64.0,66.8,8.2,group_study,basic,0,0
STU0079,4.1,68.7,60.2,84.3,8.0,self_study,intermediate,1,1
STU0080,5.9,78.7,68.6,28,6.5,academy,basic,1,1
STU0081,3.6,83.9,59.7,55.1,5.3,self_study,basic,0,0
STU0082,3.7,58.8,60.4,68.9,9.5,self_study,basic,0,0
STU0083,5.8,88.3,53.1,34.6,8.6,online,basic,0,0
STU0084,6.5,74.9,85.6,57.4,7.2,academy,intermediate,1,1
STU0085,5.9,74.6,67.8,60.9,4.8,online,intermediate,0,1
STU0086,4.1,87.6,81.2,60.9,6.1,self_study,intermediate,1,0
STU0087,4.1,77.4,50.0,56.5,6.6,self_study,basic,1,0
STU0088,3.3,76.1,49.4,55.3,8.4,group_study,basic,1,0
STU0089,7.4,81.2,86.7,80.2,8.0,,advanced,1,1
STU0090,2.5,62.8,,51.2,7.0,academy,basic,0,0
STU0091,5.5,97.1,60.3,32.8,7.9,online,intermediate,1,0
STU0092,5.1,92.6,89.7,49.5,7.6,online,advanced,1,1
STU0093,3.2,95.1,52.9,51.8,4.5,self_study,basic,0,0
STU0094,6.7,70.5,58.8,50.8,5.9,online,basic,1,0
STU0095,2.4,67.7,75.9,93.1,7.4,online,intermediate,0,0
STU0096,4.8,83.4,82.3,79.4,7.6,self_study,intermediate,0,1
STU0097,3.7,80.4,81.4,99.2,5.8,self_study,advanced,0,1
STU0098,4.1,96.8,68.8,53.5,6.1,,intermediate,0,1
STU0099,7.5,74.3,97.2,58.5,5.8,academy,intermediate,1,1
STU0100,3.4,54.0,62.9,28,5.2,online,basic,1,0
STU0101,4.1,55.2,82.2,88.2,7.5,group_study,intermediate,1,1
STU0102,2.9,81.1,57.0,76.2,6.2,self_study,intermediate,1,0
STU0103,4.8,69.7,74.9,55.4,7.2,self_study,intermediate,1,1
STU0104,5.3,70.2,49.9,92.0,7.2,group_study,advanced,0,1
STU0105,6.6,95.2,71.6,62.6,6.4,academy,advanced,1,2
STU0106,2.7,85.0,96.0,65.6,8.1,self_study,intermediate,0,1
STU0107,3.1,72.3,79.7,86.4,5.6,academy,intermediate,0,0
STU0108,3.3,80.6,73.2,69.8,7.4,group_study,intermediate,1,1
STU0109,5.4,83.8,72.9,69.4,8.8,self_study,advanced,0,1
STU0110,2.5,73.3,78.5,77.5,7.3,online,intermediate,1,1
STU0111,7.9,75.3,74.0,63.3,8.5,online,intermediate,1,1
STU0112,5.4,91.9,78.6,33.7,6.6,online,basic,0,1
STU0113,4.7,85.1,,45.3,5.6,group_study,advanced,0,0
STU0114,5.9,73.0,66.0,50.8,5.4,online,intermediate,0,1
STU0115,3.2,76.2,76.3,64.7,6.5,self_study,intermediate,1,0
STU0116,3.8,69.2,84.6,59.5,8.1,academy,intermediate,0,0
STU0117,2.2,82.0,84.4,66.6,4.9,online,basic,1,0
STU0118,2.6,70.8,47.2,53.0,8.4,group_study,basic,0,0
STU0119,6.3,90.4,51.6,59.6,6.3,self_study,intermediate,1,1
STU0120,1.3,57.5,72.9,83.9,7.7,online,basic,1,0
STU0121,5.3,91.2,86.6,48.1,6.3,academy,intermediate,1,1
STU0122,7.4,95.6,60.2,82.1,5.3,group_study,intermediate,0,1
STU0123,2.6,64.0,61.8,80.5,6.4,group_study,basic,0,0
STU0124,3.4,86.5,75.3,89.7,6.4,academy,advanced,1,1
STU0125,4.1,75.3,76.8,76.5,6.3,group_study,intermediate,0,1
STU0126,1.4,80.9,47.4,42.9,6.1,academy,basic,1,0
STU0127,7.1,85.2,53.6,53.3,5.6,self_study,basic,1,1
STU0128,6.0,79.5,77.2,56.0,7.4,self_study,intermediate,0,1
STU0129,6.2,94.0,90.5,71.2,6.8,self_study,advanced,0,1
STU0130,5.3,68.3,74.2,44.4,7.6,group_study,advanced,0,1
STU0131,4.4,89.6,78.3,63.7,6.7,online,advanced,1,1
STU0132,4.9,70.3,60.1,47.3,6.3,group_study,intermediate,0,0
STU0133,5.6,94.1,68.4,64.8,5.9,online,intermediate,0,0
STU0134,5.2,64.5,58.0,40.1,7.0,self_study,basic,0,0
STU0135,5.9,69.2,41.2,62.2,7.0,self_study,basic,1,2
STU0136,5.8,76.8,90.7,73.6,7.1,self_study,advanced,1,1
STU0137,7.2,69.9,100,100,6.7,academy,advanced,1,2
STU0138,3.0,83.9,71.7,64.3,6.3,online,intermediate,1,0
STU0139,6.3,65.7,96.1,64.9,6.2,group_study,advanced,0,1
STU0140,3.5,70.9,92.7,49.9,6.7,group_study,basic,0,0
STU0141,5.1,69.9,56.3,51.8,7.2,group_study,basic,0,1
STU0142,2.9,69.2,74.3,39.2,8.6,group_study,basic,1,0
STU0143,5.6,98.0,86.6,63.7,6.6,online,advanced,1,1
STU0144,5.2,100,78.3,51.6,7.4,academy,intermediate,0,1
STU0145,5.8,89.1,,85.3,7.8,group_study,advanced,0,1
STU0146,4.7,83.4,77.8,66.6,6.4,group_study,advanced,0,1
STU0147,1.5,82.4,69.0,36.9,9.5,self_study,basic,0,0
STU0148,1.9,72.8,,57.0,8.4,self_study,intermediate,0,0
STU0149,1.7,86.4,41.3,57.4,4.7,self_study,basic,0,0
STU0150,6.0,80.7,73.7,60.7,7.7,online,intermediate,0,1
STU0151,7.9,86.4,87.0,84.5,7.1,self_study,advanced,1,2
STU0152,2.6,82.5,74.6,67.2,7.7,online,intermediate,1,1
STU0153,3.8,99.8,77.3,53.4,6.5,group_study,advanced,0,1
STU0154,2.7,89.8,52.2,28,6.5,group_study,basic,0,0
STU0155,4.0,85.1,72.7,52.7,6.8,online,intermediate,0,0
STU0156,7.5,93.3,76.7,61.9,5.9,online,advanced,1,1
STU0157,4.6,79.3,35,53.6,6.9,self_study,intermediate,0,0
STU0158,7.6,100,100,70.0,6.4,academy,advanced,0,1
STU0159,5.0,77.5,66.1,85.1,7.7,group_study,advanced,0,1
STU0160,3.0,80.8,78.5,70.4,7.6,academy,intermediate,0,1
STU0161,5.6,89.3,,83.4,7.2,group_study,intermediate,0,1
STU0162,7.3,67.5,66.1,72.2,7.1,self_study,intermediate,1,1
STU0163,3.6,64.9,86.7,47.7,6.0,academy,intermediate,1,0
STU0164,3.2,62.9,80.3,79.3,6.0,academy,basic,1,1
STU0165,3.5,93.9,68.1,84.8,5.3,academy,advanced,0,1
STU0166,6.2,74.7,64.7,68.8,6.0,online,advanced,0,1
STU0167,4.2,72.0,85.5,80.2,8.0,online,basic,0,1
STU0168,4.1,87.6,85.2,30.0,6.9,online,advanced,1,0
STU0169,2.7,57.1,52.3,32.4,6.9,self_study,basic,1,0
STU0170,4.3,77.4,49.0,40.1,7.8,self_study,basic,0,0
STU0171,4.8,95.9,67.7,50.4,7.1,group_study,intermediate,0,1
STU0172,5.2,84.6,63.4,91.7,6.9,group_study,basic,1,1
STU0173,7.5,78.2,74.4,66.7,7.6,group_study,intermediate,0,1
STU0174,6.4,79.3,50.3,42.4,6.5,self_study,basic,1,0
STU0175,2.7,72.0,36.3,79.0,6.2,group_study,basic,1,0
STU0176,5.6,86.3,72.2,73.8,6.4,group_study,advanced,1,0
STU0177,7.0,80.1,67.0,54.1,5.2,self_study,intermediate,1,0
STU0178,7.7,48,,71.0,7.6,academy,advanced,0,2
STU0179,3.6,81.2,92.6,61.4,6.0,group_study,intermediate,0,1
STU0180,5.0,88.2,76.5,59.0,4.9,academy,intermediate,1,2
STU0181,4.2,86.9,,38.2,7.1,academy,basic,1,1
STU0182,4.9,73.5,67.8,64.8,6.7,academy,basic,0,1
STU0183,4.8,78.1,86.8,89.6,4.5,academy,advanced,0,1
STU0184,3.1,82.8,49.6,58.0,7.1,online,intermediate,1,0
STU0185,2.9,81.8,78.0,96.9,8.1,academy,intermediate,0,1
STU0186,4.7,91.7,74.1,81.8,6.0,group_study,basic,0,1
STU0187,7.1,74.0,99.0,54.6,6.5,group_study,intermediate,1,1
STU0188,3.7,75.9,67.9,65.4,7.5,group_study,basic,1,0
STU0189,5.0,98.6,85.0,76.1,7.4,online,advanced,0,2
STU0190,5.4,81.0,56.0,43.7,7.1,group_study,basic,0,1
STU0191,2.4,88.9,73.1,76.9,8.1,self_study,advanced,0,0
STU0192,7.1,86.6,81.8,49.1,7.7,online,advanced,0,1
STU0193,3.6,70.6,71.9,45.8,7.1,online,intermediate,0,0
STU0194,7.0,68.4,,51.7,7.9,online,intermediate,0,1
STU0195,7.6,82.5,87.1,65.6,6.1,academy,intermediate,1,2
STU0196,5.8,70.7,51.0,78.2,6.3,academy,basic,1,1
STU0197,6.3,71.5,69.2,81.2,8.6,academy,basic,0,1
STU0198,7.2,100,79.2,71.2,7.8,group_study,advanced,0,2
STU0199,5.8,96.3,64.0,65.4,9.0,self_study,basic,1,1
STU0200,5.8,70.8,45.3,55.7,7.2,self_study,intermediate,1,0
STU0201,4.7,78.5,91.5,71.7,7.2,academy,advanced,0,1
STU0202,6.5,91.6,95.2,57.9,6.0,,advanced,0,1
STU0203,4.7,82.1,69.3,62.1,7.2,group_study,basic,0,0
STU0204,4.8,73.1,76.5,76.9,8.4,online,intermediate,1,1
STU0205,4.1,76.0,65.4,44.4,6.8,academy,basic,0,1
STU0206,5.4,93.2,61.9,76.1,6.0,online,intermediate,0,0
STU0207,3.7,92.9,90.5,62.6,6.1,group_study,intermediate,1,1
STU0208,4.9,100,60.4,98.0,5.8,self_study,intermediate,0,2
STU0209,5.1,83.8,59.2,67.9,8.5,self_study,basic,1,1
STU0210,3.7,96.5,78.0,39.2,6.7,academy,basic,0,0
STU0211,4.1,69.5,87.6,67.6,6.0,self_study,intermediate,0,1
STU0212,3.4,94.2,75.4,97.1,7.0,group_study,advanced,1,2
STU0213,7.3,77.6,73.7,52.4,6.8,group_study,advanced,0,1
STU0214,7.6,89.8,82.2,67.3,4.5,online,advanced,1,1
STU0215,2.7,48,,30.7,6.5,self_study,basic,1,0
STU0216,4.3,70.0,100,80.0,7.9,group_study,advanced,0,0
STU0217,4.0,76.2,69.3,66.3,6.2,self_study,intermediate,0,0
STU0218,3.8,79.4,69.4,56.8,7.3,online,basic,1,1
STU0219,3.4,81.3,83.9,29.9,6.9,self_study,basic,0,0
STU0220,4.1,75.3,65.6,65.8,7.0,self_study,basic,0,0
STU0221,6.0,62.8,38.3,67.9,6.6,online,basic,1,1
STU0222,4.0,89.9,100,77.0,7.4,group_study,advanced,1,1
STU0223,3.3,77.6,86.6,87.5,8.1,academy,intermediate,1,0
STU0224,2.7,86.3,95.3,73.5,6.2,academy,advanced,0,1
STU0225,6.5,72.0,94.9,43.9,8.6,academy,intermediate,0,1
STU0226,3.8,98.7,84.8,95.8,5.8,self_study,intermediate,0,1
STU0227,5.6,76.2,100,74.8,6.2,online,intermediate,0,2
STU0228,3.6,70.4,49.4,44.1,5.5,academy,basic,1,0
STU0229,5.7,77.9,81.9,67.3,7.5,academy,intermediate,0,1
STU0230,3.5,63.3,68.0,53.5,8.6,group_study,basic,0,0
STU0231,9.3,77.3,77.4,48.4,7.0,academy,advanced,1,2
STU0232,4.4,88.2,43.0,62.3,8.4,academy,intermediate,0,0
STU0233,4.1,68.9,60.2,74.7,,online,basic,0,1
STU0234,3.6,88.3,86.9,62.4,,group_study,advanced,0,1
STU0235,2.8,66.2,65.3,92.6,8.2,group_study,basic,1,1
STU0236,8.5,76.4,75.0,61.5,7.5,self_study,basic,1,1
STU0237,6.0,93.2,88.9,94.9,7.6,academy,advanced,0,2
STU0238,4.3,75.3,79.2,86.1,7.2,online,intermediate,1,1
STU0239,3.6,76.7,67.1,73.0,6.4,group_study,advanced,0,0
STU0240,7.1,93.3,80.5,69.8,5.3,group_study,intermediate,1,1
STU0241,2.2,64.3,71.9,85.5,5.9,self_study,basic,0,0
STU0242,4.3,84.9,82.4,70.5,5.6,academy,intermediate,1,1
STU0243,8.7,92.1,37.8,68.3,6.4,online,basic,1,1
STU0244,6.2,87.0,78.6,58.3,7.7,group_study,advanced,0,1
STU0245,4.3,85.8,70.2,67.2,7.8,online,advanced,1,0
STU0246,4.3,80.1,61.4,57.9,6.1,online,intermediate,1,0
STU0247,4.0,84.2,68.5,43.9,5.7,self_study,basic,0,0
STU0248,8.2,66.7,97.2,62.9,6.3,group_study,advanced,1,1
STU0249,7.0,96.3,61.2,68.2,5.3,self_study,advanced,1,1
STU0250,4.1,91.6,78.0,79.6,6.6,online,advanced,0,1
STU0251,7.2,64.6,62.6,45.5,6.2,academy,basic,0,0
STU0252,5.0,79.0,73.1,62.9,7.8,self_study,advanced,1,2
STU0253,1.0,99.9,66.6,50.8,8.7,self_study,intermediate,0,0
STU0254,3.5,92.9,53.5,52.5,5.4,group_study,basic,0,0
STU0255,5.7,85.9,84.4,72.4,6.3,academy,intermediate,0,1
STU0256,2.9,79.0,74.6,61.3,7.3,online,basic,0,0
STU0257,2.3,96.1,70.9,71.8,8.1,self_study,advanced,1,0
STU0258,5.7,81.0,93.5,85.3,6.1,self_study,advanced,0,1
STU0259,7.2,70.1,71.1,65.8,4.4,academy,intermediate,1,1
STU0260,3.0,83.6,58.4,69.7,7.0,online,basic,0,0
STU0261,2.1,77.9,100,84.8,7.6,academy,advanced,1,1
STU0262,2.0,80.6,47.5,81.6,4.1,online,intermediate,1,0
STU0263,5.7,85.9,94.0,75.9,6.3,academy,intermediate,0,2
STU0264,1.5,80.6,77.1,45.7,6.1,group_study,basic,0,0
STU0265,7.8,68.3,99.6,70.1,8.8,academy,advanced,1,2
STU0266,5.7,78.5,73.7,75.7,6.0,online,basic,0,1
STU0267,4.5,86.9,70.9,72.2,7.5,self_study,intermediate,0,1
STU0268,4.6,100,63.8,70.4,7.4,online,advanced,1,1
STU0269,5.7,74.0,65.4,61.9,6.7,academy,intermediate,1,1
STU0270,2.6,89.4,73.9,67.0,6.2,self_study,advanced,1,1
STU0271,2.2,79.4,59.3,62.5,7.5,online,basic,1,1
STU0272,5.0,80.0,82.6,48.3,6.0,online,intermediate,0,1
STU0273,5.7,83.0,62.8,50.3,6.7,group_study,basic,0,0
STU0274,6.4,67.2,65.9,54.9,4.8,online,basic,0,0
STU0275,4.0,71.3,70.7,78.4,6.2,group_study,intermediate,1,1
STU0276,3.9,71.6,68.2,69.0,9.2,self_study,basic,0,1
STU0277,6.0,71.9,66.4,75.3,6.7,academy,advanced,1,1
STU0278,6.0,73.7,61.2,85.8,8.2,self_study,intermediate,0,1
STU0279,4.5,76.7,84.2,66.5,7.7,online,advanced,0,0
STU0280,5.7,89.9,82.3,50.3,6.5,self_study,basic,1,1
STU0281,2.0,66.3,82.5,60.9,6.7,academy,intermediate,1,1
STU0282,6.6,60.6,65.5,51.2,6.8,online,basic,1,0
STU0283,5.7,88.7,55.6,69.7,7.2,self_study,basic,0,1
STU0284,7.5,80.8,59.0,61.9,6.6,academy,basic,0,1
STU0285,4.1,87.1,49.0,91.6,5.7,self_study,intermediate,1,1
STU0286,2.7,88.8,83.0,52.8,7.8,group_study,intermediate,1,1
STU0287,2.8,86.8,71.3,85.9,7.2,group_study,advanced,0,0
STU0288,3.1,86.9,45.5,49.0,9.1,self_study,basic,1,0
STU0289,4.3,78.3,45.0,58.5,6.4,self_study,basic,0,1
STU0290,7.7,86.9,,100,6.7,academy,advanced,1,2
STU0291,5.6,85.7,90.6,50.9,8.6,academy,basic,0,0
STU0292,6.3,100,69.4,60.6,7.9,online,intermediate,0,1
STU0293,7.0,76.6,50.7,62.8,4.2,group_study,basic,0,1
STU0294,7.0,61.5,51.9,50.1,7.4,online,intermediate,0,0
STU0295,4.0,88.6,60.3,47.3,6.8,online,advanced,1,0
STU0296,4.1,67.3,70.7,70.4,5.3,online,intermediate,0,0
STU0297,4.6,90.4,48.4,50.4,5.9,online,intermediate,0,0
STU0298,2.3,82.1,55.3,91.7,7.5,self_study,intermediate,1,1
STU0299,3.6,99.2,67.3,43.4,8.2,self_study,intermediate,0,0
STU0300,1.3,90.0,60.5,82.5,7.6,self_study,intermediate,0,0
STU0301,4.9,66.4,70.0,89.2,7.5,academy,basic,0,1
STU0302,4.0,93.7,74.1,69.5,7.3,self_study,intermediate,0,0
STU0303,5.2,70.7,88.3,91.6,7.2,group_study,intermediate,0,1
STU0304,5.3,82.9,100,62.4,7.2,academy,intermediate,0,1
STU0305,5.1,69.5,64.7,79.6,5.7,online,intermediate,1,0
STU0306,6.0,84.6,66.0,54.8,5.5,academy,intermediate,0,1
STU0307,5.0,67.9,91.1,78.3,5.3,academy,basic,0,1
STU0308,5.4,79.4,80.0,69.8,7.2,online,intermediate,0,0
STU0309,6.2,85.1,52.5,90.5,7.2,academy,intermediate,0,1
STU0310,2.4,96.7,61.9,81.0,7.6,academy,intermediate,0,1
STU0311,2.8,92.7,69.4,70.4,8.3,,basic,1,0
STU0312,4.2,83.6,78.9,79.5,5.1,self_study,intermediate,1,1
STU0313,5.2,72.6,55.5,90.6,5.2,group_study,intermediate,0,0
STU0314,4.3,95.6,75.3,60.5,6.0,online,basic,1,0
STU0315,6.0,100,95.4,65.5,6.5,self_study,intermediate,1,1
STU0316,5.2,90.9,76.0,71.7,6.8,self_study,basic,0,1
STU0317,3.3,78.5,43.6,39.3,4.8,online,basic,1,0
STU0318,3.9,91.5,88.0,69.5,5.2,self_study,basic,0,0
STU0319,7.5,63.9,63.0,72.1,6.9,group_study,intermediate,0,1
STU0320,2.7,84.9,65.3,100,8.9,academy,basic,0,1
STU0321,0.8,70.7,65.6,49.9,9.2,online,basic,0,0
STU0322,4.8,64.2,86.5,63.3,,group_study,intermediate,0,1
STU0323,4.7,84.8,66.6,60.6,8.0,group_study,intermediate,1,1
STU0324,3.7,92.7,67.5,70.7,8.4,self_study,intermediate,1,0
STU0325,2.9,80.1,63.8,59.4,7.3,academy,basic,0,0
STU0326,4.4,85.7,68.0,81.0,7.7,academy,advanced,0,0
STU0327,6.8,83.5,74.3,51.7,6.1,online,intermediate,1,1
STU0328,3.3,87.5,85.8,69.3,6.3,academy,advanced,1,1
STU0329,7.3,74.7,63.2,63.3,5.3,online,intermediate,1,1
STU0330,9.5,71.3,78.9,35.6,6.7,group_study,intermediate,0,1
STU0331,4.7,64.4,63.0,57.6,8.6,self_study,basic,1,0
STU0332,4.9,98.1,68.5,45.8,7.0,academy,intermediate,0,1
STU0333,5.1,83.6,70.7,55.7,8.3,group_study,intermediate,0,1
STU0334,4.7,90.7,76.0,54.8,6.4,group_study,intermediate,1,0
STU0335,5.9,91.4,90.9,39.5,7.9,group_study,intermediate,0,1
STU0336,7.7,67.5,65.4,67.3,5.6,online,intermediate,0,1
STU0337,1.9,76.6,73.4,75.1,7.3,group_study,intermediate,0,0
STU0338,3.7,91.8,51.5,53.5,5.7,group_study,basic,0,0
STU0339,5.2,67.8,46.5,47.4,7.3,academy,basic,0,0
STU0340,5.2,65.3,84.1,63.3,7.6,self_study,advanced,0,1
STU0341,3.8,95.7,43.8,68.4,8.5,online,advanced,0,0
STU0342,1.2,81.7,75.8,68.7,6.9,self_study,intermediate,0,0
STU0343,6.2,85.3,65.9,84.3,,group_study,intermediate,1,2
STU0344,3.3,75.5,86.0,47.5,4.8,group_study,basic,1,0
STU0345,5.8,61.3,59.2,39.2,7.4,academy,basic,1,1
STU0346,7.9,80.2,62.7,59.1,7.3,academy,intermediate,0,2
STU0347,4.8,76.9,86.1,63.5,4.8,academy,intermediate,1,1
STU0348,5.2,58.8,69.3,58.7,6.6,online,basic,0,1
STU0349,2.3,72.5,98.0,63.0,6.9,academy,intermediate,0,1
STU0350,8.8,75.0,60.9,65.6,5.1,group_study,intermediate,1,1
STU0351,6.9,78.5,62.3,63.1,7.7,academy,basic,1,1
STU0352,2.2,73.4,50.8,71.4,5.7,self_study,advanced,0,0
STU0353,3.1,70.9,35,80.2,5.8,academy,basic,0,0
STU0354,3.4,77.4,47.6,55.7,5.9,group_study,basic,1,1
STU0355,6.7,57.1,,60.6,7.3,group_study,intermediate,0,0
STU0356,2.5,86.3,85.1,88.3,6.4,group_study,intermediate,1,0
STU0357,2.7,79.4,85.6,71.2,6.8,academy,advanced,1,1
STU0358,3.8,86.1,77.1,84.8,7.5,group_study,advanced,0,1
STU0359,3.3,74.8,77.0,64.1,7.2,online,basic,0,0
STU0360,5.8,81.4,80.5,50.7,5.8,academy,intermediate,0,1
